,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,6500.05,6510.0,6420.0,6550.0,6500.0,6482.75,6464.04,6632.0,4135.25,22772,147199080.4,6534,GILLETTE
1,2023-12-28,EQ,6164.95,6632.0,6100.0,6111.3,6506.0,6550.0,6457.15,6632.0,4135.25,79070,510566658.85,18827,GILLETTE
2,2023-12-27,EQ,6150.0,6159.25,6071.05,6100.05,6145.0,6111.3,6088.75,6565.0,4135.25,24950,151914290.55,2047,GILLETTE
3,2023-12-26,EQ,6141.2,6163.95,6091.7,6140.8,6096.0,6100.05,6107.6,6565.0,4135.25,10504,64154263.85,2738,GILLETTE
4,2023-12-22,EQ,6198.25,6210.8,6125.05,6198.25,6135.9,6140.8,6147.55,6565.0,4135.25,4782,29397584.2,2128,GILLETTE
5,2023-12-21,EQ,6060.0,6216.0,5956.05,6048.85,6180.0,6198.25,6114.48,6565.0,4135.25,16489,100821695.0,2916,GILLETTE
6,2023-12-20,EQ,6199.8,6199.8,6010.0,6189.4,6040.0,6048.85,6109.11,6565.0,4135.25,9267,56613083.05,3166,GILLETTE
7,2023-12-19,EQ,6112.05,6200.0,6085.1,6104.25,6175.0,6189.4,6157.86,6565.0,4135.25,12084,74411615.85,3720,GILLETTE
8,2023-12-18,EQ,6192.15,6219.0,6099.0,6161.25,6109.0,6104.25,6119.92,6565.0,4135.25,19785,121082712.55,4302,GILLETTE
9,2023-12-15,EQ,6140.0,6196.0,6112.35,6117.05,6172.5,6161.25,6153.24,6565.0,4135.25,7641,47016906.75,2517,GILLETTE
10,2023-12-14,EQ,6293.7,6293.7,6079.55,6236.55,6125.0,6117.05,6151.81,6565.0,4135.25,14120,86863527.95,4116,GILLETTE
11,2023-12-13,EQ,6219.0,6270.0,6197.8,6209.25,6249.0,6236.55,6231.91,6565.0,4135.25,9156,57059372.05,2834,GILLETTE
12,2023-12-12,EQ,6217.9,6274.35,6185.0,6181.75,6216.65,6209.25,6216.37,6565.0,4135.25,8468,52640199.5,3507,GILLETTE
13,2023-12-11,EQ,6238.45,6264.95,6176.0,6238.45,6180.0,6181.75,6202.28,6565.0,4135.25,8503,52737999.3,2458,GILLETTE
14,2023-12-08,EQ,6323.1,6323.1,6210.1,6290.6,6210.1,6238.45,6254.56,6565.0,4135.25,4042,25280916.85,1674,GILLETTE
