,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,1853.0,1959.0,1846.75,1849.55,1905.9,1898.15,1910.8,1959.0,1227.0,619830,1184373847.7,32445,GLAXO
1,2023-12-28,EQ,1820.0,1928.8,1797.0,1809.75,1850.0,1849.55,1879.87,1928.8,1227.0,765983,1439949861.75,50825,GLAXO
2,2023-12-27,EQ,1775.0,1848.0,1762.95,1766.85,1801.8,1809.75,1813.75,1848.0,1227.0,464701,842850924.85,29012,GLAXO
3,2023-12-26,EQ,1755.0,1775.1,1748.25,1754.05,1761.0,1766.85,1765.18,1782.0,1227.0,154004,271845447.5,9317,GLAXO
4,2023-12-22,EQ,1733.6,1760.0,1715.0,1733.6,1749.0,1754.05,1735.31,1782.0,1227.0,96728,167852681.85,9255,GLAXO
5,2023-12-21,EQ,1670.0,1740.9,1667.85,1687.4,1735.0,1733.6,1711.42,1782.0,1227.0,190230,325563797.05,18954,GLAXO
6,2023-12-20,EQ,1746.05,1762.8,1677.05,1744.65,1681.4,1687.4,1719.06,1782.0,1227.0,101221,174005330.65,10519,GLAXO
7,2023-12-19,EQ,1742.1,1765.0,1725.7,1742.1,1738.95,1744.65,1746.53,1782.0,1227.0,120464,210393792.75,11662,GLAXO
8,2023-12-18,EQ,1782.0,1782.0,1732.1,1773.9,1735.05,1742.1,1762.42,1782.0,1227.0,96290,169703301.5,7933,GLAXO
9,2023-12-15,EQ,1746.1,1778.95,1746.05,1746.1,1773.25,1773.9,1773.36,1778.95,1227.0,211596,375235508.75,16709,GLAXO
10,2023-12-14,EQ,1740.95,1770.0,1740.1,1732.95,1752.3,1746.1,1757.2,1770.0,1227.0,256509,450738256.15,16257,GLAXO
11,2023-12-13,EQ,1693.55,1747.0,1667.05,1676.8,1731.5,1732.95,1712.97,1747.0,1227.0,244835,419395653.6,15655,GLAXO
12,2023-12-12,EQ,1682.0,1697.0,1661.35,1679.85,1675.0,1676.8,1673.97,1739.75,1227.0,72890,122015782.15,7816,GLAXO
13,2023-12-11,EQ,1693.0,1697.95,1673.95,1690.1,1679.95,1679.85,1680.67,1739.75,1227.0,58764,98762700.0,5662,GLAXO
14,2023-12-08,EQ,1705.0,1713.95,1682.05,1688.85,1688.0,1690.1,1694.24,1739.75,1227.0,110263,186812017.45,8673,GLAXO
15,2023-12-07,EQ,1694.8,1710.0,1684.0,1686.35,1685.0,1688.85,1692.95,1739.75,1227.0,161953,274178534.55,10738,GLAXO
16,2023-12-06,EQ,1708.8,1715.0,1681.0,1691.7,1689.9,1686.35,1688.14,1739.75,1227.0,140250,236761071.7,10557,GLAXO
17,2023-12-05,EQ,1700.0,1725.55,1686.75,1695.65,1692.0,1691.7,1705.42,1739.75,1227.0,169007,288227661.35,9397,GLAXO
18,2023-12-04,EQ,1710.0,1739.75,1691.1,1678.15,1697.5,1695.65,1709.17,1739.75,1227.0,197430,337441932.0,16473,GLAXO
19,2023-12-01,EQ,1670.0,1708.0,1669.95,1657.1,1674.0,1678.15,1690.16,1727.0,1227.0,215618,364429569.15,17907,GLAXO
20,2023-11-30,EQ,1640.5,1695.5,1640.5,1633.4,1654.5,1657.1,1670.02,1727.0,1227.0,215735,360282331.75,18093,GLAXO
21,2023-11-29,EQ,1657.1,1679.75,1616.9,1644.0,1630.0,1633.4,1634.36,1727.0,1227.0,175879,287449001.9,13016,GLAXO
22,2023-11-28,EQ,1646.05,1709.9,1638.0,1644.75,1655.0,1644.0,1670.56,1727.0,1227.0,194289,324571367.75,16353,GLAXO
23,2023-11-24,EQ,1688.0,1706.0,1622.5,1684.2,1639.0,1644.75,1674.03,1727.0,1227.0,158716,265694805.2,9245,GLAXO
24,2023-11-23,EQ,1700.0,1706.25,1677.85,1694.95,1684.0,1684.2,1688.24,1727.0,1227.0,146593,247484692.45,11535,GLAXO
25,2023-11-22,EQ,1680.0,1727.0,1666.35,1660.1,1699.95,1694.95,1708.65,1727.0,1227.0,366111,625555713.6,27818,GLAXO
26,2023-11-21,EQ,1647.95,1688.0,1646.05,1647.95,1658.0,1660.1,1669.43,1688.0,1227.0,217055,362357372.55,21414,GLAXO
27,2023-11-20,EQ,1577.0,1675.0,1577.0,1576.65,1630.0,1647.95,1648.76,1675.0,1227.0,586297,966662354.8,34061,GLAXO
28,2023-11-17,EQ,1591.0,1614.75,1566.3,1587.95,1585.0,1576.65,1591.7,1644.9,1227.0,167085,265949369.35,12360,GLAXO
29,2023-11-16,EQ,1557.7,1644.9,1557.7,1552.7,1583.95,1587.95,1599.72,1644.9,1227.0,520343,832400971.05,47068,GLAXO
30,2023-11-15,EQ,1483.2,1570.0,1481.85,1471.2,1555.0,1552.7,1536.5,1624.0,1227.0,308507,474021593.95,21594,GLAXO
31,2023-11-13,EQ,1481.8,1509.95,1463.0,1481.8,1480.5,1471.2,1486.9,1624.0,1227.0,64633,96103106.75,7334,GLAXO
32,2023-11-12,EQ,1485.0,1492.6,1478.1,1471.8,1480.0,1481.8,1485.56,1624.0,1227.0,18421,27365518.35,1562,GLAXO
33,2023-11-10,EQ,1472.0,1496.95,1449.05,1449.4,1465.0,1471.8,1485.3,1624.0,1227.0,282109,419016514.3,13479,GLAXO
34,2023-11-09,EQ,1446.3,1479.95,1441.15,1445.2,1450.0,1449.4,1461.07,1624.0,1227.0,47955,70065538.1,5062,GLAXO
35,2023-11-08,EQ,1421.45,1480.6,1421.45,1421.4,1447.1,1445.2,1451.8,1624.0,1227.0,345839,502088259.7,11567,GLAXO
36,2023-11-07,EQ,1435.0,1439.6,1416.0,1431.25,1423.0,1421.4,1427.5,1624.0,1227.0,27305,38977980.3,3496,GLAXO
37,2023-11-06,EQ,1408.15,1455.55,1408.15,1405.15,1433.0,1431.25,1439.13,1624.0,1227.0,200487,288527832.0,10747,GLAXO
38,2023-11-03,EQ,1397.45,1412.7,1388.95,1390.25,1400.0,1405.15,1394.58,1624.0,1227.0,220999,308201634.25,9114,GLAXO
39,2023-11-02,EQ,1413.9,1418.55,1385.05,1406.85,1391.0,1390.25,1397.11,1624.0,1227.0,45459,63511138.45,6572,GLAXO
40,2023-11-01,EQ,1424.0,1428.25,1400.05,1423.35,1408.95,1406.85,1413.02,1624.0,1227.0,42210,59643571.2,6322,GLAXO
41,2023-10-31,EQ,1429.7,1434.8,1415.65,1429.65,1424.0,1423.35,1426.56,1624.0,1227.0,30612,43669966.35,3833,GLAXO
42,2023-10-30,EQ,1433.3,1437.65,1425.0,1434.4,1430.0,1429.65,1429.54,1624.0,1227.0,26951,38527569.2,3660,GLAXO
43,2023-10-27,EQ,1449.55,1453.9,1430.05,1440.3,1435.0,1434.4,1439.79,1624.0,1227.0,81687,117611949.75,3692,GLAXO
44,2023-10-26,EQ,1432.2,1455.0,1432.2,1462.35,1449.55,1440.3,1443.98,1624.0,1227.0,63644,91900603.0,8187,GLAXO
45,2023-10-25,EQ,1483.75,1488.95,1454.0,1463.8,1460.0,1462.35,1464.24,1624.0,1227.0,103120,150992247.6,7857,GLAXO
46,2023-10-23,EQ,1525.25,1529.55,1458.85,1525.25,1463.0,1463.8,1493.03,1624.0,1227.0,54803,81822629.4,5979,GLAXO
47,2023-10-20,EQ,1536.6,1548.05,1520.0,1537.05,1525.0,1525.25,1536.33,1624.0,1227.0,98398,151172209.05,3704,GLAXO
48,2023-10-19,EQ,1519.95,1544.0,1516.0,1517.85,1532.0,1537.05,1526.12,1624.0,1227.0,119518,182398389.75,15406,GLAXO
49,2023-10-18,EQ,1535.0,1542.0,1513.1,1533.9,1520.8,1517.85,1521.06,1624.0,1227.0,37947,57719826.95,4255,GLAXO
50,2023-10-17,EQ,1544.95,1551.95,1529.7,1537.5,1535.0,1533.9,1541.77,1624.0,1227.0,79587,122704474.45,4194,GLAXO
51,2023-10-16,EQ,1533.0,1598.2,1524.65,1527.75,1530.0,1537.5,1566.36,1624.0,1227.0,116405,182331805.95,9685,GLAXO
52,2023-10-13,EQ,1515.0,1544.15,1515.0,1521.75,1525.0,1527.75,1531.69,1624.0,1227.0,38054,58286943.7,4377,GLAXO
53,2023-10-12,EQ,1525.5,1546.9,1515.0,1533.2,1523.35,1521.75,1529.02,1624.0,1227.0,27165,41535831.2,4007,GLAXO
54,2023-10-11,EQ,1543.85,1568.4,1529.95,1547.5,1530.1,1533.2,1543.0,1624.0,1227.0,30150,46521320.65,4187,GLAXO
55,2023-10-10,EQ,1539.3,1552.0,1535.0,1539.95,1549.0,1547.5,1543.62,1624.0,1227.0,51752,79885393.65,6365,GLAXO
56,2023-10-09,EQ,1548.0,1570.0,1530.0,1555.0,1531.7,1539.95,1548.38,1624.0,1227.0,48806,75570264.1,6080,GLAXO
57,2023-10-06,EQ,1548.1,1570.8,1536.25,1540.55,1562.0,1555.0,1555.64,1624.0,1227.0,50525,78598484.55,5420,GLAXO
58,2023-10-05,EQ,1565.0,1568.75,1537.0,1560.9,1537.0,1540.55,1552.87,1624.0,1227.0,26736,41517594.65,6005,GLAXO
59,2023-10-04,EQ,1550.0,1572.15,1536.2,1570.4,1559.0,1560.9,1559.97,1624.0,1227.0,233489,364235077.6,6069,GLAXO
60,2023-10-03,EQ,1549.0,1578.0,1535.0,1548.25,1572.8,1570.4,1565.95,1624.0,1227.0,160141,250772989.15,11600,GLAXO
61,2023-09-29,EQ,1513.35,1568.1,1512.2,1512.15,1547.8,1548.25,1548.54,1624.0,1227.0,71984,111469825.6,10297,GLAXO
62,2023-09-28,EQ,1528.4,1540.0,1501.25,1525.3,1521.0,1512.15,1519.84,1624.0,1227.0,27217,41365599.05,5364,GLAXO
63,2023-09-27,EQ,1527.6,1545.0,1515.2,1524.8,1537.0,1525.3,1531.18,1624.0,1227.0,42896,65681298.75,5985,GLAXO
64,2023-09-26,EQ,1541.65,1559.0,1514.9,1539.65,1525.0,1524.8,1540.34,1624.0,1227.0,71372,109937162.7,8114,GLAXO
65,2023-09-25,EQ,1560.55,1578.9,1532.85,1560.55,1538.05,1539.65,1551.3,1624.0,1227.0,49380,76603399.8,6104,GLAXO
66,2023-09-22,EQ,1565.0,1575.45,1544.75,1555.8,1568.2,1560.55,1556.27,1624.0,1227.0,143149,222778904.3,9547,GLAXO
67,2023-09-21,EQ,1560.75,1595.8,1545.4,1568.85,1554.5,1555.8,1557.36,1624.0,1227.0,92022,143311469.2,8196,GLAXO
68,2023-09-20,EQ,1595.0,1605.05,1560.0,1592.95,1568.0,1568.85,1579.75,1624.0,1227.0,46263,73084160.65,5866,GLAXO
69,2023-09-18,EQ,1593.45,1624.0,1578.65,1600.25,1595.0,1592.95,1602.48,1624.0,1227.0,138150,221382601.25,11306,GLAXO
70,2023-09-15,EQ,1538.55,1615.05,1499.25,1538.55,1592.75,1600.25,1564.11,1615.05,1227.0,306690,479698203.45,23110,GLAXO
71,2023-09-14,EQ,1552.0,1554.0,1531.0,1544.05,1538.45,1538.55,1539.0,1554.0,1227.0,96048,147817597.5,7495,GLAXO
72,2023-09-13,EQ,1465.95,1552.0,1455.4,1461.75,1542.5,1544.05,1520.34,1552.0,1227.0,335670,510333822.4,23296,GLAXO
73,2023-09-12,EQ,1466.1,1480.55,1439.0,1460.45,1458.5,1461.75,1461.49,1480.85,1227.0,59029,86270342.7,7724,GLAXO
74,2023-09-11,EQ,1465.0,1480.85,1454.1,1461.5,1462.0,1460.45,1464.83,1480.85,1227.0,79087,115848892.9,8246,GLAXO
75,2023-09-08,EQ,1425.2,1465.65,1425.2,1444.25,1460.0,1461.5,1456.43,1474.0,1227.0,79063,115150112.05,5593,GLAXO
76,2023-09-07,EQ,1435.0,1468.0,1435.0,1446.9,1442.55,1444.25,1450.57,1474.0,1227.0,104757,151957379.35,8927,GLAXO
77,2023-09-06,EQ,1463.9,1464.75,1443.0,1457.5,1445.35,1446.9,1447.83,1474.0,1227.0,32865,47583069.45,4925,GLAXO
78,2023-09-05,EQ,1430.0,1461.25,1422.85,1426.1,1457.5,1457.5,1448.82,1474.0,1227.0,78092,113141407.8,8581,GLAXO
79,2023-09-04,EQ,1447.95,1474.0,1421.1,1438.3,1432.5,1426.1,1449.99,1474.0,1227.0,88766,128709832.45,10769,GLAXO
80,2023-09-01,EQ,1420.0,1468.0,1416.5,1429.5,1439.0,1438.3,1444.52,1477.55,1227.0,114833,165878858.9,10131,GLAXO
81,2023-08-31,EQ,1414.95,1446.25,1414.95,1414.15,1435.0,1429.5,1434.05,1477.55,1227.0,166401,238627589.75,9956,GLAXO
82,2023-08-30,EQ,1415.05,1420.9,1405.0,1413.5,1410.1,1414.15,1413.84,1477.55,1227.0,24202,34217670.75,2738,GLAXO
83,2023-08-29,EQ,1419.85,1431.7,1411.0,1412.75,1411.0,1413.5,1420.27,1477.55,1227.0,27644,39261954.15,2885,GLAXO
84,2023-08-28,EQ,1420.75,1448.0,1410.0,1420.4,1414.0,1412.75,1433.14,1477.55,1227.0,90350,129484177.05,7094,GLAXO
85,2023-08-25,EQ,1410.0,1425.0,1397.1,1411.45,1417.0,1420.4,1411.71,1485.0,1227.0,46656,65864520.3,4590,GLAXO
86,2023-08-24,EQ,1422.95,1424.0,1407.0,1421.55,1412.6,1411.45,1419.33,1485.0,1227.0,59709,84746788.25,4185,GLAXO
87,2023-08-23,EQ,1401.65,1426.65,1387.8,1401.65,1422.95,1421.55,1411.09,1485.0,1227.0,162685,229563390.5,5645,GLAXO
88,2023-08-22,EQ,1410.0,1410.0,1397.75,1404.6,1401.0,1401.65,1402.54,1485.0,1227.0,13996,19629902.95,3761,GLAXO
89,2023-08-21,EQ,1417.6,1417.6,1397.0,1410.2,1405.0,1404.6,1404.9,1485.0,1227.0,39644,55695868.55,5571,GLAXO
90,2023-08-18,EQ,1406.1,1418.05,1396.2,1408.85,1408.0,1410.2,1404.84,1487.0,1227.0,47620,66898562.6,4506,GLAXO
91,2023-08-17,EQ,1414.9,1422.25,1405.0,1416.35,1407.0,1408.85,1410.93,1487.0,1227.0,17477,24658775.2,2485,GLAXO
92,2023-08-16,EQ,1419.8,1421.7,1408.0,1415.1,1414.0,1416.35,1416.71,1487.0,1227.0,21967,31120813.0,3665,GLAXO
93,2023-08-14,EQ,1436.0,1436.0,1409.1,1441.6,1415.0,1415.1,1416.06,1487.0,1227.0,70554,99908711.0,3073,GLAXO
94,2023-08-11,EQ,1431.6,1455.1,1428.85,1431.6,1438.0,1441.6,1447.32,1487.0,1227.0,92402,133735513.3,7127,GLAXO
95,2023-08-10,EQ,1440.5,1445.0,1422.0,1433.3,1430.0,1431.6,1433.29,1487.0,1227.0,46169,66173513.75,4893,GLAXO
96,2023-08-09,EQ,1400.65,1442.0,1395.0,1400.65,1435.0,1433.3,1429.53,1487.0,1227.0,97914,139971488.5,7813,GLAXO
97,2023-08-08,EQ,1399.1,1403.55,1390.0,1399.1,1402.0,1400.65,1397.64,1487.0,1227.0,45613,63750366.85,6540,GLAXO
98,2023-08-07,EQ,1407.6,1410.0,1393.85,1401.6,1399.95,1399.1,1398.26,1487.0,1227.0,45085,63040395.35,2762,GLAXO
99,2023-08-04,EQ,1409.25,1410.0,1396.25,1402.2,1400.0,1401.6,1402.37,1487.0,1227.0,13284,18629065.0,2268,GLAXO
100,2023-08-03,EQ,1405.0,1426.2,1393.8,1405.0,1402.0,1402.2,1411.63,1487.0,1227.0,79757,112587703.6,6933,GLAXO
101,2023-08-02,EQ,1408.9,1408.9,1388.0,1405.0,1405.0,1405.0,1397.4,1487.0,1227.0,61211,85536315.35,6941,GLAXO
