,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,2097.95,2117.9,2081.95,2093.45,2108.0,2108.85,2104.65,2405.0,1620.0,30775,64770547.1,4645,GODFRYPHLP
1,2023-12-28,EQ,2114.0,2116.85,2085.55,2102.45,2094.0,2093.45,2099.63,2405.0,1620.0,20585,43220804.95,4204,GODFRYPHLP
2,2023-12-27,EQ,2120.0,2125.0,2087.6,2111.05,2099.05,2102.45,2105.03,2405.0,1620.0,21445,45142369.0,3432,GODFRYPHLP
3,2023-12-26,EQ,2115.0,2123.0,2093.0,2098.05,2105.0,2111.05,2108.13,2405.0,1620.0,26142,55110842.9,4433,GODFRYPHLP
4,2023-12-22,EQ,2117.7,2117.7,2075.0,2104.4,2095.0,2098.05,2092.7,2405.0,1620.0,21569,45137426.55,3944,GODFRYPHLP
5,2023-12-21,EQ,2059.0,2116.25,2040.0,2068.75,2100.0,2104.4,2085.21,2405.0,1620.0,42278,88158523.45,6420,GODFRYPHLP
6,2023-12-20,EQ,2117.0,2137.6,2050.0,2102.5,2050.1,2068.75,2105.71,2405.0,1620.0,74212,156268635.15,12622,GODFRYPHLP
7,2023-12-19,EQ,2075.0,2119.85,2075.0,2070.4,2104.0,2102.5,2103.47,2405.0,1620.0,51875,109117569.85,9450,GODFRYPHLP
8,2023-12-18,EQ,2085.0,2085.0,2059.8,2085.05,2071.95,2070.4,2072.87,2405.0,1620.0,24526,50839141.9,5342,GODFRYPHLP
9,2023-12-15,EQ,2102.0,2102.0,2068.0,2087.75,2089.6,2085.05,2090.65,2405.0,1620.0,24882,52019429.75,3889,GODFRYPHLP
10,2023-12-14,EQ,2117.0,2118.5,2077.7,2101.4,2082.05,2087.75,2097.41,2405.0,1620.0,32096,67318609.15,4417,GODFRYPHLP
11,2023-12-13,EQ,2117.0,2130.0,2085.15,2108.75,2104.0,2101.4,2113.07,2405.0,1620.0,50059,105778339.05,7727,GODFRYPHLP
12,2023-12-12,EQ,2081.05,2119.0,2081.0,2081.85,2111.95,2108.75,2103.92,2405.0,1620.0,53766,113119624.8,7562,GODFRYPHLP
13,2023-12-11,EQ,2060.0,2120.0,2060.0,2058.65,2066.0,2081.85,2097.41,2405.0,1620.0,70074,146974243.75,10578,GODFRYPHLP
14,2023-12-08,EQ,2104.25,2118.1,2055.0,2104.25,2060.0,2058.65,2081.53,2405.0,1620.0,33008,68707000.55,5195,GODFRYPHLP
15,2023-12-07,EQ,2126.0,2126.0,2094.25,2116.7,2105.95,2104.25,2107.48,2405.0,1620.0,20538,43283491.1,4314,GODFRYPHLP
16,2023-12-06,EQ,2131.95,2144.0,2110.0,2121.85,2116.5,2116.7,2124.36,2405.0,1620.0,48500,103031525.2,6531,GODFRYPHLP
