,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-10-25,EQ,120.1,121.7,114.0,120.0,117.9,115.6,117.69,144.6,78.05,472737,55638299.6,4327,GRAUWEIL
1,2023-10-23,EQ,120.55,121.25,117.85,120.55,119.75,120.0,119.69,144.6,78.05,316763,37912548.3,3895,GRAUWEIL
2,2023-10-20,EQ,123.8,124.55,112.35,122.9,121.0,120.55,120.52,144.6,78.05,297179,35817332.75,5675,GRAUWEIL
3,2023-10-19,EQ,124.1,126.7,122.45,125.8,123.0,122.9,123.8,144.6,78.05,221973,27479603.6,3368,GRAUWEIL
4,2023-10-18,EQ,121.5,127.65,120.35,120.9,125.95,125.8,124.48,144.6,78.05,734010,91370026.8,6783,GRAUWEIL
5,2023-10-17,EQ,121.45,123.25,120.3,121.45,121.0,120.9,121.34,144.6,78.05,178228,21626045.6,2889,GRAUWEIL
6,2023-10-16,EQ,123.65,123.7,121.0,121.9,121.5,121.45,122.42,144.6,78.05,149163,18260735.85,2464,GRAUWEIL
7,2023-10-13,EQ,122.0,123.7,121.6,123.45,122.1,121.9,122.47,144.6,74.2,90229,11050141.6,1803,GRAUWEIL
8,2023-10-12,EQ,123.5,125.5,121.0,122.3,123.0,123.45,123.07,144.6,74.2,259292,31911910.6,3420,GRAUWEIL
9,2023-10-11,EQ,124.35,126.0,121.9,123.15,122.35,122.3,123.75,144.6,74.2,234647,29037481.75,2996,GRAUWEIL
10,2023-10-10,EQ,122.0,125.45,122.0,121.9,123.9,123.15,123.75,144.6,74.2,140739,17416935.4,2147,GRAUWEIL
11,2023-10-09,EQ,126.8,126.8,120.55,127.7,122.0,121.9,122.67,144.6,74.2,192584,23623950.45,3694,GRAUWEIL
12,2023-10-06,EQ,126.9,129.95,124.3,125.1,126.9,127.7,127.4,144.6,66.5,337190,42958124.0,3810,GRAUWEIL
13,2023-10-05,EQ,126.45,126.95,124.2,124.7,125.15,125.1,125.38,144.6,66.5,162040,20315863.95,1600,GRAUWEIL
14,2023-10-04,EQ,128.5,128.85,123.35,128.7,125.0,124.7,125.59,144.6,66.5,256386,32200318.3,3365,GRAUWEIL
15,2023-10-03,EQ,131.15,131.6,128.45,131.15,128.95,128.7,129.74,144.6,66.5,113964,14785662.85,1908,GRAUWEIL
16,2023-09-29,EQ,132.0,132.25,129.0,131.1,131.6,131.15,130.5,144.6,61.35,180646,23574887.0,3328,GRAUWEIL
17,2023-09-28,EQ,129.75,132.55,128.05,129.0,130.35,131.1,130.16,144.6,61.35,231209,30095009.35,4136,GRAUWEIL
18,2023-09-27,EQ,129.0,130.0,127.25,128.6,128.2,129.0,128.69,144.6,61.35,166656,21446658.75,2471,GRAUWEIL
19,2023-09-26,EQ,128.1,130.95,127.0,127.0,129.2,128.6,129.06,144.6,61.35,203917,26316717.95,3134,GRAUWEIL
20,2023-09-25,EQ,127.1,129.75,125.45,125.95,127.4,127.0,127.52,144.6,61.35,272712,34777288.45,4544,GRAUWEIL
21,2023-09-22,EQ,127.55,129.75,125.25,128.45,126.5,125.95,127.04,144.6,61.35,293185,37245411.5,3372,GRAUWEIL
