,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,865.0,893.0,860.25,860.85,871.0,873.25,878.1,974.8,395.0,1448171,1271631734.4,44247,GRSE
1,2023-12-28,EQ,875.35,881.8,854.1,871.15,856.05,860.85,865.11,974.8,395.0,968297,837685895.65,28701,GRSE
2,2023-12-27,EQ,878.05,904.5,862.0,872.2,871.0,871.15,883.37,974.8,395.0,3060990,2703983317.4,82216,GRSE
3,2023-12-26,EQ,822.0,884.75,820.0,819.65,872.95,872.2,867.22,974.8,395.0,3921279,3400630094.3,102704,GRSE
4,2023-12-22,EQ,821.8,834.7,813.25,817.05,819.0,819.65,823.67,974.8,392.5,424135,349346133.95,18366,GRSE
5,2023-12-21,EQ,806.0,835.0,790.0,806.6,819.0,817.05,816.04,974.8,392.5,1134947,926157419.25,43693,GRSE
6,2023-12-20,EQ,854.75,858.9,793.75,849.6,803.45,806.6,827.94,974.8,392.5,1108849,918056704.35,47423,GRSE
7,2023-12-19,EQ,836.0,882.0,834.7,833.5,847.15,849.6,863.64,974.8,392.5,2908041,2511502272.7,79869,GRSE
8,2023-12-18,EQ,830.25,845.0,828.05,827.95,834.0,833.5,837.44,974.8,392.5,478121,400395714.15,19099,GRSE
9,2023-12-15,EQ,837.05,841.2,822.7,833.8,825.45,827.95,830.57,974.8,392.5,379587,315271761.05,17499,GRSE
10,2023-12-14,EQ,836.6,845.0,830.0,831.7,833.55,833.8,838.16,974.8,392.5,418135,350461979.45,15553,GRSE
11,2023-12-13,EQ,836.5,840.25,827.25,833.95,832.0,831.7,832.79,974.8,392.5,393028,327308960.6,16643,GRSE
12,2023-12-12,EQ,845.95,849.05,830.0,841.85,833.2,833.95,836.7,974.8,392.5,320664,268300422.1,13954,GRSE
13,2023-12-11,EQ,836.95,849.5,836.05,832.4,841.5,841.85,842.86,974.8,392.5,389391,328203836.25,15389,GRSE
14,2023-12-08,EQ,849.75,863.9,830.0,847.9,832.0,832.4,844.42,974.8,392.5,616053,520208843.85,22597,GRSE
15,2023-12-07,EQ,864.65,865.45,845.0,861.75,847.0,847.9,855.02,974.8,392.5,772067,660132900.8,25377,GRSE
16,2023-12-06,EQ,840.9,871.9,828.2,836.55,859.8,861.75,858.11,974.8,392.5,2979065,2556361790.25,70899,GRSE
17,2023-12-05,EQ,845.0,854.0,825.25,841.65,835.65,836.55,840.5,974.8,392.5,680630,572070756.0,24003,GRSE
18,2023-12-04,EQ,843.6,851.0,836.9,836.0,838.0,841.65,842.36,974.8,392.5,499222,420525289.95,19852,GRSE
19,2023-12-01,EQ,850.8,854.45,831.9,847.1,835.5,836.0,840.84,974.8,392.5,663460,557863821.3,21298,GRSE
20,2023-11-30,EQ,834.0,849.9,812.5,829.6,846.8,847.1,840.56,974.8,392.5,1698735,1427895405.0,43769,GRSE
21,2023-11-29,EQ,833.9,845.8,826.5,829.45,830.0,829.6,833.41,974.8,392.5,613548,511334821.2,16295,GRSE
22,2023-11-28,EQ,838.1,843.65,826.0,834.0,827.3,829.45,835.41,974.8,392.5,631948,527935419.55,19643,GRSE
23,2023-11-24,EQ,837.7,844.95,829.5,833.8,833.0,834.0,837.16,974.8,392.5,1128392,944649133.95,26322,GRSE
24,2023-11-23,EQ,808.9,844.8,805.2,805.1,833.9,833.8,831.33,974.8,392.5,3174679,2639220575.1,75005,GRSE
25,2023-11-22,EQ,813.3,823.9,794.5,809.95,803.7,805.1,810.27,974.8,392.5,644736,522412489.7,24011,GRSE
26,2023-11-21,EQ,789.95,817.2,780.2,786.35,810.5,809.95,807.72,974.8,392.5,1628794,1315613240.2,44938,GRSE
27,2023-11-20,EQ,779.65,795.0,767.2,775.75,787.0,786.35,785.2,974.8,392.5,502609,394650159.25,20145,GRSE
28,2023-11-17,EQ,781.2,787.0,770.0,783.5,774.45,775.75,778.92,974.8,392.5,334522,260566023.5,12619,GRSE
29,2023-11-16,EQ,794.0,799.25,780.0,790.35,781.2,783.5,791.9,974.8,392.5,459757,364081000.05,12822,GRSE
30,2023-11-15,EQ,776.3,799.55,768.7,768.7,789.95,790.35,788.26,974.8,392.5,907947,715699971.85,26744,GRSE
31,2023-11-13,EQ,781.05,781.05,765.5,778.0,772.0,768.7,771.17,974.8,392.5,279237,215339723.85,10971,GRSE
32,2023-11-12,EQ,781.0,788.0,776.35,774.0,778.0,778.0,780.11,974.8,392.5,82698,64513741.05,3872,GRSE
33,2023-11-10,EQ,783.3,791.25,771.0,779.4,772.4,774.0,782.03,974.8,392.5,588785,460446774.0,19598,GRSE
34,2023-11-09,EQ,779.35,787.8,773.3,776.3,780.0,779.4,780.73,974.8,392.5,506672,395573012.6,13634,GRSE
35,2023-11-08,EQ,779.2,788.8,768.0,775.3,772.0,776.3,780.18,974.8,392.5,468486,365502594.1,16109,GRSE
36,2023-11-07,EQ,762.95,781.85,762.95,762.8,773.35,775.3,773.6,974.8,392.5,822203,636054634.55,21601,GRSE
37,2023-11-06,EQ,746.9,771.6,740.05,743.0,760.2,762.8,760.81,974.8,392.5,899720,684516880.2,26693,GRSE
38,2023-11-03,EQ,744.95,752.0,740.55,741.35,742.9,743.0,744.5,974.8,392.5,235202,175106931.4,8179,GRSE
39,2023-11-02,EQ,741.7,749.7,736.35,735.1,741.5,741.35,741.94,974.8,392.5,235074,174411375.3,8846,GRSE
40,2023-11-01,EQ,746.8,747.3,730.1,742.95,735.95,735.1,738.31,974.8,392.5,324890,239870534.75,12057,GRSE
41,2023-10-31,EQ,746.0,761.0,739.0,742.2,740.8,742.95,747.48,974.8,392.5,455174,340232406.55,18392,GRSE
42,2023-10-30,EQ,761.6,761.6,730.05,763.5,743.0,742.2,745.68,974.8,392.5,621277,463275505.9,19628,GRSE
43,2023-10-27,EQ,754.35,781.9,740.0,742.45,762.0,763.5,765.87,974.8,392.5,2169160,1661301090.0,58309,GRSE
44,2023-10-26,EQ,682.9,762.45,648.3,683.25,749.15,742.45,715.71,974.8,392.5,2838282,2031384880.35,92975,GRSE
45,2023-10-25,EQ,703.55,721.95,668.0,699.65,684.75,683.25,692.4,974.8,392.5,834757,577982843.9,33336,GRSE
46,2023-10-23,EQ,759.0,767.9,693.0,758.2,701.0,699.65,724.07,974.8,392.5,976476,707038712.85,38761,GRSE
47,2023-10-20,EQ,791.9,792.6,750.65,788.25,760.05,758.2,767.09,974.8,392.5,694857,533014882.65,26676,GRSE
