,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,730.9,734.15,710.95,730.9,714.5,718.45,726.27,749.8,398.5,151091,109732220.8,10476,GULFOILLUB
1,2023-12-28,EQ,740.0,742.75,722.5,739.25,732.0,730.9,731.72,749.8,398.5,237356,173678944.9,16628,GULFOILLUB
2,2023-12-27,EQ,747.8,749.8,723.6,730.4,738.45,739.25,736.66,749.8,398.5,518206,381744153.4,23273,GULFOILLUB
3,2023-12-26,EQ,711.6,739.95,706.75,711.2,735.0,730.4,724.86,739.95,398.5,438169,317610797.15,24635,GULFOILLUB
4,2023-12-22,EQ,655.1,722.8,655.1,664.1,708.2,711.2,706.22,722.8,398.5,741044,523342539.25,45255,GULFOILLUB
5,2023-12-21,EQ,645.0,667.3,639.05,649.2,662.55,664.1,659.0,709.8,398.5,136010,89630197.15,11196,GULFOILLUB
6,2023-12-20,EQ,682.95,689.8,632.05,676.15,650.1,649.2,670.41,709.8,398.5,389648,261222414.0,23544,GULFOILLUB
7,2023-12-19,EQ,659.0,680.05,650.8,654.15,677.4,676.15,671.55,709.8,398.5,289764,194589877.45,15418,GULFOILLUB
8,2023-12-18,EQ,655.0,662.7,652.1,654.75,653.0,654.15,657.79,709.8,398.5,102169,67205890.05,6415,GULFOILLUB
9,2023-12-15,EQ,665.0,671.8,652.3,665.2,655.35,654.75,660.93,709.8,398.5,161816,106948949.25,11981,GULFOILLUB
10,2023-12-14,EQ,678.0,686.6,655.0,670.65,660.05,665.2,675.2,709.8,398.5,270481,182628722.15,17654,GULFOILLUB
11,2023-12-13,EQ,648.2,677.2,648.15,644.95,675.0,670.65,668.19,709.8,398.5,258440,172687294.15,16536,GULFOILLUB
12,2023-12-12,EQ,664.0,672.0,640.1,659.6,645.0,644.95,653.58,709.8,398.5,134752,88070931.5,10606,GULFOILLUB
13,2023-12-11,EQ,666.3,673.2,655.0,663.0,662.8,659.6,663.23,709.8,398.5,98892,65587740.0,6893,GULFOILLUB
14,2023-12-08,EQ,675.2,684.95,656.0,675.2,663.7,663.0,671.92,709.8,398.5,83146,55867439.45,9092,GULFOILLUB
15,2023-12-07,EQ,685.5,689.5,669.65,678.65,674.35,675.2,682.15,709.8,398.5,155068,105780174.3,9778,GULFOILLUB
16,2023-12-06,EQ,689.85,693.25,672.75,683.05,680.95,678.65,680.64,709.8,398.5,90129,61345296.6,6927,GULFOILLUB
17,2023-12-05,EQ,693.0,696.5,676.5,685.35,682.05,683.05,685.66,709.8,398.5,108519,74407102.65,8800,GULFOILLUB
18,2023-12-04,EQ,697.95,704.0,683.5,688.6,686.45,685.35,694.4,709.8,398.5,151782,105397144.1,9804,GULFOILLUB
19,2023-12-01,EQ,694.0,704.7,683.15,696.5,698.0,688.6,695.55,709.8,398.5,174092,121089271.9,13060,GULFOILLUB
20,2023-11-30,EQ,688.75,709.8,683.15,691.45,694.0,696.5,697.22,709.8,398.5,263176,183490303.45,16410,GULFOILLUB
21,2023-11-29,EQ,694.8,698.8,680.5,684.0,688.0,691.45,690.99,698.8,398.5,374592,258839363.9,25157,GULFOILLUB
22,2023-11-28,EQ,649.5,689.0,646.85,634.15,686.9,684.0,673.47,689.0,398.5,1082231,728852556.95,43983,GULFOILLUB
23,2023-11-24,EQ,633.0,641.9,632.15,633.6,633.5,634.15,635.98,658.95,398.5,91122,57952177.95,7092,GULFOILLUB
24,2023-11-23,EQ,635.0,649.8,626.05,632.75,634.0,633.6,634.74,658.95,398.5,145468,92334523.15,9140,GULFOILLUB
25,2023-11-22,EQ,618.05,658.95,618.05,617.1,631.7,632.75,643.67,658.95,398.5,686671,441991996.65,38199,GULFOILLUB
26,2023-11-21,EQ,622.4,627.85,612.15,619.3,616.4,617.1,618.74,644.7,398.5,86994,53826573.95,5832,GULFOILLUB
27,2023-11-20,EQ,615.0,636.95,613.55,615.0,618.0,619.3,627.03,644.7,398.5,197472,123820656.75,12854,GULFOILLUB
28,2023-11-17,EQ,615.0,622.05,610.0,614.05,618.0,615.0,615.04,644.7,398.5,157569,96911584.0,8648,GULFOILLUB
29,2023-11-16,EQ,630.0,630.0,610.5,627.8,611.0,614.05,619.39,644.7,398.5,130146,80611206.05,8366,GULFOILLUB
30,2023-11-15,EQ,634.45,643.75,625.0,621.95,626.0,627.8,630.87,644.7,398.5,303099,191217367.15,15101,GULFOILLUB
31,2023-11-13,EQ,624.0,627.0,614.2,620.8,625.0,621.95,621.87,644.7,398.5,153854,95676575.1,10125,GULFOILLUB
32,2023-11-12,EQ,617.0,623.0,614.75,611.75,620.05,620.8,619.82,644.7,398.5,53195,32971383.1,2487,GULFOILLUB
33,2023-11-10,EQ,600.0,617.9,600.0,608.45,609.9,611.75,611.76,644.7,398.5,96233,58871682.85,6744,GULFOILLUB
34,2023-11-09,EQ,617.0,618.95,604.5,616.35,605.25,608.45,611.09,644.7,398.5,63599,38864466.3,4187,GULFOILLUB
35,2023-11-08,EQ,622.0,625.95,604.0,619.4,614.45,616.35,615.62,644.7,398.5,84607,52085812.35,6543,GULFOILLUB
36,2023-11-07,EQ,610.0,622.0,602.1,608.25,616.15,619.4,614.39,644.7,398.5,138270,84951671.8,7693,GULFOILLUB
37,2023-11-06,EQ,622.0,622.7,605.0,616.35,609.9,608.25,612.06,644.7,398.5,110410,67577590.5,7204,GULFOILLUB
38,2023-11-03,EQ,625.4,625.7,612.3,619.4,618.0,616.35,616.57,644.7,398.5,78792,48580939.7,5212,GULFOILLUB
39,2023-11-02,EQ,622.0,628.15,615.9,614.0,618.6,619.4,620.58,644.7,398.5,94483,58633938.05,5982,GULFOILLUB
40,2023-11-01,EQ,629.7,630.85,609.7,624.35,621.65,614.0,618.09,644.7,398.5,155457,96086526.8,11199,GULFOILLUB
41,2023-10-31,EQ,613.7,638.4,610.5,609.85,625.0,624.35,626.2,644.7,398.5,569654,356718669.2,22893,GULFOILLUB
42,2023-10-30,EQ,617.75,622.7,600.05,611.65,609.2,609.85,609.79,644.7,398.5,353183,215368717.05,19522,GULFOILLUB
43,2023-10-27,EQ,583.05,618.0,573.4,573.3,609.0,611.65,598.58,644.7,398.5,655155,392163054.55,27711,GULFOILLUB
44,2023-10-26,EQ,551.25,583.0,541.3,540.45,574.95,573.3,566.2,644.7,398.5,1020643,577892594.45,45645,GULFOILLUB
45,2023-10-25,EQ,555.0,557.85,530.05,539.3,543.0,540.45,543.21,644.7,398.5,48961,26596314.55,5432,GULFOILLUB
46,2023-10-23,EQ,567.3,570.1,534.35,567.3,535.0,539.3,550.61,644.7,398.5,57822,31837529.1,5593,GULFOILLUB
47,2023-10-20,EQ,571.9,575.0,561.9,567.05,565.05,567.3,567.99,644.7,398.5,37315,21194434.95,2806,GULFOILLUB
48,2023-10-19,EQ,562.55,570.65,554.7,560.35,566.15,567.05,564.46,644.7,398.5,30170,17029860.7,2796,GULFOILLUB
49,2023-10-18,EQ,581.75,581.75,557.7,578.85,560.4,560.35,566.77,644.7,398.5,53031,30056202.85,6014,GULFOILLUB
50,2023-10-17,EQ,579.3,585.0,573.25,576.45,579.0,578.85,580.07,644.7,398.5,59521,34526603.25,3895,GULFOILLUB
51,2023-10-16,EQ,570.0,581.95,569.05,567.8,577.0,576.45,576.67,644.7,398.5,110545,63748096.75,7640,GULFOILLUB
52,2023-10-13,EQ,550.1,572.0,549.0,550.1,570.0,567.8,563.52,644.7,398.5,156256,88053972.8,10678,GULFOILLUB
53,2023-10-12,EQ,541.4,556.4,541.4,544.35,551.5,550.1,549.16,644.7,398.5,38201,20978439.85,3748,GULFOILLUB
54,2023-10-11,EQ,528.0,546.0,528.0,525.35,542.0,544.35,538.85,644.7,398.5,55499,29905616.75,3767,GULFOILLUB
55,2023-10-10,EQ,526.0,529.95,522.05,525.55,526.8,525.35,526.68,644.7,398.5,32020,16864362.95,2703,GULFOILLUB
56,2023-10-09,EQ,531.1,541.4,522.35,550.2,523.0,525.55,531.03,644.7,398.5,57773,30679465.25,4125,GULFOILLUB
57,2023-10-06,EQ,552.55,554.65,545.3,549.8,550.5,550.2,548.96,644.7,398.5,28263,15515222.45,2532,GULFOILLUB
58,2023-10-05,EQ,539.65,558.0,535.3,537.7,550.0,549.8,546.82,644.7,398.5,63088,34497955.4,5543,GULFOILLUB
59,2023-10-04,EQ,534.65,546.35,530.1,533.45,535.0,537.7,539.67,644.7,398.5,48397,26118195.55,5250,GULFOILLUB
60,2023-10-03,EQ,531.0,539.65,531.0,530.55,532.55,533.45,535.05,644.7,398.5,25316,13545425.75,2876,GULFOILLUB
61,2023-09-29,EQ,529.1,542.7,526.3,527.7,530.0,530.55,533.92,644.7,398.5,72691,38810939.35,8840,GULFOILLUB
62,2023-09-28,EQ,530.8,532.95,522.4,527.5,527.05,527.7,527.67,644.7,398.5,42908,22641089.65,5053,GULFOILLUB
63,2023-09-27,EQ,534.2,537.3,526.1,531.5,527.0,527.5,528.91,644.7,398.5,32612,17248771.65,1990,GULFOILLUB
64,2023-09-26,EQ,527.0,541.0,527.0,528.0,534.95,531.5,534.63,644.7,398.5,35327,18886960.75,4637,GULFOILLUB
65,2023-09-25,EQ,535.1,539.05,526.0,534.8,527.9,528.0,529.98,644.7,398.5,52270,27702239.4,3639,GULFOILLUB
66,2023-09-22,EQ,541.6,543.3,526.5,541.6,534.5,534.8,533.56,644.7,398.5,62152,33161897.95,4928,GULFOILLUB
67,2023-09-21,EQ,545.0,550.9,540.4,548.25,543.6,541.6,544.65,644.7,398.5,23767,12944583.75,1837,GULFOILLUB
68,2023-09-20,EQ,562.0,562.0,545.0,559.65,546.05,548.25,550.47,644.7,398.5,39218,21588262.5,3077,GULFOILLUB
69,2023-09-18,EQ,551.75,561.0,549.8,551.75,558.0,559.65,558.37,644.7,398.5,69621,38874055.5,3712,GULFOILLUB
70,2023-09-15,EQ,559.1,561.6,550.05,559.05,550.05,551.75,553.77,644.7,398.5,54284,30060984.9,3303,GULFOILLUB
71,2023-09-14,EQ,555.85,560.4,555.85,555.45,558.3,559.05,558.87,644.7,398.5,37380,20890619.65,2169,GULFOILLUB
72,2023-09-13,EQ,546.3,561.0,544.0,545.25,554.3,555.45,552.59,644.7,398.5,61459,33961579.0,3623,GULFOILLUB
73,2023-09-12,EQ,569.95,569.95,542.25,564.8,545.0,545.25,550.43,644.7,398.5,123943,68221576.3,5175,GULFOILLUB
74,2023-09-11,EQ,572.7,578.0,564.0,569.95,564.95,564.8,568.26,644.7,398.5,59999,34094785.15,4311,GULFOILLUB
