,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-09-29,EQ,450.0,450.0,432.85,441.75,440.95,442.65,442.78,450.0,98.55,221438,98048784.35,5057,GET&D
1,2023-09-28,EQ,448.95,450.0,423.0,431.1,437.0,441.75,439.72,450.0,98.55,240414,105715067.1,6290,GET&D
2,2023-09-27,EQ,425.0,431.1,412.0,410.6,431.1,431.1,429.09,431.1,98.55,341301,146448914.0,3509,GET&D
3,2023-09-26,EQ,391.05,410.6,386.0,391.05,410.6,410.6,404.01,417.0,98.55,83697,33814361.85,2506,GET&D
4,2023-09-25,EQ,402.05,408.55,382.15,401.85,390.0,391.05,395.44,417.0,98.55,119238,47151827.55,3211,GET&D
5,2023-09-22,EQ,394.0,408.5,372.0,389.85,402.0,401.85,394.88,417.0,98.55,113388,44774669.15,3458,GET&D
6,2023-09-21,EQ,415.3,415.3,389.8,410.3,389.8,389.85,392.3,417.0,98.55,138900,54490092.85,2497,GET&D
7,2023-09-20,EQ,403.0,417.0,385.15,397.15,410.55,410.3,410.11,417.0,98.55,471590,193402083.65,8277,GET&D
8,2023-09-18,EQ,397.15,397.15,385.0,378.25,397.15,397.15,396.72,397.15,98.55,116008,46022885.65,866,GET&D
9,2023-09-15,EQ,363.35,378.25,363.35,360.25,378.25,378.25,374.77,378.25,98.55,119926,44944646.15,2098,GET&D
10,2023-09-14,EQ,351.0,362.2,343.85,346.25,361.9,360.25,356.36,368.75,98.55,238225,84894464.95,5427,GET&D
11,2023-09-13,EQ,328.1,352.85,326.2,336.05,345.1,346.25,346.97,368.75,98.55,364163,126355038.65,3904,GET&D
12,2023-09-12,EQ,336.1,345.25,324.7,341.75,337.0,336.05,334.77,368.75,98.55,126327,42289919.45,3777,GET&D
13,2023-09-11,EQ,349.9,349.9,331.55,344.7,342.0,341.75,339.99,368.75,98.55,65701,22337826.05,2694,GET&D
14,2023-09-08,EQ,339.0,346.9,325.25,333.6,345.0,344.7,340.98,368.75,98.55,173572,59183734.7,3921,GET&D
15,2023-09-07,EQ,320.25,335.8,315.0,324.25,335.0,333.6,329.75,368.75,98.55,208317,68693191.25,6673,GET&D
16,2023-09-06,EQ,331.0,333.0,315.0,325.0,325.0,324.25,323.38,368.75,98.55,97260,31452061.3,3003,GET&D
17,2023-09-05,EQ,325.05,339.55,320.7,323.4,324.25,325.0,330.28,368.75,98.55,331753,109572052.3,5670,GET&D
18,2023-09-04,EQ,308.15,325.9,305.0,316.1,322.95,323.4,315.11,368.75,98.55,164944,51976002.7,6132,GET&D
19,2023-09-01,EQ,322.8,326.85,314.2,330.7,314.2,316.1,319.48,368.75,98.55,180187,57566897.05,8729,GET&D
20,2023-08-31,EQ,318.95,333.4,306.7,317.55,317.0,330.7,330.84,368.75,98.55,795107,263050769.7,10150,GET&D
21,2023-08-30,EQ,320.2,329.7,312.75,329.2,320.0,317.55,316.7,368.75,98.55,400989,126994618.7,8671,GET&D
22,2023-08-29,EQ,349.0,362.0,329.2,346.5,329.2,329.2,345.68,368.75,98.55,328056,113400960.4,10063,GET&D
23,2023-08-28,EQ,351.0,368.75,342.5,351.2,346.45,346.5,361.23,368.75,98.55,395806,142976126.65,8316,GET&D
24,2023-08-25,EQ,346.55,367.75,346.0,350.25,352.25,351.2,359.1,368.7,98.55,162368,58306663.95,6330,GET&D
25,2023-08-24,EQ,349.2,355.05,345.3,344.1,349.0,350.25,351.8,368.7,98.55,77515,27269802.25,5536,GET&D
26,2023-08-23,EQ,349.8,364.0,342.0,346.7,344.7,344.1,352.54,368.7,90.35,110101,38815549.0,4869,GET&D
27,2023-08-22,EQ,352.95,354.95,339.0,344.75,347.0,346.7,348.27,368.7,90.35,157753,54941153.75,4163,GET&D
28,2023-08-21,EQ,357.8,368.7,340.3,351.15,342.0,344.75,358.09,368.7,88.0,251431,90033958.15,7933,GET&D
