,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,2807.9,2830.0,2784.0,2805.8,2805.0,2804.0,2805.72,4170.0,1767.8,765894,2148884429.7,49995,HAL
1,2023-12-28,EQ,2812.5,2827.0,2796.05,2808.2,2803.95,2805.8,2810.04,4170.0,1767.8,1003223,2819095301.4,56866,HAL
2,2023-12-27,EQ,2832.95,2836.95,2788.0,2820.65,2805.0,2808.2,2814.73,4170.0,1767.8,1156573,3255435615.65,72793,HAL
3,2023-12-26,EQ,2710.0,2829.95,2701.25,2703.7,2816.0,2820.65,2784.24,4170.0,1767.8,2160870,6016372730.9,91218,HAL
4,2023-12-22,EQ,2723.0,2727.0,2677.6,2706.5,2702.25,2703.7,2705.07,4170.0,1767.8,1000294,2705860505.25,59854,HAL
5,2023-12-21,EQ,2639.0,2737.95,2585.0,2665.9,2718.0,2706.5,2684.88,4170.0,1767.8,2206814,5925022978.2,107370,HAL
6,2023-12-20,EQ,2797.95,2819.95,2651.0,2787.45,2666.0,2665.9,2732.75,4170.0,1767.8,1947471,5321952618.1,113041,HAL
7,2023-12-19,EQ,2819.95,2824.4,2776.75,2813.1,2791.0,2787.45,2794.22,4170.0,1767.8,1272030,3554326601.15,87509,HAL
8,2023-12-18,EQ,2760.0,2849.75,2752.25,2761.8,2810.0,2813.1,2811.78,4170.0,1767.8,2920105,8210680537.75,127443,HAL
9,2023-12-15,EQ,2785.85,2792.75,2716.1,2773.0,2762.0,2761.8,2755.29,4170.0,1767.8,1430382,3941114214.95,73075,HAL
10,2023-12-14,EQ,2785.0,2813.55,2765.15,2770.0,2771.0,2773.0,2782.33,4170.0,1767.8,1193987,3322069835.45,61971,HAL
11,2023-12-13,EQ,2749.0,2778.0,2736.55,2739.9,2777.0,2770.0,2759.98,4170.0,1767.8,1438726,3970860122.1,72262,HAL
12,2023-12-12,EQ,2805.15,2820.25,2715.3,2791.75,2746.5,2739.9,2753.94,4170.0,1767.8,2393861,6592561523.4,130564,HAL
13,2023-12-11,EQ,2739.95,2813.0,2722.35,2733.65,2794.0,2791.75,2781.92,4170.0,1767.8,2624284,7300552124.75,134556,HAL
14,2023-12-08,EQ,2700.0,2783.2,2690.05,2689.75,2738.0,2733.65,2734.21,4170.0,1767.8,2833575,7747583654.3,141740,HAL
15,2023-12-07,EQ,2730.0,2741.7,2661.15,2714.6,2685.05,2689.75,2685.0,4170.0,1767.8,2607706,7001678319.5,128841,HAL
16,2023-12-06,EQ,2559.0,2754.15,2556.55,2552.95,2726.0,2714.6,2687.55,4170.0,1767.8,6078296,16335752101.65,277572,HAL
17,2023-12-05,EQ,2519.4,2573.0,2505.2,2519.4,2556.0,2552.95,2544.98,4170.0,1767.8,1840576,4684237869.8,95705,HAL
18,2023-12-04,EQ,2534.0,2534.5,2473.0,2462.25,2524.9,2519.4,2506.38,4170.0,1767.8,2351668,5894169618.0,121456,HAL
19,2023-12-01,EQ,2495.0,2500.0,2437.15,2379.8,2461.0,2462.25,2467.27,4170.0,1767.8,4012398,9899688797.4,176998,HAL
20,2023-11-30,EQ,2369.9,2444.0,2307.0,2343.4,2371.9,2379.8,2377.01,4170.0,1767.8,7273415,17288959539.4,184583,HAL
21,2023-11-29,EQ,2332.0,2356.05,2300.65,2287.0,2347.0,2343.4,2327.83,4170.0,1767.8,2349730,5469782399.05,101655,HAL
22,2023-11-28,EQ,2309.0,2334.35,2266.0,2240.3,2288.5,2287.0,2297.52,4170.0,1767.8,3488568,8015065528.0,160043,HAL
23,2023-11-24,EQ,2154.9,2251.0,2145.75,2146.25,2249.7,2240.3,2214.32,4170.0,1767.8,2909879,6443393369.75,119006,HAL
24,2023-11-23,EQ,2116.95,2159.0,2107.65,2112.1,2150.0,2146.25,2141.38,4170.0,1767.8,1259937,2698009843.05,53116,HAL
25,2023-11-22,EQ,2144.95,2152.1,2088.95,2144.3,2114.1,2112.1,2115.29,4170.0,1767.8,1014171,2145263063.9,67851,HAL
26,2023-11-21,EQ,2154.0,2161.95,2135.0,2146.6,2145.0,2144.3,2150.87,4170.0,1767.8,832725,1791083520.25,48870,HAL
27,2023-11-20,EQ,2137.3,2167.0,2116.0,2126.0,2154.0,2146.6,2146.11,4170.0,1767.8,1452454,3117129948.9,80396,HAL
28,2023-11-17,EQ,2120.1,2148.9,2115.75,2114.3,2122.45,2126.0,2133.75,4170.0,1767.8,1087862,2321224818.85,59723,HAL
29,2023-11-16,EQ,2092.85,2155.0,2085.0,2091.0,2118.0,2114.3,2124.91,4170.0,1767.8,2450457,5206989912.8,114921,HAL
30,2023-11-15,EQ,2066.05,2105.0,2040.55,2060.35,2090.0,2091.0,2073.2,4170.0,1767.8,1634396,3388431705.45,96763,HAL
31,2023-11-13,EQ,2072.0,2075.0,2041.8,2073.65,2059.75,2060.35,2059.86,4170.0,1767.8,1183911,2438692829.7,81618,HAL
32,2023-11-12,EQ,2088.0,2092.0,2045.0,2058.9,2075.5,2073.65,2077.54,4170.0,1767.8,435980,905766618.45,29843,HAL
33,2023-11-10,EQ,2041.65,2110.95,1995.0,2030.8,2056.0,2058.9,2063.71,4170.0,1767.8,4755794,9814592816.3,199569,HAL
34,2023-11-09,EQ,2045.0,2049.75,2026.0,2044.55,2031.0,2030.8,2035.45,4170.0,1767.8,679939,1383978990.8,49137,HAL
35,2023-11-08,EQ,2026.95,2048.0,2008.75,2017.15,2038.0,2044.55,2031.05,4170.0,1767.8,1748876,3552055988.75,76919,HAL
36,2023-11-07,EQ,1939.95,2023.0,1930.0,1934.75,2019.0,2017.15,1997.81,4170.0,1767.8,2897381,5788420541.35,125065,HAL
37,2023-11-06,EQ,1910.0,1938.0,1908.0,1901.75,1930.5,1934.75,1925.69,4170.0,1767.8,975588,1878683050.7,48366,HAL
38,2023-11-03,EQ,1865.75,1904.9,1857.0,1855.45,1900.2,1901.75,1886.29,4170.0,1767.8,1032482,1947557139.45,46120,HAL
39,2023-11-02,EQ,1835.0,1858.3,1823.0,1822.7,1855.7,1855.45,1841.94,4170.0,1767.8,728430,1341720897.9,60516,HAL
40,2023-11-01,EQ,1828.85,1831.75,1819.0,1823.05,1824.9,1822.7,1824.63,4170.0,1767.8,575637,1050325466.1,48688,HAL
41,2023-10-31,EQ,1836.0,1848.0,1818.65,1834.6,1825.0,1823.05,1828.87,4170.0,1767.8,691198,1264110044.7,38302,HAL
42,2023-10-30,EQ,1870.0,1870.0,1830.05,1854.4,1836.5,1834.6,1839.73,4170.0,1767.8,796456,1465260316.35,50864,HAL
43,2023-10-27,EQ,1829.95,1861.65,1825.65,1819.45,1854.5,1854.4,1847.88,4170.0,1767.8,1140613,2107718958.0,72319,HAL
44,2023-10-26,EQ,1795.0,1831.85,1767.8,1809.85,1822.0,1819.45,1792.55,4170.0,1767.8,1478145,2649648792.3,100016,HAL
45,2023-10-25,EQ,1845.0,1872.2,1782.55,1845.3,1817.8,1809.85,1822.1,4170.0,1782.55,1625270,2961398068.5,119847,HAL
46,2023-10-23,EQ,1912.7,1917.8,1841.1,1912.7,1849.0,1845.3,1873.41,4170.0,1841.1,1149806,2154055733.75,83127,HAL
47,2023-10-20,EQ,1945.9,1954.55,1905.05,1953.9,1911.05,1912.7,1924.29,4170.0,1885.0,771497,1484581094.75,50827,HAL
48,2023-10-19,EQ,1957.0,1965.5,1946.1,1962.65,1953.0,1953.9,1954.27,4170.0,1885.0,437558,855104378.75,27311,HAL
