,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,1373.0,1383.85,1361.6,1366.55,1367.75,1367.95,1372.04,1465.85,1089.7,551096,756123600.4,31931,HAVELLS
1,2023-12-28,EQ,1368.75,1378.5,1363.0,1361.55,1367.4,1366.55,1369.12,1465.85,1089.7,602887,825425756.6,31306,HAVELLS
2,2023-12-27,EQ,1361.1,1379.95,1352.95,1361.8,1359.0,1361.55,1363.86,1465.85,1089.7,570198,777669526.95,38718,HAVELLS
3,2023-12-26,EQ,1349.0,1364.65,1349.0,1351.8,1361.6,1361.8,1360.42,1465.85,1089.7,376595,512325961.4,34142,HAVELLS
4,2023-12-22,EQ,1345.0,1355.95,1338.1,1341.1,1350.95,1351.8,1349.06,1465.85,1024.5,592159,798856283.5,24362,HAVELLS
5,2023-12-21,EQ,1331.3,1351.75,1312.55,1335.6,1340.0,1341.1,1336.35,1465.85,1024.5,671157,896898205.4,35861,HAVELLS
6,2023-12-20,EQ,1380.0,1395.0,1328.95,1372.4,1331.3,1335.6,1364.12,1465.85,1024.5,1453036,1982119342.0,77291,HAVELLS
7,2023-12-19,EQ,1346.0,1375.0,1332.2,1345.85,1372.9,1372.4,1360.25,1465.85,1024.5,889643,1210134083.5,41415,HAVELLS
8,2023-12-18,EQ,1330.3,1355.85,1324.5,1332.4,1347.0,1345.85,1344.33,1465.85,1024.5,488264,656388513.95,22610,HAVELLS
9,2023-12-15,EQ,1335.15,1344.95,1327.05,1333.65,1328.4,1332.4,1334.91,1465.85,1024.5,526573,702925502.2,24344,HAVELLS
10,2023-12-14,EQ,1336.85,1337.7,1327.35,1327.3,1337.0,1333.65,1332.84,1465.85,1024.5,400039,533186887.8,32542,HAVELLS
11,2023-12-13,EQ,1342.1,1342.1,1310.5,1341.6,1326.1,1327.3,1321.19,1465.85,1024.5,643534,850229699.2,31942,HAVELLS
12,2023-12-12,EQ,1346.0,1363.7,1329.15,1345.0,1337.9,1341.6,1345.65,1465.85,1024.5,895136,1204543605.1,45280,HAVELLS
13,2023-12-11,EQ,1348.0,1348.7,1338.3,1343.0,1340.3,1345.0,1343.57,1465.85,1024.5,495744,666068999.35,22802,HAVELLS
14,2023-12-08,EQ,1357.0,1357.0,1332.0,1349.5,1343.0,1343.0,1342.82,1465.85,1024.5,514463,690832107.4,24027,HAVELLS
15,2023-12-07,EQ,1330.0,1351.15,1315.45,1324.45,1349.7,1349.5,1340.69,1465.85,1024.5,614481,823827874.65,38240,HAVELLS
16,2023-12-06,EQ,1320.1,1339.9,1320.1,1317.55,1322.15,1324.45,1330.72,1465.85,1024.5,658995,876939892.05,30952,HAVELLS
17,2023-12-05,EQ,1313.85,1321.0,1305.0,1313.7,1318.0,1317.55,1314.84,1465.85,1024.5,389012,511487927.2,26928,HAVELLS
18,2023-12-04,EQ,1321.0,1324.9,1308.6,1312.45,1314.9,1313.7,1314.42,1465.85,1024.5,574357,754949147.95,38624,HAVELLS
19,2023-12-01,EQ,1315.0,1320.0,1306.0,1302.65,1311.0,1312.45,1312.47,1465.85,1024.5,406906,534051399.95,34198,HAVELLS
20,2023-11-30,EQ,1292.7,1308.1,1282.3,1288.05,1305.0,1302.65,1298.73,1465.85,1024.5,1003617,1303430182.9,30457,HAVELLS
21,2023-11-29,EQ,1293.9,1295.15,1284.2,1281.25,1290.7,1288.05,1289.88,1465.85,1024.5,568761,733634359.25,30744,HAVELLS
22,2023-11-28,EQ,1294.3,1294.35,1278.0,1294.3,1281.9,1281.25,1285.9,1465.85,1024.5,446363,573978014.05,37620,HAVELLS
23,2023-11-24,EQ,1304.95,1305.1,1285.7,1301.45,1291.1,1294.3,1294.85,1465.85,1024.5,471600,610649021.2,22808,HAVELLS
24,2023-11-23,EQ,1309.8,1315.0,1297.05,1306.0,1301.1,1301.45,1304.08,1465.85,1024.5,243581,317649228.75,13008,HAVELLS
25,2023-11-22,EQ,1304.95,1309.6,1298.0,1298.9,1305.0,1306.0,1305.62,1465.85,1024.5,590510,770984349.35,25026,HAVELLS
26,2023-11-21,EQ,1280.2,1307.55,1275.75,1275.75,1298.0,1298.9,1296.45,1465.85,1024.5,919344,1191884543.05,34671,HAVELLS
27,2023-11-20,EQ,1284.7,1285.0,1273.0,1280.75,1277.0,1275.75,1277.2,1465.85,1024.5,338939,432893841.75,19556,HAVELLS
28,2023-11-17,EQ,1279.95,1286.45,1271.3,1279.15,1280.3,1280.75,1279.55,1465.85,1024.5,487287,623506366.3,26745,HAVELLS
29,2023-11-16,EQ,1269.0,1282.7,1262.05,1262.05,1275.05,1279.15,1275.46,1465.85,1024.5,598909,763882475.8,20301,HAVELLS
30,2023-11-15,EQ,1261.0,1270.0,1253.7,1250.7,1267.05,1262.05,1263.08,1465.85,1024.5,553895,699611967.15,30313,HAVELLS
31,2023-11-13,EQ,1262.0,1263.6,1244.0,1263.3,1252.5,1250.7,1252.53,1465.85,1024.5,472505,591828950.4,18771,HAVELLS
32,2023-11-12,EQ,1265.05,1267.95,1256.4,1257.4,1264.4,1263.3,1263.54,1465.85,1024.5,53621,67752413.4,3523,HAVELLS
33,2023-11-10,EQ,1255.0,1262.0,1244.3,1253.15,1256.65,1257.4,1255.21,1465.85,1024.5,372182,467167390.7,19814,HAVELLS
34,2023-11-09,EQ,1259.85,1260.25,1247.0,1252.05,1256.0,1253.15,1253.09,1465.85,1024.5,412408,516785731.0,19590,HAVELLS
35,2023-11-08,EQ,1257.95,1263.15,1249.15,1253.0,1255.25,1252.05,1255.08,1465.85,1024.5,968745,1215856763.6,33711,HAVELLS
36,2023-11-07,EQ,1265.0,1265.0,1245.05,1262.5,1255.0,1253.0,1252.73,1465.85,1024.5,578997,725329409.3,26151,HAVELLS
37,2023-11-06,EQ,1263.5,1270.0,1252.75,1271.0,1265.1,1262.5,1260.84,1465.85,1024.5,1593562,2009229928.15,46600,HAVELLS
38,2023-11-03,EQ,1277.0,1277.0,1266.0,1266.0,1270.1,1271.0,1271.16,1465.85,1024.5,422147,536617126.9,24742,HAVELLS
39,2023-11-02,EQ,1250.0,1268.6,1242.0,1240.75,1267.05,1266.0,1256.73,1465.85,1024.5,674945,848223074.65,27529,HAVELLS
40,2023-11-01,EQ,1250.15,1254.4,1232.85,1246.15,1242.0,1240.75,1245.5,1465.85,1024.5,778047,969053987.55,44143,HAVELLS
41,2023-10-31,EQ,1278.1,1279.65,1243.7,1269.05,1249.0,1246.15,1253.15,1465.85,1024.5,1191513,1493144226.8,41456,HAVELLS
42,2023-10-30,EQ,1261.9,1272.7,1249.55,1259.9,1272.45,1269.05,1263.88,1465.85,1024.5,497634,628947359.15,26113,HAVELLS
43,2023-10-27,EQ,1271.2,1282.7,1256.95,1266.9,1261.0,1259.9,1265.01,1465.85,1024.5,567880,718373275.45,26928,HAVELLS
44,2023-10-26,EQ,1266.0,1273.25,1240.25,1267.15,1270.95,1266.9,1258.02,1465.85,1024.5,758444,954136204.6,41459,HAVELLS
45,2023-10-25,EQ,1287.35,1301.25,1262.6,1284.8,1269.0,1267.15,1277.99,1465.85,1024.5,1025370,1310412745.25,41918,HAVELLS
46,2023-10-23,EQ,1292.0,1300.0,1277.6,1292.95,1283.0,1284.8,1288.57,1465.85,1024.5,1347306,1736099892.85,42906,HAVELLS
47,2023-10-20,EQ,1330.0,1375.0,1290.0,1362.7,1292.45,1292.95,1318.52,1465.85,1024.5,3033731,4000035540.5,134328,HAVELLS
48,2023-10-19,EQ,1338.0,1379.6,1331.7,1340.35,1352.0,1362.7,1360.96,1465.85,1024.5,1898484,2583754038.95,58206,HAVELLS
49,2023-10-18,EQ,1384.0,1384.0,1335.5,1384.05,1338.65,1340.35,1350.22,1465.85,1024.5,1969647,2659465434.75,65889,HAVELLS
50,2023-10-17,EQ,1420.0,1424.85,1379.0,1414.25,1382.5,1384.05,1397.98,1465.85,1024.5,1019606,1425384367.8,49202,HAVELLS
51,2023-10-16,EQ,1391.0,1420.0,1384.95,1391.0,1414.0,1414.25,1407.24,1465.85,1024.5,622342,875781542.55,24098,HAVELLS
52,2023-10-13,EQ,1387.0,1400.0,1379.85,1388.1,1390.25,1391.0,1392.41,1465.85,1024.5,290082,403914523.85,15783,HAVELLS
53,2023-10-12,EQ,1400.0,1400.1,1384.65,1390.95,1390.5,1388.1,1389.7,1465.85,1024.5,386010,536438599.25,20059,HAVELLS
54,2023-10-11,EQ,1402.95,1419.6,1386.05,1399.4,1388.15,1390.95,1398.76,1465.85,1024.5,502182,702432234.1,25442,HAVELLS
55,2023-10-10,EQ,1390.95,1406.0,1386.3,1384.55,1396.7,1399.4,1398.93,1465.85,1024.5,563800,788715070.0,23905,HAVELLS
56,2023-10-09,EQ,1390.4,1397.9,1380.0,1399.45,1385.0,1384.55,1389.07,1465.85,1024.5,370048,514023195.75,29146,HAVELLS
57,2023-10-06,EQ,1414.3,1419.0,1395.0,1411.35,1398.4,1399.45,1403.49,1465.85,1024.5,313649,440202308.5,26035,HAVELLS
58,2023-10-05,EQ,1397.95,1425.0,1393.0,1393.6,1412.0,1411.35,1413.01,1465.85,1024.5,539631,762502345.2,27484,HAVELLS
59,2023-10-04,EQ,1386.05,1409.4,1375.0,1387.7,1389.7,1393.6,1392.09,1465.85,1024.5,678164,944065117.9,43037,HAVELLS
60,2023-10-03,EQ,1385.0,1401.65,1369.0,1388.95,1387.3,1387.7,1388.96,1465.85,1024.5,755516,1049381212.15,41476,HAVELLS
61,2023-09-29,EQ,1375.15,1395.65,1375.15,1375.15,1385.65,1388.95,1388.78,1465.85,1024.5,389818,541370418.55,31626,HAVELLS
62,2023-09-28,EQ,1410.8,1416.6,1368.05,1406.65,1380.0,1375.15,1384.3,1465.85,1024.5,1016134,1406635848.0,44606,HAVELLS
63,2023-09-27,EQ,1394.05,1409.95,1388.0,1399.8,1409.3,1406.65,1396.31,1465.85,1024.5,346769,484195829.25,14861,HAVELLS
64,2023-09-26,EQ,1396.8,1409.85,1395.3,1396.8,1403.8,1399.8,1401.96,1465.85,1024.5,322754,452489148.6,17911,HAVELLS
65,2023-09-25,EQ,1390.0,1414.1,1377.5,1392.6,1396.25,1396.8,1400.31,1465.85,1024.5,466853,653737603.65,21188,HAVELLS
66,2023-09-22,EQ,1411.45,1417.85,1388.35,1413.35,1392.0,1392.6,1396.61,1465.85,1024.5,350916,490093498.4,22637,HAVELLS
67,2023-09-21,EQ,1413.75,1420.0,1397.4,1413.2,1412.05,1413.35,1409.28,1465.85,1024.5,406806,573304534.6,22310,HAVELLS
68,2023-09-20,EQ,1425.0,1427.7,1403.75,1425.9,1413.75,1413.2,1415.14,1465.85,1024.5,524300,741960473.3,20967,HAVELLS
69,2023-09-18,EQ,1435.0,1440.8,1415.05,1431.05,1425.25,1425.9,1428.54,1465.85,1024.5,824119,1177284330.0,28426,HAVELLS
