,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,1473.95,1481.85,1457.55,1472.45,1468.0,1466.1,1466.79,1509.9,1016.25,1481617,2173224444.55,135316,HCLTECH
1,2023-12-28,EQ,1470.6,1482.7,1468.45,1472.05,1472.0,1472.45,1474.24,1509.9,1016.25,1928616,2843234182.15,112734,HCLTECH
2,2023-12-27,EQ,1465.45,1476.0,1457.55,1458.15,1470.0,1472.05,1468.79,1509.9,1016.25,1402329,2059720063.55,93058,HCLTECH
3,2023-12-26,EQ,1462.7,1467.35,1442.15,1462.7,1459.9,1458.15,1457.91,1509.9,1016.25,1363265,1987524001.7,95516,HCLTECH
4,2023-12-22,EQ,1431.0,1467.35,1423.0,1422.05,1459.2,1462.7,1444.47,1509.9,1011.5,2303438,3327243757.3,135386,HCLTECH
5,2023-12-21,EQ,1421.15,1447.05,1420.1,1439.95,1424.0,1422.05,1430.37,1509.9,1011.5,2841508,4064405014.5,133478,HCLTECH
6,2023-12-20,EQ,1485.0,1503.05,1435.0,1488.3,1437.95,1439.95,1470.95,1509.9,1011.5,4368383,6425677292.85,154976,HCLTECH
7,2023-12-19,EQ,1501.5,1504.65,1477.7,1504.3,1487.0,1488.3,1486.42,1509.9,1011.5,2590417,3850436795.45,158494,HCLTECH
8,2023-12-18,EQ,1489.85,1509.9,1481.0,1491.3,1503.05,1504.3,1500.49,1509.9,1011.5,3075527,4614798520.85,121001,HCLTECH
9,2023-12-15,EQ,1422.0,1497.0,1422.0,1414.6,1493.65,1491.3,1470.71,1497.0,1011.5,7374290,10845426561.75,300988,HCLTECH
10,2023-12-14,EQ,1391.0,1419.25,1382.0,1369.2,1413.5,1414.6,1411.44,1419.25,1011.5,5145574,7262686279.25,272921,HCLTECH
11,2023-12-13,EQ,1379.35,1382.8,1357.05,1375.3,1367.15,1369.2,1366.11,1387.0,1011.5,1896931,2591410834.05,179469,HCLTECH
12,2023-12-12,EQ,1377.0,1387.0,1370.0,1375.3,1372.0,1375.3,1379.93,1387.0,1011.5,2730422,3767783992.2,158776,HCLTECH
13,2023-12-11,EQ,1370.1,1383.0,1366.05,1364.1,1374.5,1375.3,1374.5,1383.0,1011.5,2824656,3882485251.65,149396,HCLTECH
14,2023-12-08,EQ,1333.0,1369.95,1329.0,1328.0,1365.9,1364.1,1356.8,1369.95,1011.5,4509751,6118808045.65,216667,HCLTECH
15,2023-12-07,EQ,1331.0,1337.0,1325.35,1329.55,1329.0,1328.0,1330.85,1350.0,1011.5,1985003,2641750209.6,164472,HCLTECH
16,2023-12-06,EQ,1325.0,1339.95,1319.55,1317.55,1329.0,1329.55,1327.03,1350.0,1011.5,2077245,2756566969.7,108479,HCLTECH
17,2023-12-05,EQ,1347.0,1347.0,1308.3,1337.95,1319.7,1317.55,1315.92,1350.0,1011.5,3932040,5174243989.8,155978,HCLTECH
18,2023-12-04,EQ,1350.0,1350.0,1331.0,1336.7,1335.0,1337.95,1338.79,1350.0,1011.5,1547057,2071180347.25,127005,HCLTECH
19,2023-12-01,EQ,1346.0,1349.0,1328.0,1340.9,1339.0,1336.7,1335.66,1349.0,1011.5,1854324,2476738543.6,146939,HCLTECH
20,2023-11-30,EQ,1337.0,1346.8,1329.7,1333.95,1340.0,1340.9,1338.5,1346.8,1011.5,4104385,5493721502.6,157597,HCLTECH
21,2023-11-29,EQ,1324.0,1338.8,1321.5,1316.65,1330.2,1333.95,1333.8,1338.8,1011.5,1835524,2448225586.45,131138,HCLTECH
22,2023-11-28,EQ,1309.15,1319.9,1295.3,1309.15,1319.9,1316.65,1306.17,1336.0,1011.5,2152951,2812111385.4,132967,HCLTECH
23,2023-11-24,EQ,1328.9,1332.65,1305.65,1329.0,1308.4,1309.15,1312.56,1336.0,1011.5,1795933,2357272781.35,81099,HCLTECH
24,2023-11-23,EQ,1333.95,1335.25,1325.7,1329.7,1328.1,1329.0,1330.21,1336.0,1011.5,1307344,1739038326.1,112663,HCLTECH
25,2023-11-22,EQ,1326.6,1335.75,1320.4,1326.6,1330.0,1329.7,1328.05,1336.0,1011.5,1535630,2039390224.1,93354,HCLTECH
26,2023-11-21,EQ,1335.6,1336.0,1321.8,1325.4,1326.05,1326.6,1327.78,1336.0,1011.5,1514256,2010603670.6,98808,HCLTECH
27,2023-11-20,EQ,1314.95,1331.7,1314.0,1309.15,1322.85,1325.4,1325.34,1331.7,1011.5,2831858,3753171398.75,165908,HCLTECH
28,2023-11-17,EQ,1313.4,1325.75,1306.4,1311.05,1308.0,1309.15,1315.72,1325.75,1011.5,2882039,3791946118.05,145369,HCLTECH
29,2023-11-16,EQ,1283.8,1317.95,1278.0,1276.65,1313.0,1311.05,1300.47,1317.95,1011.5,3936945,5119867315.85,191509,HCLTECH
30,2023-11-15,EQ,1275.0,1283.0,1268.4,1261.0,1278.2,1276.65,1275.67,1311.3,1011.5,2410620,3075144612.8,152539,HCLTECH
31,2023-11-13,EQ,1260.0,1263.6,1253.3,1260.2,1261.0,1261.0,1257.67,1311.3,1011.5,730991,919345878.1,75634,HCLTECH
32,2023-11-12,EQ,1265.0,1265.45,1256.35,1255.45,1260.1,1260.2,1260.36,1311.3,1011.5,132650,167187230.75,10864,HCLTECH
33,2023-11-10,EQ,1262.3,1271.0,1250.65,1267.5,1256.0,1255.45,1256.56,1311.3,1011.5,1469902,1847016185.9,80555,HCLTECH
34,2023-11-09,EQ,1267.65,1275.8,1261.8,1267.65,1267.0,1267.5,1269.05,1311.3,1011.5,1483749,1882956322.45,92394,HCLTECH
35,2023-11-08,EQ,1280.0,1280.8,1265.9,1273.95,1267.5,1267.65,1271.91,1311.3,1011.5,937671,1192633390.65,57290,HCLTECH
36,2023-11-07,EQ,1269.0,1277.7,1267.1,1269.7,1275.0,1273.95,1272.87,1311.3,1011.5,1385282,1763283816.9,86178,HCLTECH
37,2023-11-06,EQ,1276.25,1279.5,1265.15,1266.25,1269.4,1269.7,1270.01,1311.3,1011.5,1175823,1493304060.3,86769,HCLTECH
38,2023-11-03,EQ,1282.6,1287.3,1263.0,1273.4,1266.0,1266.25,1272.37,1311.3,1011.5,2052536,2611579530.4,116787,HCLTECH
39,2023-11-02,EQ,1266.0,1275.0,1265.0,1258.95,1273.5,1273.4,1271.47,1311.3,1011.5,1368604,1740136004.4,112504,HCLTECH
40,2023-11-01,EQ,1280.0,1285.95,1255.3,1276.0,1257.8,1258.95,1270.88,1311.3,1011.5,1572719,1998738737.0,104541,HCLTECH
41,2023-10-31,EQ,1272.0,1279.85,1256.7,1264.75,1275.5,1276.0,1272.06,1311.3,1011.5,2525870,3213053147.2,137978,HCLTECH
42,2023-10-30,EQ,1270.0,1274.8,1256.0,1268.7,1262.1,1264.75,1264.57,1311.3,1011.5,1158770,1465344795.8,94026,HCLTECH
43,2023-10-27,EQ,1237.0,1270.0,1233.45,1231.8,1267.5,1268.7,1258.1,1311.3,1011.5,2675348,3365845997.1,124996,HCLTECH
44,2023-10-26,EQ,1215.0,1238.2,1212.05,1229.0,1230.85,1231.8,1231.27,1311.3,1011.5,4617424,5685314389.85,274640,HCLTECH
45,2023-10-25,EQ,1231.2,1252.9,1225.3,1236.65,1230.0,1229.0,1236.54,1311.3,1011.5,1420065,1755965935.7,93077,HCLTECH
46,2023-10-23,EQ,1248.0,1260.5,1232.3,1258.6,1234.95,1236.65,1248.93,1311.3,1011.5,1646367,2056198621.1,95597,HCLTECH
47,2023-10-20,EQ,1252.0,1261.35,1245.45,1267.35,1257.0,1258.6,1255.92,1311.3,988.0,1625449,2041430193.2,113288,HCLTECH
48,2023-10-19,EQ,1266.8,1274.75,1264.9,1269.45,1265.7,1267.35,1269.73,1311.3,988.0,2279726,2894641255.5,129111,HCLTECH
49,2023-10-18,EQ,1278.0,1281.5,1267.4,1277.15,1271.35,1269.45,1275.0,1311.3,988.0,1743126,2222478701.6,111684,HCLTECH
50,2023-10-17,EQ,1278.9,1279.0,1271.0,1270.65,1276.7,1277.15,1276.34,1311.3,988.0,1687345,2153619351.9,84614,HCLTECH
51,2023-10-16,EQ,1263.0,1279.3,1260.3,1255.9,1272.0,1270.65,1271.83,1311.3,988.0,2527113,3214061610.45,114518,HCLTECH
52,2023-10-13,EQ,1211.0,1266.5,1208.55,1223.75,1257.0,1255.9,1250.82,1311.3,936.0,5740821,7180716441.15,182364,HCLTECH
53,2023-10-12,EQ,1245.0,1248.55,1215.15,1245.6,1223.4,1223.75,1228.1,1311.3,936.0,3921609,4816127996.75,167582,HCLTECH
