,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,3215.0,3225.0,3189.0,3213.95,3206.45,3205.0,3203.59,3290.45,1589.5,290086,929317824.5,15914,HDFCAMC
1,2023-12-28,EQ,3220.0,3234.9,3195.0,3214.4,3203.0,3213.95,3216.6,3290.45,1589.5,610253,1962941507.15,26789,HDFCAMC
2,2023-12-27,EQ,3229.0,3249.3,3202.25,3195.45,3213.6,3214.4,3225.93,3290.45,1589.5,362690,1170013642.75,31821,HDFCAMC
3,2023-12-26,EQ,3221.5,3290.45,3188.0,3221.5,3200.0,3195.45,3236.45,3290.45,1589.5,575586,1862857439.7,53639,HDFCAMC
4,2023-12-22,EQ,3175.0,3229.95,3140.15,3148.6,3216.05,3221.5,3202.19,3271.5,1589.5,414598,1327620689.0,36826,HDFCAMC
5,2023-12-21,EQ,3081.15,3157.6,3050.05,3116.6,3155.0,3148.6,3114.22,3271.5,1589.5,286846,893300903.55,29108,HDFCAMC
6,2023-12-20,EQ,3129.9,3271.5,3095.0,3122.05,3101.05,3116.6,3201.34,3271.5,1589.5,1167558,3737745513.4,69653,HDFCAMC
7,2023-12-19,EQ,3035.0,3132.2,3012.1,3027.85,3130.0,3122.05,3089.64,3132.2,1589.5,960984,2969094314.25,64227,HDFCAMC
8,2023-12-18,EQ,3025.0,3061.9,3018.1,3024.7,3039.95,3027.85,3038.39,3070.95,1589.5,475273,1444066765.1,28797,HDFCAMC
9,2023-12-15,EQ,3060.0,3070.95,3016.7,3049.55,3031.0,3024.7,3026.45,3070.95,1589.5,385459,1166573667.6,21557,HDFCAMC
10,2023-12-14,EQ,3031.45,3065.7,3031.45,3011.15,3047.05,3049.55,3049.3,3065.7,1589.5,388807,1185587982.55,31510,HDFCAMC
11,2023-12-13,EQ,3026.7,3029.7,2962.55,3016.85,3025.0,3011.15,2993.91,3048.95,1589.5,383583,1148414277.95,38027,HDFCAMC
12,2023-12-12,EQ,2989.0,3030.0,2980.25,2976.1,3020.0,3016.85,3014.45,3048.95,1589.5,504701,1521394083.3,56050,HDFCAMC
13,2023-12-11,EQ,2994.25,3010.0,2966.55,2987.05,2977.0,2976.1,2983.93,3048.95,1589.5,218395,651674891.7,17163,HDFCAMC
14,2023-12-08,EQ,2996.0,3012.7,2972.9,2996.0,2993.0,2987.05,2986.69,3048.95,1589.5,487269,1455322429.65,28655,HDFCAMC
15,2023-12-07,EQ,2992.15,3025.0,2978.65,2992.1,2992.0,2996.0,2997.9,3048.95,1589.5,604967,1813631915.1,24962,HDFCAMC
16,2023-12-06,EQ,3048.95,3048.95,2987.0,3029.65,2996.0,2992.1,3010.96,3048.95,1589.5,414913,1249284538.95,28621,HDFCAMC
17,2023-12-05,EQ,2950.0,3034.15,2931.25,2953.55,3029.0,3029.65,2993.57,3034.15,1589.5,635134,1901319445.85,65180,HDFCAMC
18,2023-12-04,EQ,2951.95,2993.5,2947.1,2928.05,2952.85,2953.55,2963.78,3000.2,1589.5,374158,1108921596.35,28494,HDFCAMC
19,2023-12-01,EQ,2989.9,2998.0,2924.65,2969.55,2934.0,2928.05,2949.68,3000.2,1589.5,248220,732168378.95,17103,HDFCAMC
20,2023-11-30,EQ,2938.05,3000.2,2915.5,2932.75,2949.0,2969.55,2953.98,3000.2,1589.5,1151667,3402001016.15,37320,HDFCAMC
21,2023-11-29,EQ,2904.95,2947.5,2882.2,2898.3,2925.9,2932.75,2920.52,2969.9,1589.5,264608,772791874.45,23091,HDFCAMC
22,2023-11-28,EQ,2850.0,2938.2,2848.0,2841.55,2898.1,2898.3,2900.94,2969.9,1589.5,565796,1641339640.05,50354,HDFCAMC
23,2023-11-24,EQ,2854.8,2895.0,2832.7,2853.75,2850.0,2841.55,2865.22,2969.9,1589.5,246146,705262589.35,18720,HDFCAMC
24,2023-11-23,EQ,2860.0,2884.6,2840.2,2853.7,2855.95,2853.75,2856.98,2969.9,1589.5,198545,567238848.95,20353,HDFCAMC
25,2023-11-22,EQ,2880.0,2903.0,2832.95,2878.7,2858.55,2853.7,2860.44,2969.9,1589.5,307647,880007260.0,24298,HDFCAMC
26,2023-11-21,EQ,2896.85,2918.0,2871.4,2878.65,2878.85,2878.7,2890.97,2969.9,1589.5,442892,1280386021.1,39805,HDFCAMC
27,2023-11-20,EQ,2903.95,2938.0,2871.85,2906.7,2883.55,2878.65,2895.81,2969.9,1589.5,340348,985582638.8,34313,HDFCAMC
28,2023-11-17,EQ,2806.7,2969.9,2791.0,2806.1,2905.0,2906.7,2912.03,2969.9,1589.5,1336903,3893103949.05,67034,HDFCAMC
29,2023-11-16,EQ,2757.0,2815.0,2757.0,2769.95,2808.0,2806.1,2798.17,2930.0,1589.5,244348,683727948.75,24118,HDFCAMC
30,2023-11-15,EQ,2792.95,2814.95,2766.55,2781.45,2768.9,2769.95,2782.72,2930.0,1589.5,310334,863573960.45,25595,HDFCAMC
31,2023-11-13,EQ,2777.3,2790.0,2738.95,2777.3,2780.0,2781.45,2771.75,2930.0,1589.5,420410,1165270279.1,40349,HDFCAMC
32,2023-11-12,EQ,2797.0,2797.0,2770.0,2769.85,2772.1,2777.3,2782.39,2930.0,1589.5,27456,76393247.3,2715,HDFCAMC
33,2023-11-10,EQ,2758.15,2787.95,2741.05,2762.5,2780.0,2769.85,2770.12,2930.0,1589.5,324625,899250984.9,24734,HDFCAMC
34,2023-11-09,EQ,2749.95,2765.55,2724.75,2745.95,2758.15,2762.5,2747.83,2930.0,1589.5,145524,399874731.2,11640,HDFCAMC
35,2023-11-08,EQ,2783.95,2789.55,2736.25,2775.8,2748.0,2745.95,2751.99,2930.0,1589.5,229826,632479409.75,13105,HDFCAMC
36,2023-11-07,EQ,2787.95,2789.9,2747.85,2767.9,2768.0,2775.8,2767.37,2930.0,1589.5,562515,1556689930.1,46473,HDFCAMC
37,2023-11-06,EQ,2770.0,2804.5,2758.45,2755.35,2767.5,2767.9,2776.73,2930.0,1589.5,514415,1428393213.0,30952,HDFCAMC
38,2023-11-03,EQ,2749.95,2766.25,2715.35,2730.25,2756.0,2755.35,2746.02,2930.0,1589.5,376253,1033199987.5,14176,HDFCAMC
39,2023-11-02,EQ,2742.0,2779.5,2725.75,2723.1,2731.0,2730.25,2743.6,2930.0,1589.5,436335,1197127359.6,22044,HDFCAMC
40,2023-11-01,EQ,2747.45,2777.0,2713.0,2734.0,2722.1,2723.1,2747.07,2930.0,1589.5,247313,679385121.9,18668,HDFCAMC
41,2023-10-31,EQ,2747.9,2769.0,2708.9,2707.8,2740.0,2734.0,2740.61,2930.0,1589.5,746578,2046078122.65,42460,HDFCAMC
