,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,304.6,307.2,301.0,303.55,303.8,303.3,304.15,377.45,135.15,483412,147030898.9,5583,HERITGFOOD
1,2023-12-28,EQ,302.4,307.8,301.0,300.4,304.45,303.55,304.19,377.45,135.15,728584,221630897.45,9279,HERITGFOOD
2,2023-12-27,EQ,309.4,314.9,298.0,303.4,299.95,300.4,306.94,377.45,135.15,3541157,1086928718.2,59332,HERITGFOOD
3,2023-12-26,EQ,271.4,305.9,271.0,270.45,304.4,303.4,294.49,377.45,135.15,7244313,2133346717.95,106367,HERITGFOOD
4,2023-12-22,EQ,270.0,277.5,267.6,266.05,269.75,270.45,272.8,380.0,135.15,1984541,541381896.9,42268,HERITGFOOD
5,2023-12-21,EQ,249.6,270.0,245.75,248.3,267.0,266.05,262.25,380.0,135.15,1828454,479515661.5,43150,HERITGFOOD
6,2023-12-20,EQ,263.3,269.4,243.0,246.95,250.9,248.3,259.92,380.0,135.15,4076956,1059675645.3,91495,HERITGFOOD
7,2023-12-19,EQ,239.9,248.55,239.85,239.25,247.0,246.95,245.34,380.0,135.15,922528,226330021.9,37791,HERITGFOOD
8,2023-12-18,EQ,237.25,244.0,236.6,236.5,239.0,239.25,240.74,380.0,135.15,548797,132120133.3,16621,HERITGFOOD
9,2023-12-15,EQ,237.3,240.1,235.85,237.3,236.1,236.5,237.49,380.0,135.15,329871,78340600.55,10649,HERITGFOOD
10,2023-12-14,EQ,238.3,241.25,236.05,236.15,237.55,237.3,238.76,380.0,135.15,234300,55942326.9,6660,HERITGFOOD
11,2023-12-13,EQ,238.15,239.05,235.1,237.3,236.5,236.15,236.91,380.0,135.15,194579,46097627.5,6960,HERITGFOOD
12,2023-12-12,EQ,243.05,243.65,236.5,238.9,237.6,237.3,239.89,380.0,135.15,470685,112914520.95,14767,HERITGFOOD
13,2023-12-11,EQ,235.4,239.7,233.9,234.45,239.7,238.9,236.43,380.0,135.15,213117,50386204.95,9419,HERITGFOOD
14,2023-12-08,EQ,237.3,238.45,232.25,235.55,234.0,234.45,235.0,380.0,135.15,206201,48456624.3,7061,HERITGFOOD
