,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,4176.0,4193.4,4111.55,4173.25,4146.0,4139.55,4153.37,4193.4,2246.0,383687,1593595655.95,35182,HEROMOTOCO
1,2023-12-28,EQ,4064.3,4189.0,4054.15,4064.3,4170.0,4173.25,4150.41,4189.0,2246.0,1714818,7117195739.1,108689,HEROMOTOCO
2,2023-12-27,EQ,4064.0,4096.95,4022.0,4067.45,4067.45,4064.3,4054.93,4096.95,2246.0,683058,2769751843.65,65234,HEROMOTOCO
3,2023-12-26,EQ,3949.95,4079.0,3935.1,3935.7,4040.0,4067.45,4045.03,4079.0,2246.0,1149831,4651102117.4,80885,HEROMOTOCO
4,2023-12-22,EQ,3870.0,3944.0,3850.15,3850.15,3934.85,3935.7,3909.92,3948.6,2246.0,573168,2241038280.1,59264,HEROMOTOCO
5,2023-12-21,EQ,3775.05,3867.9,3752.05,3815.5,3863.0,3850.15,3821.39,3948.6,2246.0,410786,1569775057.25,47215,HEROMOTOCO
6,2023-12-20,EQ,3854.45,3905.9,3788.75,3821.85,3795.8,3815.5,3852.31,3948.6,2246.0,595832,2295329136.85,51561,HEROMOTOCO
7,2023-12-19,EQ,3912.8,3914.8,3799.95,3889.75,3838.95,3821.85,3832.84,3948.6,2246.0,560186,2147105132.05,56278,HEROMOTOCO
8,2023-12-18,EQ,3900.0,3948.6,3884.35,3896.55,3890.0,3889.75,3911.16,3948.6,2246.0,725829,2838830285.15,42568,HEROMOTOCO
9,2023-12-15,EQ,3939.0,3940.0,3886.15,3883.65,3890.0,3896.55,3909.36,3940.0,2246.0,924599,3614594137.35,63049,HEROMOTOCO
10,2023-12-14,EQ,3878.0,3905.9,3838.5,3863.3,3887.0,3883.65,3873.34,3905.9,2246.0,1067427,4134509241.4,89268,HEROMOTOCO
11,2023-12-13,EQ,3740.0,3870.0,3734.8,3747.15,3855.0,3863.3,3827.43,3884.5,2246.0,1355603,5188477049.5,115031,HEROMOTOCO
12,2023-12-12,EQ,3728.0,3793.95,3715.25,3704.65,3738.2,3747.15,3759.58,3884.5,2246.0,598126,2248704917.45,55616,HEROMOTOCO
13,2023-12-11,EQ,3715.75,3728.65,3683.0,3715.75,3705.0,3704.65,3703.01,3884.5,2246.0,451738,1672790485.0,37753,HEROMOTOCO
14,2023-12-08,EQ,3788.0,3802.1,3692.4,3772.65,3717.5,3715.75,3727.38,3884.5,2246.0,779332,2904865185.65,55628,HEROMOTOCO
15,2023-12-07,EQ,3780.0,3811.95,3761.3,3761.05,3780.0,3772.65,3783.05,3884.5,2246.0,500651,1893986532.35,43927,HEROMOTOCO
16,2023-12-06,EQ,3785.2,3825.0,3729.55,3806.75,3767.2,3761.05,3765.81,3884.5,2246.0,672675,2533163389.45,47747,HEROMOTOCO
17,2023-12-05,EQ,3798.0,3825.0,3779.1,3797.1,3805.0,3806.75,3799.66,3884.5,2246.0,713163,2709777972.2,45396,HEROMOTOCO
18,2023-12-04,EQ,3880.0,3880.0,3784.0,3760.0,3798.0,3797.1,3817.01,3884.5,2246.0,1018705,3888410085.65,67910,HEROMOTOCO
19,2023-12-01,EQ,3860.0,3865.0,3740.35,3819.05,3770.0,3760.0,3809.38,3884.5,2246.0,1060628,4040334648.75,66216,HEROMOTOCO
20,2023-11-30,EQ,3800.0,3884.5,3782.2,3746.9,3816.35,3819.05,3837.56,3884.5,2246.0,2909100,11163852680.45,163295,HEROMOTOCO
21,2023-11-29,EQ,3635.0,3788.15,3625.7,3622.0,3738.0,3746.9,3727.41,3788.15,2246.0,1561256,5819438445.95,110338,HEROMOTOCO
22,2023-11-28,EQ,3560.0,3628.0,3555.05,3548.6,3625.0,3622.0,3605.8,3628.0,2246.0,659645,2378545009.9,64586,HEROMOTOCO
23,2023-11-24,EQ,3568.0,3579.8,3532.75,3568.0,3545.0,3548.6,3550.83,3579.8,2246.0,514405,1826567133.6,38575,HEROMOTOCO
24,2023-11-23,EQ,3419.95,3576.0,3419.95,3413.6,3568.0,3568.0,3525.61,3576.0,2246.0,1726414,6086659325.6,115482,HEROMOTOCO
25,2023-11-22,EQ,3387.0,3427.7,3368.8,3376.5,3416.4,3413.6,3409.59,3427.7,2246.0,775145,2642928945.0,57633,HEROMOTOCO
26,2023-11-21,EQ,3354.95,3395.0,3330.05,3346.35,3368.35,3376.5,3371.73,3395.0,2246.0,742294,2502818609.7,39080,HEROMOTOCO
27,2023-11-20,EQ,3357.0,3368.0,3315.6,3334.75,3341.25,3346.35,3345.7,3368.8,2246.0,677714,2267430734.75,39784,HEROMOTOCO
28,2023-11-17,EQ,3289.7,3368.8,3280.05,3280.05,3320.0,3334.75,3340.08,3368.8,2246.0,947293,3164037763.15,63071,HEROMOTOCO
29,2023-11-16,EQ,3186.0,3299.0,3178.1,3177.85,3284.0,3280.05,3250.0,3299.0,2246.0,963718,3132085334.25,95744,HEROMOTOCO
30,2023-11-15,EQ,3144.95,3181.6,3130.1,3118.8,3175.0,3177.85,3162.59,3275.0,2246.0,570652,1804737635.55,46429,HEROMOTOCO
31,2023-11-13,EQ,3102.1,3136.95,3102.1,3115.2,3113.8,3118.8,3121.16,3275.0,2246.0,386501,1206333113.1,18893,HEROMOTOCO
32,2023-11-12,EQ,3140.0,3140.0,3110.1,3105.2,3113.85,3115.2,3119.68,3275.0,2246.0,40616,126708724.3,4254,HEROMOTOCO
33,2023-11-10,EQ,3173.85,3179.05,3095.15,3173.9,3108.0,3105.2,3117.06,3275.0,2246.0,820659,2558044651.25,51270,HEROMOTOCO
34,2023-11-09,EQ,3145.0,3196.0,3135.0,3132.1,3172.0,3173.9,3177.71,3275.0,2246.0,604807,1921899733.25,49152,HEROMOTOCO
35,2023-11-08,EQ,3160.3,3166.4,3126.85,3130.25,3130.05,3132.1,3139.66,3275.0,2246.0,459324,1442121277.45,33185,HEROMOTOCO
36,2023-11-07,EQ,3174.95,3181.2,3121.3,3166.9,3134.0,3130.25,3139.07,3275.0,2246.0,355269,1115216002.75,29713,HEROMOTOCO
37,2023-11-06,EQ,3110.0,3175.25,3095.7,3089.4,3169.95,3166.9,3158.41,3275.0,2246.0,850503,2686237792.3,48107,HEROMOTOCO
38,2023-11-03,EQ,3085.0,3110.2,3072.05,3052.1,3093.0,3089.4,3094.9,3275.0,2246.0,411691,1274141071.9,31647,HEROMOTOCO
39,2023-11-02,EQ,3139.0,3149.95,3041.5,3092.45,3060.55,3052.1,3068.24,3275.0,2246.0,1268028,3890615362.55,111263,HEROMOTOCO
40,2023-11-01,EQ,3095.95,3144.65,3075.55,3088.35,3089.0,3092.45,3105.86,3275.0,2246.0,473455,1470483625.75,35839,HEROMOTOCO
41,2023-10-31,EQ,3115.05,3139.6,3080.15,3110.35,3092.0,3088.35,3101.43,3275.0,2246.0,207132,642405264.1,25781,HEROMOTOCO
