,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,275.25,277.65,263.0,270.25,271.85,273.65,270.64,278.8,93.85,43700728,11827102290.85,236130,HINDCOPPER
1,2023-12-28,EQ,240.0,278.8,239.55,235.25,272.75,270.25,259.22,278.8,93.85,109261702,28322886227.45,434839,HINDCOPPER
2,2023-12-27,EQ,234.5,239.45,229.0,233.25,235.95,235.25,234.08,239.45,93.85,18608956,4356006181.4,89578,HINDCOPPER
3,2023-12-26,EQ,229.0,238.25,229.0,226.6,232.9,233.25,233.98,238.25,93.85,24458460,5722850037.05,132917,HINDCOPPER
4,2023-12-22,EQ,218.0,232.0,217.85,217.9,225.9,226.6,225.76,232.0,93.85,47676684,10763356047.55,237862,HINDCOPPER
5,2023-12-21,EQ,195.85,220.3,193.25,196.6,217.45,217.9,213.23,220.3,93.85,65582002,13984131327.35,220464,HINDCOPPER
6,2023-12-20,EQ,209.75,212.7,194.1,207.75,196.85,196.6,206.0,212.7,93.85,29308072,6037320212.85,113819,HINDCOPPER
7,2023-12-19,EQ,199.0,209.2,198.0,197.05,207.25,207.75,204.19,209.2,93.85,38212033,7802387805.3,142749,HINDCOPPER
8,2023-12-18,EQ,187.5,198.5,185.3,187.4,196.4,197.05,194.23,198.5,93.85,22810170,4430428632.0,82408,HINDCOPPER
9,2023-12-15,EQ,186.0,192.0,185.6,184.35,186.75,187.4,189.6,192.0,93.85,15470345,2933120868.15,69291,HINDCOPPER
10,2023-12-14,EQ,183.0,187.35,183.0,182.25,184.15,184.35,185.2,192.0,93.85,4556119,843815144.05,24792,HINDCOPPER
11,2023-12-13,EQ,179.25,184.0,177.4,179.85,182.5,182.25,181.26,192.0,93.85,5989493,1085674865.15,30425,HINDCOPPER
12,2023-12-12,EQ,183.9,185.3,177.25,182.85,177.95,179.85,181.71,192.0,93.85,5245402,953156792.15,36475,HINDCOPPER
13,2023-12-11,EQ,186.35,186.5,178.8,186.2,183.0,182.85,184.26,192.0,93.85,6231502,1148194293.85,29931,HINDCOPPER
