,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,311.0,312.0,305.0,309.9,309.3,309.5,309.0,313.8,80.2,1593613,492425267.65,15382,HSCL
1,2023-12-28,EQ,309.45,311.0,302.5,307.95,308.65,309.9,307.69,313.8,80.2,2315710,712511820.0,18252,HSCL
2,2023-12-27,EQ,306.4,313.8,302.2,307.35,308.5,307.95,309.62,313.8,80.2,3283658,1016687020.25,31306,HSCL
3,2023-12-26,EQ,288.15,308.0,288.15,286.55,307.0,307.35,301.66,312.4,80.2,5588071,1685724341.15,39828,HSCL
4,2023-12-22,EQ,281.55,288.0,280.15,279.85,286.6,286.55,285.54,312.4,80.2,1352146,386095379.55,14607,HSCL
5,2023-12-21,EQ,274.45,283.0,266.2,274.8,280.6,279.85,277.76,312.4,80.2,1336788,371312832.35,22751,HSCL
6,2023-12-20,EQ,295.5,297.6,271.95,294.65,274.7,274.8,283.21,312.4,80.2,2834165,802664550.15,39672,HSCL
7,2023-12-19,EQ,293.75,297.9,291.2,293.3,294.5,294.65,294.41,312.4,80.2,854469,251563963.45,12725,HSCL
8,2023-12-18,EQ,292.0,294.6,288.15,290.5,293.25,293.3,291.88,312.4,80.2,956566,279206281.4,13977,HSCL
9,2023-12-15,EQ,293.9,295.0,287.0,292.4,291.95,290.5,290.37,312.4,80.2,1048012,304312017.65,16505,HSCL
10,2023-12-14,EQ,294.5,299.2,291.4,291.15,292.45,292.4,294.3,312.4,80.2,863174,254033018.05,11654,HSCL
11,2023-12-13,EQ,295.0,295.0,288.1,293.7,291.6,291.15,290.84,312.4,80.2,943331,274362954.95,15814,HSCL
12,2023-12-12,EQ,297.5,298.25,291.55,296.0,293.8,293.7,294.25,312.4,80.2,1020303,300220527.25,15356,HSCL
13,2023-12-11,EQ,298.2,300.4,293.1,297.1,295.3,296.0,296.06,312.4,80.2,1394231,412779990.9,18431,HSCL
14,2023-12-08,EQ,307.3,310.5,292.05,305.85,297.75,297.1,299.45,312.4,80.2,2616203,783431565.7,31842,HSCL
15,2023-12-07,EQ,302.6,312.4,301.0,300.9,305.6,305.85,306.87,312.4,80.2,3274510,1004849597.85,34573,HSCL
16,2023-12-06,EQ,307.0,307.0,300.0,290.8,300.55,300.9,302.16,307.0,80.2,5632135,1701796381.6,53293,HSCL
17,2023-12-05,EQ,272.8,294.0,268.4,271.7,293.0,290.8,283.16,294.0,80.2,7071872,2002496716.9,53967,HSCL
18,2023-12-04,EQ,268.6,274.0,268.6,267.45,271.4,271.7,271.52,288.95,80.2,1708874,463994600.1,16953,HSCL
19,2023-12-01,EQ,275.0,278.8,265.05,273.7,267.5,267.45,271.59,288.95,80.2,1852272,503055676.2,22511,HSCL
20,2023-11-30,EQ,265.45,275.8,250.05,263.0,274.1,273.7,267.08,288.95,80.2,3766487,1005949916.6,40883,HSCL
21,2023-11-29,EQ,265.4,266.85,261.3,263.45,263.0,263.0,263.98,288.95,80.2,834624,220325242.5,10646,HSCL
22,2023-11-28,EQ,265.7,269.95,262.5,264.4,264.1,263.45,265.69,288.95,80.2,1381102,366940272.7,15054,HSCL
23,2023-11-24,EQ,261.5,265.6,258.2,260.35,264.7,264.4,263.27,288.95,80.2,1361055,358329308.1,12956,HSCL
24,2023-11-23,EQ,266.0,267.7,258.05,264.55,260.8,260.35,261.99,288.95,80.2,1306254,342222392.0,14188,HSCL
25,2023-11-22,EQ,267.0,274.25,262.15,265.35,265.5,264.55,268.59,288.95,80.2,3035462,815288233.45,31186,HSCL
26,2023-11-21,EQ,257.85,269.0,257.65,256.35,265.0,265.35,264.86,288.95,80.2,4484196,1187678635.45,39459,HSCL
27,2023-11-20,EQ,253.2,258.45,252.5,252.35,257.65,256.35,255.15,288.95,80.2,1059062,270214565.6,11595,HSCL
28,2023-11-17,EQ,254.0,259.0,250.0,255.5,253.5,252.35,254.51,288.95,80.2,1075444,273716073.5,13314,HSCL
29,2023-11-16,EQ,259.4,261.9,254.15,258.25,255.9,255.5,257.18,288.95,80.2,1125365,289421098.3,14123,HSCL
30,2023-11-15,EQ,261.5,264.25,257.2,259.05,257.55,258.25,260.25,288.95,80.2,1104489,287446718.05,14360,HSCL
31,2023-11-13,EQ,249.2,262.0,248.1,250.5,258.9,259.05,258.29,288.95,80.2,2659666,686957501.25,22254,HSCL
32,2023-11-12,EQ,250.0,252.0,249.1,248.8,250.0,250.5,250.83,288.95,80.2,261273,65534949.5,6235,HSCL
33,2023-11-10,EQ,250.0,251.9,248.0,251.45,248.5,248.8,249.86,288.95,80.2,519975,129923346.5,8042,HSCL
34,2023-11-09,EQ,253.7,260.0,250.0,252.65,252.0,251.45,255.5,288.95,80.2,1264826,323163718.65,12190,HSCL
35,2023-11-08,EQ,255.75,256.45,251.1,254.45,252.0,252.65,253.48,288.95,80.2,834685,211577526.4,9956,HSCL
36,2023-11-07,EQ,249.6,257.0,248.0,248.45,254.45,254.45,251.77,288.95,80.2,1174433,295688733.7,12112,HSCL
37,2023-11-06,EQ,244.75,253.0,244.75,243.75,248.25,248.45,248.99,288.95,80.2,1057673,263345394.35,12502,HSCL
38,2023-11-03,EQ,243.4,247.6,242.35,242.05,243.65,243.75,244.8,288.95,80.2,654170,160138523.6,9048,HSCL
39,2023-11-02,EQ,244.3,245.25,240.8,243.1,243.0,242.05,242.62,288.95,80.2,512550,124354927.1,8182,HSCL
40,2023-11-01,EQ,236.2,246.4,236.15,238.75,242.65,243.1,243.0,288.95,80.2,1362640,331117764.25,15251,HSCL
41,2023-10-31,EQ,244.0,244.7,237.6,241.9,239.0,238.75,240.7,288.95,80.2,615684,148196000.6,10143,HSCL
42,2023-10-30,EQ,239.6,245.0,235.2,238.75,241.6,241.9,241.09,288.95,80.2,1033236,249101629.25,11592,HSCL
43,2023-10-27,EQ,236.75,244.8,236.0,234.15,238.65,238.75,240.13,288.95,80.2,1163019,279271580.1,15111,HSCL
44,2023-10-26,EQ,234.95,236.9,224.0,238.55,234.8,234.15,229.53,288.95,80.2,2236006,513238534.75,31083,HSCL
45,2023-10-25,EQ,249.9,251.7,237.1,247.1,238.5,238.55,243.14,288.95,80.2,2227125,541509815.55,23500,HSCL
46,2023-10-23,EQ,261.65,262.2,246.8,260.25,247.9,247.1,249.72,288.95,80.2,2236013,558378020.15,22352,HSCL
47,2023-10-20,EQ,263.85,271.2,258.0,262.25,261.1,260.25,265.05,288.95,80.2,3252553,862087305.3,26059,HSCL
48,2023-10-19,EQ,255.4,268.0,252.1,254.95,262.6,262.25,261.16,288.95,80.2,3779753,987106379.4,28002,HSCL
49,2023-10-18,EQ,262.0,262.1,252.5,257.1,255.8,254.95,256.09,288.95,80.2,2685241,687669976.75,24616,HSCL
50,2023-10-17,EQ,258.7,264.8,254.1,255.85,257.35,257.1,258.82,288.95,80.2,2438017,631006565.3,20559,HSCL
51,2023-10-16,EQ,258.9,261.3,254.25,257.6,256.1,255.85,257.27,288.95,80.2,1626161,418364396.2,15938,HSCL
52,2023-10-13,EQ,254.6,260.0,252.5,255.6,257.3,257.6,257.55,288.95,80.2,2110314,543511546.45,21257,HSCL
53,2023-10-12,EQ,247.0,262.15,246.1,246.15,256.15,255.6,255.45,288.95,80.2,4535562,1158616420.5,36851,HSCL
54,2023-10-11,EQ,246.6,250.0,243.1,244.45,245.5,246.15,246.1,288.95,80.2,1743003,428948531.8,14648,HSCL
55,2023-10-10,EQ,238.5,247.4,237.0,235.95,243.7,244.45,242.88,288.95,80.2,2034655,494179321.15,16190,HSCL
56,2023-10-09,EQ,240.15,241.35,234.2,247.25,235.95,235.95,237.51,288.95,80.2,2307971,548159975.0,27600,HSCL
57,2023-10-06,EQ,248.45,248.6,245.5,247.85,247.1,247.25,247.01,288.95,80.2,1006352,248577760.5,10405,HSCL
58,2023-10-05,EQ,249.05,252.0,245.5,247.65,247.3,247.85,248.37,288.95,80.2,1187282,294889188.35,11486,HSCL
59,2023-10-04,EQ,254.0,257.9,244.4,253.8,249.0,247.65,250.52,288.95,80.2,2154238,539680449.1,25427,HSCL
60,2023-10-03,EQ,240.1,256.9,240.1,243.4,254.0,253.8,252.02,288.95,80.2,3230078,814033126.6,35816,HSCL
61,2023-09-29,EQ,249.8,250.1,242.5,248.65,243.9,243.4,244.8,288.95,80.2,1816128,444589000.1,17298,HSCL
62,2023-09-28,EQ,251.5,255.25,246.1,250.1,249.0,248.65,251.33,288.95,80.2,1603756,403066190.05,16367,HSCL
63,2023-09-27,EQ,247.2,251.4,245.2,247.3,250.05,250.1,249.15,288.95,80.2,1630301,406190022.65,22634,HSCL
64,2023-09-26,EQ,247.55,252.4,245.0,247.15,246.9,247.3,248.82,288.95,80.2,2605127,648198112.35,27279,HSCL
65,2023-09-25,EQ,234.0,248.4,231.85,233.65,248.05,247.15,242.43,288.95,80.2,2921630,708277465.45,33205,HSCL
66,2023-09-22,EQ,237.65,238.55,230.0,237.65,233.95,233.65,233.91,288.95,80.2,1325327,310006165.6,27747,HSCL
67,2023-09-21,EQ,236.5,242.6,235.1,237.05,238.0,237.65,238.26,288.95,80.2,1311403,312448601.8,21210,HSCL
68,2023-09-20,EQ,239.9,241.95,236.0,239.9,236.35,237.05,238.09,288.95,80.2,1256492,299162596.5,21174,HSCL
69,2023-09-18,EQ,246.0,246.0,238.55,241.7,240.65,239.9,241.24,288.95,80.2,1748853,421893697.15,25976,HSCL
70,2023-09-15,EQ,246.0,247.05,236.1,243.85,244.6,241.7,241.22,288.95,80.2,14793324,3568490740.55,57146,HSCL
71,2023-09-14,EQ,235.7,247.9,235.3,232.5,244.8,243.85,242.77,288.95,80.2,5318556,1291198371.4,56599,HSCL
72,2023-09-13,EQ,229.1,240.0,225.0,232.05,232.5,232.5,230.29,288.95,80.2,7291559,1679151717.35,78479,HSCL
73,2023-09-12,EQ,258.95,263.55,231.5,257.2,231.5,232.05,239.92,288.95,80.2,9728535,2334076118.45,112938,HSCL
74,2023-09-11,EQ,276.75,279.0,247.5,275.0,256.7,257.2,260.34,288.95,80.2,6442393,1677226490.6,78784,HSCL
75,2023-09-08,EQ,268.85,282.0,268.75,267.5,275.0,275.0,276.83,288.95,80.2,5158679,1428055241.75,51788,HSCL
76,2023-09-07,EQ,268.0,272.4,260.5,267.7,267.45,267.5,268.01,288.95,80.2,4277943,1146526946.55,47736,HSCL
77,2023-09-06,EQ,282.4,288.95,253.05,279.0,266.45,267.7,265.89,288.95,80.2,13820639,3674799106.45,131425,HSCL
78,2023-09-05,EQ,255.0,285.0,255.0,252.95,280.8,279.0,270.77,285.0,80.2,13240757,3585252745.9,129295,HSCL
79,2023-09-04,EQ,235.05,255.0,235.0,233.35,254.95,252.95,248.64,255.0,80.2,7972876,1982407067.1,79602,HSCL
80,2023-09-01,EQ,225.3,234.65,224.1,224.45,234.5,233.35,230.94,234.65,80.2,5575055,1287484344.45,51825,HSCL
81,2023-08-31,EQ,225.75,226.05,215.0,224.6,225.0,224.45,221.17,232.0,80.2,5814455,1285969792.75,54464,HSCL
82,2023-08-30,EQ,228.4,232.0,220.4,225.65,224.8,224.6,225.86,232.0,80.2,9298045,2100050555.0,66909,HSCL
83,2023-08-29,EQ,201.7,229.65,201.25,200.15,226.5,225.65,220.07,229.65,80.2,33320775,7332777049.15,203738,HSCL
84,2023-08-28,EQ,192.75,201.9,191.75,190.9,199.8,200.15,198.2,201.9,80.2,11869789,2352559822.65,71463,HSCL
85,2023-08-25,EQ,191.55,191.55,184.3,190.55,190.8,190.9,189.13,194.2,80.2,5301804,1002737653.7,40927,HSCL
86,2023-08-24,EQ,189.0,194.2,188.0,187.8,190.8,190.55,191.06,194.2,80.2,5882914,1123965770.1,45674,HSCL
87,2023-08-23,EQ,183.15,190.95,182.55,182.3,187.9,187.8,187.76,190.95,80.2,8827002,1657353733.75,56585,HSCL
88,2023-08-22,EQ,184.0,188.55,181.1,182.7,182.45,182.3,183.7,188.55,80.2,7272081,1335874672.35,55216,HSCL
89,2023-08-21,EQ,167.9,184.9,167.65,167.0,183.0,182.7,177.27,184.9,80.2,15142120,2684190318.55,88471,HSCL
90,2023-08-18,EQ,170.3,176.3,161.6,169.55,166.4,167.0,168.97,176.3,80.2,10951945,1850595055.35,70121,HSCL
91,2023-08-17,EQ,167.6,171.7,166.65,166.95,169.9,169.55,169.21,171.7,80.2,3201057,541661510.0,28270,HSCL
92,2023-08-16,EQ,167.95,171.3,164.35,167.85,166.7,166.95,167.28,171.3,80.2,5028736,841202516.75,37311,HSCL
93,2023-08-14,EQ,166.05,170.5,159.05,165.4,168.2,167.85,165.61,170.5,80.2,6799453,1126086887.55,47984,HSCL
94,2023-08-11,EQ,161.45,166.6,158.45,160.65,165.5,165.4,162.83,166.6,80.2,5596708,911308785.4,38412,HSCL
95,2023-08-10,EQ,153.8,166.3,153.5,153.5,161.9,160.65,160.18,166.3,80.2,11207020,1795163595.55,66822,HSCL
96,2023-08-09,EQ,152.7,155.9,150.35,152.5,152.75,153.5,153.06,156.7,80.2,3680852,563375923.45,24837,HSCL
97,2023-08-08,EQ,153.25,156.7,151.05,152.95,152.3,152.5,153.16,156.7,80.2,4920779,753689694.4,36183,HSCL
98,2023-08-07,EQ,142.5,154.5,141.85,141.8,152.55,152.95,150.39,154.5,80.2,13362592,2009572505.6,69795,HSCL
99,2023-08-04,EQ,140.2,142.9,139.1,139.55,141.6,141.8,141.56,149.15,80.2,2516422,356231126.85,19281,HSCL
100,2023-08-03,EQ,137.0,141.35,135.85,136.5,139.1,139.55,139.13,149.15,80.2,2818981,392217252.35,20009,HSCL
101,2023-08-02,EQ,139.5,141.15,133.5,139.4,136.8,136.5,137.05,149.15,80.2,3096684,424400827.9,26373,HSCL
102,2023-08-01,EQ,140.95,142.4,138.3,140.05,139.5,139.4,140.1,149.15,80.2,1980697,277492952.95,16800,HSCL
103,2023-07-31,EQ,137.35,141.0,137.35,136.35,140.5,140.05,138.99,149.15,80.2,2006949,278935961.05,17722,HSCL
104,2023-07-28,EQ,137.8,138.65,136.0,137.55,136.3,136.35,137.12,149.15,79.3,1309389,179540695.55,12442,HSCL
105,2023-07-27,EQ,139.05,139.4,136.8,138.35,137.5,137.55,137.9,149.15,79.3,1442756,198955518.6,14387,HSCL
106,2023-07-26,EQ,139.4,140.8,137.65,138.7,138.6,138.35,138.91,149.15,79.3,1845694,256393793.7,16617,HSCL
107,2023-07-25,EQ,139.85,140.85,138.0,139.15,138.8,138.7,139.09,149.15,79.3,1228589,170878614.9,13652,HSCL
108,2023-07-24,EQ,141.7,142.9,138.6,141.05,138.7,139.15,140.74,149.15,79.3,1525914,214761216.6,16058,HSCL
109,2023-07-21,EQ,140.0,142.0,137.6,140.05,140.85,141.05,140.21,149.15,79.3,2623082,367786541.2,21132,HSCL
110,2023-07-20,EQ,142.5,143.7,139.25,141.45,140.05,140.05,141.36,149.15,79.3,2329072,329235821.5,20643,HSCL
111,2023-07-19,EQ,148.0,148.65,140.95,144.5,141.9,141.45,143.96,149.15,79.3,7615850,1096362621.95,40228,HSCL
112,2023-07-18,EQ,142.65,145.0,140.45,141.85,144.5,144.5,142.91,149.15,79.3,4674919,668093932.6,28562,HSCL
113,2023-07-17,EQ,145.0,149.15,141.25,142.75,141.4,141.85,145.05,149.15,79.3,8771371,1272308070.85,43780,HSCL
114,2023-07-14,EQ,135.7,143.7,134.2,134.85,142.75,142.75,140.8,143.7,78.65,12088712,1702107917.05,54003,HSCL
115,2023-07-13,EQ,134.05,138.35,133.3,133.25,135.7,134.85,136.28,138.35,78.65,5148777,701666512.05,28636,HSCL
116,2023-07-12,EQ,131.85,135.2,131.25,131.25,133.5,133.25,133.48,138.35,78.65,3487168,465483260.25,20034,HSCL
117,2023-07-11,EQ,127.85,133.0,127.8,127.4,131.4,131.25,131.19,138.35,78.65,3234562,424353684.0,19770,HSCL
118,2023-07-10,EQ,129.55,129.55,125.5,128.95,127.5,127.4,127.36,138.35,78.65,2028548,258364782.05,17860,HSCL
119,2023-07-07,EQ,129.75,130.65,127.85,129.35,129.0,128.95,129.05,138.35,59.7,1857861,239748105.95,13177,HSCL
120,2023-07-06,EQ,129.7,132.2,128.75,129.35,129.4,129.35,130.08,138.35,59.7,2315682,301226153.8,14943,HSCL
121,2023-07-05,EQ,128.85,131.4,128.25,128.4,129.3,129.35,129.65,138.35,59.7,2111200,273708089.9,15651,HSCL
122,2023-07-04,EQ,131.65,133.6,127.75,131.05,128.65,128.4,130.02,138.35,59.7,2433133,316357798.15,17016,HSCL
123,2023-07-03,EQ,133.45,133.85,130.65,132.7,131.0,131.05,131.8,138.35,59.7,1802687,237599450.45,17473,HSCL
124,2023-06-30,EQ,135.1,135.6,132.0,134.2,132.75,132.7,133.73,138.35,58.7,1376365,184067158.7,12206,HSCL
125,2023-06-28,EQ,133.15,135.9,133.1,132.65,134.3,134.2,134.48,138.35,58.7,1768422,237819934.6,11667,HSCL
126,2023-06-27,EQ,132.65,134.45,132.1,132.15,132.6,132.65,133.3,138.35,58.7,1504765,200590556.1,10238,HSCL
127,2023-06-26,EQ,131.4,132.65,129.4,131.05,132.45,132.15,131.38,138.35,58.7,1631955,214409230.0,12079,HSCL
128,2023-06-23,EQ,134.25,134.45,130.5,133.9,130.7,131.05,132.14,138.35,55.4,2139438,282696185.8,13729,HSCL
129,2023-06-22,EQ,135.4,138.35,132.35,135.3,134.2,133.9,135.47,138.35,55.4,3111103,421473310.45,19538,HSCL
130,2023-06-21,EQ,135.5,136.95,134.6,135.1,135.35,135.3,135.67,137.65,55.4,1730239,234744036.6,12000,HSCL
131,2023-06-20,EQ,131.7,136.4,130.7,131.65,135.3,135.1,134.38,137.65,55.4,3353340,450611358.8,20498,HSCL
132,2023-06-19,EQ,133.3,134.15,130.45,132.65,131.65,131.65,132.42,137.65,55.4,2566878,339893835.8,16386,HSCL
133,2023-06-16,EQ,134.5,137.65,131.55,133.75,132.4,132.65,135.46,137.65,55.4,5672484,768410602.2,30424,HSCL
