,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,5552.05,5740.0,5552.05,5585.95,5687.0,5719.75,5692.25,6249.0,4275.0,4503,25632223.85,884,ICRA
1,2023-12-28,EQ,5609.95,5611.25,5516.2,5542.1,5600.0,5585.95,5555.03,6249.0,4275.0,9391,52167279.7,1090,ICRA
2,2023-12-27,EQ,5552.55,5625.0,5515.0,5545.8,5550.0,5542.1,5543.91,6249.0,4275.0,2774,15378819.0,440,ICRA
3,2023-12-26,EQ,5635.0,5638.0,5529.7,5571.5,5550.0,5545.8,5559.85,6249.0,4275.0,1735,9646333.75,408,ICRA
4,2023-12-22,EQ,5610.0,5610.0,5500.0,5537.8,5570.0,5571.5,5569.61,6249.0,4275.0,2100,11696176.25,500,ICRA
5,2023-12-21,EQ,5480.25,5599.0,5455.05,5500.0,5504.0,5537.8,5541.46,6249.0,4275.0,1907,10567571.15,534,ICRA
6,2023-12-20,EQ,5489.95,5554.0,5482.0,5521.45,5498.95,5500.0,5511.13,6249.0,4275.0,2758,15199706.0,531,ICRA
7,2023-12-19,EQ,5541.3,5553.45,5482.0,5541.3,5525.0,5521.45,5507.41,6249.0,4275.0,1802,9924344.2,511,ICRA
8,2023-12-18,EQ,5670.7,5701.6,5508.0,5654.7,5540.0,5541.3,5578.35,6249.0,4275.0,4737,26424667.1,842,ICRA
9,2023-12-15,EQ,5720.0,5753.3,5620.0,5709.4,5658.0,5654.7,5647.66,6249.0,4275.0,1348,7613046.1,399,ICRA
10,2023-12-14,EQ,5700.0,5796.3,5625.0,5730.6,5725.75,5709.4,5681.26,6249.0,4275.0,1952,11089828.0,549,ICRA
11,2023-12-13,EQ,5778.35,5785.0,5681.1,5730.75,5705.0,5730.6,5724.61,6249.0,4275.0,934,5346785.45,469,ICRA
12,2023-12-12,EQ,5824.0,5824.95,5675.0,5774.25,5675.55,5730.75,5779.53,6249.0,4275.0,977,5646605.0,409,ICRA
13,2023-12-11,EQ,5735.45,5830.0,5599.1,5675.45,5806.0,5774.25,5718.17,6249.0,4275.0,3241,18532594.6,1090,ICRA
14,2023-12-08,EQ,5747.95,5747.95,5660.0,5698.3,5663.35,5675.45,5684.4,6249.0,4275.0,559,3177581.45,233,ICRA
15,2023-12-07,EQ,5733.85,5759.0,5655.15,5733.85,5700.0,5698.3,5697.64,6249.0,4275.0,1352,7703214.25,487,ICRA
16,2023-12-06,EQ,5550.0,5774.35,5520.0,5534.9,5750.0,5733.85,5714.9,6249.0,4275.0,8882,50759730.15,2378,ICRA
17,2023-12-05,EQ,5480.25,5580.0,5480.25,5492.95,5580.0,5534.9,5527.91,6249.0,4275.0,2552,14107213.7,646,ICRA
18,2023-12-04,EQ,5477.0,5540.0,5450.0,5475.9,5474.0,5492.95,5494.58,6249.0,4275.0,8940,49121539.1,978,ICRA
19,2023-12-01,EQ,5459.9,5529.1,5454.9,5459.9,5494.0,5475.9,5485.57,6249.0,4210.25,1901,10428064.4,573,ICRA
20,2023-11-30,EQ,5486.25,5499.75,5433.0,5486.25,5434.8,5459.9,5457.63,6249.0,4210.25,3302,18021110.1,1278,ICRA
21,2023-11-29,EQ,5540.0,5610.8,5459.9,5542.7,5488.0,5486.25,5487.46,6249.0,4210.25,4092,22454697.85,334,ICRA
22,2023-11-28,EQ,5625.0,5625.0,5512.2,5571.95,5551.85,5542.7,5567.36,6249.0,4210.25,628,3496301.45,272,ICRA
