,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,142.2,148.95,139.0,141.6,145.0,146.8,144.74,151.95,48.2,1381211,199917591.45,16289,IIFLSEC
1,2023-12-28,EQ,143.95,145.8,140.7,144.6,141.0,141.6,142.61,151.95,48.2,732487,104459847.1,9978,IIFLSEC
2,2023-12-27,EQ,147.3,151.95,141.0,145.6,143.25,144.6,146.66,151.95,48.2,2498421,366417409.75,26716,IIFLSEC
3,2023-12-26,EQ,138.75,149.4,134.2,137.4,147.4,145.6,142.61,149.4,48.2,1577014,224894510.05,16221,IIFLSEC
4,2023-12-22,EQ,139.0,140.7,134.4,138.95,137.0,137.4,137.69,144.4,48.2,995079,137013325.5,11050,IIFLSEC
5,2023-12-21,EQ,127.85,139.8,124.75,129.85,139.2,138.95,136.29,144.4,48.2,2235815,304713969.4,23359,IIFLSEC
6,2023-12-20,EQ,137.4,142.65,126.4,136.65,127.9,129.85,136.36,144.4,48.2,2619242,357170154.3,24120,IIFLSEC
7,2023-12-19,EQ,140.65,142.05,136.0,139.4,136.2,136.65,138.44,144.4,48.2,1406823,194755794.15,13619,IIFLSEC
8,2023-12-18,EQ,134.7,144.4,133.25,133.25,140.25,139.4,140.06,144.4,48.2,7471088,1046379808.75,45457,IIFLSEC
9,2023-12-15,EQ,123.05,134.6,122.4,122.1,133.0,133.25,130.46,134.6,48.2,5913569,771472232.8,37200,IIFLSEC
10,2023-12-14,EQ,119.1,123.5,118.75,119.65,122.9,122.1,121.34,134.4,48.2,1756573,213142871.2,13114,IIFLSEC
11,2023-12-13,EQ,119.05,120.5,118.1,118.8,119.5,119.65,119.36,134.4,48.2,790564,94364576.0,7208,IIFLSEC
12,2023-12-12,EQ,123.15,124.6,117.2,122.35,119.45,118.8,120.08,134.4,48.2,1735629,208410963.15,13219,IIFLSEC
13,2023-12-11,EQ,124.15,127.2,121.4,124.15,122.0,122.35,123.48,134.4,48.2,2220913,274245177.75,16559,IIFLSEC
14,2023-12-08,EQ,126.6,134.4,122.4,117.9,122.85,124.15,127.96,134.4,48.2,10275374,1314822215.5,64855,IIFLSEC
15,2023-12-07,EQ,116.7,122.9,116.05,115.7,118.25,117.9,119.8,124.3,48.2,2585730,309768409.35,15453,IIFLSEC
16,2023-12-06,EQ,115.45,117.45,113.8,115.35,116.45,115.7,115.84,124.3,48.2,1048046,121407197.65,7524,IIFLSEC
17,2023-12-05,EQ,117.1,117.55,113.0,117.2,115.7,115.35,115.17,124.3,48.2,1153377,132829132.25,7819,IIFLSEC
18,2023-12-04,EQ,119.0,119.9,116.1,115.65,116.6,117.2,118.4,124.3,48.2,963800,114110810.5,9498,IIFLSEC
19,2023-12-01,EQ,115.55,118.45,115.3,115.4,116.0,115.65,116.71,124.3,48.2,639279,74612669.75,7241,IIFLSEC
20,2023-11-30,EQ,116.9,117.9,113.4,116.65,115.5,115.4,115.39,124.3,48.2,701494,80942847.4,7107,IIFLSEC
21,2023-11-29,EQ,118.6,119.65,116.0,118.45,116.9,116.65,117.74,124.3,48.2,501708,59072520.75,4556,IIFLSEC
22,2023-11-28,EQ,116.5,120.8,116.15,116.15,118.55,118.45,118.66,124.3,48.2,1024143,121528890.45,8840,IIFLSEC
23,2023-11-24,EQ,117.0,119.4,115.5,116.7,115.65,116.15,117.49,124.3,48.2,728700,85614857.55,7166,IIFLSEC
24,2023-11-23,EQ,118.95,120.5,116.15,118.95,116.6,116.7,118.41,124.3,48.2,778957,92234710.15,7001,IIFLSEC
25,2023-11-22,EQ,119.0,124.3,117.3,118.85,118.75,118.95,120.95,124.3,48.2,2380288,287906553.45,14902,IIFLSEC
26,2023-11-21,EQ,119.95,120.35,118.4,118.8,119.0,118.85,119.23,122.8,48.2,752463,89716668.8,5817,IIFLSEC
27,2023-11-20,EQ,117.6,120.4,115.8,116.35,119.0,118.8,118.31,122.8,48.2,985822,116632458.95,8274,IIFLSEC
28,2023-11-17,EQ,119.05,121.9,115.75,118.75,116.9,116.35,119.1,122.8,48.2,1445797,172198166.4,10324,IIFLSEC
29,2023-11-16,EQ,120.0,121.5,117.5,118.75,119.0,118.75,119.49,122.8,48.2,1332894,159273381.85,9626,IIFLSEC
30,2023-11-15,EQ,119.0,121.0,117.4,118.45,119.0,118.75,119.09,122.8,48.2,1510896,179935565.45,9170,IIFLSEC
31,2023-11-13,EQ,119.0,119.45,117.05,119.4,118.4,118.45,118.17,122.8,48.2,1110627,131238529.9,8228,IIFLSEC
32,2023-11-12,EQ,120.5,122.8,118.1,119.3,118.3,119.4,120.54,122.8,48.2,763484,92033633.85,7177,IIFLSEC
33,2023-11-10,EQ,114.95,120.8,113.75,115.2,119.2,119.3,117.94,120.8,48.2,3459325,407983226.65,20057,IIFLSEC
34,2023-11-09,EQ,109.05,117.0,107.35,108.5,115.45,115.2,113.35,117.0,48.2,3853488,436787094.7,24360,IIFLSEC
35,2023-11-08,EQ,112.0,112.9,108.0,111.95,109.0,108.5,109.96,112.9,48.2,1449258,159364405.35,12133,IIFLSEC
