,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,505.0,508.0,497.0,502.8,498.55,499.35,501.47,572.6,233.1,66356,33275449.95,4667,IMFA
1,2023-12-28,EQ,504.05,510.95,497.65,507.55,504.1,502.8,503.04,572.6,233.1,111078,55876669.65,6879,IMFA
2,2023-12-27,EQ,499.0,512.9,493.2,494.55,509.95,507.55,505.47,572.6,233.1,204048,103140521.2,14575,IMFA
3,2023-12-26,EQ,492.0,497.0,485.15,490.75,495.0,494.55,490.06,572.6,233.1,99799,48907926.45,7629,IMFA
4,2023-12-22,EQ,490.3,499.95,485.05,485.85,490.0,490.75,493.58,572.6,231.7,97783,48264208.9,7547,IMFA
5,2023-12-21,EQ,485.7,493.9,477.85,485.7,486.9,485.85,486.61,572.6,231.7,155502,75668637.35,10273,IMFA
6,2023-12-20,EQ,508.1,510.45,481.55,504.85,486.0,485.7,495.92,572.6,231.7,132157,65539120.15,10787,IMFA
7,2023-12-19,EQ,509.9,513.2,503.05,508.45,505.9,504.85,508.08,572.6,231.7,85869,43628060.65,6031,IMFA
8,2023-12-18,EQ,510.0,513.4,502.0,517.5,508.0,508.45,508.45,572.6,231.7,174281,88613131.6,10747,IMFA
9,2023-12-15,EQ,520.0,529.05,515.0,515.95,517.1,517.5,521.54,572.6,231.7,85238,44454952.65,5236,IMFA
10,2023-12-14,EQ,527.0,527.1,513.0,517.95,516.0,515.95,520.37,572.6,231.7,118542,61685509.95,6950,IMFA
11,2023-12-13,EQ,519.95,522.9,505.25,515.4,519.6,517.95,514.98,572.6,231.7,168776,86915727.8,7851,IMFA
12,2023-12-12,EQ,520.25,535.0,511.0,516.85,519.8,515.4,521.17,572.6,231.7,186230,97058269.65,12082,IMFA
13,2023-12-11,EQ,521.0,526.8,515.0,522.15,519.0,516.85,520.39,572.6,231.7,115797,60259408.15,6791,IMFA
14,2023-12-08,EQ,532.5,537.95,511.7,536.65,522.0,522.15,524.72,572.6,231.7,204355,107230051.75,12017,IMFA
15,2023-12-07,EQ,535.6,540.0,528.7,531.15,532.1,536.65,535.92,572.6,231.7,171041,91663502.8,9047,IMFA
16,2023-12-06,EQ,530.1,572.6,518.1,529.05,533.8,531.15,545.45,572.6,231.7,1020090,556408819.6,36586,IMFA
