,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,434.2,439.5,431.5,433.45,438.15,438.35,436.23,450.0,280.05,1519915,663024922.45,31457,INDHOTEL
1,2023-12-28,EQ,435.0,442.4,431.1,436.85,433.0,433.45,434.46,450.0,280.05,6971605,3028868014.4,71843,INDHOTEL
2,2023-12-27,EQ,437.65,442.2,434.45,436.55,438.7,436.85,437.88,450.0,280.05,1815608,795025034.5,38321,INDHOTEL
3,2023-12-26,EQ,440.45,443.6,435.0,439.2,436.0,436.55,438.67,450.0,280.05,1207519,529699268.55,31764,INDHOTEL
4,2023-12-22,EQ,429.0,440.4,427.9,429.35,438.0,439.2,436.66,450.0,280.05,2628120,1147595896.95,52478,INDHOTEL
5,2023-12-21,EQ,420.2,430.65,416.9,424.25,429.65,429.35,423.94,450.0,280.05,2058616,872725276.0,41812,INDHOTEL
6,2023-12-20,EQ,448.0,448.0,420.0,444.55,423.85,424.25,434.46,450.0,280.05,2426020,1054005767.9,43044,INDHOTEL
7,2023-12-19,EQ,449.95,449.95,441.35,448.9,443.5,444.55,444.43,450.0,280.05,2177697,967831239.95,33338,INDHOTEL
8,2023-12-18,EQ,439.6,450.0,436.1,439.65,449.0,448.9,447.12,450.0,280.05,4328624,1935435847.65,72268,INDHOTEL
9,2023-12-15,EQ,444.6,444.6,437.4,441.25,440.9,439.65,440.1,445.85,280.05,2642024,1162756562.3,30533,INDHOTEL
10,2023-12-14,EQ,437.1,443.6,434.55,434.55,443.6,441.25,439.26,445.85,280.05,1693787,744015433.5,31212,INDHOTEL
11,2023-12-13,EQ,436.6,438.85,431.65,438.25,434.55,434.55,433.61,445.85,280.05,2279696,988498141.15,26257,INDHOTEL
12,2023-12-12,EQ,440.5,445.85,435.65,441.0,437.15,438.25,440.56,445.85,280.05,2375740,1046659062.6,35192,INDHOTEL
13,2023-12-11,EQ,435.5,441.9,432.55,435.5,440.5,441.0,439.07,442.4,280.05,1729172,759232385.9,34785,INDHOTEL
14,2023-12-08,EQ,440.95,441.75,432.35,440.45,434.1,435.5,435.68,442.4,280.05,1606867,700079525.3,41620,INDHOTEL
15,2023-12-07,EQ,438.05,442.4,435.2,437.95,441.0,440.45,438.89,442.4,280.05,1680971,737759337.65,30760,INDHOTEL
16,2023-12-06,EQ,435.65,440.8,434.05,434.5,438.05,437.95,438.05,440.8,280.05,1820312,797390671.95,38736,INDHOTEL
17,2023-12-05,EQ,434.0,439.6,429.2,434.0,434.8,434.5,435.14,439.6,280.05,2227045,969065819.2,31772,INDHOTEL
18,2023-12-04,EQ,430.0,436.05,427.55,426.4,433.5,434.0,431.78,436.45,280.05,3028240,1307530320.75,55688,INDHOTEL
19,2023-12-01,EQ,422.0,429.9,421.7,421.7,425.65,426.4,426.23,436.45,280.05,3587510,1529109176.1,50436,INDHOTEL
20,2023-11-30,EQ,420.05,423.15,418.0,420.05,422.1,421.7,421.58,436.45,280.05,3944054,1662729361.0,54041,INDHOTEL
21,2023-11-29,EQ,423.8,426.0,419.0,422.75,419.1,420.05,422.0,436.45,280.05,1513282,638608400.2,29488,INDHOTEL
22,2023-11-28,EQ,422.0,424.75,418.3,420.5,421.25,422.75,422.19,436.45,280.05,2402488,1014310088.05,47959,INDHOTEL
23,2023-11-24,EQ,419.0,422.35,417.5,420.1,419.5,420.5,419.81,436.45,280.05,2440352,1024480127.25,34822,INDHOTEL
24,2023-11-23,EQ,417.0,422.35,415.7,417.0,419.9,420.1,419.93,436.45,280.05,1729291,726177833.35,27183,INDHOTEL
25,2023-11-22,EQ,420.8,421.2,413.3,420.8,417.55,417.0,417.32,436.45,280.05,1286423,536851288.05,18896,INDHOTEL
26,2023-11-21,EQ,421.1,421.8,417.9,419.6,420.0,420.8,419.64,436.45,280.05,2086054,875396063.75,23067,INDHOTEL
27,2023-11-20,EQ,416.05,422.6,412.25,411.2,419.6,419.6,418.75,436.45,280.05,5008400,2097281067.0,57351,INDHOTEL
28,2023-11-17,EQ,412.0,415.45,409.75,412.65,411.2,411.2,411.83,436.45,280.05,1725808,710733402.35,24285,INDHOTEL
29,2023-11-16,EQ,411.2,415.0,409.0,411.4,412.35,412.65,411.91,436.45,280.05,1269668,522993933.95,30246,INDHOTEL
30,2023-11-15,EQ,412.0,413.5,409.6,410.65,410.75,411.4,410.95,436.45,280.05,2258736,928236711.15,73914,INDHOTEL
31,2023-11-13,EQ,410.0,411.25,406.2,411.35,410.5,410.65,409.13,436.45,280.05,3025750,1237911981.75,42959,INDHOTEL
32,2023-11-12,EQ,413.5,413.5,410.1,409.45,410.5,411.35,411.45,436.45,280.05,357103,146930419.5,9618,INDHOTEL
33,2023-11-10,EQ,405.0,410.1,403.2,405.45,408.5,409.45,407.84,436.45,280.05,1856115,757002563.9,35167,INDHOTEL
34,2023-11-09,EQ,405.65,406.9,403.55,405.65,405.75,405.45,405.45,436.45,280.05,2153695,873213310.65,27382,INDHOTEL
35,2023-11-08,EQ,403.45,406.55,399.0,401.5,404.0,405.65,404.88,436.45,280.05,2451875,992705242.95,26013,INDHOTEL
36,2023-11-07,EQ,396.6,403.35,394.2,395.35,402.2,401.5,400.93,436.45,280.05,2919260,1170406219.3,41057,INDHOTEL
37,2023-11-06,EQ,393.8,397.65,393.25,392.9,395.5,395.35,395.34,436.45,280.05,2330301,921252096.8,64862,INDHOTEL
38,2023-11-03,EQ,393.0,393.6,389.0,390.25,392.55,392.9,391.76,436.45,280.05,1851600,725387505.8,25343,INDHOTEL
39,2023-11-02,EQ,391.95,393.7,387.3,389.1,390.5,390.25,390.5,436.45,280.05,1425611,556696850.2,34444,INDHOTEL
40,2023-11-01,EQ,384.0,390.95,384.0,383.4,387.8,389.1,387.79,436.45,280.05,2570151,996669286.95,39575,INDHOTEL
41,2023-10-31,EQ,384.85,385.9,380.1,382.1,383.9,383.4,383.33,436.45,280.05,2300685,881913723.15,32063,INDHOTEL
42,2023-10-30,EQ,377.8,384.7,372.65,374.55,382.2,382.1,380.06,436.45,280.05,5308844,2017655030.4,89141,INDHOTEL
43,2023-10-27,EQ,378.0,384.85,371.6,374.8,374.5,374.55,379.5,436.45,280.05,8113269,3078945859.45,86161,INDHOTEL
44,2023-10-26,EQ,385.25,387.6,371.65,389.55,375.55,374.8,376.65,436.45,280.05,6679568,2515874087.45,91096,INDHOTEL
45,2023-10-25,EQ,397.1,398.25,387.6,395.85,389.5,389.55,392.25,436.45,280.05,5099593,2000296744.85,85541,INDHOTEL
46,2023-10-23,EQ,406.0,408.0,393.25,404.95,394.3,395.85,399.96,436.45,280.05,4580694,1832074529.0,105787,INDHOTEL
47,2023-10-20,EQ,413.0,413.0,403.6,414.0,404.1,404.95,406.13,436.45,280.05,3027378,1229505086.9,57192,INDHOTEL
48,2023-10-19,EQ,411.7,416.0,407.55,412.85,412.7,414.0,412.98,436.45,280.05,2055651,848938807.3,53428,INDHOTEL
49,2023-10-18,EQ,419.8,421.8,411.6,420.1,412.7,412.85,414.84,436.45,280.05,2577691,1069329247.1,45869,INDHOTEL
50,2023-10-17,EQ,417.0,423.45,416.5,416.7,420.05,420.1,420.32,436.45,280.05,2207161,927704521.7,38110,INDHOTEL
51,2023-10-16,EQ,414.0,420.5,411.75,414.75,416.6,416.7,417.18,436.45,280.05,2135138,890738655.7,35561,INDHOTEL
52,2023-10-13,EQ,414.0,417.35,411.2,416.5,414.0,414.75,414.4,436.45,280.05,2715674,1125368501.65,43430,INDHOTEL
53,2023-10-12,EQ,418.0,419.8,413.55,414.85,416.1,416.5,417.07,436.45,280.05,2455507,1024112799.8,34183,INDHOTEL
54,2023-10-11,EQ,417.45,422.9,414.3,416.35,414.85,414.85,418.77,436.45,280.05,2537529,1062633479.35,36237,INDHOTEL
55,2023-10-10,EQ,418.4,419.25,415.45,415.5,416.8,416.35,417.13,436.45,280.05,1022044,426325918.4,23092,INDHOTEL
