,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,2775.0,2788.9,2652.0,2793.65,2721.0,2721.9,2701.08,6097.0,2533.85,452732,1222863275.2,34712,INDIAMART
1,2023-12-28,EQ,2784.0,2808.75,2757.05,2771.55,2780.0,2793.65,2782.66,6097.0,2533.85,193732,539090992.0,22606,INDIAMART
2,2023-12-27,EQ,2760.0,2791.95,2751.6,2750.8,2777.0,2771.55,2770.47,6097.0,2533.85,159631,442253423.4,18314,INDIAMART
3,2023-12-26,EQ,2734.0,2768.0,2721.25,2711.75,2750.05,2750.8,2751.69,6097.0,2533.85,159084,437749955.75,17592,INDIAMART
4,2023-12-22,EQ,2763.0,2769.25,2696.05,2739.95,2710.0,2711.75,2726.58,6097.0,2533.85,142476,388472219.75,23151,INDIAMART
5,2023-12-21,EQ,2665.0,2755.15,2628.5,2680.95,2735.0,2739.95,2727.08,6097.0,2533.85,405523,1105894514.7,35463,INDIAMART
6,2023-12-20,EQ,2813.0,2850.0,2651.1,2809.35,2666.4,2680.95,2771.8,6097.0,2533.85,462218,1281174894.5,45699,INDIAMART
7,2023-12-19,EQ,2851.0,2912.0,2800.0,2835.05,2806.0,2809.35,2864.93,6097.0,2533.85,515185,1475968321.1,49678,INDIAMART
8,2023-12-18,EQ,2792.0,2860.0,2741.0,2791.1,2828.0,2835.05,2831.69,6097.0,2533.85,348651,987272413.05,36840,INDIAMART
9,2023-12-15,EQ,2825.0,2825.0,2775.1,2796.6,2790.0,2791.1,2802.43,6097.0,2533.85,202224,566717795.3,21040,INDIAMART
10,2023-12-14,EQ,2820.0,2850.0,2790.0,2793.15,2794.0,2796.6,2821.6,6097.0,2533.85,248571,701367762.85,24921,INDIAMART
11,2023-12-13,EQ,2761.45,2813.2,2753.7,2751.5,2792.0,2793.15,2781.57,6097.0,2533.85,276609,769407575.9,28600,INDIAMART
12,2023-12-12,EQ,2679.95,2832.0,2672.1,2678.2,2757.85,2751.5,2771.93,6097.0,2533.85,1125987,3121159280.1,96478,INDIAMART
13,2023-12-11,EQ,2675.0,2720.0,2661.0,2677.3,2682.0,2678.2,2685.79,6097.0,2533.85,221114,593866255.85,25862,INDIAMART
14,2023-12-08,EQ,2730.95,2733.55,2645.05,2718.8,2675.0,2677.3,2676.68,6097.0,2533.85,296222,792892962.0,29133,INDIAMART
15,2023-12-07,EQ,2735.0,2755.3,2678.4,2709.4,2715.0,2718.8,2721.86,6097.0,2533.85,416572,1133852117.25,40664,INDIAMART
16,2023-12-06,EQ,2617.0,2726.0,2599.9,2601.9,2720.0,2709.4,2670.37,6097.0,2533.85,688958,1839774125.1,67660,INDIAMART
17,2023-12-05,EQ,2619.0,2636.0,2578.0,2604.4,2602.0,2601.9,2608.93,6097.0,2533.85,224501,585706593.8,29871,INDIAMART
18,2023-12-04,EQ,2620.15,2629.85,2586.05,2598.15,2605.0,2604.4,2602.0,6097.0,2533.85,165462,430531994.25,21609,INDIAMART
19,2023-12-01,EQ,2605.75,2623.0,2585.15,2604.05,2593.45,2598.15,2608.66,6097.0,2533.85,217419,567172486.5,20940,INDIAMART
20,2023-11-30,EQ,2626.2,2632.2,2595.0,2613.7,2599.9,2604.05,2607.4,6097.0,2533.85,179170,467168437.95,18073,INDIAMART
21,2023-11-29,EQ,2590.25,2624.0,2590.25,2590.25,2609.0,2613.7,2615.36,6097.0,2533.85,148896,389416178.65,21140,INDIAMART
22,2023-11-28,EQ,2599.05,2625.0,2581.75,2599.1,2594.95,2590.25,2591.23,6097.0,2533.85,90002,233215456.6,9914,INDIAMART
23,2023-11-24,EQ,2599.95,2614.35,2591.15,2593.85,2601.0,2599.1,2601.62,6097.0,2533.85,100564,261629325.15,8366,INDIAMART
24,2023-11-23,EQ,2581.95,2602.0,2561.05,2579.65,2602.0,2593.85,2592.32,6097.0,2533.85,178260,462107352.55,23894,INDIAMART
25,2023-11-22,EQ,2582.05,2600.35,2557.5,2593.35,2575.0,2579.65,2579.24,6097.0,2533.85,107438,277107936.0,12301,INDIAMART
26,2023-11-21,EQ,2639.85,2646.35,2586.9,2628.5,2589.35,2593.35,2614.42,6097.0,2533.85,217735,569251119.95,21613,INDIAMART
27,2023-11-20,EQ,2625.0,2645.0,2600.0,2607.05,2625.0,2628.5,2624.06,6097.0,2533.85,208150,546198578.5,22621,INDIAMART
28,2023-11-17,EQ,2600.0,2624.45,2577.05,2602.05,2607.0,2607.05,2606.85,6097.0,2533.85,311901,813078012.75,14164,INDIAMART
29,2023-11-16,EQ,2584.95,2612.7,2564.05,2584.2,2593.0,2602.05,2597.34,6097.0,2533.85,237131,615909157.95,18512,INDIAMART
30,2023-11-15,EQ,2612.0,2619.55,2547.15,2585.75,2590.0,2584.2,2580.2,6097.0,2533.85,322758,832779728.2,37771,INDIAMART
31,2023-11-13,EQ,2610.0,2615.2,2572.6,2615.2,2584.0,2585.75,2593.14,6097.0,2533.85,158697,411523613.55,14998,INDIAMART
32,2023-11-12,EQ,2634.9,2639.7,2600.0,2601.75,2605.0,2615.2,2620.06,6097.0,2533.85,16163,42348058.2,1952,INDIAMART
33,2023-11-10,EQ,2626.45,2628.2,2590.8,2621.5,2609.95,2601.75,2607.27,6097.0,2533.85,84558,220465898.4,10168,INDIAMART
34,2023-11-09,EQ,2689.5,2689.5,2587.5,2638.0,2622.0,2621.5,2614.78,6097.0,2533.85,240863,629803304.85,19865,INDIAMART
