,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2022-12-05,EQ,85.75,87.0,84.2,85.6,85.0,85.1,85.94,93.3,52.05,268744,23096425.7,4284,INDRAMEDCO
1,2022-12-02,EQ,84.55,86.5,84.15,84.55,85.95,85.6,85.61,93.3,52.05,217440,18614079.8,4834,INDRAMEDCO
2,2022-12-01,EQ,83.8,86.55,83.8,83.05,84.55,84.55,85.05,93.3,52.05,356926,30355942.95,5683,INDRAMEDCO
3,2022-11-30,EQ,85.25,85.45,82.1,84.4,83.1,83.05,83.54,93.3,52.05,446755,37320189.65,5880,INDRAMEDCO
4,2022-11-29,EQ,85.8,87.95,83.9,84.95,84.5,84.4,85.57,93.3,52.05,348897,29854614.7,4832,INDRAMEDCO
5,2022-11-28,EQ,85.4,86.8,84.6,85.2,85.0,84.95,85.59,93.3,52.05,152213,13027990.15,2684,INDRAMEDCO
6,2022-11-25,EQ,87.5,88.15,84.85,87.0,85.15,85.2,86.45,93.3,52.05,221351,19135962.5,3436,INDRAMEDCO
7,2022-11-24,EQ,87.15,89.9,86.0,86.3,86.7,87.0,88.32,93.3,52.05,553394,48875629.75,6397,INDRAMEDCO
8,2022-11-23,EQ,85.15,87.05,84.6,85.15,86.0,86.3,86.24,93.3,52.05,168857,14562647.7,2365,INDRAMEDCO
9,2022-11-22,EQ,86.5,87.45,83.4,86.85,84.5,85.15,85.29,93.3,52.05,474062,40431227.05,5653,INDRAMEDCO
10,2022-11-21,EQ,89.0,89.4,86.3,88.75,86.4,86.85,87.69,93.3,52.05,262356,23006021.4,2993,INDRAMEDCO
11,2022-11-18,EQ,90.1,90.35,88.15,89.5,88.85,88.75,89.12,93.3,52.05,261990,23348187.75,2931,INDRAMEDCO
12,2022-11-17,EQ,90.1,91.65,88.8,90.1,89.5,89.5,90.06,93.3,52.05,532445,47951988.25,5819,INDRAMEDCO
13,2022-11-16,EQ,88.1,93.3,87.25,88.3,89.9,90.1,91.24,93.3,52.05,1733338,158149716.75,15707,INDRAMEDCO
14,2022-11-15,EQ,88.95,91.45,87.05,88.8,87.8,88.3,89.68,91.45,52.05,863810,77465050.3,12056,INDRAMEDCO
15,2022-11-14,EQ,85.5,90.8,84.45,85.55,88.25,88.8,88.51,90.8,52.05,1991015,176231909.1,15319,INDRAMEDCO
