,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,1541.05,1559.45,1540.0,1562.65,1542.65,1542.9,1544.62,1619.75,1185.3,4388990,6779338989.4,218692,INFY
1,2023-12-28,EQ,1568.95,1568.95,1555.0,1567.1,1566.0,1562.65,1561.64,1619.75,1185.3,5702253,8904844135.2,236913,INFY
2,2023-12-27,EQ,1544.0,1570.0,1544.0,1543.95,1568.6,1567.1,1560.67,1619.75,1185.3,4225849,6595135370.2,182574,INFY
3,2023-12-26,EQ,1535.0,1548.0,1523.0,1562.9,1546.0,1543.95,1539.75,1619.75,1185.3,6878067,10590506115.85,306708,INFY
4,2023-12-22,EQ,1534.95,1566.0,1523.0,1536.0,1560.6,1562.9,1544.96,1619.75,1185.3,6741060,10414664838.55,248721,INFY
5,2023-12-21,EQ,1521.25,1546.65,1521.25,1536.4,1540.05,1536.0,1536.05,1619.75,1185.3,5319038,8170301358.7,234678,INFY
6,2023-12-20,EQ,1565.05,1583.5,1530.0,1558.3,1531.0,1536.4,1561.35,1619.75,1185.3,6592367,10293014666.5,313361,INFY
7,2023-12-19,EQ,1570.1,1573.95,1543.25,1564.35,1555.0,1558.3,1557.15,1619.75,1185.3,4221721,6573862521.35,164124,INFY
8,2023-12-18,EQ,1567.95,1593.0,1560.3,1578.4,1563.0,1564.35,1572.19,1619.75,1185.3,6467243,10167742673.65,261709,INFY
9,2023-12-15,EQ,1523.05,1588.55,1521.0,1501.45,1576.55,1578.4,1561.19,1619.75,1185.3,18395389,28718690705.75,453100,INFY
10,2023-12-14,EQ,1463.4,1511.0,1461.35,1449.0,1506.0,1501.45,1492.04,1619.75,1185.3,12489858,18635369658.15,315316,INFY
11,2023-12-13,EQ,1476.0,1476.05,1433.15,1476.05,1449.95,1449.0,1446.8,1619.75,1185.3,8549258,12369077225.9,337694,INFY
12,2023-12-12,EQ,1477.5,1490.0,1467.65,1488.5,1476.0,1476.05,1477.51,1619.75,1185.3,6103494,9018001007.8,184795,INFY
13,2023-12-11,EQ,1490.0,1498.0,1482.0,1491.15,1489.5,1488.5,1490.33,1619.75,1185.3,3862018,5755686043.5,147641,INFY
14,2023-12-08,EQ,1470.4,1494.7,1466.25,1465.9,1491.0,1491.15,1481.11,1644.85,1185.3,6323433,9365681016.1,202289,INFY
15,2023-12-07,EQ,1472.85,1472.85,1461.8,1474.3,1468.5,1465.9,1466.24,1644.85,1185.3,4424453,6487293482.65,137173,INFY
16,2023-12-06,EQ,1456.75,1477.0,1451.05,1453.95,1475.0,1474.3,1466.59,1644.85,1185.3,5269178,7727707099.8,175001,INFY
17,2023-12-05,EQ,1465.8,1466.9,1442.0,1464.35,1454.9,1453.95,1449.86,1644.85,1185.3,5123039,7427670191.25,190424,INFY
18,2023-12-04,EQ,1460.45,1471.9,1449.3,1452.3,1464.9,1464.35,1462.41,1644.85,1185.3,5511948,8060745711.4,172254,INFY
19,2023-12-01,EQ,1459.9,1459.9,1446.15,1455.15,1451.5,1452.3,1450.95,1672.6,1185.3,3489187,5062651361.85,130850,INFY
20,2023-11-30,EQ,1453.25,1460.65,1449.55,1459.6,1455.0,1455.15,1455.41,1672.6,1185.3,10120867,14730043834.95,181568,INFY
21,2023-11-29,EQ,1451.1,1460.7,1449.8,1442.7,1459.2,1459.6,1456.94,1672.6,1185.3,3875778,5646790254.25,150433,INFY
22,2023-11-28,EQ,1444.0,1445.0,1427.05,1437.4,1442.65,1442.7,1435.92,1672.6,1185.3,3755373,5392424299.0,166202,INFY
23,2023-11-24,EQ,1445.55,1452.65,1433.85,1449.25,1437.0,1437.4,1440.18,1672.6,1185.3,2973195,4281944525.2,92376,INFY
24,2023-11-23,EQ,1467.9,1467.9,1447.7,1457.8,1450.75,1449.25,1455.48,1672.6,1185.3,3186928,4638517071.4,102139,INFY
25,2023-11-22,EQ,1436.2,1458.95,1436.2,1439.0,1457.3,1457.8,1448.39,1672.6,1185.3,3108786,4502747300.2,112434,INFY
