,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,562.5,567.8,551.25,550.3,561.5,562.2,559.21,686.95,475.0,353496,197677882.5,17025,IONEXCHANG
1,2023-12-28,EQ,577.0,584.0,547.05,576.5,550.0,550.3,560.33,686.95,475.0,474258,265739966.15,35581,IONEXCHANG
2,2023-12-27,EQ,579.05,596.0,574.0,576.6,575.0,576.5,582.42,686.95,475.0,239981,139769730.65,22680,IONEXCHANG
3,2023-12-26,EQ,608.9,608.9,574.1,602.0,578.8,576.6,584.57,686.95,475.0,337438,197256834.5,29685,IONEXCHANG
4,2023-12-22,EQ,615.0,624.95,596.55,602.95,606.0,602.0,608.02,686.95,475.0,193888,117887019.35,18098,IONEXCHANG
5,2023-12-21,EQ,591.0,609.95,581.1,601.6,602.0,602.95,594.4,686.95,475.0,242723,144275383.5,18589,IONEXCHANG
6,2023-12-20,EQ,600.0,634.75,580.45,596.7,599.0,601.6,608.78,686.95,475.0,1262633,768663516.1,54817,IONEXCHANG
7,2023-12-19,EQ,602.0,607.95,592.6,597.1,600.0,596.7,601.18,686.95,475.0,625938,376304154.45,24296,IONEXCHANG
8,2023-12-18,EQ,589.9,606.95,585.0,589.9,595.1,597.1,600.14,686.95,475.0,223972,134413605.8,13597,IONEXCHANG
9,2023-12-15,EQ,598.0,605.0,584.2,595.65,590.0,589.9,590.71,686.95,475.0,232661,137434620.35,16917,IONEXCHANG
10,2023-12-14,EQ,608.8,609.3,590.55,599.5,597.0,595.65,598.13,686.95,475.0,276551,165413150.9,12006,IONEXCHANG
11,2023-12-13,EQ,594.0,611.4,592.2,591.1,601.4,599.5,604.05,686.95,475.0,589123,355856817.1,41308,IONEXCHANG
12,2023-12-12,EQ,593.15,600.6,587.0,586.95,591.5,591.1,593.85,686.95,475.0,247077,146726568.25,19439,IONEXCHANG
13,2023-12-11,EQ,582.9,590.5,578.5,580.2,590.0,586.95,585.04,686.95,475.0,264796,154916633.85,18362,IONEXCHANG
