,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,866.0,895.0,859.05,864.15,883.0,887.5,881.86,916.5,557.1,10705182,9440435317.55,172411,IRCTC
1,2023-12-28,EQ,873.95,875.0,862.05,867.5,865.0,864.15,867.57,916.5,557.1,3578585,3104664330.4,71038,IRCTC
2,2023-12-27,EQ,874.8,884.7,858.95,869.8,866.6,867.5,871.69,916.5,557.1,5028695,4383458717.85,99076,IRCTC
3,2023-12-26,EQ,865.0,883.9,859.0,860.9,870.0,869.8,871.88,916.5,557.1,6342848,5530220899.55,113303,IRCTC
4,2023-12-22,EQ,875.0,886.9,853.9,868.25,858.8,860.9,868.82,916.5,557.1,10046698,8728816529.2,180407,IRCTC
5,2023-12-21,EQ,807.0,874.5,801.9,815.15,869.0,868.25,853.71,916.5,557.1,25159581,21479016222.0,422744,IRCTC
6,2023-12-20,EQ,886.7,890.0,805.25,882.1,815.0,815.15,848.7,916.5,557.1,17968498,15249926276.8,354125,IRCTC
7,2023-12-19,EQ,881.2,916.5,852.2,879.15,881.8,882.1,889.56,916.5,557.1,37499776,33358375006.35,651107,IRCTC
8,2023-12-18,EQ,784.85,889.35,779.1,780.85,874.05,879.15,850.21,889.35,557.1,36365109,30917970859.1,541574,IRCTC
9,2023-12-15,EQ,797.0,797.0,778.65,791.05,782.0,780.85,787.31,799.95,557.1,2894186,2278623411.1,74812,IRCTC
10,2023-12-14,EQ,799.95,799.95,785.5,777.95,792.0,791.05,791.73,799.95,557.1,5071262,4015063479.35,103718,IRCTC
11,2023-12-13,EQ,774.4,781.55,763.8,770.6,777.0,777.95,774.15,786.4,557.1,2986173,2311741452.65,67473,IRCTC
12,2023-12-12,EQ,766.4,786.4,763.35,762.1,770.9,770.6,774.94,786.4,557.1,7248708,5617349524.15,148340,IRCTC
13,2023-12-11,EQ,750.95,766.55,750.0,749.55,762.8,762.1,761.44,769.85,557.1,3619579,2756097886.3,80298,IRCTC
14,2023-12-08,EQ,762.45,769.85,739.2,757.8,748.4,749.55,754.56,769.85,557.1,4842223,3653761095.65,101626,IRCTC
15,2023-12-07,EQ,742.75,762.25,732.0,740.5,759.5,757.8,749.97,762.25,557.1,7412553,5559175770.9,128993,IRCTC
16,2023-12-06,EQ,719.4,749.9,716.6,715.1,741.9,740.5,738.08,758.0,557.1,10164743,7502434454.6,173595,IRCTC
17,2023-12-05,EQ,724.75,728.95,709.05,720.85,717.45,715.1,718.87,758.0,557.1,2826160,2031646463.75,64798,IRCTC
18,2023-12-04,EQ,708.0,724.0,706.0,701.3,720.6,720.85,718.12,758.0,557.1,4528427,3251953658.25,92113,IRCTC
19,2023-12-01,EQ,710.0,710.0,700.0,705.75,700.4,701.3,704.08,758.0,557.1,1060638,746773645.95,29150,IRCTC
20,2023-11-30,EQ,700.0,710.0,700.0,700.5,704.0,705.75,705.7,758.0,557.1,2128035,1501759809.7,50181,IRCTC
21,2023-11-29,EQ,696.8,709.5,696.8,696.8,700.0,700.5,703.86,758.0,557.1,1575534,1108953304.55,39737,IRCTC
22,2023-11-28,EQ,697.2,699.2,692.8,692.8,695.45,696.8,695.82,758.0,557.1,877968,610908385.2,25567,IRCTC
23,2023-11-24,EQ,703.0,704.4,691.6,700.0,692.7,692.8,695.42,758.0,557.1,896138,623194185.8,27232,IRCTC
24,2023-11-23,EQ,704.0,706.45,699.0,700.0,699.7,700.0,702.19,758.0,557.1,1285720,902820335.45,28604,IRCTC
25,2023-11-22,EQ,709.0,711.8,693.05,708.95,701.3,700.0,700.89,758.0,557.1,1440191,1009417161.65,35946,IRCTC
26,2023-11-21,EQ,705.3,719.9,703.5,701.3,709.0,708.95,713.38,758.0,557.1,4324116,3084746212.15,82953,IRCTC
27,2023-11-20,EQ,709.9,712.0,694.75,707.35,701.05,701.3,702.75,758.0,557.1,1714181,1204637199.75,46076,IRCTC
28,2023-11-17,EQ,679.65,711.5,677.2,679.65,706.6,707.35,701.36,765.0,557.1,4894657,3432938194.25,94971,IRCTC
29,2023-11-16,EQ,677.0,683.9,675.7,677.35,680.95,679.65,679.03,765.0,557.1,1042850,708122621.85,31288,IRCTC
30,2023-11-15,EQ,677.7,678.95,674.0,671.0,677.5,677.35,676.36,765.0,557.1,736475,498124397.5,22564,IRCTC
31,2023-11-13,EQ,677.0,677.0,669.05,677.15,670.95,671.0,672.19,765.0,557.1,517232,347679251.55,16365,IRCTC
32,2023-11-12,EQ,678.0,678.85,676.0,672.45,677.0,677.15,677.15,774.9,557.1,300530,203505192.75,17623,IRCTC
33,2023-11-10,EQ,669.9,676.1,665.8,670.55,674.0,672.45,672.45,774.9,557.1,711757,478619207.35,21887,IRCTC
34,2023-11-09,EQ,679.0,679.9,664.4,676.9,671.9,670.55,669.64,774.9,557.1,1785791,1195843619.6,31491,IRCTC
35,2023-11-08,EQ,690.0,690.0,671.55,681.1,677.8,676.9,678.14,774.9,557.1,2294522,1556000362.6,45393,IRCTC
36,2023-11-07,EQ,673.95,683.3,670.0,671.5,682.75,681.1,677.85,774.9,557.1,1366389,926201386.7,37296,IRCTC
37,2023-11-06,EQ,670.5,674.15,666.4,663.6,671.1,671.5,670.94,774.9,557.1,734713,492947945.3,23191,IRCTC
38,2023-11-03,EQ,660.0,666.1,658.05,655.3,663.5,663.6,662.9,774.9,557.1,763012,505800947.7,21775,IRCTC
39,2023-11-02,EQ,657.95,663.55,649.7,652.85,656.0,655.3,653.92,774.9,557.1,1442254,943114355.0,35025,IRCTC
40,2023-11-01,EQ,666.05,670.0,652.0,665.35,652.9,652.85,659.72,774.9,557.1,840037,554191550.45,29639,IRCTC
41,2023-10-31,EQ,664.75,668.9,662.95,663.3,665.75,665.35,665.88,774.9,557.1,603228,401679703.9,21475,IRCTC
42,2023-10-30,EQ,661.7,665.8,652.5,659.35,662.95,663.3,661.13,774.9,557.1,988891,653784156.25,28174,IRCTC
43,2023-10-27,EQ,649.9,661.6,648.4,645.05,657.55,659.35,656.77,774.9,557.1,1056784,694061035.55,30616,IRCTC
44,2023-10-26,EQ,656.4,656.4,635.55,658.05,645.3,645.05,642.75,774.9,557.1,1821947,1171061778.1,60909,IRCTC
45,2023-10-25,EQ,667.25,673.0,651.1,666.2,657.4,658.05,662.21,774.9,557.1,1305923,864798934.95,46597,IRCTC
46,2023-10-23,EQ,692.65,692.65,663.0,692.1,664.2,666.2,676.85,774.9,557.1,1717013,1162164698.95,56609,IRCTC
47,2023-10-20,EQ,700.0,703.5,690.0,699.65,690.9,692.1,696.3,774.9,557.1,1232956,858507994.75,31497,IRCTC
48,2023-10-19,EQ,701.4,704.75,690.3,703.85,699.0,699.65,698.25,774.9,557.1,1100204,768222692.85,34430,IRCTC
49,2023-10-18,EQ,718.35,718.5,699.1,714.6,704.0,703.85,706.78,774.9,557.1,1690083,1194520148.2,41822,IRCTC
50,2023-10-17,EQ,703.8,719.4,703.05,703.35,713.65,714.6,713.98,774.9,557.1,2163042,1544358690.8,44353,IRCTC
51,2023-10-16,EQ,705.0,709.05,701.25,704.15,703.5,703.35,703.81,774.9,557.1,799567,562744688.35,25740,IRCTC
52,2023-10-13,EQ,698.25,706.5,693.2,700.25,704.85,704.15,702.66,774.9,557.1,1018087,715372705.05,27156,IRCTC
