,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,464.1,467.9,461.35,464.1,462.0,462.1,464.6,499.7,325.5,12888266,5987892520.95,195653,ITC
1,2023-12-28,EQ,457.2,464.7,456.1,457.1,463.95,464.1,461.6,499.7,325.5,20696101,9553290485.3,219642,ITC
2,2023-12-27,EQ,457.0,458.5,453.75,456.45,456.6,457.1,455.97,499.7,325.5,7543383,3439550563.55,141438,ITC
3,2023-12-26,EQ,456.05,458.9,454.7,455.2,457.05,456.45,456.9,499.7,325.5,5871301,2682601608.85,133599,ITC
4,2023-12-22,EQ,453.0,455.9,450.55,451.45,454.2,455.2,454.25,499.7,325.35,11026317,5008664858.2,189460,ITC
5,2023-12-21,EQ,449.0,453.75,444.45,451.0,452.0,451.45,450.19,499.7,325.35,11154625,5021673354.15,173231,ITC
6,2023-12-20,EQ,459.0,459.25,449.3,456.1,450.15,451.0,454.97,499.7,325.35,10367665,4716934041.15,171902,ITC
7,2023-12-19,EQ,453.35,458.0,452.05,451.65,456.45,456.1,455.77,499.7,325.35,10268755,4680212654.95,163132,ITC
8,2023-12-18,EQ,455.0,456.0,450.35,458.2,451.95,451.65,451.89,499.7,325.35,12027620,5435127623.5,202238,ITC
9,2023-12-15,EQ,461.9,462.95,455.0,460.1,458.55,458.2,457.72,499.7,325.35,15789845,7227299043.7,205228,ITC
10,2023-12-14,EQ,460.0,461.0,449.45,455.65,458.3,460.1,458.42,499.7,325.35,14370803,6587926047.65,198906,ITC
11,2023-12-13,EQ,456.3,458.85,453.1,453.1,455.6,455.65,455.72,499.7,325.35,11283868,5142261661.75,136565,ITC
12,2023-12-12,EQ,454.2,460.0,452.35,452.45,453.6,453.1,456.17,499.7,325.35,10158101,4633852599.45,159664,ITC
13,2023-12-11,EQ,451.5,453.6,449.3,449.15,453.2,452.45,451.92,499.7,325.35,6599973,2982667106.3,153704,ITC
14,2023-12-08,EQ,459.95,461.6,448.5,458.1,450.0,449.15,452.69,499.7,325.35,18667895,8450769799.45,173240,ITC
15,2023-12-07,EQ,464.75,464.8,457.4,463.25,458.2,458.1,459.4,499.7,325.35,11310918,5196208022.5,175050,ITC
16,2023-12-06,EQ,453.9,464.5,452.1,451.75,463.45,463.25,461.17,499.7,325.35,20417559,9415918516.3,295774,ITC
17,2023-12-05,EQ,455.0,457.8,450.1,454.05,452.4,451.75,453.52,499.7,325.35,12136292,5504017393.25,154505,ITC
18,2023-12-04,EQ,455.0,456.4,451.0,449.8,453.1,454.05,453.73,499.7,325.35,12800220,5807860907.55,218205,ITC
19,2023-12-01,EQ,437.9,450.95,437.4,435.8,449.15,449.8,446.61,499.7,325.35,19336856,8636046292.35,233084,ITC
20,2023-11-30,EQ,436.7,438.45,434.5,437.2,436.75,435.8,436.0,499.7,325.35,15127505,6595568134.95,205331,ITC
21,2023-11-29,EQ,436.0,438.5,434.15,435.25,436.9,437.2,436.15,499.7,325.35,13785216,6012481178.15,181426,ITC
22,2023-11-28,EQ,438.0,439.0,434.9,437.8,435.9,435.25,436.05,499.7,325.35,8745691,3813552286.95,177548,ITC
23,2023-11-24,EQ,441.0,442.25,436.85,440.35,437.9,437.8,439.0,499.7,325.35,6821878,2994784740.4,116779,ITC
24,2023-11-23,EQ,440.95,442.25,438.25,439.7,440.9,440.35,440.31,499.7,325.35,6366606,2803291959.25,98441,ITC
25,2023-11-22,EQ,437.0,440.4,434.8,436.25,440.15,439.7,437.8,499.7,325.35,4886687,2139403597.8,94940,ITC
26,2023-11-21,EQ,437.15,439.3,435.5,436.8,436.2,436.25,437.01,499.7,325.35,5997810,2621113885.4,115882,ITC
