,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,1610.0,1630.0,1591.75,1600.6,1619.85,1624.65,1617.76,3049.0,1244.45,133763,216396978.3,17145,JBCHEPHARM
1,2023-12-28,EQ,1630.0,1639.0,1591.55,1624.65,1614.0,1600.6,1616.01,3049.0,1244.45,111176,179661575.25,16971,JBCHEPHARM
2,2023-12-27,EQ,1622.0,1636.1,1615.55,1618.55,1616.55,1624.65,1627.73,3049.0,1244.45,208041,338634555.35,18927,JBCHEPHARM
3,2023-12-26,EQ,1630.0,1639.85,1589.6,1618.85,1612.0,1618.55,1609.58,3049.0,1244.45,355920,572880639.45,34139,JBCHEPHARM
4,2023-12-22,EQ,1494.0,1631.0,1492.0,1487.0,1620.0,1618.85,1588.24,3049.0,1244.45,1959915,3112808583.2,105291,JBCHEPHARM
5,2023-12-21,EQ,1452.1,1492.0,1435.0,1459.95,1488.6,1487.0,1479.01,3049.0,1244.45,110023,162725616.2,17885,JBCHEPHARM
6,2023-12-20,EQ,1478.0,1498.7,1443.05,1468.2,1460.6,1459.95,1469.55,3049.0,1244.45,116914,171811516.55,12462,JBCHEPHARM
7,2023-12-19,EQ,1493.85,1512.0,1461.0,1471.8,1469.0,1468.2,1484.28,3049.0,1244.45,281468,417777160.5,26292,JBCHEPHARM
8,2023-12-18,EQ,1419.85,1481.0,1413.0,1419.85,1480.0,1471.8,1438.2,3049.0,1244.45,449526,646506330.0,12468,JBCHEPHARM
9,2023-12-15,EQ,1435.0,1447.45,1412.55,1419.15,1420.0,1419.85,1424.0,3049.0,1244.45,114051,162408112.3,13339,JBCHEPHARM
10,2023-12-14,EQ,1452.0,1459.2,1415.0,1451.9,1421.0,1419.15,1430.69,3049.0,1244.45,95779,137030283.15,12044,JBCHEPHARM
11,2023-12-13,EQ,1458.0,1465.1,1436.0,1457.8,1449.8,1451.9,1446.38,3049.0,1244.45,127008,183701674.6,15694,JBCHEPHARM
12,2023-12-12,EQ,1471.7,1480.5,1437.0,1460.0,1459.55,1457.8,1460.07,3049.0,1244.45,203660,297358142.6,14282,JBCHEPHARM
13,2023-12-11,EQ,1469.7,1470.0,1436.0,1452.8,1454.3,1460.0,1455.26,3049.0,1244.45,192648,280353109.6,12802,JBCHEPHARM
14,2023-12-08,EQ,1506.05,1516.05,1441.0,1498.4,1457.5,1452.8,1473.47,3049.0,1244.45,105318,155182876.75,12881,JBCHEPHARM
15,2023-12-07,EQ,1498.95,1556.5,1479.95,1491.2,1486.55,1498.4,1514.39,3049.0,1244.45,182265,276020200.35,23121,JBCHEPHARM
16,2023-12-06,EQ,1474.95,1497.7,1469.95,1476.0,1485.55,1491.2,1488.27,3049.0,1244.45,102647,152766298.25,15457,JBCHEPHARM
17,2023-12-05,EQ,1474.95,1489.9,1447.4,1471.4,1470.0,1476.0,1463.47,3049.0,1244.45,101897,149123430.1,12872,JBCHEPHARM
18,2023-12-04,EQ,1474.0,1483.9,1432.05,1460.45,1465.0,1471.4,1449.45,3049.0,1244.45,226470,328257042.35,16900,JBCHEPHARM
19,2023-12-01,EQ,1469.75,1498.8,1452.8,1450.9,1456.25,1460.45,1477.94,3049.0,1244.45,88621,130976398.25,11637,JBCHEPHARM
20,2023-11-30,EQ,1415.0,1495.0,1412.0,1410.35,1495.0,1450.9,1449.32,3049.0,1244.45,355908,515824614.15,24935,JBCHEPHARM
21,2023-11-29,EQ,1393.0,1422.35,1393.0,1392.8,1410.0,1410.35,1408.09,3049.0,1244.45,225949,318155648.15,33308,JBCHEPHARM
22,2023-11-28,EQ,1420.0,1425.25,1371.0,1420.2,1385.0,1392.8,1402.24,3049.0,1244.45,112979,158424237.55,18299,JBCHEPHARM
23,2023-11-24,EQ,1450.0,1464.0,1417.0,1438.95,1419.0,1420.2,1431.14,3049.0,1244.45,116226,166335655.6,16278,JBCHEPHARM
24,2023-11-23,EQ,1501.95,1508.95,1430.0,1501.45,1440.0,1438.95,1452.09,3049.0,1244.45,135797,197189002.95,20464,JBCHEPHARM
25,2023-11-22,EQ,1504.65,1512.05,1494.05,1497.3,1501.95,1501.45,1502.01,3049.0,1244.45,45437,68246994.3,11167,JBCHEPHARM
26,2023-11-21,EQ,1520.0,1525.0,1488.0,1511.35,1508.0,1497.3,1510.7,3049.0,1244.45,51145,77264893.45,7553,JBCHEPHARM
27,2023-11-20,EQ,1510.0,1525.0,1502.0,1516.35,1515.0,1511.35,1512.49,3049.0,1244.45,48460,73295090.95,10382,JBCHEPHARM
28,2023-11-17,EQ,1503.05,1523.0,1485.65,1502.55,1512.0,1516.35,1504.02,3049.0,1244.45,68817,103502290.0,11633,JBCHEPHARM
