,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,593.0,597.9,591.0,592.2,593.5,594.0,594.83,821.15,265.0,5670,3372657.9,481,JINDALPHOT
1,2023-12-28,EQ,607.0,608.95,587.1,599.95,593.0,592.2,597.23,821.15,265.0,9659,5768619.65,725,JINDALPHOT
2,2023-12-27,EQ,598.0,614.95,591.1,600.95,598.65,599.95,603.02,821.15,265.0,7923,4777741.8,812,JINDALPHOT
3,2023-12-26,EQ,618.9,620.75,600.0,610.75,602.8,600.95,604.81,821.15,265.0,8337,5042302.5,915,JINDALPHOT
4,2023-12-22,EQ,608.1,621.9,600.1,608.1,614.95,610.75,611.83,821.15,265.0,8383,5128938.0,635,JINDALPHOT
5,2023-12-21,EQ,580.0,615.7,576.05,591.4,610.5,608.1,602.51,821.15,265.0,13319,8024866.45,973,JINDALPHOT
6,2023-12-20,EQ,621.1,631.3,585.5,630.15,593.0,591.4,611.96,821.15,265.0,32116,19653561.7,1990,JINDALPHOT
7,2023-12-19,EQ,643.9,643.9,627.7,633.55,630.0,630.15,632.8,821.15,265.0,11314,7159499.7,684,JINDALPHOT
8,2023-12-18,EQ,649.95,649.95,630.75,643.05,635.0,633.55,635.97,821.15,265.0,12445,7914639.6,1331,JINDALPHOT
9,2023-12-15,EQ,646.6,650.0,640.1,646.6,643.5,643.05,645.61,821.15,265.0,8638,5576796.3,618,JINDALPHOT
10,2023-12-14,EQ,641.0,657.45,637.1,637.95,648.0,646.6,649.17,821.15,265.0,9810,6368328.95,800,JINDALPHOT
11,2023-12-13,EQ,640.4,650.0,635.1,646.4,644.2,637.95,641.06,821.15,265.0,10855,6958654.5,967,JINDALPHOT
12,2023-12-12,EQ,662.0,662.25,642.0,651.0,645.5,646.4,649.19,821.15,265.0,12673,8227211.35,820,JINDALPHOT
13,2023-12-11,EQ,678.0,688.9,648.3,667.05,651.5,651.0,665.92,821.15,265.0,20939,13943773.2,1348,JINDALPHOT
14,2023-12-08,EQ,654.3,671.45,652.75,654.3,667.7,667.05,664.72,821.15,265.0,16304,10837586.8,1013,JINDALPHOT
15,2023-12-07,EQ,650.3,659.0,650.1,650.3,653.0,654.3,653.92,821.15,265.0,9020,5898332.85,715,JINDALPHOT
