,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,1119.95,1129.25,1081.1,1118.2,1090.0,1089.9,1100.98,1221.0,970.0,23822,26227463.15,3503,JLHL
1,2023-12-28,EQ,1130.0,1138.0,1111.0,1125.0,1124.95,1118.2,1125.45,1221.0,970.0,18366,20670035.5,2770,JLHL
2,2023-12-27,EQ,1128.9,1135.0,1106.95,1117.7,1125.0,1125.0,1119.92,1221.0,970.0,112353,125826291.15,13263,JLHL
3,2023-12-26,EQ,1147.75,1155.7,1102.9,1147.8,1119.8,1117.7,1122.14,1221.0,970.0,220725,247685201.25,14076,JLHL
4,2023-12-22,EQ,1163.95,1164.9,1131.2,1152.55,1142.55,1147.8,1147.55,1221.0,970.0,38239,43881263.85,6292,JLHL
5,2023-12-21,EQ,1160.0,1177.85,1129.1,1162.35,1143.2,1152.55,1153.23,1221.0,970.0,123267,142155010.8,19477,JLHL
6,2023-12-20,EQ,1177.95,1199.0,1148.15,1170.1,1164.0,1162.35,1175.56,1221.0,970.0,161567,189931640.4,26616,JLHL
7,2023-12-19,EQ,1156.8,1199.0,1141.5,1145.35,1183.4,1170.1,1164.29,1221.0,970.0,139638,162578677.4,16173,JLHL
8,2023-12-18,EQ,1155.05,1159.0,1135.2,1150.6,1155.05,1145.35,1146.55,1221.0,970.0,209539,240245894.4,10627,JLHL
9,2023-12-15,EQ,1145.0,1154.0,1125.55,1145.65,1150.4,1150.6,1139.61,1221.0,970.0,70757,80635101.0,10496,JLHL
10,2023-12-14,EQ,1100.95,1158.0,1100.95,1097.5,1138.0,1145.65,1144.71,1221.0,970.0,166288,190351186.25,9879,JLHL
11,2023-12-13,EQ,1113.95,1123.35,1062.95,1104.35,1116.2,1097.5,1099.43,1221.0,970.0,123411,135681344.7,14049,JLHL
12,2023-12-12,EQ,1110.0,1121.95,1097.7,1108.75,1105.0,1104.35,1102.71,1221.0,970.0,88134,97186224.35,5513,JLHL
13,2023-12-11,EQ,1129.8,1129.8,1092.05,1129.8,1108.5,1108.75,1110.22,1221.0,970.0,33374,37052526.65,5167,JLHL
14,2023-12-08,EQ,1120.8,1221.0,1108.0,1105.45,1130.0,1129.8,1132.65,1221.0,970.0,118704,134449678.3,17951,JLHL
15,2023-12-07,EQ,1105.95,1109.8,1094.0,1104.5,1109.75,1105.45,1103.15,1165.05,970.0,24625,27165099.95,6266,JLHL
16,2023-12-06,EQ,1111.0,1111.0,1089.1,1101.95,1105.5,1104.5,1100.57,1165.05,970.0,23719,26104308.35,3728,JLHL
17,2023-12-05,EQ,1090.0,1111.0,1082.7,1099.8,1111.0,1101.95,1101.83,1165.05,970.0,50845,56022394.6,8970,JLHL
18,2023-12-04,EQ,1093.3,1108.0,1091.85,1093.3,1100.0,1099.8,1099.55,1165.05,970.0,22629,24881608.8,4555,JLHL
19,2023-12-01,EQ,1120.0,1120.0,1076.0,1112.45,1100.0,1093.3,1091.2,1165.05,970.0,42108,45948067.7,6473,JLHL
20,2023-11-30,EQ,1112.4,1120.0,1082.75,1104.2,1106.0,1112.45,1105.45,1165.05,970.0,102744,113578489.95,14641,JLHL
21,2023-11-29,EQ,1051.55,1110.0,1051.55,1062.75,1100.2,1104.2,1089.16,1165.05,970.0,102699,111855763.35,14603,JLHL
22,2023-11-28,EQ,1075.0,1075.0,1050.5,1055.1,1056.0,1062.75,1063.61,1165.05,970.0,35489,37746613.35,4940,JLHL
23,2023-11-24,EQ,1076.7,1076.7,1048.65,1064.7,1059.0,1055.1,1060.65,1165.05,970.0,44040,46710927.2,6175,JLHL
24,2023-11-23,EQ,1015.85,1078.55,1013.6,1016.9,1070.0,1064.7,1055.69,1165.05,970.0,140149,147953928.8,17797,JLHL
25,2023-11-22,EQ,1007.0,1024.2,1002.0,1007.0,1016.0,1016.9,1013.56,1165.05,970.0,34347,34812777.55,5215,JLHL
26,2023-11-21,EQ,1007.0,1043.7,1000.05,1000.5,1014.0,1007.0,1018.1,1165.05,970.0,79852,81297539.2,10668,JLHL
27,2023-11-20,EQ,1007.75,1007.75,993.15,999.4,1001.0,1000.5,1000.01,1165.05,970.0,143412,143413970.3,7991,JLHL
28,2023-11-17,EQ,1005.0,1005.0,994.05,998.25,999.0,999.4,998.57,1165.05,970.0,27587,27547497.3,5782,JLHL
29,2023-11-16,EQ,1008.45,1017.25,996.0,1007.65,996.1,998.25,999.93,1165.05,970.0,31099,31096944.4,5682,JLHL
30,2023-11-15,EQ,1004.8,1019.15,996.0,997.15,1016.0,1007.65,1001.53,1165.05,970.0,57395,57482566.4,8068,JLHL
31,2023-11-13,EQ,1035.6,1038.0,992.5,1025.35,998.8,997.15,1013.23,1165.05,970.0,74152,75132795.2,9532,JLHL
32,2023-11-12,EQ,1040.0,1044.95,1016.0,1028.85,1020.25,1025.35,1026.22,1165.05,970.0,10025,10287810.8,1289,JLHL
33,2023-11-10,EQ,1006.1,1038.7,1006.1,1017.8,1034.8,1028.85,1021.22,1165.05,970.0,71006,72512571.35,12651,JLHL
34,2023-11-09,EQ,1015.0,1028.7,1002.7,1007.4,1012.0,1017.8,1013.66,1165.05,970.0,51102,51800068.9,8691,JLHL
35,2023-11-08,EQ,1020.05,1033.55,1003.0,1023.65,1006.0,1007.4,1017.24,1165.05,970.0,47257,48071862.75,9066,JLHL
36,2023-11-07,EQ,994.4,1040.0,994.4,1003.4,1038.0,1023.65,1016.07,1165.05,970.0,77310,78552680.15,9877,JLHL
37,2023-11-06,EQ,1018.05,1026.05,1000.0,1018.1,1004.0,1003.4,1006.62,1165.05,970.0,54363,54723081.8,4005,JLHL
