,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,316.6,324.5,313.3,316.6,318.7,318.95,319.38,411.0,82.65,652447,208375873.95,9455,JWL
1,2023-12-28,EQ,324.95,324.95,313.5,321.1,317.0,316.6,317.15,411.0,82.65,632866,200714552.1,11370,JWL
2,2023-12-27,EQ,324.9,326.0,315.0,320.3,323.15,321.1,320.89,411.0,82.65,670011,214997949.95,10476,JWL
3,2023-12-26,EQ,325.0,332.8,318.65,323.7,321.0,320.3,323.58,411.0,82.65,4217799,1364801503.35,25866,JWL
4,2023-12-22,EQ,324.0,329.4,317.1,325.85,322.7,323.7,322.56,411.0,82.65,1028879,331871573.2,17299,JWL
5,2023-12-21,EQ,307.95,327.25,305.4,311.7,327.25,325.85,320.09,411.0,82.65,940490,301039552.05,13922,JWL
6,2023-12-20,EQ,329.75,330.65,311.55,327.95,311.55,311.7,319.54,411.0,82.65,1088712,347882647.55,15862,JWL
7,2023-12-19,EQ,332.0,332.0,321.95,328.95,328.0,327.95,327.77,411.0,82.65,1008109,330427859.95,15691,JWL
8,2023-12-18,EQ,339.9,339.9,328.0,335.9,329.0,328.95,332.1,411.0,82.65,1236074,410501856.3,18017,JWL
9,2023-12-15,EQ,339.0,343.4,330.3,328.55,334.5,335.9,337.18,411.0,82.65,2775982,935997864.1,31113,JWL
10,2023-12-14,EQ,317.0,330.6,315.55,314.9,330.6,328.55,326.31,411.0,82.65,5148742,1680101103.15,30934,JWL
11,2023-12-13,EQ,314.95,318.0,311.25,314.05,314.9,314.9,314.94,411.0,82.65,654893,206255081.0,11439,JWL
12,2023-12-12,EQ,320.0,320.7,313.0,316.5,314.55,314.05,315.89,411.0,82.65,794209,250884097.05,12110,JWL
13,2023-12-11,EQ,317.85,319.0,309.5,311.5,316.7,316.5,315.04,411.0,82.65,2271146,715498987.05,25031,JWL
14,2023-12-08,EQ,310.0,319.75,307.95,323.1,313.05,311.5,312.48,411.0,82.65,4008428,1252553824.05,36871,JWL
15,2023-12-07,EQ,335.0,335.0,323.1,340.1,323.1,323.1,324.07,411.0,82.65,1311492,425017375.15,11720,JWL
16,2023-12-06,EQ,347.85,349.45,339.0,346.15,340.15,340.1,342.21,411.0,82.65,529872,181325342.9,9005,JWL
17,2023-12-05,EQ,349.4,352.0,340.15,340.1,345.95,346.15,346.75,411.0,82.65,1134218,393288843.4,13992,JWL
18,2023-12-04,EQ,346.05,350.4,339.05,341.85,340.6,340.1,343.01,411.0,82.65,641069,219895985.75,12428,JWL
19,2023-12-01,EQ,356.0,359.3,338.8,347.85,340.0,341.85,345.01,411.0,82.65,740729,255562579.45,13063,JWL
20,2023-11-30,EQ,338.0,350.0,324.4,339.15,349.8,347.85,337.73,411.0,82.65,1707728,576749310.85,25040,JWL
21,2023-11-29,EQ,333.85,342.0,331.0,333.1,339.3,339.15,337.17,411.0,82.65,808173,272490950.8,14828,JWL
22,2023-11-28,EQ,339.8,341.75,331.0,339.2,332.65,333.1,334.6,411.0,82.65,505263,169062354.95,12705,JWL
23,2023-11-24,EQ,330.95,342.95,330.95,326.65,339.0,339.2,340.59,411.0,82.65,1304247,444216999.05,16739,JWL
24,2023-11-23,EQ,340.0,343.9,323.6,335.3,329.05,326.65,333.14,411.0,82.65,570477,190048037.95,13378,JWL
25,2023-11-22,EQ,344.7,344.7,330.0,339.0,334.35,335.3,335.5,411.0,82.65,740443,248416601.65,13950,JWL
26,2023-11-21,EQ,363.05,363.05,332.75,345.8,338.05,339.0,352.08,411.0,82.65,2530540,890960043.2,36592,JWL
27,2023-11-20,EQ,335.0,345.8,334.35,329.35,345.8,345.8,344.43,411.0,82.65,1873541,645312368.9,16561,JWL
28,2023-11-17,EQ,314.8,329.35,314.1,313.7,329.35,329.35,326.72,411.0,82.65,1392618,454992382.5,12315,JWL
29,2023-11-16,EQ,322.0,322.0,312.9,315.45,314.0,313.7,316.24,411.0,82.65,339446,107344782.55,7603,JWL
30,2023-11-15,EQ,321.95,323.0,315.0,318.05,315.6,315.45,317.93,411.0,82.65,296143,94151588.75,6659,JWL
31,2023-11-13,EQ,321.8,323.0,316.8,320.9,317.2,318.05,320.25,411.0,82.65,316510,101363901.05,6444,JWL
