,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,482.9,483.4,465.1,479.55,479.9,478.9,472.06,498.15,180.15,755393,356587767.6,35788,JYOTHYLAB
1,2023-12-28,EQ,486.0,486.0,476.6,485.15,482.9,479.55,481.99,498.15,180.15,210931,101667317.5,13292,JYOTHYLAB
2,2023-12-27,EQ,480.4,497.4,480.05,478.05,482.75,485.15,487.79,498.15,180.15,847394,413350254.7,33885,JYOTHYLAB
3,2023-12-26,EQ,481.25,482.9,474.0,479.25,478.95,478.05,478.15,498.15,180.15,239363,114450367.0,14044,JYOTHYLAB
4,2023-12-22,EQ,469.9,482.55,465.05,468.55,478.1,479.25,476.81,498.15,180.15,873485,416488433.35,25761,JYOTHYLAB
5,2023-12-21,EQ,464.95,473.0,458.0,472.25,469.0,468.55,468.22,498.15,180.15,456260,213629757.8,33453,JYOTHYLAB
6,2023-12-20,EQ,473.5,483.5,466.0,471.35,467.5,472.25,475.25,498.15,180.15,1154384,548621261.65,46102,JYOTHYLAB
7,2023-12-19,EQ,461.15,498.15,461.15,461.15,471.8,471.35,480.9,498.15,180.15,3266519,1570862833.4,96083,JYOTHYLAB
8,2023-12-18,EQ,462.35,469.8,456.8,462.25,464.0,461.15,463.15,484.95,180.15,411734,190694992.55,21934,JYOTHYLAB
9,2023-12-15,EQ,463.95,468.0,458.15,462.5,460.8,462.25,462.79,484.95,180.15,560276,259292920.1,20856,JYOTHYLAB
10,2023-12-14,EQ,464.55,468.3,458.8,461.45,462.65,462.5,462.6,484.95,180.15,402092,186008394.9,20690,JYOTHYLAB
11,2023-12-13,EQ,454.95,466.0,448.3,451.6,460.0,461.45,454.77,484.95,180.15,934335,424904617.8,32966,JYOTHYLAB
12,2023-12-12,EQ,463.75,464.9,449.15,462.35,449.35,451.6,453.26,484.95,180.15,622928,282347851.35,31965,JYOTHYLAB
13,2023-12-11,EQ,455.7,471.95,453.3,453.4,462.9,462.35,464.99,484.95,180.15,788183,366499526.15,26124,JYOTHYLAB
14,2023-12-08,EQ,468.35,469.25,447.0,466.25,455.5,453.4,454.16,484.95,180.15,902639,409945867.15,36563,JYOTHYLAB
15,2023-12-07,EQ,479.5,484.95,462.0,476.7,465.0,466.25,473.52,484.95,180.15,913836,432721693.45,50073,JYOTHYLAB
