,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,3278.0,3284.95,3214.45,3286.7,3246.25,3249.45,3253.08,3308.0,1385.25,199794,649945071.25,23002,KEI
1,2023-12-28,EQ,3126.15,3308.0,3126.15,3123.3,3278.0,3286.7,3254.99,3308.0,1385.25,611727,1991164634.0,56492,KEI
2,2023-12-27,EQ,3084.0,3199.0,3067.35,3061.75,3117.9,3123.3,3125.58,3199.0,1385.25,288120,900543157.0,26396,KEI
3,2023-12-26,EQ,3065.0,3087.0,3037.55,3056.65,3062.85,3061.75,3060.94,3153.95,1385.25,105637,323348500.25,11997,KEI
4,2023-12-22,EQ,2985.0,3076.0,2970.0,2959.75,3050.0,3056.65,3044.51,3153.95,1352.95,250175,761661102.15,23125,KEI
5,2023-12-21,EQ,2944.95,2989.0,2848.55,2979.4,2965.8,2959.75,2932.55,3153.95,1352.95,351149,1029762671.1,60777,KEI
6,2023-12-20,EQ,3050.0,3050.0,2930.0,2983.35,2955.0,2979.4,2988.08,3153.95,1352.95,219556,656049802.9,19404,KEI
7,2023-12-19,EQ,3030.0,3053.5,2975.05,3037.1,2995.0,2983.35,3028.68,3153.95,1352.95,363943,1102265390.8,26598,KEI
8,2023-12-18,EQ,3049.0,3050.0,3010.15,3075.9,3038.0,3037.1,3033.51,3153.95,1352.95,131499,398903289.0,13776,KEI
9,2023-12-15,EQ,3076.0,3127.5,3001.05,3045.25,3063.9,3075.9,3038.46,3153.95,1352.95,245279,745269483.9,25473,KEI
10,2023-12-14,EQ,3029.0,3153.95,3000.0,3012.75,3045.0,3045.25,3095.18,3153.95,1352.95,461627,1428818495.4,30325,KEI
11,2023-12-13,EQ,2963.3,3021.3,2943.45,2963.3,3007.0,3012.75,2989.13,3060.0,1352.95,163635,489125792.05,17891,KEI
12,2023-12-12,EQ,2950.0,3030.0,2950.0,2930.35,2958.0,2963.3,2978.48,3060.0,1352.95,214391,638558566.7,22761,KEI
13,2023-12-11,EQ,2974.0,2995.95,2918.05,2966.6,2935.0,2930.35,2936.33,3060.0,1352.95,211079,619797097.35,20446,KEI
14,2023-12-08,EQ,3030.05,3031.15,2958.0,3032.25,2971.0,2966.6,2979.22,3060.0,1352.95,172026,512503803.55,25359,KEI
15,2023-12-07,EQ,2901.95,3060.0,2893.65,2901.8,3030.15,3032.25,3023.74,3060.0,1352.95,873692,2641813087.4,65622,KEI
16,2023-12-06,EQ,2940.5,2952.55,2858.05,2925.9,2891.0,2901.8,2883.88,2998.95,1352.95,298338,860372060.0,18208,KEI
17,2023-12-05,EQ,2889.95,2964.5,2870.65,2871.5,2926.15,2925.9,2933.35,2998.95,1352.95,258464,758165386.8,24549,KEI
18,2023-12-04,EQ,2888.95,2903.55,2840.7,2870.55,2874.0,2871.5,2862.99,2998.95,1352.95,143752,411560135.2,15547,KEI
19,2023-12-01,EQ,2894.9,2951.0,2855.1,2880.55,2860.05,2870.55,2890.6,2998.95,1352.95,135852,392693264.25,14594,KEI
20,2023-11-30,EQ,2809.0,2895.0,2801.0,2801.05,2880.0,2880.55,2853.22,2998.95,1352.95,236920,675985715.05,22396,KEI
21,2023-11-29,EQ,2790.0,2811.0,2740.05,2760.55,2809.0,2801.05,2770.87,2998.95,1352.95,180749,500831530.95,17422,KEI
22,2023-11-28,EQ,2832.0,2846.9,2740.0,2808.0,2761.0,2760.55,2765.4,2998.95,1352.95,252864,699271031.65,24460,KEI
23,2023-11-24,EQ,2824.0,2883.15,2800.0,2802.75,2802.2,2808.0,2826.25,2998.95,1352.95,174816,494073179.85,17207,KEI
24,2023-11-23,EQ,2863.9,2874.0,2773.05,2847.9,2798.0,2802.75,2796.76,2998.95,1352.95,298929,836032082.95,20455,KEI
25,2023-11-22,EQ,2959.95,2959.95,2816.0,2965.35,2850.0,2847.9,2868.25,2998.95,1352.95,468966,1345112248.7,41541,KEI
26,2023-11-21,EQ,2800.0,2998.95,2786.2,2774.8,2960.0,2965.35,2915.29,2998.95,1352.95,1027821,2996395863.1,77818,KEI
27,2023-11-20,EQ,2722.75,2814.0,2693.05,2722.75,2779.55,2774.8,2746.69,2820.0,1352.95,547577,1504025898.3,51088,KEI
28,2023-11-17,EQ,2665.0,2820.0,2629.65,2666.4,2723.0,2722.75,2757.99,2820.0,1352.95,773780,2134075002.3,55916,KEI
29,2023-11-16,EQ,2569.8,2675.0,2553.25,2553.2,2670.0,2666.4,2622.63,2815.15,1352.95,327435,858739564.05,17575,KEI
30,2023-11-15,EQ,2600.55,2602.0,2547.0,2579.05,2554.0,2553.2,2561.57,2815.15,1352.95,201096,515121469.9,18860,KEI
31,2023-11-13,EQ,2584.9,2593.85,2556.95,2571.85,2580.8,2579.05,2580.18,2815.15,1352.95,122805,316858987.7,12502,KEI
32,2023-11-12,EQ,2585.0,2602.15,2551.85,2575.45,2567.35,2571.85,2579.53,2815.15,1352.95,21286,54907827.15,3007,KEI
33,2023-11-10,EQ,2507.0,2598.0,2485.0,2528.5,2579.0,2575.45,2542.02,2815.15,1352.95,242057,615314815.5,29401,KEI
