,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-10-25,EQ,2547.0,2547.0,2412.35,2500.4,2430.5,2476.1,2473.02,3127.0,1965.0,16060,39716739.35,3090,KENNAMET
1,2023-10-23,EQ,2564.0,2564.0,2478.0,2546.8,2500.0,2500.4,2501.36,3127.0,1965.0,10373,25946653.95,2567,KENNAMET
2,2023-10-20,EQ,2660.0,2660.0,2515.85,2634.15,2560.0,2546.8,2565.86,3127.0,1965.0,16448,42203185.35,3711,KENNAMET
3,2023-10-19,EQ,2584.1,2667.0,2582.3,2595.75,2633.0,2634.15,2621.53,3127.0,1965.0,36674,96142099.85,1629,KENNAMET
4,2023-10-18,EQ,2645.0,2645.0,2555.65,2620.45,2614.0,2595.75,2588.77,3127.0,1965.0,7242,18747840.7,1425,KENNAMET
5,2023-10-17,EQ,2590.05,2638.65,2590.05,2592.3,2620.0,2620.45,2622.64,3127.0,1965.0,3611,9470342.85,1045,KENNAMET
6,2023-10-16,EQ,2585.5,2628.8,2576.0,2607.15,2576.8,2592.3,2593.67,3127.0,1965.0,3605,9350171.4,822,KENNAMET
7,2023-10-13,EQ,2596.0,2649.0,2562.0,2625.0,2562.0,2607.15,2620.78,3127.0,1965.0,6131,16068023.7,1507,KENNAMET
8,2023-10-12,EQ,2623.0,2664.0,2601.0,2617.75,2619.0,2625.0,2633.48,3127.0,1965.0,4141,10905241.25,1206,KENNAMET
9,2023-10-11,EQ,2573.0,2658.0,2569.95,2573.55,2608.0,2617.75,2618.18,3127.0,1965.0,6789,17774834.75,1696,KENNAMET
10,2023-10-10,EQ,2651.4,2670.0,2559.8,2646.65,2580.2,2573.55,2614.62,3127.0,1965.0,15195,39729109.0,2755,KENNAMET
11,2023-10-09,EQ,2664.95,2689.0,2599.85,2655.15,2630.35,2646.65,2644.72,3127.0,1965.0,6805,17997302.55,1965,KENNAMET
12,2023-10-06,EQ,2592.95,2672.95,2583.85,2592.95,2663.0,2655.15,2627.17,3127.0,1965.0,8200,21542783.0,2057,KENNAMET
13,2023-10-05,EQ,2650.0,2669.0,2562.35,2633.0,2590.0,2592.95,2619.44,3127.0,1965.0,8477,22204973.25,2433,KENNAMET
14,2023-10-04,EQ,2675.0,2675.0,2606.0,2652.95,2620.0,2633.0,2648.73,3127.0,1965.0,18809,49820033.25,2438,KENNAMET
15,2023-10-03,EQ,2674.0,2695.0,2623.05,2673.9,2655.5,2652.95,2649.93,3127.0,1965.0,22481,59573122.5,4551,KENNAMET
