,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,495.05,497.5,480.35,493.25,481.8,482.7,489.64,563.7,272.0,774692,379319201.15,27199,KFINTECH
1,2023-12-28,EQ,505.95,510.8,490.55,503.15,492.3,493.25,500.07,563.7,272.0,699377,349734331.65,28905,KFINTECH
2,2023-12-27,EQ,506.5,507.6,498.8,502.6,501.0,503.15,503.11,563.7,272.0,301110,151490268.75,15703,KFINTECH
3,2023-12-26,EQ,491.85,505.0,488.7,491.85,500.1,502.6,500.48,563.7,272.0,1041747,521377279.55,33050,KFINTECH
4,2023-12-22,EQ,492.35,494.0,484.05,485.35,492.0,491.85,489.25,563.7,272.0,499598,244428494.9,23877,KFINTECH
5,2023-12-21,EQ,465.0,493.7,456.25,468.0,487.0,485.35,485.2,563.7,272.0,1548623,751386088.3,48622,KFINTECH
6,2023-12-20,EQ,492.95,495.8,458.8,488.2,471.25,468.0,485.23,563.7,272.0,1955712,948974649.4,72519,KFINTECH
7,2023-12-19,EQ,511.45,511.6,486.0,512.9,487.5,488.2,494.6,563.7,272.0,2352453,1163522936.05,68454,KFINTECH
8,2023-12-18,EQ,510.8,522.0,505.9,514.75,511.5,512.9,515.65,563.7,272.0,1547509,797974945.9,35589,KFINTECH
9,2023-12-15,EQ,518.0,524.0,482.85,531.8,509.0,514.75,500.54,563.7,272.0,33831775,16934014980.3,160754,KFINTECH
10,2023-12-14,EQ,519.0,547.0,513.35,503.75,533.5,531.8,533.78,563.7,272.0,1302785,695395092.6,65877,KFINTECH
11,2023-12-13,EQ,514.05,514.05,493.35,511.45,505.5,503.75,501.32,563.7,272.0,204498,102519214.9,17366,KFINTECH
12,2023-12-12,EQ,521.8,527.4,506.55,517.8,515.0,511.45,514.89,563.7,272.0,229504,118169278.8,15613,KFINTECH
13,2023-12-11,EQ,522.3,526.45,516.05,519.55,517.1,517.8,518.79,563.7,272.0,101910,52869771.1,9219,KFINTECH
14,2023-12-08,EQ,544.4,544.95,515.05,539.05,520.5,519.55,524.47,563.7,272.0,201345,105599021.9,19273,KFINTECH
15,2023-12-07,EQ,532.0,552.25,529.05,531.5,536.05,539.05,539.24,563.7,272.0,206786,111507774.0,17998,KFINTECH
16,2023-12-06,EQ,528.4,535.85,525.0,530.15,527.0,531.5,530.23,563.7,272.0,106705,56578452.2,9069,KFINTECH
17,2023-12-05,EQ,542.0,542.0,525.05,536.8,530.5,530.15,531.2,563.7,272.0,200668,106594036.2,21108,KFINTECH
18,2023-12-04,EQ,546.8,548.0,533.5,535.15,533.5,536.8,538.34,563.7,272.0,126312,67998338.6,9624,KFINTECH
19,2023-12-01,EQ,534.0,544.4,530.8,529.1,534.8,535.15,538.93,563.7,272.0,177059,95422913.65,10796,KFINTECH
20,2023-11-30,EQ,525.55,534.0,523.7,525.55,532.5,529.1,526.71,563.7,272.0,392150,206550368.7,15263,KFINTECH
21,2023-11-29,EQ,529.5,531.55,521.8,525.1,527.1,525.55,525.92,563.7,272.0,245925,129336312.2,8506,KFINTECH
22,2023-11-28,EQ,529.0,532.75,522.95,525.2,525.8,525.1,525.82,563.7,272.0,207932,109334807.85,9081,KFINTECH
23,2023-11-24,EQ,517.0,535.45,512.85,513.0,529.8,525.2,527.9,563.7,272.0,603348,318505188.55,21223,KFINTECH
24,2023-11-23,EQ,520.55,524.15,510.0,520.55,511.5,513.0,515.4,563.7,272.0,326986,168528313.2,13225,KFINTECH
25,2023-11-22,EQ,526.0,526.0,518.0,524.7,520.0,520.55,521.17,563.7,272.0,94828,49421569.35,5894,KFINTECH
26,2023-11-21,EQ,538.4,538.65,524.25,533.6,525.4,524.7,527.01,563.7,272.0,163987,86422770.6,9648,KFINTECH
27,2023-11-20,EQ,536.1,537.9,522.05,531.7,534.1,533.6,531.28,563.7,272.0,224013,119013500.35,14280,KFINTECH
28,2023-11-17,EQ,528.0,563.7,526.2,526.3,531.45,531.7,544.25,563.7,272.0,643063,349986012.45,36186,KFINTECH
29,2023-11-16,EQ,526.8,538.5,521.0,524.35,528.95,526.3,529.65,538.5,272.0,393750,208550665.25,12773,KFINTECH
30,2023-11-15,EQ,524.75,534.0,517.7,514.85,525.25,524.35,524.89,534.4,272.0,320976,168477243.35,17689,KFINTECH
31,2023-11-13,EQ,529.8,529.8,512.15,527.95,518.0,514.85,516.34,534.4,272.0,209207,108021002.7,12631,KFINTECH
32,2023-11-12,EQ,521.0,530.35,514.3,511.05,528.0,527.95,526.66,534.4,272.0,189555,99831694.85,6175,KFINTECH
33,2023-11-10,EQ,510.6,534.4,506.1,509.3,514.25,511.05,521.33,534.4,272.0,1006237,524581204.6,35496,KFINTECH
34,2023-11-09,EQ,479.9,522.45,475.3,476.5,510.0,509.3,510.68,522.45,272.0,2398157,1224702214.6,69309,KFINTECH
35,2023-11-08,EQ,488.0,489.45,472.85,483.85,473.5,476.5,482.22,493.25,272.0,146211,70505823.85,8042,KFINTECH
36,2023-11-07,EQ,476.05,487.55,471.95,477.5,482.8,483.85,481.55,493.25,272.0,327261,157592551.1,15771,KFINTECH
37,2023-11-06,EQ,472.0,479.95,467.45,469.7,478.0,477.5,474.5,493.25,272.0,256636,121773575.05,11764,KFINTECH
