,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,2325.25,2390.0,2292.1,2325.25,2380.0,2376.6,2351.41,2595.0,1115.1,12968,30493068.65,1528,KINGFA
1,2023-12-28,EQ,2335.05,2375.0,2312.55,2332.1,2320.0,2325.25,2340.77,2595.0,1115.1,6295,14735125.75,1344,KINGFA
2,2023-12-27,EQ,2295.4,2384.6,2295.4,2286.7,2344.75,2332.1,2347.04,2595.0,1115.1,19010,44617201.4,3370,KINGFA
3,2023-12-26,EQ,2242.7,2350.0,2216.1,2231.5,2275.05,2286.7,2266.23,2595.0,1115.1,4199,9515892.9,628,KINGFA
4,2023-12-22,EQ,2215.5,2273.55,2212.0,2204.95,2239.0,2231.5,2239.03,2595.0,1115.1,3070,6873815.8,987,KINGFA
5,2023-12-21,EQ,2170.9,2240.0,2164.95,2203.95,2220.0,2204.95,2206.98,2595.0,1115.1,5996,13233059.7,1293,KINGFA
6,2023-12-20,EQ,2261.1,2285.55,2200.0,2261.85,2212.0,2203.95,2231.12,2595.0,1115.1,7233,16137675.6,1518,KINGFA
7,2023-12-19,EQ,2321.9,2321.9,2250.0,2310.5,2260.0,2261.85,2273.34,2595.0,1115.1,10281,23372179.65,1850,KINGFA
8,2023-12-18,EQ,2395.0,2405.0,2295.0,2383.55,2306.1,2310.5,2340.77,2595.0,1115.1,9596,22462001.65,1710,KINGFA
9,2023-12-15,EQ,2295.0,2488.0,2295.0,2293.95,2400.0,2383.55,2411.57,2595.0,1115.1,39195,94521578.5,7461,KINGFA
10,2023-12-14,EQ,2264.25,2301.25,2244.05,2264.75,2299.0,2293.95,2265.1,2595.0,1115.1,5558,12589409.85,736,KINGFA
11,2023-12-13,EQ,2285.0,2289.9,2246.1,2274.25,2250.5,2264.75,2261.09,2595.0,1115.1,2969,6713169.25,773,KINGFA
12,2023-12-12,EQ,2272.55,2309.95,2260.1,2286.95,2294.0,2274.25,2274.21,2595.0,1115.1,2432,5530875.6,652,KINGFA
13,2023-12-11,EQ,2254.6,2298.8,2210.0,2243.35,2261.5,2286.95,2242.35,2595.0,1115.1,6210,13924974.55,1246,KINGFA
14,2023-12-08,EQ,2267.5,2284.9,2215.0,2263.95,2241.0,2243.35,2243.73,2595.0,1115.1,5375,12060033.85,998,KINGFA
15,2023-12-07,EQ,2318.25,2318.25,2253.05,2306.7,2266.9,2263.95,2275.94,2595.0,1115.1,3766,8571177.75,852,KINGFA
16,2023-12-06,EQ,2340.8,2353.45,2281.05,2329.15,2330.0,2306.7,2314.37,2595.0,1115.1,5369,12425864.5,1065,KINGFA
17,2023-12-05,EQ,2312.9,2348.1,2300.55,2312.9,2331.0,2329.15,2325.91,2595.0,1115.1,7029,16348792.6,1319,KINGFA
18,2023-12-04,EQ,2250.0,2344.15,2250.0,2237.45,2292.15,2312.9,2304.36,2595.0,1115.1,7763,17888739.15,1353,KINGFA
19,2023-12-01,EQ,2267.9,2267.9,2232.05,2257.0,2235.2,2237.45,2246.82,2595.0,1115.1,4818,10825191.35,704,KINGFA
20,2023-11-30,EQ,2279.0,2280.05,2234.1,2257.25,2240.0,2257.0,2256.47,2595.0,1115.1,3286,7414750.25,510,KINGFA
21,2023-11-29,EQ,2255.35,2272.85,2211.3,2255.3,2262.35,2257.25,2252.21,2595.0,1115.1,4035,9087673.7,697,KINGFA
22,2023-11-28,EQ,2258.6,2264.0,2216.0,2247.35,2259.0,2255.3,2238.98,2595.0,1115.1,7016,15708697.2,1098,KINGFA
23,2023-11-24,EQ,2264.55,2272.0,2229.1,2253.25,2235.0,2247.35,2249.78,2595.0,1115.1,6320,14218607.0,1123,KINGFA
24,2023-11-23,EQ,2249.45,2270.45,2199.65,2238.55,2237.0,2253.25,2233.35,2595.0,1115.1,4370,9759738.4,1050,KINGFA
25,2023-11-22,EQ,2249.6,2297.9,2230.1,2241.7,2250.0,2238.55,2256.84,2595.0,1115.1,3982,8986737.55,1149,KINGFA
26,2023-11-21,EQ,2267.0,2324.45,2232.0,2257.9,2260.0,2241.7,2270.9,2595.0,1115.1,5762,13084950.3,1197,KINGFA
27,2023-11-20,EQ,2210.0,2275.0,2192.35,2208.1,2270.0,2257.9,2237.4,2595.0,1115.1,6885,15404530.1,1151,KINGFA
28,2023-11-17,EQ,2251.85,2288.0,2200.0,2255.55,2204.0,2208.1,2246.73,2595.0,1115.1,10966,24637599.25,1347,KINGFA
29,2023-11-16,EQ,2245.0,2279.9,2245.0,2256.65,2252.0,2255.55,2260.37,2595.0,1115.1,4152,9385051.5,634,KINGFA
30,2023-11-15,EQ,2242.0,2274.95,2242.0,2260.95,2245.0,2256.65,2257.99,2595.0,1115.1,6740,15218871.3,902,KINGFA
31,2023-11-13,EQ,2245.0,2274.95,2230.1,2239.5,2261.0,2260.95,2260.81,2595.0,1115.1,5231,11826304.6,971,KINGFA
32,2023-11-12,EQ,2270.0,2270.0,2226.05,2225.45,2249.5,2239.5,2245.25,2595.0,1115.1,1823,4093092.95,376,KINGFA
33,2023-11-10,EQ,2205.0,2258.35,2170.0,2197.2,2232.0,2225.45,2222.12,2595.0,1115.1,6826,15168192.9,1601,KINGFA
34,2023-11-09,EQ,2230.7,2239.1,2180.0,2230.7,2211.05,2197.2,2199.79,2595.0,1115.1,11743,25832096.0,1963,KINGFA
35,2023-11-08,EQ,2251.0,2280.0,2178.0,2298.25,2221.05,2230.7,2225.33,2595.0,1115.1,33127,73718474.8,4419,KINGFA
36,2023-11-07,EQ,2289.9,2329.95,2252.2,2284.95,2304.0,2298.25,2291.31,2595.0,1115.1,6820,15626721.15,1489,KINGFA
37,2023-11-06,EQ,2292.05,2344.9,2271.35,2288.9,2299.8,2284.95,2300.08,2595.0,1115.1,5906,13584283.4,1378,KINGFA
38,2023-11-03,EQ,2300.5,2381.65,2275.0,2300.05,2287.05,2288.9,2320.35,2595.0,1115.1,4964,11518220.5,1139,KINGFA
39,2023-11-02,EQ,2325.0,2345.0,2289.7,2289.7,2316.75,2300.05,2306.91,2595.0,1115.1,3841,8860829.5,983,KINGFA
40,2023-11-01,EQ,2389.2,2401.15,2278.0,2389.2,2280.0,2289.7,2324.54,2595.0,1115.1,4648,10804484.6,1423,KINGFA
41,2023-10-31,EQ,2290.9,2440.0,2290.25,2279.8,2380.0,2389.2,2378.91,2595.0,1115.1,16155,38431316.6,2993,KINGFA
42,2023-10-30,EQ,2262.5,2318.95,2254.0,2275.75,2285.0,2279.8,2286.28,2595.0,1115.1,3333,7620165.15,831,KINGFA
43,2023-10-27,EQ,2265.9,2318.0,2260.1,2254.6,2263.0,2275.75,2289.93,2595.0,1115.1,4112,9416210.75,1024,KINGFA
44,2023-10-26,EQ,2227.65,2277.0,2141.1,2225.6,2256.0,2254.6,2197.78,2595.0,1115.1,7494,16470129.7,1622,KINGFA
45,2023-10-25,EQ,2245.55,2291.0,2165.0,2234.35,2225.0,2225.6,2222.76,2595.0,1115.1,5621,12494132.5,1444,KINGFA
46,2023-10-23,EQ,2382.0,2408.95,2220.0,2400.25,2225.0,2234.35,2288.75,2595.0,1115.1,11074,25345572.65,2498,KINGFA
47,2023-10-20,EQ,2425.0,2472.0,2391.0,2443.55,2398.6,2400.25,2426.09,2595.0,1115.1,7706,18695462.25,2033,KINGFA
48,2023-10-19,EQ,2266.05,2479.0,2255.55,2299.8,2465.0,2443.55,2398.84,2595.0,1115.1,25678,61597379.5,4151,KINGFA
49,2023-10-18,EQ,2367.0,2369.95,2282.45,2355.2,2311.0,2299.8,2325.43,2595.0,1115.1,4179,9717955.2,1056,KINGFA
50,2023-10-17,EQ,2219.65,2395.0,2201.3,2193.0,2351.0,2355.2,2328.89,2595.0,1115.1,31938,74380069.35,5427,KINGFA
51,2023-10-16,EQ,2241.35,2241.35,2181.35,2213.25,2204.8,2193.0,2202.76,2595.0,1115.1,5682,12516064.15,864,KINGFA
52,2023-10-13,EQ,2212.35,2249.0,2210.05,2228.0,2210.05,2213.25,2219.13,2595.0,1115.1,7200,15977713.7,733,KINGFA
