,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,886.9,904.8,873.55,878.5,895.1,888.05,889.79,1061.55,286.1,156653,139387769.85,9776,KIRLOSBROS
1,2023-12-28,EQ,901.65,903.95,875.0,895.55,877.1,878.5,884.14,1061.55,286.1,38698,34214629.4,4614,KIRLOSBROS
2,2023-12-27,EQ,890.0,910.0,890.0,897.55,899.0,895.55,899.67,1061.55,286.1,20509,18451347.55,3209,KIRLOSBROS
3,2023-12-26,EQ,918.2,918.3,892.0,907.4,897.0,897.55,899.51,1061.55,286.1,25039,22522810.05,3734,KIRLOSBROS
4,2023-12-22,EQ,896.45,916.8,890.0,896.45,910.0,907.4,904.51,1061.55,286.1,29432,26621569.1,4892,KIRLOSBROS
5,2023-12-21,EQ,890.0,914.75,875.6,901.25,896.0,896.45,890.51,1061.55,286.1,50141,44650884.0,6569,KIRLOSBROS
6,2023-12-20,EQ,933.35,949.65,890.0,931.75,895.0,901.25,915.39,1061.55,286.1,34336,31430804.8,4823,KIRLOSBROS
7,2023-12-19,EQ,949.05,949.55,928.0,936.15,928.5,931.75,935.31,1061.55,286.1,15524,14519765.05,2469,KIRLOSBROS
8,2023-12-18,EQ,947.3,958.4,932.25,955.45,938.2,936.15,946.51,1061.55,286.1,33072,31303133.05,4386,KIRLOSBROS
9,2023-12-15,EQ,949.7,962.45,947.6,945.2,953.2,955.45,955.34,1061.55,286.1,34725,33174013.45,3808,KIRLOSBROS
10,2023-12-14,EQ,892.55,949.7,892.55,897.3,948.3,945.2,936.92,1061.55,286.1,81802,76641565.25,8709,KIRLOSBROS
11,2023-12-13,EQ,907.55,918.3,873.2,907.55,901.5,897.3,893.1,1061.55,286.1,85389,76260811.25,9651,KIRLOSBROS
12,2023-12-12,EQ,938.7,939.85,905.55,922.2,906.0,907.55,919.66,1061.55,286.1,63747,58625519.6,9278,KIRLOSBROS
13,2023-12-11,EQ,960.75,974.55,915.0,964.05,927.0,922.2,937.65,1061.55,286.1,77197,72383696.15,11258,KIRLOSBROS
14,2023-12-08,EQ,956.0,980.0,953.25,960.65,966.8,964.05,967.53,1061.55,286.1,54490,52720785.55,6081,KIRLOSBROS
15,2023-12-07,EQ,968.0,982.55,956.0,968.3,956.0,960.65,967.39,1061.55,286.1,102025,98697651.95,6760,KIRLOSBROS
16,2023-12-06,EQ,982.55,993.0,956.0,982.55,970.0,968.3,963.57,1061.55,286.1,79546,76647789.8,15107,KIRLOSBROS
17,2023-12-05,EQ,1029.8,1047.8,965.05,1019.7,986.5,982.55,1007.85,1061.55,286.1,109845,110707330.3,13543,KIRLOSBROS
18,2023-12-04,EQ,1000.0,1032.2,981.15,991.25,1010.5,1019.7,1006.6,1061.55,286.1,81558,82096394.75,14339,KIRLOSBROS
19,2023-12-01,EQ,988.95,1010.0,981.6,983.0,988.0,991.25,994.97,1061.55,286.1,62296,61982436.3,8149,KIRLOSBROS
20,2023-11-30,EQ,962.85,989.95,945.0,962.85,988.05,983.0,973.95,1061.55,286.1,72888,70989599.0,8838,KIRLOSBROS
21,2023-11-29,EQ,963.2,974.0,946.05,951.4,969.0,962.85,963.5,1061.55,286.1,38238,36842419.15,4477,KIRLOSBROS
22,2023-11-28,EQ,962.9,985.0,948.25,957.3,950.0,951.4,958.1,1061.55,286.1,97897,93794870.65,9588,KIRLOSBROS
23,2023-11-24,EQ,952.4,967.55,942.05,952.4,963.55,957.3,955.47,1061.55,286.1,73231,69970311.6,10391,KIRLOSBROS
24,2023-11-23,EQ,964.0,969.7,932.55,967.15,950.0,952.4,948.65,1061.55,286.1,61799,58625437.55,7903,KIRLOSBROS
25,2023-11-22,EQ,924.8,979.45,918.0,918.8,959.0,967.15,949.25,1061.55,286.1,170973,162296243.2,17911,KIRLOSBROS
26,2023-11-21,EQ,909.95,924.45,899.6,904.15,921.4,918.8,912.15,1061.55,286.1,47324,43166350.55,5677,KIRLOSBROS
27,2023-11-20,EQ,909.0,911.5,896.55,899.6,906.0,904.15,902.49,1061.55,286.1,30480,27507918.0,4568,KIRLOSBROS
28,2023-11-17,EQ,879.35,906.5,872.55,879.35,900.0,899.6,898.53,1061.55,286.1,112470,101057531.9,7326,KIRLOSBROS
29,2023-11-16,EQ,867.6,886.0,867.6,871.9,879.0,879.35,879.83,1061.55,286.1,49200,43287686.6,4245,KIRLOSBROS
30,2023-11-15,EQ,861.0,882.8,846.4,854.25,868.5,871.9,862.57,1061.55,286.1,103386,89177572.85,7514,KIRLOSBROS
31,2023-11-13,EQ,856.0,869.0,845.75,866.55,854.8,854.25,852.91,1061.55,286.1,57974,49446374.25,5699,KIRLOSBROS
32,2023-11-12,EQ,870.2,876.45,860.0,857.5,869.0,866.55,868.5,1061.55,286.1,19569,16995706.15,1712,KIRLOSBROS
33,2023-11-10,EQ,830.7,868.95,830.7,830.7,853.4,857.5,854.99,1061.55,286.1,88848,75963936.5,7413,KIRLOSBROS
34,2023-11-09,EQ,812.9,838.95,811.0,813.4,830.0,830.7,827.3,1061.55,286.1,161753,133817923.4,8912,KIRLOSBROS
35,2023-11-08,EQ,870.95,874.55,803.25,846.65,812.85,813.4,840.87,1061.55,286.1,273420,229911509.95,22779,KIRLOSBROS
36,2023-11-07,EQ,928.0,932.0,834.85,924.45,854.0,846.65,875.87,1061.55,286.1,294083,257579822.3,19403,KIRLOSBROS
37,2023-11-06,EQ,930.0,941.5,909.0,917.75,924.05,924.45,925.78,1061.55,286.1,46723,43255282.65,6438,KIRLOSBROS
38,2023-11-03,EQ,895.0,930.0,881.95,901.6,926.0,917.75,904.48,1061.55,286.1,54534,49325035.25,5475,KIRLOSBROS
39,2023-11-02,EQ,908.8,934.7,896.0,908.8,900.35,901.6,914.05,1061.55,286.1,37488,34265858.8,5044,KIRLOSBROS
40,2023-11-01,EQ,908.15,924.95,894.0,904.95,895.65,908.8,913.32,1061.55,286.1,34552,31557013.55,5588,KIRLOSBROS
41,2023-10-31,EQ,899.95,909.9,882.0,878.7,898.0,904.95,897.93,1061.55,286.1,36216,32519549.4,5232,KIRLOSBROS
42,2023-10-30,EQ,894.75,905.0,870.0,892.65,879.0,878.7,882.92,1061.55,286.1,33245,29352840.0,4998,KIRLOSBROS
43,2023-10-27,EQ,872.95,922.0,872.95,871.75,888.1,892.65,904.64,1061.55,286.1,79578,71989635.85,12287,KIRLOSBROS
44,2023-10-26,EQ,856.35,874.9,814.05,867.55,874.6,871.75,843.43,1061.55,286.1,103919,87648389.35,11387,KIRLOSBROS
45,2023-10-25,EQ,918.0,925.0,841.5,897.65,877.0,867.55,886.23,1061.55,286.1,134560,119251605.65,15559,KIRLOSBROS
46,2023-10-23,EQ,1022.1,1034.85,873.6,1004.15,890.0,897.65,916.02,1061.55,286.1,233973,214323283.0,26130,KIRLOSBROS
47,2023-10-20,EQ,1034.7,1036.7,983.45,1028.3,1000.0,1004.15,1008.98,1061.55,286.1,58857,59385366.85,9112,KIRLOSBROS
48,2023-10-19,EQ,953.1,1061.55,940.15,953.1,1032.05,1028.3,1019.76,1061.55,286.1,280333,285872256.9,27275,KIRLOSBROS
49,2023-10-18,EQ,946.0,966.25,939.0,950.55,966.25,953.1,948.32,992.7,286.1,34842,33041196.6,5283,KIRLOSBROS
50,2023-10-17,EQ,938.6,956.9,935.0,931.1,950.0,950.55,947.49,992.7,286.1,35060,33219144.65,6159,KIRLOSBROS
51,2023-10-16,EQ,942.0,953.0,913.65,955.85,939.0,931.1,932.06,992.7,286.1,55272,51516742.5,8222,KIRLOSBROS
52,2023-10-13,EQ,952.25,979.8,940.05,952.85,950.0,955.85,967.75,992.7,286.1,88419,85567796.0,9897,KIRLOSBROS
53,2023-10-12,EQ,930.0,966.0,925.65,930.95,952.5,952.85,949.05,992.7,286.1,166974,158466175.15,20544,KIRLOSBROS
54,2023-10-11,EQ,937.0,944.8,913.3,928.2,925.1,930.95,928.59,992.7,286.1,61532,57138201.9,8654,KIRLOSBROS
55,2023-10-10,EQ,881.45,947.0,881.4,878.0,927.3,928.2,918.57,992.7,286.1,155721,143040196.0,12413,KIRLOSBROS
56,2023-10-09,EQ,886.75,894.2,864.35,886.05,878.5,878.0,879.98,992.7,286.1,45447,39992454.8,5882,KIRLOSBROS
57,2023-10-06,EQ,892.0,922.4,874.35,885.3,882.0,886.05,898.72,992.7,286.1,179806,161595097.1,13525,KIRLOSBROS
58,2023-10-05,EQ,840.05,890.0,834.95,834.85,890.0,885.3,866.43,992.7,286.1,150922,130762943.55,13718,KIRLOSBROS
59,2023-10-04,EQ,815.0,838.0,810.75,824.5,834.6,834.85,824.83,992.7,286.1,79994,65981560.45,9236,KIRLOSBROS
60,2023-10-03,EQ,839.0,851.2,805.85,839.05,816.0,824.5,816.05,992.7,286.1,203805,166314612.5,16242,KIRLOSBROS
61,2023-09-29,EQ,851.45,854.45,835.0,837.15,840.5,839.05,841.82,992.7,286.1,42088,35430319.65,5942,KIRLOSBROS
62,2023-09-28,EQ,839.85,877.45,833.0,830.1,850.0,837.15,850.95,992.7,286.1,120107,102204908.5,11184,KIRLOSBROS
63,2023-09-27,EQ,829.0,843.0,813.05,818.4,830.0,830.1,825.55,992.7,286.1,135007,111454904.8,8071,KIRLOSBROS
64,2023-09-26,EQ,825.5,839.5,809.95,815.2,815.0,818.4,823.35,992.7,286.1,45956,37837949.3,7356,KIRLOSBROS
65,2023-09-25,EQ,836.9,836.9,812.1,837.0,813.0,815.2,820.97,992.7,286.1,54904,45074612.15,10782,KIRLOSBROS
66,2023-09-22,EQ,850.0,852.65,813.35,846.3,829.5,837.0,833.81,992.7,286.1,75372,62845550.55,9139,KIRLOSBROS
67,2023-09-21,EQ,854.0,859.45,835.0,851.45,845.8,846.3,844.19,992.7,286.1,56347,47567667.05,7418,KIRLOSBROS
68,2023-09-20,EQ,826.0,855.0,826.0,839.85,854.0,851.45,845.64,992.7,286.1,139139,117661177.65,9314,KIRLOSBROS
69,2023-09-18,EQ,829.0,844.4,802.05,813.2,840.05,839.85,828.55,992.7,286.1,82356,68236078.8,10849,KIRLOSBROS
70,2023-09-15,EQ,809.1,830.0,786.8,809.05,824.0,813.2,802.54,992.7,286.1,163653,131338821.55,17524,KIRLOSBROS
71,2023-09-14,EQ,791.3,820.0,787.5,787.4,813.95,809.05,807.36,992.7,286.1,54409,43927775.7,6605,KIRLOSBROS
72,2023-09-13,EQ,820.95,823.65,762.1,809.65,787.5,787.4,779.51,992.7,286.1,192674,150190677.85,21992,KIRLOSBROS
73,2023-09-12,EQ,835.0,846.5,802.6,840.75,812.0,809.65,816.21,992.7,286.1,130770,106735889.65,13422,KIRLOSBROS
74,2023-09-11,EQ,861.0,861.0,832.6,850.4,839.8,840.75,848.79,992.7,286.1,397447,337348680.6,14712,KIRLOSBROS
75,2023-09-08,EQ,863.9,864.15,848.4,857.4,850.0,850.4,853.77,992.7,286.1,138777,118483203.0,8184,KIRLOSBROS
76,2023-09-07,EQ,857.95,862.5,848.25,851.35,858.0,857.4,856.35,992.7,286.1,57451,49198200.25,4559,KIRLOSBROS
77,2023-09-06,EQ,851.95,858.2,840.55,845.35,850.0,851.35,849.87,992.7,286.1,161906,137598355.75,8143,KIRLOSBROS
78,2023-09-05,EQ,832.0,848.1,831.55,830.25,845.05,845.35,841.15,992.7,286.1,73007,61410042.9,7396,KIRLOSBROS
79,2023-09-04,EQ,830.0,846.95,825.05,830.0,830.2,830.25,832.94,992.7,286.1,78640,65502216.4,10026,KIRLOSBROS
80,2023-09-01,EQ,837.8,840.85,815.4,849.6,832.0,830.0,826.82,992.7,286.1,116864,96626051.15,10568,KIRLOSBROS
81,2023-08-31,EQ,854.5,882.0,806.85,851.8,821.95,849.6,854.05,992.7,286.1,589646,503587218.05,18891,KIRLOSBROS
82,2023-08-30,EQ,883.3,886.3,833.5,877.15,854.5,851.8,869.65,992.7,286.1,94202,81923131.3,9510,KIRLOSBROS
83,2023-08-29,EQ,885.0,885.0,863.45,872.1,878.95,877.15,873.59,992.7,286.1,74702,65258908.15,9757,KIRLOSBROS
