,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,601.0,611.85,597.05,600.95,601.0,602.4,602.66,699.85,541.05,94773,57115621.35,6321,KIRLPNU
1,2023-12-28,EQ,617.5,628.1,597.0,614.4,598.5,600.95,611.78,699.85,541.05,78399,47962670.7,8280,KIRLPNU
2,2023-12-27,EQ,606.9,623.2,599.6,599.55,614.1,614.4,609.59,699.85,541.05,99181,60459300.55,8087,KIRLPNU
3,2023-12-26,EQ,607.0,609.85,597.0,604.6,599.2,599.55,601.87,699.85,541.05,33362,20079559.1,2407,KIRLPNU
4,2023-12-22,EQ,608.65,613.85,594.9,605.65,601.5,604.6,600.63,699.85,541.05,110453,66341890.4,9174,KIRLPNU
5,2023-12-21,EQ,599.95,613.0,592.8,597.8,605.0,605.65,602.6,699.85,541.05,48441,29190654.9,5851,KIRLPNU
6,2023-12-20,EQ,613.35,621.6,591.05,612.8,599.9,597.8,604.99,699.85,541.05,57328,34682856.45,6532,KIRLPNU
7,2023-12-19,EQ,629.85,633.2,611.0,626.75,614.0,612.8,619.75,699.85,541.05,46740,28966894.2,4585,KIRLPNU
8,2023-12-18,EQ,640.55,646.7,623.65,639.35,624.3,626.75,634.05,699.85,541.05,59774,37899671.1,6972,KIRLPNU
9,2023-12-15,EQ,613.15,655.0,612.0,612.0,640.0,639.35,632.28,699.85,541.05,89736,56737836.4,5219,KIRLPNU
10,2023-12-14,EQ,623.9,623.9,609.55,615.4,610.1,612.0,613.99,699.85,541.05,33354,20479106.8,4603,KIRLPNU
11,2023-12-13,EQ,614.9,622.9,608.15,609.15,616.0,615.4,612.65,699.85,541.05,39855,24417353.05,5460,KIRLPNU
12,2023-12-12,EQ,600.0,619.4,593.9,594.75,606.0,609.15,608.75,699.85,541.05,343404,209048417.35,8205,KIRLPNU
13,2023-12-11,EQ,594.75,609.0,581.0,591.85,595.0,594.75,589.43,699.85,541.05,83545,49243834.95,9904,KIRLPNU
14,2023-12-08,EQ,588.0,610.45,585.05,579.95,590.0,591.85,597.92,699.85,541.05,81621,48803212.25,8982,KIRLPNU
15,2023-12-07,EQ,589.0,590.05,576.05,582.65,583.0,579.95,583.7,699.85,541.05,67240,39247664.0,4064,KIRLPNU
16,2023-12-06,EQ,587.6,591.95,578.0,585.3,581.0,582.65,584.86,699.85,541.05,37758,22082980.25,6341,KIRLPNU
17,2023-12-05,EQ,580.85,590.3,571.2,578.0,588.8,585.3,582.21,699.85,541.05,44467,25889203.0,6195,KIRLPNU
18,2023-12-04,EQ,585.0,588.25,574.5,576.9,576.0,578.0,579.04,699.85,541.05,136461,79016697.15,7189,KIRLPNU
19,2023-12-01,EQ,569.1,579.8,560.95,568.55,573.9,576.9,576.57,699.85,541.05,289431,166877733.25,4502,KIRLPNU
20,2023-11-30,EQ,576.7,578.35,563.0,571.7,569.1,568.55,569.84,699.85,541.05,35350,20143833.95,4857,KIRLPNU
21,2023-11-29,EQ,583.0,586.1,566.1,580.65,568.95,571.7,576.14,699.85,541.05,57288,33005859.15,7541,KIRLPNU
22,2023-11-28,EQ,584.3,594.0,578.0,577.75,580.0,580.65,584.77,699.85,541.05,153614,89829197.95,7656,KIRLPNU
23,2023-11-24,EQ,577.85,586.85,571.35,580.3,578.0,577.75,578.77,699.85,541.05,26646,15421972.25,4158,KIRLPNU
24,2023-11-23,EQ,585.1,586.9,577.05,585.1,579.0,580.3,580.8,699.85,541.05,19487,11318031.35,2326,KIRLPNU
25,2023-11-22,EQ,586.35,588.3,579.75,583.9,585.0,585.1,584.52,699.85,541.05,28873,16876871.85,2187,KIRLPNU
26,2023-11-21,EQ,578.85,594.0,575.2,578.85,576.4,583.9,582.7,699.85,541.05,57633,33582494.1,11049,KIRLPNU
27,2023-11-20,EQ,565.15,584.95,560.85,562.35,577.0,578.85,575.23,699.85,541.05,40694,23408576.5,6998,KIRLPNU
28,2023-11-17,EQ,580.0,585.0,550.0,578.45,561.55,562.35,568.29,699.85,541.05,67996,38641784.6,9118,KIRLPNU
29,2023-11-16,EQ,567.75,583.1,561.3,565.0,572.25,578.45,577.14,699.85,541.05,88679,51180455.8,6233,KIRLPNU
30,2023-11-15,EQ,571.0,572.35,557.85,565.05,565.0,565.0,565.12,699.85,541.05,90653,51229590.2,13471,KIRLPNU
31,2023-11-13,EQ,558.25,567.7,551.55,558.45,565.05,565.05,562.43,699.85,541.05,37688,21197046.35,4786,KIRLPNU
32,2023-11-12,EQ,554.25,560.0,551.4,549.4,560.0,558.45,557.62,699.85,541.05,7530,4198887.85,669,KIRLPNU
33,2023-11-10,EQ,553.65,568.0,545.85,554.2,549.0,549.4,555.93,699.85,541.05,65306,36305546.8,7812,KIRLPNU
34,2023-11-09,EQ,554.85,555.95,545.5,549.15,555.95,554.2,550.52,699.85,541.05,202998,111754997.2,8090,KIRLPNU
35,2023-11-08,EQ,563.95,563.95,546.3,559.05,550.0,549.15,551.86,699.85,541.05,52559,29005464.05,7382,KIRLPNU
36,2023-11-07,EQ,556.85,565.35,553.9,554.15,556.8,559.05,559.9,699.85,541.05,43178,24175490.55,5100,KIRLPNU
37,2023-11-06,EQ,551.8,566.6,544.5,543.1,553.0,554.15,556.86,699.85,541.05,64995,36193121.45,7580,KIRLPNU
38,2023-11-03,EQ,555.8,558.4,541.05,550.75,544.4,543.1,547.39,699.85,541.05,69555,38073858.0,5790,KIRLPNU
39,2023-11-02,EQ,559.0,564.95,549.5,552.95,549.5,550.75,553.63,699.85,542.5,93677,51862591.2,8851,KIRLPNU
40,2023-11-01,EQ,556.9,567.05,550.0,556.9,555.55,552.95,555.2,699.85,542.5,296352,164534355.65,7536,KIRLPNU
41,2023-10-31,EQ,562.55,569.0,554.0,559.85,556.0,556.9,560.39,699.85,542.5,26879,15062827.95,4249,KIRLPNU
42,2023-10-30,EQ,573.0,579.3,558.7,569.1,559.6,559.85,565.04,699.85,542.5,51193,28926213.7,4083,KIRLPNU
43,2023-10-27,EQ,578.35,595.0,562.25,568.2,566.4,569.1,572.28,699.85,542.5,312099,178606938.45,17069,KIRLPNU
44,2023-10-26,EQ,573.05,581.25,559.35,578.8,568.0,568.2,569.92,699.85,542.5,73907,42120902.8,11947,KIRLPNU
45,2023-10-25,EQ,603.65,603.65,572.4,596.45,583.0,578.8,591.02,699.85,542.5,105373,62277922.75,7087,KIRLPNU
46,2023-10-23,EQ,606.45,618.35,590.0,606.45,596.0,596.45,600.22,699.85,542.5,75119,45088085.65,8293,KIRLPNU
47,2023-10-20,EQ,625.0,639.9,603.2,633.05,605.0,606.45,618.74,699.85,542.5,124918,77291843.6,10520,KIRLPNU
48,2023-10-19,EQ,660.0,697.95,622.5,665.0,628.0,633.05,654.09,699.85,542.5,487001,318543774.2,34906,KIRLPNU
49,2023-10-18,EQ,666.45,674.0,659.9,662.25,670.0,665.0,665.01,699.85,542.5,29165,19395035.65,4106,KIRLPNU
50,2023-10-17,EQ,668.0,677.0,658.0,663.85,660.0,662.25,669.34,699.85,542.5,70087,46912050.75,5087,KIRLPNU
51,2023-10-16,EQ,665.0,676.0,662.0,673.85,664.85,663.85,668.4,699.85,542.5,30431,20339946.7,3123,KIRLPNU
52,2023-10-13,EQ,674.8,676.0,664.35,672.3,674.9,673.85,670.63,699.85,542.5,26559,17811347.75,2118,KIRLPNU
53,2023-10-12,EQ,683.8,683.8,666.65,675.1,673.95,672.3,674.04,699.85,542.5,17750,11964214.8,2173,KIRLPNU
54,2023-10-11,EQ,685.65,691.15,672.0,682.25,679.0,675.1,679.3,699.85,542.5,40100,27239967.25,5486,KIRLPNU
55,2023-10-10,EQ,668.15,691.4,663.55,668.2,683.9,682.25,680.65,699.85,542.5,43589,29669018.15,5271,KIRLPNU
56,2023-10-09,EQ,671.7,678.0,661.2,679.55,666.0,668.2,671.12,699.85,542.5,19879,13341285.35,3278,KIRLPNU
57,2023-10-06,EQ,684.85,685.0,667.2,681.8,680.0,679.55,680.24,699.85,542.5,27696,18839946.9,2938,KIRLPNU
58,2023-10-05,EQ,669.1,683.8,665.35,669.1,683.0,681.8,677.08,699.85,542.5,43832,29677870.8,3589,KIRLPNU
59,2023-10-04,EQ,673.9,673.9,652.1,670.85,670.0,669.1,662.81,699.85,542.5,60452,40067996.3,5891,KIRLPNU
60,2023-10-03,EQ,666.6,681.6,654.0,660.5,666.05,670.85,669.06,699.85,542.5,138590,92725637.4,10209,KIRLPNU
61,2023-09-29,EQ,634.0,662.7,629.25,622.95,660.2,660.5,651.12,699.85,542.5,202287,131713079.8,11023,KIRLPNU
62,2023-09-28,EQ,615.0,639.9,600.05,611.35,626.05,622.95,620.35,699.85,542.5,101539,62989852.8,4495,KIRLPNU
63,2023-09-27,EQ,618.95,618.95,607.0,613.7,613.25,611.35,612.1,699.85,542.5,26415,16168685.0,2989,KIRLPNU
64,2023-09-26,EQ,601.6,617.9,596.55,595.65,613.9,613.7,611.53,699.85,542.5,118916,72720418.15,10262,KIRLPNU
65,2023-09-25,EQ,613.0,625.4,586.35,606.8,599.9,595.65,605.02,699.85,542.5,144068,87163588.0,14350,KIRLPNU
66,2023-09-22,EQ,573.0,609.55,573.0,572.85,605.25,606.8,594.67,699.85,542.5,167213,99435743.2,13388,KIRLPNU
67,2023-09-21,EQ,575.45,580.6,559.7,572.6,573.0,572.85,569.23,699.85,542.5,99112,56417940.2,7925,KIRLPNU
68,2023-09-20,EQ,586.6,587.7,559.05,587.05,571.0,572.6,571.93,699.85,542.5,261801,149731467.05,10393,KIRLPNU
69,2023-09-18,EQ,609.0,612.05,581.3,609.25,584.8,587.05,598.89,699.85,542.5,281117,168356889.65,9300,KIRLPNU
70,2023-09-15,EQ,598.85,614.0,593.6,595.9,602.0,609.25,604.53,699.85,542.5,64886,39225332.3,6930,KIRLPNU
71,2023-09-14,EQ,601.45,614.0,576.05,597.1,596.0,595.9,588.75,699.85,542.5,130600,76890882.6,12670,KIRLPNU
72,2023-09-13,EQ,610.25,617.75,591.4,614.95,595.0,597.1,598.19,699.85,542.5,53095,31760862.95,9511,KIRLPNU
73,2023-09-12,EQ,624.0,630.0,610.0,622.2,615.0,614.95,617.66,699.85,542.5,75807,46823293.35,11215,KIRLPNU
74,2023-09-11,EQ,621.0,624.0,606.75,615.35,622.0,622.2,613.01,699.85,542.5,70348,43123778.55,3782,KIRLPNU
75,2023-09-08,EQ,612.0,623.1,611.0,615.65,612.1,615.35,616.4,699.85,542.5,55775,34379494.85,7165,KIRLPNU
76,2023-09-07,EQ,622.0,622.0,610.2,621.85,612.0,615.65,614.96,699.85,542.5,38566,23716461.0,4291,KIRLPNU
77,2023-09-06,EQ,613.65,625.05,612.2,611.0,616.3,621.85,620.0,699.85,542.5,45538,28233471.75,4296,KIRLPNU
78,2023-09-05,EQ,618.45,619.5,606.45,614.35,612.95,611.0,612.22,699.85,542.5,190687,116742540.4,6652,KIRLPNU
79,2023-09-04,EQ,629.6,635.2,610.1,624.4,615.0,614.35,622.43,699.85,542.5,108019,67233894.15,8069,KIRLPNU
80,2023-09-01,EQ,628.3,634.7,621.15,643.8,622.5,624.4,626.86,699.85,542.5,71327,44711802.0,6474,KIRLPNU
81,2023-08-31,EQ,639.8,651.0,591.0,639.8,617.4,643.8,643.02,699.85,542.5,623780,401103969.0,15018,KIRLPNU
82,2023-08-30,EQ,635.1,643.6,627.0,634.15,633.1,639.8,634.79,699.85,542.5,39861,25303543.95,4969,KIRLPNU
83,2023-08-29,EQ,635.05,645.0,630.1,634.75,635.9,634.15,636.17,699.85,542.5,78599,50002326.6,6799,KIRLPNU
84,2023-08-28,EQ,637.6,651.15,630.55,637.15,639.95,634.75,642.22,699.85,542.5,83206,53436375.35,11216,KIRLPNU
85,2023-08-25,EQ,649.55,658.5,636.0,649.55,636.05,637.15,643.49,699.85,542.5,53539,34451806.25,7640,KIRLPNU
86,2023-08-24,EQ,653.05,663.3,645.05,649.9,649.9,649.55,657.11,699.85,542.5,74924,49233141.45,8630,KIRLPNU
87,2023-08-23,EQ,658.8,663.8,647.0,648.1,650.0,649.9,653.75,699.85,542.5,213747,139736395.65,18758,KIRLPNU
88,2023-08-22,EQ,652.1,667.95,645.05,651.95,651.0,648.1,655.21,699.85,542.5,60102,39379539.8,8323,KIRLPNU
89,2023-08-21,EQ,640.0,664.95,640.0,638.3,657.75,651.95,655.14,699.85,542.5,74054,48515872.65,14514,KIRLPNU
90,2023-08-18,EQ,639.9,654.95,633.7,636.8,637.55,638.3,646.15,699.85,542.5,78477,50708166.25,9737,KIRLPNU
91,2023-08-17,EQ,659.25,666.25,622.25,650.0,641.0,636.8,651.39,699.85,542.5,82271,53590457.35,14901,KIRLPNU
92,2023-08-16,EQ,648.3,669.7,642.6,645.95,651.0,650.0,657.38,699.85,542.5,75453,49601105.05,12050,KIRLPNU
93,2023-08-14,EQ,649.75,664.45,636.6,642.2,653.0,645.95,650.23,699.85,542.5,107832,70115235.45,12595,KIRLPNU
94,2023-08-11,EQ,615.95,665.0,615.95,610.85,642.75,642.2,649.42,699.85,542.5,272177,176758373.15,31333,KIRLPNU
