,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,255.0,259.15,254.7,257.85,257.7,256.45,256.3,305.5,226.3,821509,210553967.25,18692,KNRCON
1,2023-12-28,EQ,260.2,263.2,256.3,260.15,257.5,257.85,258.8,305.5,226.3,848909,219695822.85,17913,KNRCON
2,2023-12-27,EQ,267.0,268.5,259.75,265.8,260.0,260.15,264.55,305.5,226.3,1312134,347118602.7,30482,KNRCON
3,2023-12-26,EQ,263.0,267.05,260.95,260.5,266.35,265.8,263.99,305.5,226.3,330741,87310718.35,11144,KNRCON
4,2023-12-22,EQ,261.6,262.4,258.1,259.85,260.5,260.5,260.13,305.5,226.3,473561,123188814.45,15579,KNRCON
5,2023-12-21,EQ,257.9,260.8,251.85,257.95,260.5,259.85,256.75,305.5,226.3,558361,143357366.05,19552,KNRCON
6,2023-12-20,EQ,268.0,268.8,256.0,266.7,256.9,257.95,262.76,305.5,226.3,885670,232716272.2,29058,KNRCON
7,2023-12-19,EQ,271.3,271.3,265.3,269.95,266.95,266.7,267.67,305.5,226.3,835952,223757741.0,16939,KNRCON
8,2023-12-18,EQ,270.1,274.4,268.8,269.85,269.8,269.95,270.64,305.5,226.3,762195,206280910.65,15004,KNRCON
9,2023-12-15,EQ,276.2,277.0,268.55,273.1,269.8,269.85,271.19,305.5,226.3,1111401,301401598.45,21773,KNRCON
10,2023-12-14,EQ,279.1,280.9,272.35,277.45,273.6,273.1,275.16,305.5,226.3,884090,243268788.95,21323,KNRCON
11,2023-12-13,EQ,271.7,279.05,271.25,269.7,277.5,277.45,275.3,305.5,226.3,1503008,413772488.45,24862,KNRCON
12,2023-12-12,EQ,266.2,276.2,264.75,264.55,270.0,269.7,271.78,305.5,226.3,2801131,761299081.3,29710,KNRCON
13,2023-12-11,EQ,268.9,269.2,263.7,267.75,264.0,264.55,265.28,305.5,226.3,755866,200516212.95,15519,KNRCON
14,2023-12-08,EQ,267.6,273.0,265.55,267.5,267.1,267.75,268.92,305.5,226.3,883079,237479873.45,23678,KNRCON
15,2023-12-07,EQ,274.6,274.6,265.1,273.7,268.35,267.5,268.26,305.5,226.3,1209289,324407170.85,25714,KNRCON
16,2023-12-06,EQ,270.35,275.05,268.05,268.45,273.95,273.7,272.68,305.5,226.3,1012405,276061564.75,26316,KNRCON
17,2023-12-05,EQ,271.95,276.6,267.25,269.85,269.0,268.45,270.37,305.5,226.3,1317083,356102945.0,35051,KNRCON
18,2023-12-04,EQ,287.0,289.7,269.2,285.6,269.85,269.85,274.68,305.5,226.3,3572777,981366182.1,46482,KNRCON
19,2023-12-01,EQ,294.5,294.55,285.0,291.65,285.3,285.6,288.8,305.5,226.3,659234,190385046.05,14401,KNRCON
20,2023-11-30,EQ,289.4,292.8,287.75,288.65,291.1,291.65,290.78,305.5,226.3,620660,180474143.25,19817,KNRCON
21,2023-11-29,EQ,290.85,296.9,287.75,289.4,288.25,288.65,291.9,305.5,226.3,855193,249629748.6,20275,KNRCON
22,2023-11-28,EQ,288.25,295.1,287.6,288.25,290.2,289.4,290.81,305.5,226.3,1012480,294443068.45,32301,KNRCON
23,2023-11-24,EQ,291.5,292.6,286.5,291.2,288.5,288.25,288.43,305.5,226.3,623010,179695179.1,12750,KNRCON
24,2023-11-23,EQ,295.1,297.05,287.55,293.45,290.95,291.2,291.72,305.5,226.3,836976,244163808.2,19219,KNRCON
25,2023-11-22,EQ,299.95,305.5,291.05,298.45,293.0,293.45,297.34,305.5,226.3,2656452,789872424.05,34478,KNRCON
26,2023-11-21,EQ,282.05,299.8,282.05,281.4,299.0,298.45,295.2,299.8,226.3,6404151,1890477405.35,76318,KNRCON
27,2023-11-20,EQ,282.6,288.0,279.65,281.75,281.85,281.4,283.15,291.0,226.3,944707,267492699.95,23048,KNRCON
28,2023-11-17,EQ,282.85,286.0,278.7,283.15,281.95,281.75,281.95,291.0,226.3,1212522,341864625.6,29254,KNRCON
29,2023-11-16,EQ,264.3,284.75,264.3,263.25,282.95,283.15,278.52,291.0,226.3,5431112,1512651083.4,63465,KNRCON
30,2023-11-15,EQ,269.05,269.2,262.2,263.0,263.4,263.25,263.91,291.0,226.3,613322,161862895.35,12471,KNRCON
31,2023-11-13,EQ,267.45,268.5,262.4,267.25,263.0,263.0,263.96,291.0,226.3,273670,72239218.5,6564,KNRCON
32,2023-11-12,EQ,265.8,268.5,265.8,264.65,268.45,267.25,267.47,291.0,225.05,110653,29595892.5,2260,KNRCON
33,2023-11-10,EQ,262.35,266.5,260.2,263.1,266.0,264.65,263.82,291.0,225.05,655601,172962128.1,12494,KNRCON
34,2023-11-09,EQ,267.0,268.2,260.2,266.95,263.8,263.1,263.8,291.0,225.05,781121,206056939.95,11796,KNRCON
35,2023-11-08,EQ,267.55,268.75,265.5,267.55,267.0,266.95,266.99,291.0,225.05,143946,38432378.5,3196,KNRCON
36,2023-11-07,EQ,269.25,269.65,263.55,268.0,267.0,267.55,267.02,291.0,225.05,373504,99733346.8,9528,KNRCON
37,2023-11-06,EQ,269.0,271.8,267.05,267.9,268.5,268.0,269.43,291.0,225.05,218390,58841710.95,8489,KNRCON
38,2023-11-03,EQ,266.7,269.4,264.55,264.8,267.5,267.9,267.5,291.0,218.45,461682,123501053.9,10355,KNRCON
39,2023-11-02,EQ,268.0,269.65,263.4,266.1,264.55,264.8,266.41,291.0,218.45,248618,66233233.1,8036,KNRCON
40,2023-11-01,EQ,263.95,267.0,261.65,263.95,265.8,266.1,264.05,291.0,218.45,474385,125260696.5,10367,KNRCON
41,2023-10-31,EQ,259.85,265.55,259.85,258.4,262.65,263.95,263.75,291.0,218.45,273778,72208489.75,6485,KNRCON
42,2023-10-30,EQ,263.7,264.85,257.5,263.7,259.25,258.4,260.71,291.0,218.45,625767,163143859.25,15154,KNRCON
43,2023-10-27,EQ,263.65,268.0,263.0,262.65,264.0,263.7,264.08,291.0,210.0,417917,110363100.5,10548,KNRCON
44,2023-10-26,EQ,260.25,269.7,257.0,264.5,264.6,262.65,263.31,291.0,210.0,1044358,274985306.3,22609,KNRCON
45,2023-10-25,EQ,265.0,268.0,260.5,261.45,264.5,264.5,264.27,291.0,210.0,951280,251397513.4,19597,KNRCON
46,2023-10-23,EQ,274.85,277.55,256.0,274.8,258.95,261.45,268.38,291.0,210.0,745017,199944239.8,16127,KNRCON
47,2023-10-20,EQ,273.9,278.45,272.3,272.75,274.6,274.8,275.67,291.0,202.7,503241,138728350.05,12349,KNRCON
48,2023-10-19,EQ,277.95,278.1,271.5,278.3,273.4,272.75,273.46,291.0,202.7,975074,266646496.35,16481,KNRCON
49,2023-10-18,EQ,278.4,284.95,277.2,276.2,277.6,278.3,280.06,291.0,202.7,1646159,461023685.65,19197,KNRCON
50,2023-10-17,EQ,277.95,281.5,274.25,276.8,277.5,276.2,277.19,291.0,202.7,712345,197452775.85,10950,KNRCON
51,2023-10-16,EQ,279.85,281.5,275.1,279.85,277.5,276.8,276.69,291.0,202.7,664596,183887406.7,21617,KNRCON
52,2023-10-13,EQ,277.8,285.95,277.8,278.1,279.95,279.85,281.45,291.0,202.7,967743,272367421.9,18243,KNRCON
53,2023-10-12,EQ,282.3,283.4,277.1,280.75,277.55,278.1,280.32,291.0,202.7,478049,134008474.5,10489,KNRCON
54,2023-10-11,EQ,283.65,286.5,279.5,281.4,281.0,280.75,283.15,291.0,202.7,803470,227499636.25,9840,KNRCON
55,2023-10-10,EQ,281.8,284.95,278.55,279.05,281.3,281.4,281.45,291.0,202.7,677077,190565217.65,11822,KNRCON
56,2023-10-09,EQ,281.8,285.65,277.0,281.9,277.4,279.05,280.66,291.0,202.7,734162,206050856.5,19193,KNRCON
57,2023-10-06,EQ,285.65,286.6,281.05,284.35,282.35,281.9,283.63,291.0,202.7,419304,118928382.15,7072,KNRCON
58,2023-10-05,EQ,282.95,286.7,280.25,281.35,284.8,284.35,283.99,291.0,202.7,539901,153327828.35,12537,KNRCON
59,2023-10-04,EQ,282.0,285.35,278.5,283.1,281.9,281.35,282.52,291.0,202.7,894838,252806292.35,18195,KNRCON
60,2023-10-03,EQ,283.55,288.5,278.35,284.0,282.65,283.1,284.39,291.0,202.7,1177583,334888375.7,22100,KNRCON
61,2023-09-29,EQ,287.0,290.0,282.15,284.55,283.0,284.0,284.8,291.0,202.7,785267,223647770.0,14985,KNRCON
62,2023-09-28,EQ,282.0,289.7,281.05,279.55,284.1,284.55,286.68,291.0,202.7,2238313,641672681.0,36612,KNRCON
63,2023-09-27,EQ,282.05,286.1,278.2,278.55,279.0,279.55,281.09,291.0,202.7,1024299,287916833.3,25298,KNRCON
64,2023-09-26,EQ,276.0,279.75,274.5,276.35,278.55,278.55,277.1,291.0,202.7,653366,181045209.8,14810,KNRCON
65,2023-09-25,EQ,280.0,291.0,275.05,272.65,275.85,276.35,280.22,291.0,202.7,1759024,492908182.25,20971,KNRCON
66,2023-09-22,EQ,273.0,278.55,269.5,274.15,272.2,272.65,272.96,287.0,202.7,644920,176038016.5,17799,KNRCON
67,2023-09-21,EQ,280.35,283.75,272.0,280.35,273.5,274.15,276.61,287.0,202.7,577373,159708039.3,14583,KNRCON
