,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-10-25,EQ,2512.55,2637.7,2505.6,2636.75,2581.0,2576.65,2570.42,2850.0,1475.0,5822,14964997.6,1384,KOVAI
1,2023-10-23,EQ,2702.75,2702.75,2601.1,2676.0,2615.0,2636.75,2649.52,2850.0,1475.0,5922,15690477.45,921,KOVAI
2,2023-10-20,EQ,2709.0,2709.0,2611.35,2685.25,2678.0,2676.0,2663.38,2850.0,1464.9,7820,20827642.65,1324,KOVAI
3,2023-10-19,EQ,2652.0,2707.0,2652.0,2680.35,2689.5,2685.25,2691.27,2850.0,1464.9,4107,11053054.95,901,KOVAI
4,2023-10-18,EQ,2681.1,2700.0,2648.3,2669.5,2686.0,2680.35,2666.42,2850.0,1464.9,5052,13470744.9,772,KOVAI
5,2023-10-17,EQ,2688.75,2700.0,2650.0,2688.7,2668.0,2669.5,2665.6,2850.0,1464.9,3151,8399294.35,651,KOVAI
6,2023-10-16,EQ,2695.0,2707.0,2635.0,2677.5,2700.0,2688.7,2675.33,2850.0,1464.9,7258,19417577.05,2079,KOVAI
7,2023-10-13,EQ,2730.0,2739.95,2671.1,2709.65,2700.0,2677.5,2703.95,2850.0,1450.1,5853,15826223.3,947,KOVAI
8,2023-10-12,EQ,2687.0,2768.9,2686.95,2680.45,2706.25,2709.65,2721.13,2850.0,1450.1,6216,16914567.05,1226,KOVAI
9,2023-10-11,EQ,2573.3,2700.0,2568.05,2576.35,2698.0,2680.45,2644.24,2850.0,1450.1,11669,30855677.0,1846,KOVAI
10,2023-10-10,EQ,2564.75,2594.85,2564.05,2558.65,2589.0,2576.35,2574.9,2850.0,1450.1,1900,4892317.6,319,KOVAI
11,2023-10-09,EQ,2550.0,2607.45,2550.0,2596.9,2599.0,2558.65,2573.29,2850.0,1450.1,3469,8926744.75,810,KOVAI
12,2023-10-06,EQ,2580.0,2620.25,2580.0,2588.9,2587.0,2596.9,2602.06,2850.0,1450.1,5367,13965271.9,957,KOVAI
13,2023-10-05,EQ,2531.55,2610.0,2531.55,2561.55,2598.85,2588.9,2590.7,2850.0,1450.1,2712,7025973.5,566,KOVAI
14,2023-10-04,EQ,2579.45,2589.95,2545.05,2554.0,2555.15,2561.55,2573.92,2850.0,1450.1,3931,10118096.7,800,KOVAI
15,2023-10-03,EQ,2620.0,2620.0,2550.0,2594.2,2560.0,2554.0,2568.09,2850.0,1450.1,1979,5082245.75,454,KOVAI
16,2023-09-29,EQ,2630.0,2630.0,2579.45,2596.9,2594.5,2594.2,2594.02,2850.0,1450.1,1011,2622549.95,325,KOVAI
17,2023-09-28,EQ,2559.0,2622.35,2559.0,2598.75,2597.0,2596.9,2597.81,2850.0,1450.1,2515,6533491.65,402,KOVAI
18,2023-09-27,EQ,2537.0,2624.9,2537.0,2570.3,2594.4,2598.75,2600.44,2850.0,1450.1,4133,10747618.45,551,KOVAI
19,2023-09-26,EQ,2630.0,2630.0,2555.8,2593.85,2591.3,2570.3,2585.76,2850.0,1450.1,5581,14431120.15,725,KOVAI
20,2023-09-25,EQ,2593.1,2611.1,2581.4,2594.85,2590.0,2593.85,2594.3,2850.0,1450.1,2070,5370200.25,442,KOVAI
21,2023-09-22,EQ,2624.35,2624.35,2562.8,2585.55,2593.0,2594.85,2582.86,2850.0,1450.1,2472,6384830.75,627,KOVAI
22,2023-09-21,EQ,2617.35,2620.05,2570.15,2591.5,2582.0,2585.55,2590.62,2850.0,1450.1,1266,3279730.85,336,KOVAI
23,2023-09-20,EQ,2550.0,2614.85,2532.55,2552.3,2581.0,2591.5,2590.2,2850.0,1450.1,3401,8809270.45,818,KOVAI
24,2023-09-18,EQ,2590.5,2617.35,2530.25,2614.55,2550.0,2552.3,2579.44,2850.0,1450.1,4558,11757107.35,1398,KOVAI
25,2023-09-15,EQ,2638.3,2647.25,2600.1,2621.05,2630.0,2614.55,2618.44,2850.0,1450.1,4349,11387603.8,1058,KOVAI
26,2023-09-14,EQ,2646.8,2646.8,2590.0,2607.65,2627.0,2621.05,2631.32,2850.0,1450.1,8785,23116163.25,1601,KOVAI
27,2023-09-13,EQ,2577.0,2741.95,2577.0,2588.1,2604.0,2607.65,2655.67,2850.0,1450.1,20911,55532622.8,3403,KOVAI
