,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,1505.9,1525.5,1492.0,1505.9,1520.35,1513.85,1508.65,1640.0,650.95,786524,1186588544.25,37278,KPITTECH
1,2023-12-28,EQ,1527.8,1532.0,1502.0,1517.85,1505.0,1505.9,1511.65,1640.0,650.95,676529,1022677064.45,40017,KPITTECH
2,2023-12-27,EQ,1541.0,1541.0,1496.15,1527.7,1522.0,1517.85,1512.35,1640.0,650.95,1347454,2037828171.55,114888,KPITTECH
3,2023-12-26,EQ,1547.3,1558.0,1511.0,1539.35,1529.0,1527.7,1532.5,1640.0,650.95,754780,1156697989.75,44723,KPITTECH
4,2023-12-22,EQ,1526.35,1545.9,1511.4,1516.4,1537.7,1539.35,1535.48,1640.0,622.55,1501194,2305053920.5,79824,KPITTECH
5,2023-12-21,EQ,1465.0,1525.15,1426.1,1467.35,1516.6,1516.4,1488.87,1640.0,622.55,1600844,2383455580.2,78077,KPITTECH
6,2023-12-20,EQ,1510.5,1544.9,1453.7,1501.25,1471.0,1467.35,1508.76,1640.0,622.55,1620470,2444894326.05,86450,KPITTECH
7,2023-12-19,EQ,1498.75,1520.0,1490.2,1493.5,1500.0,1501.25,1506.4,1640.0,622.55,750604,1130713333.65,43991,KPITTECH
8,2023-12-18,EQ,1518.6,1518.6,1486.4,1518.6,1493.5,1493.5,1495.69,1640.0,622.55,1051979,1573438555.85,65562,KPITTECH
9,2023-12-15,EQ,1493.5,1549.9,1468.7,1482.95,1518.0,1518.6,1519.51,1640.0,622.55,3236009,4917161499.15,107125,KPITTECH
10,2023-12-14,EQ,1497.15,1503.9,1476.0,1474.95,1488.0,1482.95,1491.03,1640.0,622.55,1267288,1889570589.4,57871,KPITTECH
11,2023-12-13,EQ,1452.5,1506.9,1445.65,1432.65,1479.0,1474.95,1477.65,1640.0,622.55,2930070,4329619841.4,112211,KPITTECH
12,2023-12-12,EQ,1474.9,1475.0,1427.15,1463.25,1432.0,1432.65,1447.66,1640.0,622.55,794787,1150581453.3,57051,KPITTECH
13,2023-12-11,EQ,1487.0,1491.3,1461.0,1478.6,1466.0,1463.25,1468.91,1640.0,622.55,459643,675171929.75,36463,KPITTECH
14,2023-12-08,EQ,1467.95,1484.5,1467.4,1458.95,1475.5,1478.6,1477.68,1640.0,622.55,585545,865248308.15,46316,KPITTECH
15,2023-12-07,EQ,1470.6,1500.0,1455.0,1462.2,1458.65,1458.95,1472.96,1640.0,622.55,949044,1397905596.7,50412,KPITTECH
16,2023-12-06,EQ,1487.9,1487.9,1456.15,1478.15,1460.95,1462.2,1463.65,1640.0,622.55,816079,1194451277.15,48251,KPITTECH
17,2023-12-05,EQ,1501.9,1506.0,1472.0,1497.25,1476.0,1478.15,1486.53,1640.0,622.55,909831,1352487640.55,50132,KPITTECH
18,2023-12-04,EQ,1500.0,1513.95,1445.6,1483.05,1495.0,1497.25,1489.5,1640.0,622.55,1382705,2059543905.15,74983,KPITTECH
19,2023-12-01,EQ,1506.95,1508.2,1476.0,1499.3,1479.0,1483.05,1489.87,1640.0,622.55,655282,976284830.45,38473,KPITTECH
20,2023-11-30,EQ,1487.05,1504.5,1470.3,1492.6,1492.95,1499.3,1489.41,1640.0,622.55,1277831,1903213822.8,82947,KPITTECH
21,2023-11-29,EQ,1490.5,1510.95,1462.4,1489.8,1486.5,1492.6,1483.29,1640.0,622.55,1052656,1561393656.95,55506,KPITTECH
22,2023-11-28,EQ,1482.85,1507.4,1477.45,1468.75,1487.9,1489.8,1493.77,1640.0,622.55,1138990,1701387985.45,65306,KPITTECH
23,2023-11-24,EQ,1454.0,1482.85,1436.1,1446.45,1471.8,1468.75,1457.16,1640.0,622.55,1609569,2345406865.15,76865,KPITTECH
24,2023-11-23,EQ,1450.0,1479.85,1420.1,1445.8,1444.0,1446.45,1449.12,1640.0,622.55,2311047,3348977912.95,103566,KPITTECH
25,2023-11-22,EQ,1485.8,1489.75,1417.65,1505.8,1444.0,1445.8,1447.94,1640.0,622.55,4220073,6110433463.75,178605,KPITTECH
26,2023-11-21,EQ,1624.0,1624.0,1492.2,1624.0,1510.0,1505.8,1534.21,1640.0,622.55,4639119,7117390100.45,222604,KPITTECH
27,2023-11-20,EQ,1539.1,1640.0,1492.5,1536.65,1614.6,1624.0,1592.62,1640.0,622.55,3968239,6319909144.3,161751,KPITTECH
28,2023-11-17,EQ,1479.95,1549.0,1465.1,1479.95,1534.0,1536.65,1506.55,1549.0,622.55,2530940,3812984719.7,114764,KPITTECH
29,2023-11-16,EQ,1389.5,1494.0,1380.1,1393.1,1481.0,1479.95,1446.1,1494.0,622.55,2299977,3325993201.6,99461,KPITTECH
30,2023-11-15,EQ,1413.85,1424.0,1374.0,1393.5,1384.0,1393.1,1396.91,1424.0,622.55,1329901,1857747506.4,62698,KPITTECH
31,2023-11-13,EQ,1415.0,1419.0,1375.15,1411.2,1395.95,1393.5,1392.99,1420.05,622.55,840457,1170746117.3,40119,KPITTECH
