,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,826.0,834.0,816.0,824.05,824.8,824.8,822.95,928.15,479.45,151046,124303084.05,10318,KPRMILL
1,2023-12-28,EQ,820.25,827.35,815.6,820.25,821.15,824.05,823.49,928.15,479.45,239696,197386381.2,16839,KPRMILL
2,2023-12-27,EQ,823.0,829.8,816.25,824.15,818.0,820.25,822.12,928.15,479.45,139243,114474060.35,11741,KPRMILL
3,2023-12-26,EQ,833.25,838.0,820.0,833.25,823.5,824.15,827.94,928.15,479.45,102444,84817048.0,8864,KPRMILL
4,2023-12-22,EQ,842.65,848.9,817.85,837.5,833.0,833.25,829.8,928.15,479.45,203391,168774059.1,15322,KPRMILL
5,2023-12-21,EQ,826.2,844.0,813.85,840.9,834.5,837.5,831.0,928.15,479.45,148690,123561805.85,15649,KPRMILL
6,2023-12-20,EQ,855.95,861.4,838.1,849.2,845.0,840.9,851.95,928.15,479.45,381884,325347340.65,22132,KPRMILL
7,2023-12-19,EQ,852.5,861.95,842.0,849.9,850.6,849.2,849.75,928.15,479.45,155200,131880942.65,12643,KPRMILL
8,2023-12-18,EQ,845.0,856.9,837.6,838.7,852.0,849.9,850.92,928.15,479.45,284330,241940703.5,19457,KPRMILL
9,2023-12-15,EQ,824.4,847.9,818.15,822.5,840.6,838.7,832.33,928.15,479.45,267860,222946747.9,16061,KPRMILL
10,2023-12-14,EQ,836.0,839.0,818.05,827.75,820.85,822.5,828.19,928.15,479.45,125719,104119408.75,10066,KPRMILL
11,2023-12-13,EQ,819.75,829.95,810.25,810.9,829.0,827.75,821.11,928.15,479.45,252328,207188168.6,13657,KPRMILL
12,2023-12-12,EQ,823.0,836.9,805.55,815.85,818.0,810.9,821.07,928.15,479.45,250663,205812921.3,18453,KPRMILL
13,2023-12-11,EQ,833.0,834.0,809.05,822.2,816.0,815.85,814.49,928.15,479.45,376482,306642063.5,14746,KPRMILL
14,2023-12-08,EQ,836.0,846.9,816.55,836.15,824.8,822.2,830.56,928.15,479.45,182640,151693546.95,16660,KPRMILL
15,2023-12-07,EQ,858.0,864.1,831.55,859.7,836.55,836.15,844.31,928.15,479.45,244715,206616072.9,18926,KPRMILL
16,2023-12-06,EQ,863.0,867.75,852.0,860.25,858.0,859.7,859.85,928.15,479.45,191023,164251394.8,12916,KPRMILL
17,2023-12-05,EQ,870.0,876.0,857.0,867.6,861.95,860.25,865.57,928.15,479.45,166081,143755489.0,14564,KPRMILL
18,2023-12-04,EQ,882.0,882.0,862.9,870.4,866.0,867.6,867.97,928.15,479.45,142181,123408305.7,11353,KPRMILL
19,2023-12-01,EQ,873.0,886.85,865.05,864.2,870.0,870.4,873.61,928.15,479.45,201649,176161858.75,14137,KPRMILL
20,2023-11-30,EQ,845.8,880.0,845.0,842.5,867.0,864.2,867.31,928.15,479.45,515764,447328668.8,32830,KPRMILL
21,2023-11-29,EQ,860.0,860.0,834.45,854.3,843.85,842.5,843.2,928.15,479.45,269978,227646052.05,18890,KPRMILL
