,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,3477.0,3480.0,3424.95,3492.45,3452.0,3466.75,3456.3,3550.0,1717.0,16626,57464471.55,4704,KSB
1,2023-12-28,EQ,3420.0,3509.95,3380.05,3427.25,3460.05,3492.45,3465.77,3550.0,1717.0,49236,170640801.0,10973,KSB
2,2023-12-27,EQ,3459.9,3470.6,3401.9,3441.0,3410.0,3427.25,3429.64,3550.0,1717.0,8671,29738427.7,3703,KSB
3,2023-12-26,EQ,3469.05,3490.2,3425.35,3469.05,3434.0,3441.0,3464.34,3550.0,1717.0,19913,68985494.65,4480,KSB
4,2023-12-22,EQ,3457.9,3496.35,3428.85,3440.45,3470.0,3469.05,3470.25,3550.0,1717.0,71751,248993827.55,9199,KSB
5,2023-12-21,EQ,3360.0,3459.9,3280.0,3358.1,3421.0,3440.45,3426.85,3550.0,1717.0,63962,219188470.45,9339,KSB
6,2023-12-20,EQ,3424.0,3463.75,3341.5,3426.3,3354.65,3358.1,3403.52,3550.0,1717.0,63443,215929763.85,10010,KSB
7,2023-12-19,EQ,3378.0,3449.0,3308.7,3337.95,3424.95,3426.3,3391.16,3550.0,1717.0,56156,190434057.75,11010,KSB
8,2023-12-18,EQ,3324.0,3452.05,3276.85,3312.3,3350.0,3337.95,3374.9,3550.0,1717.0,61568,207785707.95,15212,KSB
9,2023-12-15,EQ,3290.65,3374.0,3269.5,3261.3,3310.0,3312.3,3324.96,3550.0,1717.0,55462,184408667.2,8383,KSB
10,2023-12-14,EQ,3337.1,3389.85,3231.1,3308.45,3275.0,3261.3,3321.03,3550.0,1717.0,69685,231426311.45,7516,KSB
11,2023-12-13,EQ,3376.65,3395.95,3298.4,3376.65,3319.9,3308.45,3341.27,3550.0,1717.0,31063,103789806.35,7922,KSB
12,2023-12-12,EQ,3464.35,3493.75,3353.4,3447.1,3385.0,3376.65,3422.67,3550.0,1717.0,31208,106814643.8,9303,KSB
13,2023-12-11,EQ,3426.1,3480.05,3412.85,3426.1,3450.0,3447.1,3446.11,3550.0,1717.0,13653,47049683.45,4826,KSB
14,2023-12-08,EQ,3480.0,3480.0,3390.0,3466.2,3460.0,3426.1,3440.17,3550.0,1717.0,24004,82577852.0,5092,KSB
15,2023-12-07,EQ,3409.0,3544.0,3398.5,3402.4,3442.0,3466.2,3484.36,3550.0,1717.0,40984,142803084.75,11200,KSB
16,2023-12-06,EQ,3449.8,3449.8,3372.05,3413.7,3400.1,3402.4,3396.24,3550.0,1717.0,29263,99384227.55,7056,KSB
17,2023-12-05,EQ,3492.95,3496.5,3373.35,3463.5,3428.85,3413.7,3406.35,3550.0,1717.0,31678,107906369.15,10130,KSB
18,2023-12-04,EQ,3499.9,3550.0,3424.05,3432.9,3441.5,3463.5,3464.75,3550.0,1717.0,16668,57750386.0,6178,KSB
19,2023-12-01,EQ,3440.0,3519.95,3415.55,3422.8,3438.9,3432.9,3461.25,3519.95,1717.0,35149,121659416.6,9234,KSB
20,2023-11-30,EQ,3284.95,3496.4,3284.9,3284.95,3431.0,3422.8,3373.7,3496.4,1717.0,41580,140278360.85,9131,KSB
