,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,488.0,490.5,480.7,490.1,485.45,484.55,484.0,558.0,281.0,60484,29274430.65,5136,KSL
1,2023-12-28,EQ,483.25,493.5,482.45,485.45,488.0,490.1,487.56,558.0,281.0,207560,101197365.9,10584,KSL
2,2023-12-27,EQ,486.4,489.0,477.0,483.8,485.25,485.45,483.03,558.0,281.0,276869,133736813.55,14681,KSL
3,2023-12-26,EQ,434.7,489.8,434.7,430.45,483.0,483.8,475.62,558.0,281.0,1287794,612497258.3,59840,KSL
4,2023-12-22,EQ,435.15,435.2,428.0,432.7,430.7,430.45,432.29,558.0,281.0,193217,83525225.7,6315,KSL
5,2023-12-21,EQ,432.45,441.6,427.3,436.8,432.55,432.7,433.38,558.0,281.0,126509,54826548.85,9290,KSL
6,2023-12-20,EQ,451.15,455.0,432.05,449.55,435.65,436.8,445.16,558.0,281.0,118179,52608910.35,8157,KSL
7,2023-12-19,EQ,454.5,459.95,448.55,453.95,449.0,449.55,452.92,558.0,281.0,112099,50771513.35,6160,KSL
8,2023-12-18,EQ,461.1,461.1,452.6,458.8,453.05,453.95,456.57,558.0,281.0,118409,54061903.35,5279,KSL
9,2023-12-15,EQ,463.25,474.2,456.8,461.55,459.1,458.8,464.88,558.0,281.0,145185,67492906.35,8453,KSL
10,2023-12-14,EQ,467.0,467.05,460.0,462.75,463.0,461.55,462.79,558.0,281.0,196282,90837391.95,5355,KSL
11,2023-12-13,EQ,469.6,471.7,459.2,467.15,463.0,462.75,464.43,558.0,281.0,62179,28877704.2,4436,KSL
12,2023-12-12,EQ,481.1,483.0,466.0,476.35,472.4,467.15,473.02,558.0,281.0,75250,35594967.7,5531,KSL
13,2023-12-11,EQ,486.85,490.0,475.2,482.25,476.6,476.35,479.02,558.0,281.0,90723,43458061.5,5699,KSL
14,2023-12-08,EQ,493.0,493.0,475.05,491.9,485.0,482.25,483.29,558.0,281.0,86038,41581623.75,8149,KSL
15,2023-12-07,EQ,495.1,501.45,490.3,495.1,492.25,491.9,494.38,558.0,281.0,46962,23217173.5,5180,KSL
16,2023-12-06,EQ,498.8,498.8,487.0,495.35,494.35,495.1,494.14,558.0,281.0,70245,34711039.15,6384,KSL
17,2023-12-05,EQ,489.95,504.95,489.7,486.7,494.95,495.35,498.15,558.0,281.0,184177,91747544.9,11638,KSL
18,2023-12-04,EQ,479.05,492.7,476.25,474.45,486.95,486.7,484.61,558.0,281.0,78296,37942908.0,8260,KSL
19,2023-12-01,EQ,476.2,482.8,471.55,474.75,476.9,474.45,476.76,558.0,281.0,47695,22738899.5,4820,KSL
20,2023-11-30,EQ,473.0,477.15,466.35,475.7,475.25,474.75,473.19,558.0,281.0,29035,13739035.45,3122,KSL
21,2023-11-29,EQ,477.8,482.0,474.0,475.4,477.5,475.7,476.75,558.0,281.0,28959,13806126.3,2317,KSL
22,2023-11-28,EQ,479.45,481.85,471.3,479.45,475.0,475.4,475.27,558.0,281.0,22654,10766731.0,3267,KSL
23,2023-11-24,EQ,486.5,486.5,476.5,482.3,476.5,479.45,482.1,558.0,281.0,39853,19213284.85,3101,KSL
24,2023-11-23,EQ,480.0,490.7,477.7,477.7,483.0,482.3,483.51,558.0,281.0,66384,32097285.85,5941,KSL
25,2023-11-22,EQ,474.1,479.45,463.5,473.6,478.1,477.7,473.55,558.0,281.0,50825,24068244.25,5130,KSL
26,2023-11-21,EQ,470.1,479.7,470.1,476.15,475.0,473.6,474.84,558.0,281.0,43627,20716022.25,4526,KSL
27,2023-11-20,EQ,481.55,485.55,475.2,481.55,477.0,476.15,479.81,558.0,281.0,27001,12955421.45,2503,KSL
28,2023-11-17,EQ,480.7,486.75,478.05,475.65,482.15,481.55,482.11,558.0,281.0,48200,23237800.7,4380,KSL
29,2023-11-16,EQ,481.85,481.85,472.8,478.45,476.0,475.65,475.89,558.0,281.0,26890,12796666.65,2816,KSL
30,2023-11-15,EQ,477.0,483.8,471.7,471.7,479.0,478.45,477.39,558.0,281.0,79025,37725504.25,5417,KSL
31,2023-11-13,EQ,455.0,474.6,450.85,452.9,470.25,471.7,466.5,558.0,281.0,88722,41388457.0,6961,KSL
32,2023-11-12,EQ,445.3,459.95,445.3,451.6,450.05,452.9,451.46,558.0,281.0,24916,11248547.9,1478,KSL
33,2023-11-10,EQ,457.15,462.7,450.0,456.05,453.0,451.6,456.12,558.0,281.0,43469,19827065.1,4495,KSL
34,2023-11-09,EQ,463.75,463.75,454.4,464.6,457.15,456.05,458.7,558.0,281.0,35129,16113685.0,3674,KSL
35,2023-11-08,EQ,463.7,471.4,460.1,461.45,460.2,464.6,466.45,558.0,281.0,50209,23420157.45,4251,KSL
36,2023-11-07,EQ,460.5,467.6,454.05,458.3,460.1,461.45,462.17,558.0,281.0,73411,33928275.2,7163,KSL
37,2023-11-06,EQ,462.8,464.0,454.05,458.75,462.7,458.3,458.77,558.0,281.0,49710,22805328.65,5377,KSL
38,2023-11-03,EQ,453.4,463.45,451.3,451.1,457.15,458.75,459.57,558.0,281.0,40555,18637781.2,3992,KSL
