,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,2563.9,2584.9,2543.0,2563.9,2580.0,2577.7,2567.69,2767.1,1762.05,120889,310405117.25,14336,LALPATHLAB
1,2023-12-28,EQ,2575.0,2588.2,2542.0,2571.65,2565.0,2563.9,2557.63,2767.1,1762.05,205905,526628420.2,25730,LALPATHLAB
2,2023-12-27,EQ,2610.0,2614.9,2547.55,2600.05,2572.5,2571.65,2579.74,2767.1,1762.05,148133,382145007.6,15666,LALPATHLAB
3,2023-12-26,EQ,2619.0,2633.55,2596.0,2596.5,2596.0,2600.05,2610.1,2767.1,1762.05,168573,439993079.4,14820,LALPATHLAB
4,2023-12-22,EQ,2600.9,2658.35,2555.4,2590.8,2595.0,2596.5,2615.35,2767.1,1762.05,531342,1389644250.9,57541,LALPATHLAB
5,2023-12-21,EQ,2468.05,2618.8,2446.55,2469.65,2594.5,2590.8,2565.55,2767.1,1762.05,840234,2155660383.5,70659,LALPATHLAB
6,2023-12-20,EQ,2575.0,2602.0,2461.15,2533.0,2477.0,2469.65,2548.61,2767.1,1762.05,470107,1198119873.3,42081,LALPATHLAB
7,2023-12-19,EQ,2550.0,2587.8,2516.2,2521.95,2534.95,2533.0,2546.22,2767.1,1762.05,362372,922680484.7,34409,LALPATHLAB
8,2023-12-18,EQ,2517.1,2582.0,2494.05,2528.0,2522.55,2521.95,2544.07,2767.1,1762.05,199705,508063887.25,19952,LALPATHLAB
9,2023-12-15,EQ,2570.9,2570.9,2523.5,2539.65,2526.0,2528.0,2535.94,2767.1,1762.05,112612,285577467.9,16575,LALPATHLAB
10,2023-12-14,EQ,2555.0,2564.95,2525.05,2545.6,2538.5,2539.65,2535.49,2767.1,1762.05,198493,503277337.15,19156,LALPATHLAB
11,2023-12-13,EQ,2525.0,2550.9,2493.7,2521.0,2548.8,2545.6,2515.26,2767.1,1762.05,292130,734782995.3,26311,LALPATHLAB
12,2023-12-12,EQ,2573.45,2579.8,2513.05,2561.75,2518.5,2521.0,2535.99,2767.1,1762.05,207007,524967836.25,28790,LALPATHLAB
13,2023-12-11,EQ,2602.2,2628.9,2540.5,2638.55,2561.0,2561.75,2569.79,2767.1,1762.05,448357,1152182908.3,45665,LALPATHLAB
14,2023-12-08,EQ,2695.0,2709.55,2607.05,2690.45,2634.0,2638.55,2654.45,2767.1,1762.05,192252,510322641.1,21033,LALPATHLAB
15,2023-12-07,EQ,2693.95,2700.0,2673.6,2683.6,2695.0,2690.45,2685.91,2767.1,1762.05,96886,260227393.55,17133,LALPATHLAB
16,2023-12-06,EQ,2714.8,2720.3,2659.0,2698.3,2688.5,2683.6,2682.25,2767.1,1762.05,122190,327743695.25,11517,LALPATHLAB
17,2023-12-05,EQ,2705.0,2727.75,2681.05,2691.2,2698.35,2698.3,2701.81,2767.1,1762.05,123630,334024695.65,16872,LALPATHLAB
18,2023-12-04,EQ,2752.05,2764.75,2688.0,2743.05,2695.1,2691.2,2721.35,2767.1,1762.05,173764,472872830.55,20514,LALPATHLAB
19,2023-12-01,EQ,2709.95,2764.0,2698.15,2697.8,2740.7,2743.05,2741.7,2767.1,1762.05,275599,755611023.75,32614,LALPATHLAB
20,2023-11-30,EQ,2669.0,2716.5,2669.0,2669.0,2696.1,2697.8,2694.55,2767.1,1762.05,286388,771686735.9,29753,LALPATHLAB
21,2023-11-29,EQ,2652.8,2685.75,2642.55,2647.55,2673.0,2669.0,2667.8,2767.1,1762.05,189857,506501046.7,16918,LALPATHLAB
22,2023-11-28,EQ,2680.0,2704.75,2641.6,2687.5,2649.0,2647.55,2664.46,2767.1,1762.05,222358,592463771.8,38481,LALPATHLAB
23,2023-11-24,EQ,2610.0,2726.95,2610.0,2609.8,2687.0,2687.5,2701.85,2767.1,1762.05,508528,1373968706.5,45319,LALPATHLAB
24,2023-11-23,EQ,2690.0,2714.5,2601.7,2695.65,2617.0,2609.8,2639.0,2767.1,1762.05,204158,538772921.6,19587,LALPATHLAB
25,2023-11-22,EQ,2714.05,2739.85,2672.1,2714.05,2690.2,2695.65,2700.71,2767.1,1762.05,125313,338434029.0,13605,LALPATHLAB
26,2023-11-21,EQ,2719.8,2744.45,2697.85,2697.2,2704.7,2714.05,2724.71,2767.1,1762.05,155108,422624789.55,19453,LALPATHLAB
27,2023-11-20,EQ,2719.45,2767.1,2588.25,2698.75,2712.0,2697.2,2723.63,2767.1,1762.05,369146,1005416482.3,37724,LALPATHLAB
28,2023-11-17,EQ,2689.9,2720.0,2689.9,2680.65,2697.2,2698.75,2705.87,2744.0,1762.05,135114,365600552.35,15088,LALPATHLAB
29,2023-11-16,EQ,2634.6,2711.0,2630.4,2632.65,2688.0,2680.65,2678.92,2744.0,1762.05,296855,795251796.3,28116,LALPATHLAB
30,2023-11-15,EQ,2647.75,2647.95,2605.4,2623.1,2635.0,2632.65,2627.54,2744.0,1762.05,101668,267136292.75,14490,LALPATHLAB
31,2023-11-13,EQ,2688.0,2688.0,2618.0,2690.95,2623.0,2623.1,2636.65,2744.0,1762.05,136814,360730883.65,17824,LALPATHLAB
32,2023-11-12,EQ,2714.0,2714.0,2687.0,2676.9,2696.85,2690.95,2700.03,2744.0,1762.05,23783,64214901.5,2284,LALPATHLAB
33,2023-11-10,EQ,2724.95,2729.25,2667.1,2732.55,2678.0,2676.9,2701.21,2744.0,1762.05,262993,710399748.8,34743,LALPATHLAB
34,2023-11-09,EQ,2687.95,2744.0,2679.8,2674.45,2730.0,2732.55,2722.6,2744.0,1762.05,344271,937311108.0,36261,LALPATHLAB
35,2023-11-08,EQ,2660.0,2722.85,2659.9,2662.45,2666.0,2674.45,2695.25,2722.85,1762.05,340702,918278184.15,30165,LALPATHLAB
36,2023-11-07,EQ,2651.0,2686.75,2646.0,2646.8,2663.0,2662.45,2669.33,2686.75,1762.05,467359,1247537709.25,40287,LALPATHLAB
37,2023-11-06,EQ,2600.0,2651.0,2579.25,2594.65,2640.0,2646.8,2629.95,2651.0,1762.05,371162,976137633.95,32204,LALPATHLAB
38,2023-11-03,EQ,2471.9,2638.85,2439.0,2463.15,2593.0,2594.65,2599.57,2684.65,1762.05,1536536,3994327418.15,102330,LALPATHLAB
39,2023-11-02,EQ,2394.8,2479.95,2382.55,2380.7,2459.0,2463.15,2430.93,2684.65,1762.05,587385,1427889070.2,44771,LALPATHLAB
40,2023-11-01,EQ,2419.2,2438.95,2359.9,2419.2,2379.0,2380.7,2383.5,2684.65,1762.05,486609,1159832446.45,15225,LALPATHLAB
41,2023-10-31,EQ,2370.0,2429.15,2370.0,2363.45,2429.1,2419.2,2404.09,2684.65,1762.05,187457,450663155.95,16908,LALPATHLAB
42,2023-10-30,EQ,2362.9,2379.8,2330.25,2362.9,2364.2,2363.45,2351.14,2684.65,1762.05,181739,427293440.25,20264,LALPATHLAB
43,2023-10-27,EQ,2354.95,2394.5,2341.55,2349.25,2374.0,2362.9,2367.16,2684.65,1762.05,85046,201317334.65,13862,LALPATHLAB
44,2023-10-26,EQ,2360.1,2374.9,2312.3,2379.1,2360.0,2349.25,2340.19,2684.65,1762.05,158608,371172270.45,15309,LALPATHLAB
45,2023-10-25,EQ,2436.0,2453.85,2353.55,2442.4,2375.7,2379.1,2419.32,2684.65,1762.05,177918,430440756.45,18629,LALPATHLAB
46,2023-10-23,EQ,2500.0,2522.1,2436.15,2511.7,2438.75,2442.4,2473.92,2684.65,1762.05,94133,232877681.7,9632,LALPATHLAB
47,2023-10-20,EQ,2500.0,2559.7,2478.6,2507.65,2504.0,2511.7,2520.65,2684.65,1762.05,174816,440649121.75,18515,LALPATHLAB
48,2023-10-19,EQ,2415.1,2519.95,2390.0,2504.4,2500.05,2507.65,2457.14,2684.65,1762.05,302484,743244677.6,26512,LALPATHLAB
49,2023-10-18,EQ,2540.0,2566.1,2497.0,2546.9,2509.85,2504.4,2526.75,2684.65,1762.05,129384,326921546.9,13101,LALPATHLAB
50,2023-10-17,EQ,2556.0,2568.75,2538.75,2554.3,2550.0,2546.9,2548.71,2684.65,1762.05,188400,480176120.15,12261,LALPATHLAB
51,2023-10-16,EQ,2545.0,2575.0,2530.05,2547.4,2550.5,2554.3,2556.3,2684.65,1762.05,108498,277353797.55,12138,LALPATHLAB
52,2023-10-13,EQ,2536.0,2590.0,2531.55,2547.55,2545.0,2547.4,2561.04,2684.65,1762.05,230151,589425412.8,23584,LALPATHLAB
