,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,1278.45,1289.55,1251.7,1278.45,1256.0,1258.25,1269.36,1366.0,606.85,24301,30846801.5,3771,LGBBROSLTD
1,2023-12-28,EQ,1284.15,1292.0,1271.1,1277.75,1285.0,1278.45,1281.18,1366.0,606.85,17845,22862573.7,2774,LGBBROSLTD
2,2023-12-27,EQ,1292.35,1295.95,1270.2,1276.6,1277.0,1277.75,1283.13,1366.0,606.85,21078,27045790.05,3218,LGBBROSLTD
3,2023-12-26,EQ,1318.0,1339.7,1271.45,1312.0,1276.0,1276.6,1284.65,1366.0,606.85,47602,61151878.3,6236,LGBBROSLTD
4,2023-12-22,EQ,1316.75,1333.2,1300.35,1310.2,1315.0,1312.0,1312.45,1366.0,606.85,17066,22398194.5,3036,LGBBROSLTD
5,2023-12-21,EQ,1262.2,1318.0,1250.0,1262.2,1310.0,1310.2,1283.34,1366.0,606.85,29873,38337215.75,5255,LGBBROSLTD
6,2023-12-20,EQ,1344.95,1366.0,1250.0,1338.4,1253.0,1262.2,1307.32,1366.0,606.85,79547,103993283.0,10837,LGBBROSLTD
7,2023-12-19,EQ,1335.9,1342.15,1327.0,1329.25,1330.0,1338.4,1332.73,1351.0,606.85,26665,35537279.15,3761,LGBBROSLTD
8,2023-12-18,EQ,1336.9,1351.0,1325.8,1330.2,1338.95,1329.25,1336.66,1351.0,606.85,48768,65186420.05,5182,LGBBROSLTD
9,2023-12-15,EQ,1328.0,1344.0,1321.05,1330.4,1331.95,1330.2,1331.26,1344.0,606.85,34862,46410406.5,4314,LGBBROSLTD
10,2023-12-14,EQ,1312.4,1344.0,1307.0,1311.0,1326.4,1330.4,1325.69,1344.0,606.85,74408,98641674.1,8069,LGBBROSLTD
11,2023-12-13,EQ,1304.4,1322.65,1296.85,1302.1,1315.0,1311.0,1308.74,1322.65,606.85,55640,72818458.45,7163,LGBBROSLTD
12,2023-12-12,EQ,1287.0,1314.8,1275.0,1272.1,1302.65,1302.1,1300.76,1314.8,606.85,96527,125558039.3,10952,LGBBROSLTD
13,2023-12-11,EQ,1212.0,1299.95,1205.05,1212.0,1278.9,1272.1,1269.95,1299.95,606.85,204676,259928443.2,21029,LGBBROSLTD
14,2023-12-08,EQ,1206.45,1259.95,1181.25,1200.4,1230.0,1212.0,1224.67,1259.95,606.85,162440,198935161.2,15879,LGBBROSLTD
15,2023-12-07,EQ,1186.05,1208.0,1174.55,1186.05,1202.0,1200.4,1194.04,1237.6,606.85,31169,37217080.3,4463,LGBBROSLTD
16,2023-12-06,EQ,1209.95,1214.9,1175.85,1201.75,1193.0,1186.05,1195.08,1237.6,606.85,64902,77562949.05,6759,LGBBROSLTD
17,2023-12-05,EQ,1180.0,1215.0,1180.0,1181.9,1205.0,1201.75,1199.08,1237.6,606.85,60450,72484470.95,7164,LGBBROSLTD
18,2023-12-04,EQ,1209.9,1209.9,1162.6,1185.05,1192.0,1181.9,1191.47,1237.6,606.85,61030,72715548.0,5812,LGBBROSLTD
19,2023-12-01,EQ,1182.05,1215.0,1176.0,1176.15,1188.0,1185.05,1194.26,1237.6,606.85,71041,84841132.25,7326,LGBBROSLTD
20,2023-11-30,EQ,1157.0,1218.0,1149.8,1145.65,1170.0,1176.15,1185.78,1237.6,606.85,194697,230867056.15,20071,LGBBROSLTD
21,2023-11-29,EQ,1134.45,1147.85,1123.4,1128.8,1146.5,1145.65,1134.44,1237.6,606.85,64735,73437847.25,8759,LGBBROSLTD
22,2023-11-28,EQ,1161.0,1161.0,1121.05,1151.35,1127.0,1128.8,1138.38,1237.6,606.85,50102,57035233.5,7241,LGBBROSLTD
