,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,1346.85,1346.85,1318.55,1339.95,1325.0,1322.95,1325.85,1346.85,628.0,1330415,1763931356.5,44498,LUPIN
1,2023-12-28,EQ,1296.1,1345.75,1295.0,1288.0,1338.0,1339.95,1324.64,1345.75,628.0,3519154,4661613648.9,89130,LUPIN
2,2023-12-27,EQ,1289.0,1300.0,1280.7,1282.65,1288.0,1288.0,1292.19,1308.95,628.0,1004924,1298549218.65,42830,LUPIN
3,2023-12-26,EQ,1268.8,1290.0,1266.1,1265.1,1289.0,1282.65,1275.63,1308.95,628.0,869887,1109657416.75,28250,LUPIN
4,2023-12-22,EQ,1260.55,1285.0,1252.55,1256.8,1265.0,1265.1,1272.36,1308.95,628.0,864378,1099799264.8,43075,LUPIN
5,2023-12-21,EQ,1217.1,1259.9,1200.15,1227.6,1254.0,1256.8,1237.07,1308.95,628.0,769432,951843167.35,40692,LUPIN
6,2023-12-20,EQ,1274.9,1279.9,1220.0,1270.2,1225.5,1227.6,1254.49,1308.95,628.0,619789,777517201.6,33834,LUPIN
7,2023-12-19,EQ,1263.8,1275.0,1253.15,1257.75,1272.0,1270.2,1266.17,1308.95,628.0,798723,1011318004.9,66092,LUPIN
8,2023-12-18,EQ,1265.0,1288.15,1250.8,1246.1,1261.0,1257.75,1272.87,1308.95,628.0,1846640,2350535739.0,67993,LUPIN
9,2023-12-15,EQ,1260.0,1265.15,1243.0,1256.35,1250.0,1246.1,1250.83,1308.95,628.0,798901,999292377.75,37836,LUPIN
10,2023-12-14,EQ,1252.0,1261.4,1242.0,1251.9,1253.45,1256.35,1249.81,1308.95,628.0,760814,950873734.9,28037,LUPIN
11,2023-12-13,EQ,1244.65,1256.0,1234.9,1240.15,1251.7,1251.9,1249.3,1308.95,628.0,718971,898212991.7,32931,LUPIN
12,2023-12-12,EQ,1234.65,1250.9,1228.45,1229.65,1242.0,1240.15,1243.93,1308.95,628.0,1159956,1442908937.45,33898,LUPIN
13,2023-12-11,EQ,1239.5,1247.2,1224.05,1239.35,1229.2,1229.65,1232.92,1308.95,628.0,621598,766382174.55,38181,LUPIN
14,2023-12-08,EQ,1251.2,1256.0,1230.6,1249.0,1239.5,1239.35,1238.55,1308.95,628.0,560463,694160770.65,34187,LUPIN
15,2023-12-07,EQ,1246.05,1266.75,1245.45,1243.5,1250.95,1249.0,1254.05,1308.95,628.0,1598861,2005051098.15,68239,LUPIN
16,2023-12-06,EQ,1258.2,1266.9,1238.65,1258.2,1244.0,1243.5,1247.95,1308.95,628.0,1449739,1809201803.8,42374,LUPIN
17,2023-12-05,EQ,1265.9,1273.4,1253.65,1260.55,1263.45,1258.2,1262.49,1308.95,628.0,1104617,1394572356.45,57961,LUPIN
18,2023-12-04,EQ,1308.95,1308.95,1256.0,1296.65,1262.5,1260.55,1266.53,1308.95,628.0,1725134,2184936705.1,61818,LUPIN
19,2023-12-01,EQ,1280.9,1305.2,1276.45,1280.9,1300.0,1296.65,1293.74,1305.2,628.0,1377103,1781615258.5,44296,LUPIN
20,2023-11-30,EQ,1252.0,1290.0,1250.0,1249.55,1285.0,1280.9,1272.29,1290.0,628.0,2636118,3353897115.3,78123,LUPIN
21,2023-11-29,EQ,1253.0,1254.0,1243.85,1244.95,1247.5,1249.55,1248.88,1254.0,628.0,982589,1227139482.75,28903,LUPIN
22,2023-11-28,EQ,1243.3,1251.55,1235.75,1243.2,1243.95,1244.95,1243.44,1251.55,628.0,806664,1003035208.4,35866,LUPIN
23,2023-11-24,EQ,1220.0,1245.0,1211.6,1198.15,1242.85,1243.2,1234.22,1245.0,628.0,2748793,3392603141.8,80145,LUPIN
24,2023-11-23,EQ,1223.0,1223.9,1183.55,1218.6,1197.35,1198.15,1196.87,1240.3,628.0,940782,1125990936.4,35004,LUPIN
25,2023-11-22,EQ,1226.6,1240.3,1213.8,1221.55,1218.0,1218.6,1226.62,1240.3,628.0,1916776,2351154243.3,51550,LUPIN
26,2023-11-21,EQ,1204.9,1225.95,1198.5,1198.5,1224.15,1221.55,1217.61,1238.45,628.0,1371835,1670366700.4,49577,LUPIN
27,2023-11-20,EQ,1196.3,1215.7,1192.35,1196.3,1200.3,1198.5,1203.8,1238.45,628.0,1191689,1434559852.25,38467,LUPIN
28,2023-11-17,EQ,1197.5,1211.4,1190.0,1194.0,1198.15,1196.3,1199.51,1238.45,628.0,1349231,1618417723.8,52691,LUPIN
29,2023-11-16,EQ,1176.75,1199.45,1170.85,1170.25,1194.0,1194.0,1187.93,1238.45,628.0,946578,1124470458.05,36783,LUPIN
30,2023-11-15,EQ,1188.0,1188.0,1168.75,1173.25,1170.6,1170.25,1174.2,1238.45,628.0,1256791,1475725247.05,40021,LUPIN
31,2023-11-13,EQ,1179.1,1188.9,1153.55,1179.0,1171.45,1173.25,1170.24,1238.45,628.0,1254592,1468177276.2,48000,LUPIN
32,2023-11-12,EQ,1184.95,1188.1,1175.0,1180.15,1177.0,1179.0,1181.2,1238.45,628.0,107934,127491277.4,4581,LUPIN
33,2023-11-10,EQ,1206.55,1212.7,1173.0,1204.55,1177.6,1180.15,1186.63,1238.45,628.0,2115284,2510068440.2,77090,LUPIN
34,2023-11-09,EQ,1222.0,1238.45,1201.75,1211.1,1204.0,1204.55,1218.72,1238.45,628.0,4003157,4878709364.55,104735,LUPIN
35,2023-11-08,EQ,1202.8,1224.9,1195.6,1189.7,1205.65,1211.1,1211.28,1224.9,628.0,2038402,2469081270.1,62589,LUPIN
36,2023-11-07,EQ,1200.0,1212.35,1188.0,1199.3,1190.0,1189.7,1200.08,1215.4,628.0,1726919,2072448857.15,45248,LUPIN
37,2023-11-06,EQ,1194.0,1201.8,1185.25,1186.55,1201.0,1199.3,1191.92,1215.4,628.0,666171,794020900.75,28368,LUPIN
38,2023-11-03,EQ,1175.0,1202.55,1174.95,1169.2,1186.0,1186.55,1191.06,1215.4,628.0,1320335,1572591885.75,36142,LUPIN
39,2023-11-02,EQ,1139.8,1184.1,1135.0,1132.75,1170.5,1169.2,1172.32,1215.4,628.0,2294662,2690075388.9,71892,LUPIN
40,2023-11-01,EQ,1137.05,1142.2,1128.0,1128.15,1135.1,1132.75,1135.97,1215.4,628.0,1037234,1178270478.65,29402,LUPIN
41,2023-10-31,EQ,1141.1,1151.05,1123.0,1140.35,1125.55,1128.15,1134.66,1215.4,628.0,822793,933592340.6,26991,LUPIN
42,2023-10-30,EQ,1139.0,1149.0,1127.55,1131.65,1136.95,1140.35,1138.72,1215.4,628.0,1570477,1788329909.8,50974,LUPIN
43,2023-10-27,EQ,1141.6,1151.75,1129.1,1141.6,1131.65,1131.65,1138.77,1215.4,628.0,453195,516085728.75,19553,LUPIN
44,2023-10-26,EQ,1143.0,1149.4,1125.05,1143.7,1139.6,1141.6,1134.33,1215.4,628.0,490371,556244019.55,22336,LUPIN
45,2023-10-25,EQ,1190.0,1190.0,1135.25,1168.0,1141.0,1143.7,1152.55,1215.4,628.0,1055178,1216140777.7,30900,LUPIN
46,2023-10-23,EQ,1173.1,1188.65,1159.2,1179.65,1161.0,1168.0,1172.55,1215.4,628.0,311340,365061190.05,21617,LUPIN
47,2023-10-20,EQ,1199.95,1199.95,1173.35,1200.0,1183.0,1179.65,1183.72,1215.4,628.0,450975,533829655.55,27896,LUPIN
48,2023-10-19,EQ,1185.1,1202.0,1178.7,1191.05,1197.6,1200.0,1193.74,1215.4,628.0,654948,781840635.0,29900,LUPIN
49,2023-10-18,EQ,1193.65,1208.0,1184.35,1197.65,1189.4,1191.05,1197.49,1215.4,628.0,1827034,2187850385.8,72321,LUPIN
50,2023-10-17,EQ,1204.8,1215.4,1193.65,1198.3,1198.0,1197.65,1205.25,1215.4,628.0,908050,1094424134.05,29797,LUPIN
51,2023-10-16,EQ,1191.65,1201.55,1185.45,1187.9,1199.8,1198.3,1197.36,1201.55,628.0,673918,806923678.25,28153,LUPIN
52,2023-10-13,EQ,1171.9,1191.65,1166.1,1172.85,1190.65,1187.9,1181.51,1193.0,628.0,589089,696013754.3,34609,LUPIN
53,2023-10-12,EQ,1163.95,1193.0,1160.1,1159.85,1169.65,1172.85,1175.9,1193.0,628.0,1474920,1734362243.05,53376,LUPIN
54,2023-10-11,EQ,1151.0,1168.25,1151.0,1155.45,1156.0,1159.85,1160.29,1184.7,628.0,880739,1021908472.45,32675,LUPIN
55,2023-10-10,EQ,1149.95,1161.9,1146.5,1149.45,1157.0,1155.45,1156.9,1184.7,628.0,500300,578798924.45,37634,LUPIN
56,2023-10-09,EQ,1138.6,1160.0,1138.05,1155.05,1150.0,1149.45,1150.51,1184.7,628.0,281609,323993098.45,14820,LUPIN
57,2023-10-06,EQ,1159.05,1167.95,1152.6,1149.2,1156.2,1155.05,1157.33,1184.7,628.0,569805,659452257.25,23545,LUPIN
58,2023-10-05,EQ,1151.9,1162.35,1142.15,1151.5,1150.0,1149.2,1150.29,1184.7,628.0,328358,377706619.8,21547,LUPIN
59,2023-10-04,EQ,1172.4,1172.75,1142.05,1174.2,1150.6,1151.5,1155.11,1184.7,628.0,669860,773760929.95,27710,LUPIN
60,2023-10-03,EQ,1171.0,1181.45,1156.15,1171.25,1173.75,1174.2,1171.5,1184.7,628.0,1043096,1221983909.0,37884,LUPIN
61,2023-09-29,EQ,1133.1,1184.7,1133.1,1133.05,1168.35,1171.25,1168.17,1184.7,628.0,1933854,2259073646.45,71637,LUPIN
62,2023-09-28,EQ,1133.95,1140.0,1125.25,1132.35,1129.5,1133.05,1132.71,1174.5,628.0,451445,511354892.15,21131,LUPIN
63,2023-09-27,EQ,1108.0,1134.8,1105.1,1110.55,1131.85,1132.35,1127.75,1174.5,628.0,983157,1108750724.55,42104,LUPIN
