,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,2004.2,2004.2,1972.6,1999.2,1984.0,1982.5,1982.91,2041.15,1242.0,206530,409530547.25,14771,MANKIND
1,2023-12-28,EQ,2010.75,2013.95,1966.0,2002.3,1988.6,1999.2,1985.65,2041.15,1242.0,224038,444860063.15,32753,MANKIND
2,2023-12-27,EQ,1930.0,2030.95,1930.0,1925.75,2004.95,2002.3,1990.35,2041.15,1242.0,476644,948688381.5,37291,MANKIND
3,2023-12-26,EQ,1935.0,1938.0,1912.1,1933.3,1929.6,1925.75,1921.27,2041.15,1242.0,248178,476817961.4,12685,MANKIND
4,2023-12-22,EQ,1919.0,1938.85,1893.0,1904.2,1931.65,1933.3,1927.37,2041.15,1242.0,206448,397901973.65,25542,MANKIND
5,2023-12-21,EQ,1871.0,1940.0,1851.05,1882.95,1919.0,1904.2,1898.91,2041.15,1242.0,289330,549411149.05,28179,MANKIND
6,2023-12-20,EQ,1942.5,1956.95,1875.0,1942.45,1875.0,1882.95,1923.73,2041.15,1242.0,443045,852298383.45,24922,MANKIND
7,2023-12-19,EQ,1938.5,1954.9,1925.1,1929.6,1944.95,1942.45,1940.21,2041.15,1242.0,279840,542949185.9,23061,MANKIND
8,2023-12-18,EQ,1924.0,1944.0,1886.2,1892.95,1920.5,1929.6,1921.03,2041.15,1242.0,475455,913364346.25,30857,MANKIND
9,2023-12-15,EQ,1896.9,1936.6,1842.0,1888.6,1930.0,1892.95,1889.03,2041.15,1242.0,4577479,8646986019.05,97717,MANKIND
10,2023-12-14,EQ,1851.0,1900.0,1821.0,1858.05,1871.0,1888.6,1868.68,2041.15,1242.0,1544597,2886353651.7,80939,MANKIND
11,2023-12-13,EQ,1854.8,1879.0,1848.05,1853.1,1853.4,1858.05,1860.51,2041.15,1242.0,1431718,2663729549.65,66489,MANKIND
12,2023-12-12,EQ,1847.0,2039.1,1827.5,1920.05,1850.0,1853.1,1840.8,2041.15,1242.0,26919105,49552694203.9,202080,MANKIND
13,2023-12-11,EQ,1957.95,1957.95,1906.05,1952.85,1920.05,1920.05,1920.3,2041.15,1242.0,225223,432496198.4,13524,MANKIND
14,2023-12-08,EQ,2008.95,2016.05,1945.0,1992.25,1958.0,1952.85,1977.18,2041.15,1242.0,100528,198762363.0,12987,MANKIND
15,2023-12-07,EQ,1958.0,2010.0,1949.8,1949.8,1995.5,1992.25,1988.91,2041.15,1242.0,180769,359533506.05,11735,MANKIND
16,2023-12-06,EQ,1959.95,2016.8,1940.0,1949.7,1951.0,1949.8,1970.81,2041.15,1242.0,277862,547611953.9,26618,MANKIND
17,2023-12-05,EQ,1943.1,1962.05,1912.9,1923.85,1948.25,1949.7,1942.6,2041.15,1242.0,552800,1073869768.6,24064,MANKIND
18,2023-12-04,EQ,1944.95,1973.8,1889.95,1914.0,1911.0,1923.85,1945.65,2041.15,1242.0,211858,412200685.65,28018,MANKIND
19,2023-12-01,EQ,1898.05,1939.0,1898.05,1897.6,1905.0,1914.0,1922.95,2041.15,1242.0,183029,351955881.65,26729,MANKIND
20,2023-11-30,EQ,1905.0,1915.0,1845.5,1898.6,1899.55,1897.6,1893.11,2041.15,1242.0,279598,529309315.1,26858,MANKIND
21,2023-11-29,EQ,1896.95,1933.5,1886.5,1896.35,1897.0,1898.6,1909.92,2041.15,1242.0,106430,203273041.8,12475,MANKIND
22,2023-11-28,EQ,1912.95,1935.0,1890.0,1912.95,1903.0,1896.35,1910.86,2041.15,1242.0,125665,240127715.4,10897,MANKIND
23,2023-11-24,EQ,1934.0,1943.7,1901.0,1934.0,1909.0,1912.95,1923.43,2041.15,1242.0,97869,188244138.45,9981,MANKIND
24,2023-11-23,EQ,1938.8,1942.0,1920.0,1934.9,1934.0,1934.0,1932.24,2041.15,1242.0,75203,145310484.3,9894,MANKIND
25,2023-11-22,EQ,1955.0,1959.95,1910.2,1946.65,1932.7,1934.9,1939.16,2041.15,1242.0,149212,289345353.55,16435,MANKIND
26,2023-11-21,EQ,2020.0,2041.15,1925.3,2012.9,1949.95,1946.65,1978.35,2041.15,1242.0,295838,585270733.0,23752,MANKIND
27,2023-11-20,EQ,1949.0,2035.0,1942.2,1920.1,2012.0,2012.9,1999.21,2035.0,1242.0,801122,1601609474.7,44234,MANKIND
28,2023-11-17,EQ,1871.0,1925.0,1868.35,1873.85,1918.0,1920.1,1910.08,1949.0,1242.0,307131,586643276.2,24771,MANKIND
29,2023-11-16,EQ,1862.0,1897.95,1857.0,1862.35,1871.95,1873.85,1880.06,1949.0,1242.0,170239,320059061.45,15058,MANKIND
30,2023-11-15,EQ,1839.95,1885.0,1839.95,1835.95,1861.5,1862.35,1863.08,1949.0,1242.0,146241,272459394.4,13032,MANKIND
31,2023-11-13,EQ,1839.0,1860.0,1823.5,1837.1,1835.65,1835.95,1841.32,1949.0,1242.0,86773,159777258.5,7635,MANKIND
32,2023-11-12,EQ,1833.3,1851.95,1832.55,1833.3,1838.0,1837.1,1840.43,1949.0,1242.0,18155,33412976.35,1930,MANKIND
33,2023-11-10,EQ,1820.0,1852.0,1810.0,1817.1,1823.05,1833.3,1839.02,1949.0,1242.0,102103,187768982.2,7791,MANKIND
34,2023-11-09,EQ,1851.05,1857.65,1801.55,1843.6,1820.0,1817.1,1834.38,1949.0,1242.0,160916,295181603.1,17520,MANKIND
