,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,164.7,164.7,159.5,163.65,161.35,161.1,161.15,172.0,57.9,1863222,300262671.35,25848,MARKSANS
1,2023-12-28,EQ,162.9,168.9,161.0,159.75,163.65,163.65,165.26,172.0,57.9,4033737,666627897.2,47467,MARKSANS
2,2023-12-27,EQ,161.5,164.5,158.9,158.7,159.35,159.75,161.54,172.0,57.9,1471935,237781640.9,25646,MARKSANS
3,2023-12-26,EQ,160.35,161.3,158.0,160.05,158.9,158.7,159.64,172.0,57.9,656425,104790553.4,10350,MARKSANS
4,2023-12-22,EQ,160.05,161.95,157.0,159.15,159.85,160.05,160.13,172.0,57.9,1049160,168003522.45,12709,MARKSANS
5,2023-12-21,EQ,146.5,159.5,146.0,150.15,159.45,159.15,155.05,172.0,57.9,1574957,244193770.35,18676,MARKSANS
6,2023-12-20,EQ,161.0,165.0,146.0,160.6,149.8,150.15,155.7,172.0,57.9,2130230,331668574.05,23096,MARKSANS
7,2023-12-19,EQ,160.45,162.8,160.1,160.45,160.4,160.6,160.99,172.0,57.9,581902,93681913.9,6951,MARKSANS
8,2023-12-18,EQ,162.15,164.0,160.0,162.15,161.0,160.45,161.69,172.0,57.9,718789,116218723.8,8943,MARKSANS
9,2023-12-15,EQ,164.65,165.65,160.55,163.85,161.2,162.15,162.96,172.0,57.9,751665,122487953.5,9710,MARKSANS
10,2023-12-14,EQ,164.45,165.9,162.9,161.85,163.65,163.85,164.15,172.0,57.9,828336,135974398.45,9528,MARKSANS
11,2023-12-13,EQ,159.6,162.4,158.8,158.75,162.25,161.85,160.78,172.0,57.9,731718,117644418.6,9312,MARKSANS
12,2023-12-12,EQ,163.7,163.75,157.0,163.15,158.65,158.75,160.07,172.0,57.9,998856,159891143.65,13977,MARKSANS
13,2023-12-11,EQ,161.7,163.7,160.7,161.15,163.5,163.15,162.49,172.0,57.9,864657,140495766.7,12037,MARKSANS
14,2023-12-08,EQ,159.8,162.4,157.8,159.25,160.5,161.15,160.78,172.0,57.9,944770,151898051.0,12107,MARKSANS
15,2023-12-07,EQ,165.5,165.5,157.35,164.95,159.5,159.25,159.77,172.0,57.9,1666573,266266650.35,19106,MARKSANS
16,2023-12-06,EQ,163.7,167.2,163.55,163.55,165.0,164.95,165.17,172.0,57.9,1329231,219550418.5,14048,MARKSANS
17,2023-12-05,EQ,171.2,172.0,163.0,170.65,163.9,163.55,165.6,172.0,57.9,3052034,505425453.0,28476,MARKSANS
18,2023-12-04,EQ,169.0,172.0,167.0,165.7,169.85,170.65,170.45,172.0,57.9,4276817,728995957.75,34251,MARKSANS
19,2023-12-01,EQ,167.3,169.35,164.65,166.35,165.0,165.7,167.11,169.35,57.3,3960071,661773995.7,31272,MARKSANS
20,2023-11-30,EQ,159.95,167.5,156.5,159.65,166.2,166.35,163.68,167.5,57.3,11486195,1880083661.7,73839,MARKSANS
21,2023-11-29,EQ,144.0,165.0,141.8,142.7,159.55,159.65,158.44,165.0,57.3,17626953,2792850830.75,103348,MARKSANS
22,2023-11-28,EQ,142.75,144.1,141.5,141.85,143.0,142.7,142.81,147.9,57.3,1823630,260432103.55,16046,MARKSANS
23,2023-11-24,EQ,145.0,145.65,141.0,144.7,142.0,141.85,142.9,147.9,53.1,2014210,287832091.8,17522,MARKSANS
24,2023-11-23,EQ,140.4,147.9,139.35,139.65,144.75,144.7,145.21,147.9,53.1,7513608,1091060773.35,42730,MARKSANS
25,2023-11-22,EQ,140.0,143.0,137.85,139.0,139.7,139.65,140.56,144.9,53.1,2805017,394280463.5,20214,MARKSANS
26,2023-11-21,EQ,139.25,140.35,136.7,137.85,139.9,139.0,138.77,144.9,53.1,2039639,283047528.4,15620,MARKSANS
27,2023-11-20,EQ,141.2,141.7,135.65,140.25,138.15,137.85,138.1,144.9,53.1,2353799,325068696.9,17905,MARKSANS
28,2023-11-17,EQ,142.0,144.5,139.5,140.75,140.0,140.25,141.5,144.9,49.6,3985453,563943249.55,23188,MARKSANS
29,2023-11-16,EQ,133.7,142.2,131.95,133.4,141.9,140.75,138.06,144.9,49.6,7838193,1082121742.0,37469,MARKSANS
30,2023-11-15,EQ,140.1,140.9,132.3,138.15,133.1,133.4,134.41,144.9,49.6,5773422,776025262.6,36966,MARKSANS
31,2023-11-13,EQ,137.8,144.9,136.15,137.8,138.8,138.15,141.58,144.9,49.6,9166000,1297677660.2,48086,MARKSANS
32,2023-11-12,EQ,134.5,138.8,133.05,130.35,138.7,137.8,137.57,138.8,49.1,4593137,631857038.05,29557,MARKSANS
33,2023-11-10,EQ,125.85,132.2,125.0,123.85,129.9,130.35,129.42,132.2,49.1,14091599,1823714478.25,67605,MARKSANS
34,2023-11-09,EQ,117.0,128.65,113.75,116.3,125.0,123.85,123.0,128.65,49.1,19729698,2426848586.2,92607,MARKSANS
35,2023-11-08,EQ,115.0,116.9,114.65,114.15,116.6,116.3,116.11,122.5,49.1,1583525,183857921.95,10953,MARKSANS
36,2023-11-07,EQ,117.0,118.5,113.7,116.95,114.2,114.15,116.47,122.5,49.1,2556866,297792345.85,16372,MARKSANS
37,2023-11-06,EQ,113.0,117.55,112.35,112.6,116.7,116.95,115.77,122.5,49.1,4948339,572884162.15,24965,MARKSANS
38,2023-11-03,EQ,109.9,117.15,109.2,109.2,113.3,112.6,114.11,122.5,47.35,6894113,786706319.1,34473,MARKSANS
39,2023-11-02,EQ,110.1,110.6,107.4,109.15,108.95,109.2,109.24,122.5,47.35,1157974,126491394.65,9278,MARKSANS
40,2023-11-01,EQ,105.55,112.2,105.05,105.55,109.25,109.15,109.32,122.5,47.35,3663373,400471919.65,22747,MARKSANS
41,2023-10-31,EQ,104.8,106.2,104.0,104.35,105.7,105.55,105.08,122.5,47.35,809854,85098844.65,6425,MARKSANS
42,2023-10-30,EQ,103.55,105.0,102.1,103.35,104.75,104.35,103.39,122.5,47.35,1002521,103650185.1,7133,MARKSANS
43,2023-10-27,EQ,105.55,106.6,103.0,105.0,103.35,103.35,104.06,122.5,47.35,1005303,104607646.2,10894,MARKSANS
44,2023-10-26,EQ,100.55,108.9,97.45,101.5,105.6,105.0,100.9,122.5,47.35,2438926,246080324.5,22991,MARKSANS
45,2023-10-25,EQ,101.4,105.05,99.5,101.15,101.6,101.5,101.96,122.5,47.35,1466007,149469003.5,13402,MARKSANS
46,2023-10-23,EQ,107.2,108.15,99.5,106.85,101.0,101.15,103.78,122.5,47.35,1970138,204460006.75,20163,MARKSANS
47,2023-10-20,EQ,108.8,109.9,106.0,108.95,107.5,106.85,108.29,122.5,47.0,1049621,113666392.1,13726,MARKSANS
48,2023-10-19,EQ,110.45,110.55,108.2,110.85,109.3,108.95,109.14,122.5,47.0,1118506,122077841.1,6952,MARKSANS
49,2023-10-18,EQ,111.9,114.4,110.35,111.25,110.5,110.85,111.88,122.5,47.0,1479833,165557132.1,11271,MARKSANS
50,2023-10-17,EQ,110.2,112.1,110.2,110.1,111.3,111.25,111.18,122.5,47.0,887955,98727273.55,16699,MARKSANS
51,2023-10-16,EQ,111.95,112.2,109.5,111.3,110.3,110.1,110.26,122.5,47.0,1032022,113795349.65,6738,MARKSANS
52,2023-10-13,EQ,111.0,112.7,110.25,110.0,111.25,111.3,111.4,122.5,45.8,1299958,144810669.9,9205,MARKSANS
53,2023-10-12,EQ,108.5,113.35,108.5,108.15,110.3,110.0,111.39,122.5,45.8,3530796,393289823.05,18611,MARKSANS
54,2023-10-11,EQ,107.6,108.65,107.4,107.05,108.5,108.15,108.07,122.5,45.8,1355029,146437501.25,6396,MARKSANS
55,2023-10-10,EQ,107.4,107.95,106.8,105.85,107.1,107.05,107.31,122.5,45.8,759826,81536817.25,6375,MARKSANS
56,2023-10-09,EQ,105.5,108.2,104.95,109.1,105.9,105.85,106.61,122.5,45.8,1310743,139733204.05,14083,MARKSANS
57,2023-10-06,EQ,108.0,109.6,107.45,107.65,109.2,109.1,108.78,122.5,45.8,759993,82670971.55,5613,MARKSANS
58,2023-10-05,EQ,108.9,109.65,106.7,108.55,107.5,107.65,107.67,122.5,45.8,878343,94574007.8,8791,MARKSANS
59,2023-10-04,EQ,109.5,109.65,106.7,109.55,108.7,108.55,108.32,122.5,45.8,1160848,125746755.55,7241,MARKSANS
60,2023-10-03,EQ,110.35,111.45,107.35,110.05,109.65,109.55,109.19,122.5,45.8,1751491,191245321.9,11350,MARKSANS
61,2023-09-29,EQ,110.0,111.4,108.65,108.95,109.95,110.05,110.0,122.5,45.4,1510450,166145187.8,10605,MARKSANS
62,2023-09-28,EQ,107.3,109.7,107.2,107.2,108.95,108.95,108.76,122.5,45.4,2003361,217894561.15,13211,MARKSANS
63,2023-09-27,EQ,106.2,107.9,105.8,106.05,107.25,107.2,107.11,122.5,45.4,1364667,146171250.5,8627,MARKSANS
64,2023-09-26,EQ,106.35,106.5,103.75,105.8,106.0,106.05,105.46,122.5,45.4,1140374,120264910.4,7278,MARKSANS
65,2023-09-25,EQ,104.75,106.5,104.75,104.7,105.95,105.8,105.47,122.5,45.4,778947,82156803.5,6753,MARKSANS
66,2023-09-22,EQ,105.15,105.7,103.45,104.1,104.9,104.7,104.51,122.5,45.4,978497,102265744.85,6644,MARKSANS
67,2023-09-21,EQ,103.4,107.0,103.25,103.15,104.0,104.1,104.81,122.5,45.4,2116050,221793667.15,11766,MARKSANS
68,2023-09-20,EQ,101.7,103.7,100.35,101.55,103.3,103.15,102.82,122.5,45.4,1528930,157208881.0,9315,MARKSANS
69,2023-09-18,EQ,103.4,104.55,100.0,103.05,101.65,101.55,102.37,122.5,45.4,1579988,161748824.45,13921,MARKSANS
70,2023-09-15,EQ,105.0,106.15,102.75,104.95,102.95,103.05,103.62,122.5,45.4,1228773,127327375.35,9460,MARKSANS
71,2023-09-14,EQ,105.45,107.2,104.5,105.3,104.7,104.95,105.7,122.5,45.4,1155723,122158972.55,8382,MARKSANS
72,2023-09-13,EQ,105.55,106.0,100.8,105.9,104.5,105.3,103.76,122.5,45.4,1972728,204698884.25,13130,MARKSANS
73,2023-09-12,EQ,109.9,109.9,103.15,106.0,105.7,105.9,106.21,122.5,45.4,3242114,344337049.55,17440,MARKSANS
74,2023-09-11,EQ,106.0,106.25,102.05,105.55,106.15,106.0,104.43,122.5,45.4,2875183,300251319.2,21715,MARKSANS
75,2023-09-08,EQ,108.2,109.2,105.15,107.85,105.85,105.55,106.41,122.5,45.4,2111395,224675557.8,16340,MARKSANS
76,2023-09-07,EQ,108.1,110.1,107.65,108.1,108.05,107.85,108.61,122.5,45.4,1188745,129105920.85,10279,MARKSANS
77,2023-09-06,EQ,108.5,109.65,107.2,107.95,107.9,108.1,108.41,122.5,45.4,1561031,169225474.7,11675,MARKSANS
78,2023-09-05,EQ,110.2,111.2,107.35,110.05,108.2,107.95,109.21,122.5,45.4,1899410,207425201.0,16124,MARKSANS
79,2023-09-04,EQ,111.95,111.95,109.4,111.35,110.3,110.05,110.32,122.5,45.4,1561164,172228491.65,14384,MARKSANS
80,2023-09-01,EQ,113.75,113.75,111.05,113.0,111.45,111.35,111.64,122.5,45.4,1183963,132178557.15,12505,MARKSANS
81,2023-08-31,EQ,110.85,113.7,110.5,110.2,113.0,113.0,112.64,122.5,45.4,4853057,546643690.35,22879,MARKSANS
82,2023-08-30,EQ,110.95,111.75,109.6,110.95,110.0,110.2,110.26,122.5,45.4,1738238,191665055.15,14581,MARKSANS
83,2023-08-29,EQ,111.9,112.05,110.5,110.75,111.0,110.95,111.15,122.5,45.4,1326941,147494915.55,13087,MARKSANS
84,2023-08-28,EQ,110.0,113.7,109.5,110.0,110.7,110.75,111.6,122.5,45.4,2396823,267474643.3,18184,MARKSANS
85,2023-08-25,EQ,111.0,111.95,108.75,112.05,110.0,110.0,110.34,122.5,45.4,1924566,212348296.25,16329,MARKSANS
86,2023-08-24,EQ,114.2,114.2,111.5,113.45,112.35,112.05,112.5,122.5,45.4,1363074,153349664.4,13609,MARKSANS
87,2023-08-23,EQ,114.0,115.65,113.1,113.25,113.5,113.45,114.12,122.5,45.4,1710591,195208115.2,14811,MARKSANS
88,2023-08-22,EQ,110.1,114.9,110.0,109.7,112.75,113.25,112.84,122.5,45.4,3285967,370777574.35,19936,MARKSANS
89,2023-08-21,EQ,112.2,114.2,108.8,111.95,109.65,109.7,110.44,122.5,45.4,2602025,287355796.55,21954,MARKSANS
90,2023-08-18,EQ,115.75,115.75,111.0,115.4,111.6,111.95,112.84,122.5,45.4,2589567,292195203.25,20478,MARKSANS
91,2023-08-17,EQ,115.9,116.8,114.15,114.1,115.55,115.4,115.43,122.5,45.4,2079119,239990061.0,19028,MARKSANS
92,2023-08-16,EQ,113.95,116.7,112.9,113.95,114.6,114.1,114.26,122.5,45.4,2505714,286307782.55,17296,MARKSANS
93,2023-08-14,EQ,118.9,119.75,109.75,118.2,114.35,113.95,113.67,122.5,45.4,5748461,653424949.05,33223,MARKSANS
94,2023-08-11,EQ,119.45,120.8,117.05,118.7,117.5,118.2,119.11,122.5,45.4,2805501,334162531.35,21256,MARKSANS
95,2023-08-10,EQ,118.25,122.5,118.1,117.7,119.3,118.7,120.29,122.5,45.4,4911430,590790261.85,27246,MARKSANS
96,2023-08-09,EQ,115.45,118.2,114.0,115.0,117.95,117.7,116.7,122.0,45.4,2686806,313548461.05,19038,MARKSANS
97,2023-08-08,EQ,117.55,117.65,113.5,116.95,115.45,115.0,115.42,122.0,45.4,2351265,271381229.95,16462,MARKSANS
98,2023-08-07,EQ,115.7,119.75,114.75,114.9,117.0,116.95,117.85,122.0,45.4,4331236,510447433.2,25200,MARKSANS
99,2023-08-04,EQ,114.65,117.3,114.1,113.75,115.0,114.9,115.86,122.0,45.4,2690937,311773999.6,17331,MARKSANS
100,2023-08-03,EQ,110.7,114.95,110.0,110.5,113.8,113.75,113.2,122.0,45.4,3367972,381250543.5,17924,MARKSANS
101,2023-08-02,EQ,116.0,117.45,108.45,116.95,110.55,110.5,111.74,122.0,45.4,5471940,611429663.2,29596,MARKSANS
102,2023-08-01,EQ,119.5,119.8,116.1,118.95,117.0,116.95,117.23,122.0,45.4,2171381,254558155.85,15093,MARKSANS
