,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,559.4,566.0,554.3,556.7,563.85,563.55,560.54,594.0,393.2,41341,23173480.15,3958,MAYURUNIQ
1,2023-12-28,EQ,564.0,567.15,554.0,565.95,556.0,556.7,557.43,594.0,393.2,73112,40754583.4,5448,MAYURUNIQ
2,2023-12-27,EQ,550.6,577.0,544.0,545.8,563.0,565.95,561.67,594.0,393.2,188956,106130021.3,12334,MAYURUNIQ
3,2023-12-26,EQ,541.8,550.0,534.8,539.15,548.6,545.8,540.5,594.0,393.2,65652,35484988.0,9277,MAYURUNIQ
4,2023-12-22,EQ,534.0,541.95,533.45,534.0,540.0,539.15,538.07,594.0,393.2,24279,13063879.25,3354,MAYURUNIQ
5,2023-12-21,EQ,528.0,541.8,516.0,527.65,528.5,534.0,535.63,594.0,393.2,60888,32613584.05,5129,MAYURUNIQ
6,2023-12-20,EQ,552.45,552.45,520.85,544.3,533.0,527.65,537.63,594.0,393.2,155398,83547217.7,7987,MAYURUNIQ
7,2023-12-19,EQ,557.1,567.9,539.15,557.1,542.0,544.3,548.02,594.0,393.2,107393,58853762.45,9281,MAYURUNIQ
8,2023-12-18,EQ,559.1,568.65,555.0,559.8,559.5,557.1,560.71,594.0,393.2,62769,35195240.15,5360,MAYURUNIQ
9,2023-12-15,EQ,562.0,570.0,555.55,561.45,558.0,559.8,562.05,594.0,393.2,69292,38945619.95,6462,MAYURUNIQ
10,2023-12-14,EQ,564.15,568.0,558.35,564.15,563.9,561.45,562.97,594.0,393.2,56143,31606885.6,5253,MAYURUNIQ
11,2023-12-13,EQ,564.0,577.75,557.1,562.7,562.25,564.15,564.86,594.0,393.2,73235,41367684.4,7376,MAYURUNIQ
12,2023-12-12,EQ,580.0,589.5,560.0,577.6,564.45,562.7,577.67,594.0,393.2,194388,112291629.0,13450,MAYURUNIQ
13,2023-12-11,EQ,533.8,594.0,533.5,532.5,576.0,577.6,571.39,594.0,393.2,385841,220466337.7,20400,MAYURUNIQ
14,2023-12-08,EQ,532.35,537.55,528.1,529.7,533.5,532.5,532.54,583.9,393.2,31582,16818611.55,4078,MAYURUNIQ
15,2023-12-07,EQ,536.05,538.15,527.8,533.35,531.8,529.7,533.0,583.9,393.2,77623,41372813.5,5156,MAYURUNIQ
16,2023-12-06,EQ,530.0,540.0,528.4,527.8,535.0,533.35,535.54,583.9,393.2,52370,28046458.05,5009,MAYURUNIQ
17,2023-12-05,EQ,532.2,532.65,520.55,526.95,529.95,527.8,525.62,583.9,393.2,87891,46196857.55,6278,MAYURUNIQ
18,2023-12-04,EQ,537.9,543.9,524.05,532.8,525.0,526.95,530.92,583.9,393.2,87984,46712848.65,6432,MAYURUNIQ
19,2023-12-01,EQ,548.35,548.4,525.55,540.3,536.0,532.8,534.42,583.9,393.2,127321,68042384.15,11777,MAYURUNIQ
20,2023-11-30,EQ,537.1,554.45,532.0,534.4,541.0,540.3,541.69,583.9,393.2,197922,107212922.4,14476,MAYURUNIQ
21,2023-11-29,EQ,533.35,545.2,525.7,528.1,530.55,534.4,534.3,583.9,393.2,77715,41522813.35,9569,MAYURUNIQ
22,2023-11-28,EQ,539.75,545.15,526.15,537.05,526.35,528.1,532.53,583.9,393.2,88494,47125847.2,8988,MAYURUNIQ
23,2023-11-24,EQ,548.5,559.65,535.55,545.05,537.5,537.05,544.89,583.9,393.2,78464,42754216.1,7659,MAYURUNIQ
24,2023-11-23,EQ,539.9,553.85,535.4,540.45,542.0,545.05,544.89,583.9,393.2,128144,69824028.4,12016,MAYURUNIQ
25,2023-11-22,EQ,532.55,568.0,529.6,524.7,536.8,540.45,552.41,583.9,393.2,434293,239907955.1,30533,MAYURUNIQ
26,2023-11-21,EQ,526.15,538.45,518.55,525.0,527.8,524.7,529.7,583.9,393.2,79030,41862076.9,7409,MAYURUNIQ
27,2023-11-20,EQ,513.0,529.3,513.0,514.3,524.2,525.0,519.91,583.9,393.2,94582,49174140.05,7196,MAYURUNIQ
28,2023-11-17,EQ,531.3,531.3,512.5,526.45,516.75,514.3,517.88,583.9,393.2,68897,35680632.95,8302,MAYURUNIQ
29,2023-11-16,EQ,530.0,531.7,521.3,530.2,524.8,526.45,528.62,583.9,393.2,63566,33602407.2,4767,MAYURUNIQ
30,2023-11-15,EQ,519.4,531.75,516.85,516.85,531.75,530.2,525.27,583.9,393.2,73918,38827230.75,4957,MAYURUNIQ
31,2023-11-13,EQ,518.9,525.4,512.9,518.9,516.0,516.85,517.88,583.9,393.2,45455,23540158.75,6046,MAYURUNIQ
32,2023-11-12,EQ,518.0,529.0,514.95,514.95,517.5,518.9,518.86,583.9,393.2,11973,6212350.25,1189,MAYURUNIQ
33,2023-11-10,EQ,519.15,529.2,512.35,519.15,512.6,514.95,518.38,583.9,393.2,61025,31634095.15,5906,MAYURUNIQ
34,2023-11-09,EQ,536.95,536.95,514.2,530.15,515.05,519.15,521.91,583.9,393.2,75012,39149556.5,5130,MAYURUNIQ
35,2023-11-08,EQ,532.85,536.3,525.6,527.85,530.0,530.15,529.76,583.9,393.2,33179,17577066.35,3894,MAYURUNIQ
36,2023-11-07,EQ,526.9,530.7,520.5,526.9,522.0,527.85,526.85,583.9,393.2,30763,16207428.05,2501,MAYURUNIQ
37,2023-11-06,EQ,535.0,539.1,525.0,529.85,526.0,526.9,529.72,583.9,393.2,54142,28680233.7,4174,MAYURUNIQ
38,2023-11-03,EQ,526.0,533.9,521.0,520.3,532.0,529.85,526.43,583.9,393.2,26656,14032440.15,2008,MAYURUNIQ
39,2023-11-02,EQ,526.6,527.9,515.05,523.95,523.0,520.3,521.99,583.9,393.2,20238,10564017.6,2811,MAYURUNIQ
40,2023-11-01,EQ,523.25,528.1,518.0,523.25,525.0,523.95,522.48,583.9,393.2,27506,14371428.95,5446,MAYURUNIQ
41,2023-10-31,EQ,530.0,531.1,518.55,527.35,521.35,523.25,523.49,583.9,393.2,35708,18692818.55,3482,MAYURUNIQ
42,2023-10-30,EQ,525.0,528.9,514.1,518.8,526.0,527.35,523.72,583.9,393.2,22256,11655844.55,2542,MAYURUNIQ
43,2023-10-27,EQ,528.25,530.1,513.0,525.6,517.0,518.8,521.07,583.9,393.2,60943,31755386.85,6113,MAYURUNIQ
44,2023-10-26,EQ,520.0,531.0,498.1,520.15,531.0,525.6,515.2,583.9,393.2,84008,43281088.6,8092,MAYURUNIQ
45,2023-10-25,EQ,526.45,527.75,507.5,521.75,519.0,520.15,515.78,583.9,393.2,125228,64590683.5,10085,MAYURUNIQ
46,2023-10-23,EQ,538.9,540.3,516.05,536.25,521.0,521.75,529.3,583.9,393.2,83857,44385503.1,8154,MAYURUNIQ
47,2023-10-20,EQ,549.05,558.0,532.7,546.3,533.0,536.25,546.45,583.9,393.2,72062,39378029.2,5484,MAYURUNIQ
48,2023-10-19,EQ,558.6,560.35,545.0,554.85,548.2,546.3,549.77,583.9,393.2,63304,34802596.35,6175,MAYURUNIQ
49,2023-10-18,EQ,549.7,561.95,547.35,547.05,554.95,554.85,554.02,583.9,393.2,55526,30762278.85,4800,MAYURUNIQ
50,2023-10-17,EQ,544.95,554.8,544.95,544.95,545.0,547.05,548.97,583.9,393.2,54385,29855982.8,5269,MAYURUNIQ
51,2023-10-16,EQ,549.0,553.9,543.05,547.9,546.1,544.95,547.93,583.9,393.2,40442,22159340.9,4262,MAYURUNIQ
52,2023-10-13,EQ,563.0,563.0,537.0,563.0,549.0,547.9,548.24,583.9,393.2,67355,36926671.95,6770,MAYURUNIQ
53,2023-10-12,EQ,568.0,572.8,558.8,560.4,563.4,563.0,564.65,583.9,393.2,47772,26974507.4,5743,MAYURUNIQ
54,2023-10-11,EQ,564.4,566.2,558.35,559.5,563.8,560.4,561.84,583.9,393.2,77664,43634378.8,5461,MAYURUNIQ
55,2023-10-10,EQ,560.7,564.6,556.15,555.55,557.0,559.5,560.04,583.9,393.2,61773,34595421.95,5256,MAYURUNIQ
56,2023-10-09,EQ,567.35,569.6,552.5,567.35,552.5,555.55,561.74,583.9,393.2,86366,48515312.55,7180,MAYURUNIQ
57,2023-10-06,EQ,562.5,573.0,560.5,559.75,569.0,567.35,566.79,583.9,393.2,146343,82946310.85,8378,MAYURUNIQ
58,2023-10-05,EQ,544.45,568.8,543.0,538.15,562.5,559.75,558.19,583.9,393.2,303894,169630438.55,17657,MAYURUNIQ
59,2023-10-04,EQ,527.85,539.8,527.4,528.05,539.8,538.15,534.99,583.9,393.2,86795,46434212.7,5977,MAYURUNIQ
60,2023-10-03,EQ,520.0,535.0,513.85,516.5,527.8,528.05,525.54,583.9,393.2,135228,71067050.35,11345,MAYURUNIQ
61,2023-09-29,EQ,511.6,519.1,508.0,512.6,510.65,516.5,512.52,583.9,393.2,61728,31636769.45,6028,MAYURUNIQ
62,2023-09-28,EQ,511.7,516.6,507.3,509.15,514.8,512.6,513.03,583.9,393.2,55245,28342073.6,4296,MAYURUNIQ
63,2023-09-27,EQ,501.2,514.45,500.1,501.2,511.0,509.15,509.95,583.9,393.2,52361,26701745.2,5678,MAYURUNIQ
64,2023-09-26,EQ,512.9,516.75,496.55,509.1,500.0,501.2,503.95,583.9,393.2,67450,33991505.65,5383,MAYURUNIQ
65,2023-09-25,EQ,490.1,514.05,479.7,495.2,510.8,509.1,501.16,583.9,393.2,142241,71285148.4,10447,MAYURUNIQ
66,2023-09-22,EQ,498.3,502.95,493.5,498.3,494.6,495.2,496.21,583.9,393.2,26451,13125145.95,3084,MAYURUNIQ
67,2023-09-21,EQ,499.3,508.0,495.25,499.3,501.7,498.3,500.54,583.9,393.2,54572,27315661.45,7321,MAYURUNIQ
68,2023-09-20,EQ,501.1,508.5,495.1,505.5,502.0,499.3,500.5,583.9,393.2,75801,37938571.4,6509,MAYURUNIQ
69,2023-09-18,EQ,514.0,518.6,502.9,513.95,506.0,505.5,508.01,583.9,393.2,68384,34739954.75,7215,MAYURUNIQ
70,2023-09-15,EQ,523.95,525.45,511.25,518.25,513.0,513.95,518.36,583.9,393.2,57630,29873213.4,6640,MAYURUNIQ
71,2023-09-14,EQ,520.75,529.0,516.55,520.75,520.0,518.25,520.92,583.9,393.2,46817,24387736.8,4761,MAYURUNIQ
72,2023-09-13,EQ,510.5,524.45,495.1,508.5,520.25,520.75,511.29,583.9,393.2,102930,52626764.0,9249,MAYURUNIQ
73,2023-09-12,EQ,541.5,546.8,505.0,539.85,509.75,508.5,518.42,583.9,393.2,153965,79819191.35,10812,MAYURUNIQ
74,2023-09-11,EQ,564.95,564.95,533.0,552.8,537.8,539.85,545.33,583.9,393.2,130034,70911785.35,7937,MAYURUNIQ
75,2023-09-08,EQ,560.0,560.0,551.0,550.85,554.9,552.8,555.25,583.9,393.2,37283,20701357.45,4471,MAYURUNIQ
76,2023-09-07,EQ,567.0,567.0,548.95,562.0,551.5,550.85,554.49,583.9,393.2,70828,39273573.7,5528,MAYURUNIQ
77,2023-09-06,EQ,563.0,572.95,549.25,550.8,563.0,562.0,563.44,583.9,393.2,126817,71454212.3,8091,MAYURUNIQ
78,2023-09-05,EQ,561.5,566.0,548.3,561.5,551.0,550.8,558.45,583.9,393.2,80835,45142139.7,7287,MAYURUNIQ
79,2023-09-04,EQ,573.95,573.95,555.95,563.5,562.5,561.5,561.95,583.9,393.2,65334,36714390.6,5130,MAYURUNIQ
80,2023-09-01,EQ,557.0,573.0,557.0,561.15,561.1,563.5,565.05,583.9,393.2,73370,41457827.6,6148,MAYURUNIQ
