,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,2293.15,2335.5,2267.8,2284.4,2279.0,2280.9,2300.27,2484.7,612.0,1512779,3479807553.5,62891,MAZDOCK
1,2023-12-28,EQ,2354.1,2358.8,2276.65,2342.35,2284.0,2284.4,2309.41,2484.7,612.0,1983833,4581474800.05,91640,MAZDOCK
2,2023-12-27,EQ,2301.0,2383.0,2258.0,2287.85,2340.0,2342.35,2330.31,2484.7,612.0,4564324,10636276147.15,179492,MAZDOCK
3,2023-12-26,EQ,2128.0,2332.0,2125.05,2121.4,2290.0,2287.85,2269.01,2484.7,612.0,8792919,19951256255.65,319002,MAZDOCK
4,2023-12-22,EQ,2135.0,2139.0,2090.05,2121.0,2120.0,2121.4,2119.56,2484.7,612.0,636683,1349489382.3,38001,MAZDOCK
5,2023-12-21,EQ,2100.0,2147.25,2081.0,2046.25,2125.0,2121.0,2113.5,2484.7,612.0,2317751,4898556503.9,112869,MAZDOCK
6,2023-12-20,EQ,2150.1,2167.0,2022.15,2139.95,2046.5,2046.25,2100.04,2484.7,612.0,1041791,2187807506.2,67636,MAZDOCK
7,2023-12-19,EQ,2134.1,2215.0,2115.0,2126.8,2146.6,2139.95,2166.61,2484.7,612.0,2341504,5073116273.35,101922,MAZDOCK
8,2023-12-18,EQ,2173.0,2175.0,2121.0,2082.85,2126.5,2126.8,2144.13,2484.7,612.0,1602506,3435987719.45,72446,MAZDOCK
9,2023-12-15,EQ,2089.7,2114.9,2077.25,2072.7,2080.85,2082.85,2092.05,2484.7,612.0,534794,1118813690.55,28647,MAZDOCK
10,2023-12-14,EQ,2085.95,2109.75,2069.0,2075.8,2077.2,2072.7,2083.6,2484.7,612.0,548452,1142755059.25,30411,MAZDOCK
11,2023-12-13,EQ,2080.0,2088.45,2054.4,2073.7,2077.0,2075.8,2070.81,2484.7,612.0,515876,1068279132.45,30539,MAZDOCK
12,2023-12-12,EQ,2127.0,2130.45,2070.0,2117.75,2074.0,2073.7,2090.85,2484.7,612.0,747036,1561937151.15,47538,MAZDOCK
13,2023-12-11,EQ,2145.0,2165.0,2110.05,2059.35,2115.0,2117.75,2134.24,2484.7,612.0,2020328,4311861898.4,102796,MAZDOCK
14,2023-12-08,EQ,2091.35,2124.0,2041.0,2080.1,2059.2,2059.35,2081.67,2484.7,612.0,908973,1892178921.9,45910,MAZDOCK
15,2023-12-07,EQ,2119.45,2122.8,2070.05,2114.6,2081.0,2080.1,2093.74,2484.7,612.0,1016105,2127454882.55,48826,MAZDOCK
16,2023-12-06,EQ,2010.85,2142.0,1986.1,2001.3,2119.45,2114.6,2079.5,2484.7,612.0,3674048,7640186251.8,153279,MAZDOCK
17,2023-12-05,EQ,2029.55,2048.9,1990.0,2020.05,2001.0,2001.3,2020.64,2484.7,612.0,609745,1232077890.5,35902,MAZDOCK
18,2023-12-04,EQ,2040.0,2052.2,2015.0,2013.35,2022.0,2020.05,2028.96,2484.7,612.0,724595,1470171699.0,46599,MAZDOCK
19,2023-12-01,EQ,2022.1,2076.0,2001.05,2012.8,2011.0,2013.35,2044.03,2484.7,612.0,1233457,2521227336.55,62944,MAZDOCK
20,2023-11-30,EQ,2015.0,2038.25,1983.35,2009.7,2014.0,2012.8,2015.45,2484.7,612.0,895481,1804793928.1,40964,MAZDOCK
21,2023-11-29,EQ,2025.9,2035.0,2001.2,2015.35,2006.95,2009.7,2015.18,2484.7,612.0,592012,1193013201.35,30002,MAZDOCK
22,2023-11-28,EQ,2048.85,2072.0,2003.0,2039.85,2012.0,2015.35,2039.74,2484.7,612.0,916495,1869413667.25,42868,MAZDOCK
23,2023-11-24,EQ,1996.0,2061.15,1985.05,1990.75,2044.0,2039.85,2031.02,2484.7,612.0,2109098,4283623560.35,88695,MAZDOCK
24,2023-11-23,EQ,1964.0,2021.0,1964.0,1956.85,1997.0,1990.75,1996.87,2484.7,612.0,1302231,2600391957.95,60303,MAZDOCK
25,2023-11-22,EQ,1992.1,1999.95,1950.0,1990.5,1960.7,1956.85,1971.32,2484.7,612.0,498121,981956780.15,28469,MAZDOCK
26,2023-11-21,EQ,1985.95,2013.95,1971.0,1979.15,1987.05,1990.5,1995.3,2484.7,612.0,816528,1629219069.8,39331,MAZDOCK
27,2023-11-20,EQ,1970.0,2002.0,1956.95,1968.85,1979.5,1979.15,1981.05,2484.7,612.0,672185,1331630831.75,35160,MAZDOCK
28,2023-11-17,EQ,1983.3,1997.55,1961.3,1981.55,1969.0,1968.85,1979.17,2484.7,612.0,509793,1008966008.85,27317,MAZDOCK
29,2023-11-16,EQ,2000.0,2020.0,1975.0,1998.7,1981.0,1981.55,1998.58,2484.7,612.0,565204,1129605352.25,27790,MAZDOCK
30,2023-11-15,EQ,1980.0,2026.65,1973.05,1977.85,1994.0,1998.7,2003.12,2484.7,612.0,954522,1912024904.25,41288,MAZDOCK
31,2023-11-13,EQ,1999.0,1999.0,1975.0,1996.65,1977.0,1977.85,1981.28,2484.7,612.0,326191,646277056.55,17535,MAZDOCK
32,2023-11-12,EQ,2000.0,2003.4,1990.0,1983.65,1994.55,1996.65,1998.18,2484.7,612.0,160538,320783456.15,11112,MAZDOCK
33,2023-11-10,EQ,2000.6,2008.4,1973.0,1996.45,1982.9,1983.65,1988.91,2484.7,612.0,699546,1391335156.05,30381,MAZDOCK
34,2023-11-09,EQ,2014.0,2068.8,1986.65,1985.4,2002.0,1996.45,2034.25,2484.7,612.0,2318225,4715838866.65,88796,MAZDOCK
35,2023-11-08,EQ,1982.05,2018.15,1971.0,1972.0,1981.0,1985.4,1996.0,2484.7,612.0,1001260,1998519868.75,50341,MAZDOCK
36,2023-11-07,EQ,1946.4,1985.95,1938.0,1940.25,1971.9,1972.0,1968.14,2484.7,612.0,1229048,2418937104.5,56149,MAZDOCK
37,2023-11-06,EQ,1943.0,1967.0,1915.9,1922.5,1940.0,1940.25,1943.52,2484.7,612.0,1337712,2599870077.2,59465,MAZDOCK
38,2023-11-03,EQ,1944.0,1959.0,1918.0,1929.45,1921.0,1922.5,1932.29,2484.7,612.0,602993,1165154466.45,30421,MAZDOCK
39,2023-11-02,EQ,1937.9,1973.95,1912.05,1920.6,1927.0,1929.45,1938.76,2484.7,612.0,800468,1551914039.75,44344,MAZDOCK
40,2023-11-01,EQ,1973.0,1980.75,1894.15,1966.8,1922.0,1920.6,1930.86,2484.7,612.0,1254033,2421360137.7,67908,MAZDOCK
41,2023-10-31,EQ,1983.35,2020.0,1953.6,1969.7,1968.3,1966.8,1990.59,2484.7,612.0,1083492,2156786197.6,47421,MAZDOCK
42,2023-10-30,EQ,2055.9,2055.95,1956.0,2055.9,1970.0,1969.7,1988.8,2484.7,612.0,1593751,3169651525.5,77723,MAZDOCK
43,2023-10-27,EQ,1920.3,2071.0,1888.05,1898.55,2049.0,2055.9,2001.1,2484.7,612.0,3288195,6579995026.55,147489,MAZDOCK
44,2023-10-26,EQ,1838.0,1927.7,1742.0,1855.1,1895.0,1898.55,1823.7,2484.7,612.0,3021942,5511126234.7,166318,MAZDOCK
45,2023-10-25,EQ,1936.1,1982.9,1824.05,1935.55,1852.75,1855.1,1898.92,2484.7,612.0,1351108,2565652175.2,91974,MAZDOCK
46,2023-10-23,EQ,2083.6,2083.85,1920.0,2075.85,1925.9,1935.55,1985.12,2484.7,612.0,1288436,2557705980.85,86750,MAZDOCK
47,2023-10-20,EQ,2124.85,2129.55,2038.15,2129.75,2082.0,2075.85,2085.22,2484.7,611.5,618105,1288886368.6,39019,MAZDOCK
48,2023-10-19,EQ,2138.1,2138.95,2109.4,2141.3,2128.8,2129.75,2126.14,2484.7,611.5,426216,906194230.65,22568,MAZDOCK
49,2023-10-18,EQ,2180.0,2223.0,2133.3,2153.8,2146.85,2141.3,2182.08,2484.7,611.5,1397969,3050484702.2,61488,MAZDOCK
50,2023-10-17,EQ,2174.2,2191.85,2142.0,2163.1,2153.0,2153.8,2165.86,2484.7,611.5,563273,1219968493.2,30705,MAZDOCK
51,2023-10-16,EQ,2158.4,2183.9,2130.15,2151.9,2156.0,2163.1,2155.35,2484.7,611.5,748263,1612767514.2,34919,MAZDOCK
52,2023-10-13,EQ,2137.0,2185.0,2121.1,2141.1,2153.0,2151.9,2147.82,2484.7,569.7,527859,1133744381.65,27993,MAZDOCK
53,2023-10-12,EQ,2161.0,2165.1,2136.0,2154.3,2144.0,2141.1,2145.73,2484.7,569.7,337560,724312914.55,19524,MAZDOCK
54,2023-10-11,EQ,2178.4,2191.8,2147.8,2167.55,2157.0,2154.3,2164.61,2484.7,569.7,518580,1122525142.1,27727,MAZDOCK
55,2023-10-10,EQ,2209.95,2219.9,2161.0,2073.35,2177.0,2167.55,2179.97,2484.7,569.7,1953733,4259071297.9,75789,MAZDOCK
56,2023-10-09,EQ,2118.0,2118.0,2063.7,2150.55,2065.3,2073.35,2087.65,2484.7,569.7,749147,1563957873.6,43959,MAZDOCK
57,2023-10-06,EQ,2164.0,2173.2,2145.0,2154.4,2149.95,2150.55,2155.36,2484.7,486.3,447923,965433243.5,22682,MAZDOCK
58,2023-10-05,EQ,2139.55,2191.0,2136.0,2128.9,2158.0,2154.4,2162.8,2484.7,486.3,927185,2005319914.0,40706,MAZDOCK
59,2023-10-04,EQ,2180.05,2185.9,2080.0,2188.05,2127.8,2128.9,2137.52,2484.7,486.3,882943,1887305180.75,51277,MAZDOCK
60,2023-10-03,EQ,2194.7,2201.95,2165.0,2192.2,2188.0,2188.05,2182.88,2484.7,486.3,635088,1386318800.3,35834,MAZDOCK
61,2023-09-29,EQ,2197.9,2234.0,2181.35,2185.25,2193.0,2192.2,2206.58,2484.7,412.65,948531,2093008756.2,45363,MAZDOCK
62,2023-09-28,EQ,2218.6,2223.4,2173.95,2205.65,2190.0,2185.25,2198.41,2484.7,412.65,888946,1954271482.65,44972,MAZDOCK
63,2023-09-27,EQ,2238.0,2253.0,2195.05,2234.55,2207.0,2205.65,2221.89,2484.7,412.65,1385854,3079217159.0,57358,MAZDOCK
64,2023-09-26,EQ,2158.7,2284.8,2146.05,2157.8,2232.55,2234.55,2230.27,2484.7,412.65,4377257,9762471070.0,160829,MAZDOCK
65,2023-09-25,EQ,2210.65,2219.7,2142.3,2200.35,2153.0,2157.8,2176.44,2484.7,412.65,924605,2012344756.95,47502,MAZDOCK
66,2023-09-22,EQ,2218.85,2239.45,2160.0,2207.8,2199.0,2200.35,2196.89,2484.7,412.65,1806672,3969059385.55,81364,MAZDOCK
67,2023-09-21,EQ,2232.15,2272.1,2182.5,2247.65,2217.0,2207.8,2232.98,2484.7,412.65,1958496,4373291492.75,76147,MAZDOCK
68,2023-09-20,EQ,2193.4,2285.0,2150.15,2198.75,2248.5,2247.65,2228.84,2484.7,412.65,3469815,7733648945.85,143288,MAZDOCK
69,2023-09-18,EQ,2296.4,2360.0,2181.4,2270.0,2198.05,2198.75,2268.27,2484.7,412.65,3971345,9008066881.65,178551,MAZDOCK
70,2023-09-15,EQ,2105.6,2290.0,2095.0,2098.8,2281.1,2270.0,2224.68,2484.7,411.55,8151918,18135401504.2,253401,MAZDOCK
71,2023-09-14,EQ,2095.0,2124.0,2069.45,2061.2,2099.0,2098.8,2094.45,2484.7,411.55,1477655,3094881854.7,73430,MAZDOCK
72,2023-09-13,EQ,2085.0,2134.8,1991.2,2071.85,2078.9,2061.2,2055.15,2484.7,411.55,3783239,7775139916.3,167316,MAZDOCK
73,2023-09-12,EQ,2280.0,2285.0,2005.1,2272.25,2097.95,2071.85,2127.67,2484.7,411.55,5128330,10911392728.5,227151,MAZDOCK
74,2023-09-11,EQ,2258.3,2350.0,2245.0,2212.3,2265.0,2272.25,2290.88,2484.7,411.55,5541177,12694190599.9,218253,MAZDOCK
75,2023-09-08,EQ,2178.0,2484.7,2176.0,2087.9,2219.0,2212.3,2303.16,2484.7,376.2,17330218,39914313774.1,583102,MAZDOCK
76,2023-09-07,EQ,1914.0,2129.95,1907.0,1906.0,2081.8,2087.9,2052.52,2129.95,376.2,12969552,26620296234.15,386978,MAZDOCK
77,2023-09-06,EQ,1920.0,1923.7,1886.1,1912.35,1905.0,1906.0,1907.92,2042.0,376.2,533168,1017240133.65,25586,MAZDOCK
78,2023-09-05,EQ,1918.8,1975.5,1904.1,1910.3,1910.2,1912.35,1936.24,2042.0,376.2,1376354,2664951055.8,54211,MAZDOCK
79,2023-09-04,EQ,1899.0,1926.95,1887.0,1887.05,1906.0,1910.3,1908.65,2042.0,376.2,960268,1832813565.95,42322,MAZDOCK
80,2023-09-01,EQ,1870.0,1933.9,1868.95,1848.95,1888.0,1887.05,1905.1,2042.0,342.0,2067560,3938898369.4,71802,MAZDOCK
81,2023-08-31,EQ,1874.0,1885.5,1839.8,1863.95,1847.95,1848.95,1863.79,2042.0,342.0,647038,1205944142.6,31124,MAZDOCK
82,2023-08-30,EQ,1829.7,1897.0,1822.0,1818.45,1869.0,1863.95,1872.92,2042.0,342.0,1409738,2640328308.25,52249,MAZDOCK
83,2023-08-29,EQ,1839.0,1844.8,1815.05,1833.75,1816.0,1818.45,1825.0,2042.0,342.0,385928,704317482.6,22569,MAZDOCK
84,2023-08-28,EQ,1848.55,1860.0,1830.0,1839.35,1835.0,1833.75,1841.35,2042.0,342.0,579821,1067651400.55,32209,MAZDOCK
85,2023-08-25,EQ,1861.0,1886.0,1826.0,1858.65,1837.0,1839.35,1854.18,2042.0,301.0,811766,1505157771.35,39561,MAZDOCK
86,2023-08-24,EQ,1890.55,1896.5,1851.05,1873.85,1858.0,1858.65,1872.4,2042.0,301.0,596005,1115962326.4,32023,MAZDOCK
87,2023-08-23,EQ,1875.2,1911.0,1856.65,1867.35,1872.2,1873.85,1885.86,2042.0,301.0,1435288,2706756817.45,57407,MAZDOCK
88,2023-08-22,EQ,1877.9,1904.0,1850.0,1868.1,1866.0,1867.35,1878.94,2042.0,301.0,764528,1436503157.3,34439,MAZDOCK
89,2023-08-21,EQ,1881.0,1926.05,1850.0,1872.0,1871.5,1868.1,1883.48,2042.0,301.0,1250056,2354450757.6,54074,MAZDOCK
90,2023-08-18,EQ,1932.0,1944.15,1852.0,1923.15,1869.0,1872.0,1886.69,2042.0,301.0,1362017,2569706671.9,62061,MAZDOCK
91,2023-08-17,EQ,1943.25,1985.95,1904.4,1935.7,1921.5,1923.15,1947.83,2042.0,301.0,2387096,4649668101.6,91025,MAZDOCK
92,2023-08-16,EQ,1873.0,1976.0,1864.0,1863.1,1933.0,1935.7,1929.58,2042.0,301.0,5842370,11273305463.1,181442,MAZDOCK
93,2023-08-14,EQ,1741.3,1918.8,1719.0,1741.3,1871.0,1863.1,1868.8,2042.0,301.0,7572770,14152028642.8,252445,MAZDOCK
94,2023-08-11,EQ,1799.0,1819.0,1714.05,1794.2,1737.0,1741.3,1751.58,2042.0,275.5,1873820,3282153595.7,93656,MAZDOCK
95,2023-08-10,EQ,1829.0,1843.9,1781.05,1818.4,1796.0,1794.2,1816.6,2042.0,275.5,730147,1326384795.15,37802,MAZDOCK
96,2023-08-09,EQ,1828.2,1879.8,1811.0,1819.1,1819.8,1818.4,1842.81,2042.0,275.5,1585849,2922424285.05,68197,MAZDOCK
97,2023-08-08,EQ,1824.85,1854.0,1804.45,1810.45,1818.0,1819.1,1828.08,2042.0,275.5,803714,1469256870.7,38049,MAZDOCK
98,2023-08-07,EQ,1885.0,1910.0,1800.0,1843.85,1814.75,1810.45,1847.56,2042.0,275.5,1566160,2893576280.45,63647,MAZDOCK
99,2023-08-04,EQ,1859.0,1879.0,1832.0,1847.4,1850.0,1843.85,1854.49,2042.0,268.45,708753,1314376476.0,31309,MAZDOCK
100,2023-08-03,EQ,1811.95,1884.9,1811.95,1811.95,1848.0,1847.4,1856.66,2042.0,268.45,1358366,2522019233.05,54786,MAZDOCK
101,2023-08-02,EQ,1859.75,1892.6,1780.0,1859.75,1809.9,1811.95,1842.65,2042.0,268.45,1767412,3256715194.95,80407,MAZDOCK
102,2023-08-01,EQ,1910.0,1913.95,1851.0,1897.0,1852.9,1859.75,1875.67,2042.0,268.45,835799,1567680343.3,46293,MAZDOCK
103,2023-07-31,EQ,1968.0,1968.0,1885.25,1961.5,1889.0,1897.0,1909.23,2042.0,268.45,1313073,2506952157.35,65188,MAZDOCK
104,2023-07-28,EQ,1920.0,1974.9,1912.9,1902.15,1956.3,1961.5,1942.76,2042.0,268.05,1521290,2955495030.95,59410,MAZDOCK
105,2023-07-27,EQ,1888.3,1930.0,1845.0,1863.5,1920.0,1902.15,1883.22,2042.0,268.05,1660651,3127367108.75,67231,MAZDOCK
106,2023-07-26,EQ,1860.8,1909.0,1792.3,1860.0,1871.35,1863.5,1862.77,2042.0,268.05,2392489,4456655295.2,112602,MAZDOCK
107,2023-07-25,EQ,2000.0,2042.0,1857.25,1955.0,1857.25,1860.0,1969.18,2042.0,268.05,3938335,7755308082.0,141204,MAZDOCK
108,2023-07-24,EQ,1882.0,1957.8,1868.05,1864.6,1957.8,1955.0,1923.93,1957.8,268.05,2439254,4692951622.9,83169,MAZDOCK
109,2023-07-21,EQ,1839.0,1909.7,1831.4,1819.65,1859.9,1864.6,1875.49,1909.7,261.0,3187357,5977858813.65,97216,MAZDOCK
110,2023-07-20,EQ,1735.3,1819.65,1726.0,1733.0,1819.65,1819.65,1805.72,1819.65,261.0,3045538,5499381975.7,51909,MAZDOCK
111,2023-07-19,EQ,1738.9,1757.0,1719.15,1738.4,1727.05,1733.0,1736.83,1773.3,261.0,868967,1509247887.5,36230,MAZDOCK
112,2023-07-18,EQ,1749.2,1773.3,1704.0,1720.75,1738.0,1738.4,1739.18,1773.3,261.0,2361092,4106371926.3,91139,MAZDOCK
113,2023-07-17,EQ,1629.55,1720.75,1591.15,1638.85,1720.75,1720.75,1704.0,1766.7,261.0,5221792,8897908192.0,104398,MAZDOCK
114,2023-07-14,EQ,1730.0,1740.0,1635.95,1722.05,1635.95,1638.85,1664.65,1766.7,253.9,3564269,5933268756.25,124365,MAZDOCK
115,2023-07-13,EQ,1734.0,1766.7,1677.7,1731.85,1713.9,1722.05,1727.59,1766.7,253.9,7421815,12821859410.7,232077,MAZDOCK
116,2023-07-12,EQ,1658.0,1751.0,1620.3,1591.85,1723.0,1731.85,1688.81,1751.0,253.9,13576513,22928147402.5,377516,MAZDOCK
117,2023-07-11,EQ,1490.0,1591.85,1486.1,1447.15,1591.85,1591.85,1555.66,1591.85,253.9,6003741,9339788846.95,138363,MAZDOCK
118,2023-07-10,EQ,1325.0,1454.85,1302.3,1322.6,1454.85,1447.15,1400.74,1454.85,253.9,7601895,10648242190.7,183879,MAZDOCK
119,2023-07-07,EQ,1292.0,1348.0,1280.0,1292.55,1319.8,1322.6,1317.6,1348.0,247.0,3155330,4157457856.9,77112,MAZDOCK
120,2023-07-06,EQ,1306.8,1307.7,1284.0,1302.75,1293.95,1292.55,1293.58,1342.0,247.0,970187,1255016535.95,33455,MAZDOCK
121,2023-07-05,EQ,1283.3,1324.55,1283.0,1283.3,1300.0,1302.75,1306.02,1342.0,247.0,2469862,3225688507.8,59635,MAZDOCK
122,2023-07-04,EQ,1297.3,1301.7,1262.25,1289.1,1283.2,1283.3,1278.3,1342.0,247.0,1872172,2393202893.4,51415,MAZDOCK
123,2023-07-03,EQ,1280.0,1342.0,1280.0,1246.4,1287.75,1289.1,1315.59,1342.0,247.0,5630953,7408021859.0,127936,MAZDOCK
124,2023-06-30,EQ,1248.5,1277.9,1236.9,1240.1,1247.0,1246.4,1258.72,1337.7,241.55,2136190,2688872588.7,51292,MAZDOCK
125,2023-06-28,EQ,1249.05,1272.55,1230.0,1244.7,1239.0,1240.1,1250.83,1337.7,241.55,2663166,3331161504.65,66418,MAZDOCK
126,2023-06-27,EQ,1270.0,1287.45,1222.7,1257.1,1241.1,1244.7,1245.86,1337.7,241.55,3277655,4083503205.55,81636,MAZDOCK
127,2023-06-26,EQ,1179.1,1275.8,1176.25,1173.05,1262.05,1257.1,1246.4,1337.7,241.55,6437208,8023351410.0,152651,MAZDOCK
128,2023-06-23,EQ,1233.95,1238.0,1162.0,1229.85,1190.0,1173.05,1197.32,1337.7,229.45,3221241,3856856986.75,93580,MAZDOCK
129,2023-06-22,EQ,1227.0,1257.0,1184.0,1220.1,1227.85,1229.85,1223.68,1337.7,229.45,6174466,7555549312.2,159243,MAZDOCK
130,2023-06-21,EQ,1305.0,1337.7,1206.3,1306.85,1221.8,1220.1,1275.98,1337.7,229.45,8940268,11407601884.35,226671,MAZDOCK
131,2023-06-20,EQ,1211.0,1323.2,1195.05,1218.1,1299.0,1306.85,1264.69,1323.2,229.45,11306834,14299654124.65,240540,MAZDOCK
132,2023-06-19,EQ,1197.0,1236.0,1191.3,1187.6,1216.25,1218.1,1215.73,1236.0,229.45,9664936,11749978927.2,214121,MAZDOCK
133,2023-06-16,EQ,1059.45,1216.0,1058.25,1054.55,1186.8,1187.6,1154.87,1216.0,229.45,20123852,23240501503.9,415573,MAZDOCK
134,2023-06-15,EQ,1032.5,1075.0,1027.4,1030.3,1056.0,1054.55,1056.99,1079.3,229.45,3680535,3890300999.25,79040,MAZDOCK
135,2023-06-14,EQ,1042.2,1044.4,1022.0,1037.95,1032.5,1030.3,1034.53,1079.3,229.45,1217838,1259894665.6,32359,MAZDOCK
136,2023-06-13,EQ,1050.0,1062.05,1032.0,1045.5,1040.0,1037.95,1046.38,1079.3,229.45,2482322,2597458883.1,63030,MAZDOCK
137,2023-06-12,EQ,1039.0,1059.65,1021.3,1034.95,1040.95,1045.5,1045.23,1079.3,229.45,4187029,4376400565.75,91803,MAZDOCK
138,2023-06-09,EQ,1012.1,1044.3,998.05,1007.1,1036.9,1034.95,1026.89,1079.3,229.45,6253006,6421118195.0,125870,MAZDOCK
139,2023-06-08,EQ,1060.0,1079.3,989.35,1029.15,1008.0,1007.1,1035.89,1079.3,229.45,8446599,8749733420.1,164646,MAZDOCK
140,2023-06-07,EQ,1031.0,1054.6,1012.0,1027.0,1035.95,1029.15,1030.67,1062.0,229.45,7342529,7567695232.85,159830,MAZDOCK
141,2023-06-06,EQ,1015.9,1062.0,1009.0,986.1,1019.0,1027.0,1034.93,1062.0,229.45,18831899,19489772541.2,370499,MAZDOCK
142,2023-06-05,EQ,846.0,1006.0,840.4,838.4,995.9,986.1,944.91,1006.0,229.45,23317935,22033431388.75,387714,MAZDOCK
143,2023-06-02,EQ,818.0,853.7,815.0,815.35,837.55,838.4,839.91,936.4,229.45,3969163,3333745261.6,83951,MAZDOCK
144,2023-06-01,EQ,811.4,830.0,797.5,808.2,814.0,815.35,816.55,936.4,229.45,1895170,1547508148.6,41469,MAZDOCK
145,2023-05-31,EQ,830.0,842.8,803.3,799.75,808.0,808.2,822.01,936.4,229.45,3790328,3115679920.55,77015,MAZDOCK
146,2023-05-30,EQ,777.0,815.0,767.05,774.5,815.0,799.75,792.71,936.4,229.45,1606019,1273107930.45,32169,MAZDOCK
147,2023-05-29,EQ,773.2,782.6,765.2,768.8,772.5,774.5,775.36,936.4,229.45,556566,431536452.25,15510,MAZDOCK
148,2023-05-26,EQ,757.9,774.0,753.1,754.1,769.0,768.8,764.27,936.4,229.45,676268,516853241.3,16263,MAZDOCK
149,2023-05-25,EQ,757.5,759.35,746.8,757.5,753.45,754.1,753.11,936.4,229.45,450188,339041169.95,12330,MAZDOCK
150,2023-05-24,EQ,767.8,774.7,753.95,770.4,756.8,757.5,762.38,936.4,229.45,675138,514713190.85,16303,MAZDOCK
151,2023-05-23,EQ,742.5,777.95,741.15,739.75,769.0,770.4,765.84,936.4,229.45,1827169,1399310111.35,41679,MAZDOCK
152,2023-05-22,EQ,766.4,772.45,737.5,771.6,742.5,739.75,749.7,936.4,229.45,1104577,828106167.2,31603,MAZDOCK
