,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,967.95,972.0,954.05,962.75,958.15,959.15,962.77,1028.0,426.15,385084,370748151.65,11345,MEDANTA
1,2023-12-28,EQ,960.2,970.0,930.0,956.65,968.3,962.75,947.16,1028.0,426.15,523171,495527062.65,32117,MEDANTA
2,2023-12-27,EQ,968.45,972.95,949.35,963.65,950.0,956.65,959.49,1028.0,426.15,311242,298633968.65,35273,MEDANTA
3,2023-12-26,EQ,973.85,977.0,953.95,973.85,966.1,963.65,962.02,1028.0,426.15,159490,153432335.85,11963,MEDANTA
4,2023-12-22,EQ,938.3,977.7,938.3,938.25,967.0,973.85,964.87,1028.0,426.15,450388,434564927.75,30312,MEDANTA
5,2023-12-21,EQ,915.0,949.0,908.0,919.85,941.0,938.25,936.59,1028.0,426.15,457072,428089738.65,31835,MEDANTA
6,2023-12-20,EQ,945.5,955.0,915.0,936.45,923.85,919.85,941.89,1028.0,426.15,427088,402271185.65,24286,MEDANTA
7,2023-12-19,EQ,927.35,950.0,921.2,922.8,934.0,936.45,933.88,1028.0,426.15,368071,343734794.55,49216,MEDANTA
8,2023-12-18,EQ,924.0,930.0,913.65,925.05,922.7,922.8,923.6,1028.0,426.15,220187,203364116.7,12793,MEDANTA
9,2023-12-15,EQ,925.6,934.25,919.6,925.6,924.0,925.05,925.74,1028.0,426.15,222504,205979927.35,20722,MEDANTA
10,2023-12-14,EQ,931.0,939.9,920.45,929.2,925.1,925.6,929.57,1028.0,426.15,167500,155702806.5,16059,MEDANTA
11,2023-12-13,EQ,933.6,944.9,913.1,928.85,929.95,929.2,922.63,1028.0,426.15,391389,361106047.8,27635,MEDANTA
12,2023-12-12,EQ,944.0,948.65,925.0,933.0,930.0,928.85,933.82,1028.0,426.15,243458,227345809.85,21828,MEDANTA
13,2023-12-11,EQ,934.65,940.0,908.5,934.75,937.0,933.0,922.04,1028.0,426.15,534907,493203275.95,39518,MEDANTA
14,2023-12-08,EQ,948.65,970.9,931.0,939.9,935.0,934.75,951.07,1028.0,426.15,325504,309577257.55,24296,MEDANTA
15,2023-12-07,EQ,983.95,983.95,932.0,974.85,950.0,939.9,949.2,1028.0,426.15,409172,388386034.85,26605,MEDANTA
16,2023-12-06,EQ,1002.95,1002.95,970.0,1003.5,976.0,974.85,984.58,1028.0,426.15,1469171,1446521482.9,32078,MEDANTA
17,2023-12-05,EQ,985.0,1028.0,974.35,979.35,996.0,1003.5,1001.89,1028.0,426.15,395130,395875751.4,32459,MEDANTA
18,2023-12-04,EQ,996.6,1003.2,964.4,970.0,977.0,979.35,976.0,1003.2,426.15,314206,306666472.65,37814,MEDANTA
19,2023-12-01,EQ,963.95,978.8,944.15,957.35,975.1,970.0,962.28,978.8,426.15,379350,365041763.8,30836,MEDANTA
20,2023-11-30,EQ,925.5,975.25,921.6,919.85,969.9,957.35,935.76,975.25,426.15,749027,700907971.9,23052,MEDANTA
21,2023-11-29,EQ,928.0,928.65,906.3,920.7,916.9,919.85,918.19,958.0,426.15,265667,243931921.05,23109,MEDANTA
22,2023-11-28,EQ,906.95,926.9,901.0,903.15,920.45,920.7,917.53,958.0,426.15,515216,472728515.85,23356,MEDANTA
23,2023-11-24,EQ,898.25,908.3,893.05,898.25,900.0,903.15,902.03,958.0,407.25,102198,92186062.15,8178,MEDANTA
24,2023-11-23,EQ,899.6,899.9,891.8,896.25,898.2,898.25,897.69,958.0,407.25,105185,94423408.1,7019,MEDANTA
25,2023-11-22,EQ,894.0,898.15,888.95,894.0,897.0,896.25,894.29,958.0,407.25,114079,102019800.45,12148,MEDANTA
26,2023-11-21,EQ,899.95,902.95,890.0,896.85,893.0,894.0,895.91,958.0,407.25,105736,94730004.25,8849,MEDANTA
27,2023-11-20,EQ,907.0,907.5,894.5,902.5,900.0,896.85,901.67,958.0,407.25,347780,313584052.15,11993,MEDANTA
28,2023-11-17,EQ,893.8,909.05,888.0,888.5,899.0,902.5,898.09,958.0,390.55,265948,238844066.1,20533,MEDANTA
29,2023-11-16,EQ,890.05,907.3,881.3,893.15,893.4,888.5,892.11,958.0,390.55,402473,359049622.25,26692,MEDANTA
30,2023-11-15,EQ,920.0,928.45,888.3,910.85,889.0,893.15,904.89,958.0,390.55,421850,381729921.1,20424,MEDANTA
31,2023-11-13,EQ,947.05,947.05,907.2,950.15,910.0,910.85,916.54,958.0,390.55,619956,568215907.3,36340,MEDANTA
32,2023-11-12,EQ,925.8,958.0,925.0,902.8,948.7,950.15,950.9,958.0,390.55,326087,310077371.6,11709,MEDANTA
33,2023-11-10,EQ,862.0,934.95,842.1,859.75,911.0,902.8,878.83,934.95,390.55,627201,551203637.85,35214,MEDANTA
34,2023-11-09,EQ,834.75,868.7,816.0,833.5,863.0,859.75,847.82,868.7,390.55,952778,807784380.6,50046,MEDANTA
35,2023-11-08,EQ,835.0,849.7,823.1,830.8,830.0,833.5,837.73,849.7,390.55,1011539,847398165.3,17721,MEDANTA
36,2023-11-07,EQ,837.2,839.95,824.0,837.2,834.0,830.8,829.06,842.5,390.55,271988,225494334.45,15173,MEDANTA
37,2023-11-06,EQ,815.0,840.0,815.0,806.25,837.95,837.2,830.9,842.5,390.55,313107,260161765.45,17351,MEDANTA
38,2023-11-03,EQ,826.0,842.5,801.55,816.7,807.0,806.25,823.71,842.5,390.55,452522,372745178.55,34217,MEDANTA
39,2023-11-02,EQ,810.95,830.95,805.0,799.6,816.9,816.7,817.2,830.95,390.55,517484,422885704.6,34422,MEDANTA
40,2023-11-01,EQ,784.95,810.0,777.8,784.6,803.0,799.6,792.37,810.0,390.55,237461,188158030.7,13277,MEDANTA
41,2023-10-31,EQ,765.95,790.0,748.0,764.35,786.4,784.6,780.17,793.4,390.55,250168,195172981.1,19475,MEDANTA
42,2023-10-30,EQ,760.0,770.0,752.1,756.95,768.0,764.35,756.45,793.4,390.55,214459,162226565.05,9753,MEDANTA
43,2023-10-27,EQ,747.0,760.4,739.85,747.25,758.9,756.95,755.67,793.4,390.55,177734,134307504.1,19788,MEDANTA
44,2023-10-26,EQ,725.0,764.5,708.0,733.3,742.7,747.25,732.96,793.4,390.55,395376,289795280.4,30834,MEDANTA
45,2023-10-25,EQ,754.9,763.55,725.8,749.95,738.8,733.3,740.87,793.4,390.55,349359,258830672.7,20667,MEDANTA
46,2023-10-23,EQ,769.75,770.9,734.0,768.65,750.0,749.95,754.68,793.4,390.55,490463,370142646.0,20466,MEDANTA
47,2023-10-20,EQ,788.0,789.35,765.8,775.45,769.95,768.65,775.82,793.4,390.55,149721,116156238.85,19352,MEDANTA
48,2023-10-19,EQ,770.0,780.55,763.35,773.05,774.2,775.45,773.92,793.4,390.55,332787,257549531.15,11944,MEDANTA
49,2023-10-18,EQ,784.95,786.15,767.15,779.75,776.85,773.05,772.94,793.4,390.55,139348,107708334.3,12155,MEDANTA
50,2023-10-17,EQ,789.0,793.35,771.25,787.65,782.9,779.75,779.78,793.4,390.55,262542,204725668.35,15471,MEDANTA
51,2023-10-16,EQ,779.9,793.4,774.45,778.15,786.95,787.65,786.58,793.4,390.55,247964,195044426.4,17251,MEDANTA
52,2023-10-13,EQ,758.0,780.95,756.8,764.2,773.15,778.15,773.17,780.95,390.55,207815,160675677.5,10875,MEDANTA
53,2023-10-12,EQ,769.95,777.0,757.7,766.15,762.0,764.2,768.62,777.0,390.55,165875,127494225.0,14062,MEDANTA
54,2023-10-11,EQ,757.0,769.0,753.3,750.7,764.0,766.15,763.98,769.0,390.55,353306,269920267.95,16757,MEDANTA
55,2023-10-10,EQ,756.45,758.65,741.25,749.95,755.0,750.7,751.64,759.0,390.55,174973,131516129.85,11067,MEDANTA
56,2023-10-09,EQ,730.65,751.75,728.85,748.4,748.0,749.95,743.02,759.0,390.55,366219,272108455.95,16605,MEDANTA
57,2023-10-06,EQ,742.0,759.0,740.95,739.95,750.8,748.4,749.62,759.0,390.55,443873,332737066.3,18554,MEDANTA
58,2023-10-05,EQ,749.9,758.4,732.0,740.5,741.85,739.95,745.22,758.4,390.55,323566,241126674.5,20647,MEDANTA
59,2023-10-04,EQ,748.0,751.75,736.0,747.25,742.0,740.5,741.88,751.8,390.55,321577,238571055.65,18845,MEDANTA
60,2023-10-03,EQ,716.0,751.8,712.0,716.05,746.9,747.25,738.87,751.8,390.55,1177201,869799205.9,38448,MEDANTA
61,2023-09-29,EQ,718.15,725.0,712.3,715.1,717.95,716.05,717.21,731.8,390.55,294055,210900183.75,16175,MEDANTA
62,2023-09-28,EQ,710.25,724.5,701.65,694.8,717.85,715.1,712.99,731.8,390.55,1150651,820403143.05,32847,MEDANTA
63,2023-09-27,EQ,692.95,698.0,689.05,692.15,695.1,694.8,694.94,731.8,390.55,96335,66946989.95,9556,MEDANTA
64,2023-09-26,EQ,694.6,698.0,689.15,696.75,692.3,692.15,692.43,731.8,390.55,129560,89711179.1,8720,MEDANTA
65,2023-09-25,EQ,695.15,698.75,683.95,694.0,695.95,696.75,691.68,731.8,390.55,177452,122739982.25,12631,MEDANTA
66,2023-09-22,EQ,681.0,695.35,680.3,680.2,695.15,694.0,689.05,731.8,390.55,201672,138961473.45,19932,MEDANTA
67,2023-09-21,EQ,684.9,690.0,676.0,689.3,680.0,680.2,682.05,731.8,390.55,171620,117052910.5,14489,MEDANTA
68,2023-09-20,EQ,694.05,699.65,686.65,696.3,688.9,689.3,690.89,731.8,390.55,123857,85572076.55,9730,MEDANTA
69,2023-09-18,EQ,705.95,705.95,692.5,701.95,694.6,696.3,700.04,731.8,390.55,153516,107467612.25,7097,MEDANTA
70,2023-09-15,EQ,702.95,710.8,697.75,700.0,701.0,701.95,702.62,731.8,390.55,602128,423066433.25,22000,MEDANTA
71,2023-09-14,EQ,704.0,718.95,697.0,702.0,703.0,700.0,707.37,731.8,390.55,630631,446090763.85,22753,MEDANTA
72,2023-09-13,EQ,683.15,705.9,679.0,676.7,700.0,702.0,690.05,731.8,390.55,380205,262360708.0,25195,MEDANTA
73,2023-09-12,EQ,699.9,703.9,675.0,698.15,678.0,676.7,685.67,731.8,390.55,215461,147735433.35,18441,MEDANTA
74,2023-09-11,EQ,698.95,704.85,696.0,695.25,696.2,698.15,699.65,731.8,390.55,182936,127991108.65,13684,MEDANTA
75,2023-09-08,EQ,699.8,703.15,690.0,695.15,695.3,695.25,695.07,731.8,390.55,359438,249834309.05,15069,MEDANTA
76,2023-09-07,EQ,699.5,705.9,690.05,697.7,697.0,695.15,695.32,731.8,390.55,293889,204345542.8,18744,MEDANTA
77,2023-09-06,EQ,700.85,708.4,692.0,696.35,699.05,697.7,699.63,731.8,390.55,328078,229532691.3,28146,MEDANTA
78,2023-09-05,EQ,704.15,716.45,692.05,704.15,698.75,696.35,705.88,731.8,390.55,391580,276409070.05,18015,MEDANTA
79,2023-09-04,EQ,710.0,712.0,691.0,706.75,700.2,704.15,699.17,731.8,390.55,306366,214200583.05,21825,MEDANTA
80,2023-09-01,EQ,714.75,716.9,703.0,709.45,704.0,706.75,708.34,731.8,390.55,119598,84716191.5,8370,MEDANTA
81,2023-08-31,EQ,709.85,715.95,701.1,702.7,714.5,709.45,709.99,731.8,390.55,731670,519479593.85,21065,MEDANTA
82,2023-08-30,EQ,703.0,710.35,695.5,698.75,702.8,702.7,704.61,731.8,390.55,501109,353085500.25,15747,MEDANTA
83,2023-08-29,EQ,711.95,712.0,694.0,709.95,700.0,698.75,701.61,731.8,390.55,401527,281715318.2,19119,MEDANTA
84,2023-08-28,EQ,707.0,714.0,701.0,704.0,710.8,709.95,709.22,731.8,390.55,272404,193194617.9,21890,MEDANTA
85,2023-08-25,EQ,699.0,707.65,690.25,697.35,701.15,704.0,698.62,731.8,390.55,315161,220176471.6,17752,MEDANTA
86,2023-08-24,EQ,715.0,719.7,666.9,708.4,700.0,697.35,699.88,731.8,390.55,1274483,891984161.45,29475,MEDANTA
87,2023-08-23,EQ,696.9,731.8,685.0,693.55,711.0,708.4,708.55,731.8,390.55,1742958,1234981567.8,42401,MEDANTA
88,2023-08-22,EQ,690.0,699.9,688.15,688.65,693.5,693.55,696.26,729.0,390.55,251754,175286124.3,16872,MEDANTA
89,2023-08-21,EQ,683.0,691.9,681.05,683.3,689.8,688.65,688.03,729.0,390.55,96207,66193032.2,7885,MEDANTA
90,2023-08-18,EQ,687.3,697.9,680.0,687.3,682.2,683.3,687.41,729.0,390.55,108242,74406660.3,11885,MEDANTA
91,2023-08-17,EQ,690.1,693.65,682.1,690.1,689.95,687.3,688.11,729.0,390.55,257538,177214172.3,17164,MEDANTA
92,2023-08-16,EQ,671.0,696.35,671.0,675.4,691.0,690.1,688.21,729.0,390.55,204476,140723205.1,9997,MEDANTA
93,2023-08-14,EQ,680.0,687.45,665.85,677.45,675.0,675.4,675.15,729.0,390.55,223276,150745570.55,15893,MEDANTA
94,2023-08-11,EQ,703.65,709.55,672.25,689.8,677.5,677.45,693.03,729.0,390.55,1198886,830864442.6,35951,MEDANTA
95,2023-08-10,EQ,680.1,704.8,680.1,679.9,688.8,689.8,692.63,729.0,390.55,345844,239543489.3,24360,MEDANTA
96,2023-08-09,EQ,684.7,684.9,674.0,680.95,680.0,679.9,679.19,729.0,390.55,165712,112549298.75,14057,MEDANTA
97,2023-08-08,EQ,690.0,690.4,675.05,690.7,684.7,680.95,683.79,729.0,390.55,306298,209444873.85,19809,MEDANTA
98,2023-08-07,EQ,661.45,698.45,661.45,666.5,688.25,690.7,685.35,729.0,390.55,902082,618241894.1,27763,MEDANTA
99,2023-08-04,EQ,678.8,682.3,661.1,675.95,665.0,666.5,670.44,729.0,390.55,257670,172752799.85,13780,MEDANTA
100,2023-08-03,EQ,669.2,682.9,669.0,669.9,671.05,675.95,676.44,729.0,390.55,118017,79831169.9,8878,MEDANTA
101,2023-08-02,EQ,687.95,690.45,655.65,679.7,669.0,669.9,673.15,729.0,390.55,288240,194030109.95,14674,MEDANTA
102,2023-08-01,EQ,707.7,709.75,675.55,707.7,681.95,679.7,688.87,729.0,390.55,268292,184819081.1,14170,MEDANTA
