,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,377.55,389.2,376.6,378.1,385.05,386.25,385.82,404.25,185.0,609171,235032285.95,13817,MINDACORP
1,2023-12-28,EQ,384.3,387.0,376.6,382.75,379.9,378.1,380.25,404.25,185.0,147907,56241474.45,6520,MINDACORP
2,2023-12-27,EQ,387.0,389.75,379.1,386.25,383.1,382.75,383.59,404.25,185.0,222161,85217959.75,8991,MINDACORP
3,2023-12-26,EQ,384.0,386.95,377.95,384.0,386.0,386.25,381.11,404.25,185.0,838526,319573409.2,7604,MINDACORP
4,2023-12-22,EQ,384.0,388.0,381.0,382.6,383.9,384.0,384.37,404.25,185.0,323404,124305654.2,7717,MINDACORP
5,2023-12-21,EQ,374.0,386.4,369.0,375.4,384.0,382.6,380.97,404.25,185.0,659226,251144596.6,17195,MINDACORP
6,2023-12-20,EQ,401.0,401.0,372.25,401.05,374.0,375.4,387.14,404.25,185.0,1080377,418256843.65,23227,MINDACORP
7,2023-12-19,EQ,384.0,404.25,379.2,384.8,400.0,401.05,392.71,404.25,185.0,2242120,880501283.95,28813,MINDACORP
8,2023-12-18,EQ,383.2,386.0,377.8,383.2,381.0,384.8,383.24,391.0,185.0,1157062,443429766.75,9453,MINDACORP
9,2023-12-15,EQ,384.9,384.9,374.1,382.35,383.0,383.2,379.68,391.0,185.0,453884,172328503.15,8995,MINDACORP
10,2023-12-14,EQ,386.0,391.0,380.05,381.65,381.05,382.35,385.25,391.0,185.0,687553,264883033.0,15038,MINDACORP
11,2023-12-13,EQ,383.25,383.95,378.45,383.35,380.7,381.65,380.98,388.4,185.0,260992,99431897.7,10754,MINDACORP
12,2023-12-12,EQ,379.65,388.4,376.55,375.65,383.25,383.35,382.2,388.4,185.0,1919095,733477520.2,27373,MINDACORP
13,2023-12-11,EQ,373.0,382.5,368.75,373.85,376.5,375.65,375.87,386.3,185.0,415923,156333543.4,14625,MINDACORP
14,2023-12-08,EQ,375.95,378.9,368.0,374.7,373.0,373.85,372.96,386.3,185.0,253130,94407490.7,10520,MINDACORP
15,2023-12-07,EQ,379.2,379.2,371.9,380.35,373.7,374.7,375.19,386.3,185.0,519721,194992371.35,14382,MINDACORP
16,2023-12-06,EQ,380.8,382.05,369.9,378.15,379.65,380.35,374.78,386.3,185.0,1606530,602094420.45,21504,MINDACORP
17,2023-12-05,EQ,378.5,386.3,373.65,374.45,378.2,378.15,382.32,386.3,185.0,2141826,818855389.5,36797,MINDACORP
18,2023-12-04,EQ,372.1,380.0,365.0,366.6,378.9,374.45,371.98,380.0,185.0,1163844,432921864.35,22263,MINDACORP
19,2023-12-01,EQ,368.0,371.0,361.2,365.25,366.0,366.6,368.23,375.9,185.0,681039,250777000.45,14609,MINDACORP
20,2023-11-30,EQ,374.75,375.9,362.1,373.15,364.1,365.25,369.04,375.9,185.0,1744108,643644705.1,33436,MINDACORP
21,2023-11-29,EQ,339.7,375.4,338.6,336.2,372.7,373.15,365.43,375.4,185.0,8753169,3198637278.8,97575,MINDACORP
22,2023-11-28,EQ,341.9,342.0,335.0,340.4,337.0,336.2,337.19,369.95,185.0,367590,123949008.2,11378,MINDACORP
23,2023-11-24,EQ,344.0,347.75,339.95,342.6,340.9,340.4,342.91,369.95,185.0,409372,140376815.8,9319,MINDACORP
24,2023-11-23,EQ,344.45,349.75,338.0,342.3,342.0,342.6,344.77,369.95,185.0,818024,282028705.7,11813,MINDACORP
25,2023-11-22,EQ,354.0,357.0,341.0,352.0,343.0,342.3,348.7,369.95,185.0,917947,320091265.6,18690,MINDACORP
26,2023-11-21,EQ,340.05,353.5,340.05,340.85,352.15,352.0,348.72,369.95,185.0,693822,241951449.0,14435,MINDACORP
27,2023-11-20,EQ,342.55,345.7,339.0,341.0,341.5,340.85,342.51,369.95,185.0,193497,66273836.55,6989,MINDACORP
28,2023-11-17,EQ,347.9,349.7,340.0,346.1,342.0,341.0,344.42,369.95,185.0,318941,109850619.8,8295,MINDACORP
29,2023-11-16,EQ,350.95,354.4,340.15,350.05,348.0,346.1,350.35,369.95,185.0,1598857,560156851.45,10163,MINDACORP
30,2023-11-15,EQ,353.0,353.75,345.3,345.2,349.0,350.05,349.98,369.95,185.0,1023054,358051166.85,9651,MINDACORP
31,2023-11-13,EQ,355.95,355.95,343.05,356.05,345.15,345.2,348.62,369.95,185.0,245859,85710372.75,5510,MINDACORP
32,2023-11-12,EQ,353.4,358.0,349.3,349.5,355.0,356.05,355.07,369.95,185.0,340295,120829224.3,4367,MINDACORP
33,2023-11-10,EQ,349.05,351.5,339.8,349.65,349.0,349.5,346.44,369.95,185.0,494883,171448815.5,8033,MINDACORP
