,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,1706.2,1715.1,1688.2,1697.7,1699.0,1698.35,1701.22,1885.0,803.05,7078,12041266.85,1090,MPSLTD
1,2023-12-28,EQ,1708.0,1718.95,1690.0,1702.0,1697.7,1697.7,1704.71,1885.0,803.05,7304,12451219.45,1328,MPSLTD
2,2023-12-27,EQ,1711.65,1729.95,1695.0,1703.1,1708.0,1702.0,1708.97,1885.0,803.05,8002,13675143.2,1634,MPSLTD
3,2023-12-26,EQ,1723.1,1747.0,1690.0,1723.1,1690.0,1703.1,1709.66,1885.0,803.05,6892,11782962.75,1278,MPSLTD
4,2023-12-22,EQ,1720.05,1737.0,1701.05,1729.5,1704.9,1723.1,1716.43,1885.0,781.05,7425,12744455.7,1503,MPSLTD
5,2023-12-21,EQ,1652.1,1736.9,1652.1,1688.15,1715.2,1729.5,1713.8,1885.0,781.05,9209,15782396.85,2285,MPSLTD
6,2023-12-20,EQ,1733.8,1753.5,1670.95,1733.8,1699.0,1688.15,1703.28,1885.0,781.05,31233,53198589.25,2615,MPSLTD
7,2023-12-19,EQ,1747.7,1760.0,1720.0,1747.7,1721.0,1733.8,1734.12,1885.0,781.05,8972,15558510.95,1804,MPSLTD
8,2023-12-18,EQ,1750.0,1764.0,1741.0,1764.5,1742.0,1747.7,1751.96,1885.0,781.05,9284,16265205.2,2193,MPSLTD
9,2023-12-15,EQ,1774.25,1797.95,1740.05,1769.9,1756.0,1764.5,1765.06,1885.0,781.05,14874,26253462.55,2897,MPSLTD
10,2023-12-14,EQ,1687.9,1818.0,1684.55,1679.5,1775.0,1769.9,1781.67,1885.0,781.05,132537,236136744.5,12309,MPSLTD
11,2023-12-13,EQ,1678.0,1699.4,1668.0,1677.25,1675.1,1679.5,1680.7,1885.0,781.05,11220,18857428.9,1921,MPSLTD
12,2023-12-12,EQ,1694.75,1714.45,1665.0,1686.35,1683.0,1677.25,1680.98,1885.0,781.05,14427,24251535.65,2615,MPSLTD
13,2023-12-11,EQ,1675.0,1715.1,1656.25,1670.35,1714.0,1686.35,1678.24,1885.0,781.05,13393,22476677.3,2485,MPSLTD
14,2023-12-08,EQ,1673.5,1720.6,1662.0,1665.15,1679.1,1670.35,1689.25,1885.0,781.05,20588,34778293.05,3955,MPSLTD
15,2023-12-07,EQ,1712.0,1725.0,1656.7,1705.15,1658.0,1665.15,1686.02,1885.0,781.05,21351,35998192.55,3483,MPSLTD
16,2023-12-06,EQ,1748.1,1789.9,1691.7,1739.4,1699.0,1705.15,1735.58,1885.0,781.05,22727,39444564.9,3992,MPSLTD
17,2023-12-05,EQ,1750.75,1770.05,1728.75,1750.75,1745.0,1739.4,1744.54,1885.0,781.05,12830,22382500.0,2618,MPSLTD
18,2023-12-04,EQ,1786.0,1815.0,1740.1,1778.9,1752.25,1750.75,1779.44,1885.0,781.05,15919,28326832.6,3237,MPSLTD
19,2023-12-01,EQ,1785.0,1798.8,1757.15,1782.35,1775.0,1778.9,1776.48,1885.0,781.05,10461,18583778.4,2344,MPSLTD
20,2023-11-30,EQ,1765.85,1790.5,1753.15,1768.85,1771.05,1782.35,1772.02,1885.0,781.05,12346,21877378.2,2346,MPSLTD
21,2023-11-29,EQ,1779.85,1848.0,1752.35,1779.85,1765.0,1768.85,1796.71,1885.0,781.05,29955,53820597.35,4967,MPSLTD
22,2023-11-28,EQ,1806.45,1810.15,1752.35,1788.65,1795.35,1779.85,1779.21,1885.0,781.05,20580,36616046.7,4293,MPSLTD
23,2023-11-24,EQ,1818.8,1835.5,1777.0,1833.8,1791.05,1788.65,1802.19,1885.0,781.05,16368,29498309.4,3052,MPSLTD
24,2023-11-23,EQ,1770.0,1871.05,1770.0,1768.7,1812.0,1833.8,1837.39,1885.0,781.05,55520,102011723.55,9904,MPSLTD
25,2023-11-22,EQ,1811.55,1836.4,1753.25,1826.95,1776.0,1768.7,1789.37,1885.0,781.05,40646,72730727.1,7685,MPSLTD
26,2023-11-21,EQ,1855.0,1885.0,1807.15,1818.6,1810.0,1826.95,1845.94,1885.0,781.05,62630,115611284.0,9326,MPSLTD
27,2023-11-20,EQ,1741.0,1837.0,1727.1,1721.65,1832.0,1818.6,1797.68,1837.0,781.05,109200,196306832.5,15733,MPSLTD
28,2023-11-17,EQ,1649.0,1751.0,1640.0,1638.3,1726.0,1721.65,1723.78,1819.8,781.05,147913,254969772.35,18905,MPSLTD
29,2023-11-16,EQ,1642.75,1652.95,1631.0,1645.05,1640.35,1638.3,1642.73,1819.8,781.05,15666,25735031.4,2546,MPSLTD
30,2023-11-15,EQ,1629.0,1659.6,1618.1,1615.5,1646.75,1645.05,1639.23,1819.8,781.05,33251,54505996.1,5375,MPSLTD
