,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,436.85,449.0,433.4,434.55,445.1,447.85,443.94,489.0,196.9,889357,394821873.75,22313,NAM-INDIA
1,2023-12-28,EQ,439.6,441.85,432.25,438.6,434.8,434.55,435.51,489.0,196.9,924151,402480274.8,25506,NAM-INDIA
2,2023-12-27,EQ,447.0,449.0,437.0,443.5,438.7,438.6,441.95,489.0,196.9,484960,214326050.5,22012,NAM-INDIA
3,2023-12-26,EQ,455.3,457.25,440.8,455.3,443.1,443.5,446.94,489.0,196.9,858535,383713997.55,30396,NAM-INDIA
4,2023-12-22,EQ,457.45,459.55,444.7,457.25,456.0,455.3,454.41,489.0,196.9,968681,440177894.1,41250,NAM-INDIA
5,2023-12-21,EQ,454.85,460.0,443.25,459.6,455.5,457.25,453.55,489.0,196.9,900623,408476203.85,37316,NAM-INDIA
6,2023-12-20,EQ,465.0,489.0,453.0,449.05,460.0,459.6,474.48,489.0,196.9,6318489,2997992821.4,115905,NAM-INDIA
7,2023-12-19,EQ,446.25,454.3,442.5,444.1,449.8,449.05,447.27,472.75,196.9,726180,324799580.1,17187,NAM-INDIA
8,2023-12-18,EQ,451.05,451.05,440.6,448.75,445.0,444.1,444.14,472.75,196.9,651722,289457504.15,23326,NAM-INDIA
9,2023-12-15,EQ,448.1,452.0,438.6,442.35,448.0,448.75,447.03,472.75,196.9,1115598,498708997.9,25928,NAM-INDIA
10,2023-12-14,EQ,459.65,461.5,440.0,459.65,442.8,442.35,447.15,472.75,196.9,884870,395669005.1,27002,NAM-INDIA
11,2023-12-13,EQ,444.75,472.75,443.5,442.5,457.5,459.65,459.97,472.75,196.9,2244015,1032170980.65,73245,NAM-INDIA
12,2023-12-12,EQ,440.9,446.9,438.05,438.55,442.0,442.5,443.51,455.0,196.9,462212,204996860.45,26432,NAM-INDIA
13,2023-12-11,EQ,435.5,443.9,435.0,433.55,437.55,438.55,439.77,455.0,196.9,325124,142979126.9,15714,NAM-INDIA
14,2023-12-08,EQ,444.9,448.0,432.05,441.8,435.0,433.55,439.19,455.0,196.9,380016,166898046.85,14031,NAM-INDIA
15,2023-12-07,EQ,451.95,455.0,430.0,451.65,442.4,441.8,447.11,455.0,196.9,1225404,547885147.75,31176,NAM-INDIA
16,2023-12-06,EQ,444.65,454.9,435.25,444.5,454.9,451.65,444.42,454.9,196.9,1022670,454490674.7,20620,NAM-INDIA
17,2023-12-05,EQ,441.0,448.3,438.05,441.45,443.0,444.5,443.26,448.3,196.9,761094,337365033.65,21076,NAM-INDIA
18,2023-12-04,EQ,433.8,443.85,432.45,429.15,439.45,441.45,439.29,443.85,196.9,784375,344565771.3,25704,NAM-INDIA
19,2023-12-01,EQ,421.0,433.2,418.3,418.15,431.0,429.15,428.2,433.2,196.9,1053375,451050591.7,24227,NAM-INDIA
20,2023-11-30,EQ,411.0,419.65,410.05,410.05,419.0,418.15,415.57,425.25,196.9,476921,198192348.4,22553,NAM-INDIA
21,2023-11-29,EQ,408.5,411.5,406.0,406.4,408.75,410.05,409.69,425.25,196.9,228364,93558272.05,9150,NAM-INDIA
22,2023-11-28,EQ,409.7,413.2,402.95,407.15,407.0,406.4,407.4,425.25,196.9,296946,120974581.2,18133,NAM-INDIA
23,2023-11-24,EQ,419.35,422.4,404.1,419.2,406.0,407.15,413.31,425.25,196.9,412102,170325486.8,11574,NAM-INDIA
24,2023-11-23,EQ,410.25,420.85,410.25,409.3,419.85,419.2,416.28,425.25,196.9,379954,158166099.25,11455,NAM-INDIA
25,2023-11-22,EQ,414.0,422.1,405.0,412.1,409.95,409.3,414.04,425.25,196.9,471683,195295616.15,15129,NAM-INDIA
26,2023-11-21,EQ,418.7,421.95,411.2,417.7,412.0,412.1,415.09,425.25,196.9,281986,117048701.3,14535,NAM-INDIA
27,2023-11-20,EQ,420.25,425.25,416.35,421.05,418.5,417.7,421.08,425.25,196.9,357574,150567511.45,14883,NAM-INDIA
28,2023-11-17,EQ,416.75,424.15,412.2,417.2,418.1,421.05,418.94,424.15,196.9,855888,358564291.45,22257,NAM-INDIA
29,2023-11-16,EQ,406.0,421.1,405.0,405.0,417.95,417.2,415.23,421.1,196.9,1221767,507315600.55,32610,NAM-INDIA
30,2023-11-15,EQ,404.0,414.8,400.3,402.7,404.9,405.0,408.89,414.9,196.9,976156,399142506.0,39327,NAM-INDIA
31,2023-11-13,EQ,400.0,412.3,396.15,401.7,402.0,402.7,405.16,414.9,196.9,775284,314115383.9,23182,NAM-INDIA
32,2023-11-12,EQ,400.95,404.7,400.5,397.45,400.9,401.7,402.29,414.9,196.9,79756,32085017.95,2891,NAM-INDIA
33,2023-11-10,EQ,397.0,400.0,392.1,400.35,398.0,397.45,396.55,414.9,196.9,349028,138406214.7,14982,NAM-INDIA
34,2023-11-09,EQ,401.35,403.05,388.05,405.1,397.6,400.35,396.01,414.9,196.9,715787,283461010.65,23875,NAM-INDIA
35,2023-11-08,EQ,408.0,412.5,401.05,405.45,405.75,405.1,408.13,414.9,196.9,738450,301381207.6,21746,NAM-INDIA
36,2023-11-07,EQ,403.75,414.9,396.05,403.75,407.5,405.45,408.33,414.9,196.9,2271345,927468114.15,33758,NAM-INDIA
37,2023-11-06,EQ,395.6,406.8,387.3,393.5,405.2,403.75,401.24,406.8,196.9,1566642,628600336.55,30710,NAM-INDIA
