,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,814.0,814.0,800.55,803.15,811.5,811.35,808.66,928.0,502.0,449932,363841819.6,18901,NATCOPHARM
1,2023-12-28,EQ,809.95,814.25,792.05,801.75,804.9,803.15,803.52,928.0,502.0,474190,381020663.55,24997,NATCOPHARM
2,2023-12-27,EQ,813.0,819.8,798.55,804.35,803.0,801.75,807.34,928.0,502.0,630277,508848860.7,26972,NATCOPHARM
3,2023-12-26,EQ,796.4,816.0,788.05,792.2,807.05,804.35,806.98,928.0,502.0,1002451,808956559.35,37933,NATCOPHARM
4,2023-12-22,EQ,786.9,813.0,783.05,778.15,792.1,792.2,798.33,928.0,502.0,1285219,1026033519.9,48923,NATCOPHARM
5,2023-12-21,EQ,764.8,782.0,755.0,764.8,780.5,778.15,768.41,928.0,502.0,830228,637957220.15,35004,NATCOPHARM
6,2023-12-20,EQ,782.8,788.95,760.0,778.75,766.35,764.8,778.5,928.0,502.0,687527,535239425.5,32217,NATCOPHARM
7,2023-12-19,EQ,781.1,784.95,774.0,777.25,779.9,778.75,778.63,928.0,502.0,359989,280298924.1,20837,NATCOPHARM
8,2023-12-18,EQ,782.95,784.0,773.2,775.35,780.0,777.25,779.76,928.0,502.0,336645,262502609.4,21647,NATCOPHARM
9,2023-12-15,EQ,769.2,777.95,768.0,765.15,775.5,775.35,773.22,928.0,502.0,389438,301120202.75,20947,NATCOPHARM
10,2023-12-14,EQ,768.0,769.9,761.25,758.8,765.3,765.15,765.16,928.0,502.0,436386,333905107.3,19689,NATCOPHARM
11,2023-12-13,EQ,764.55,767.3,754.25,756.3,762.35,758.8,759.71,928.0,502.0,454187,345049628.7,27160,NATCOPHARM
12,2023-12-12,EQ,775.2,776.2,752.45,772.55,757.0,756.3,760.07,928.0,502.0,771100,586091536.45,40041,NATCOPHARM
13,2023-12-11,EQ,782.6,784.75,771.0,780.25,774.4,772.55,776.62,928.0,502.0,289577,224890735.65,17956,NATCOPHARM
14,2023-12-08,EQ,782.35,789.7,776.95,782.5,780.5,780.25,781.8,928.0,502.0,310653,242868688.4,13961,NATCOPHARM
15,2023-12-07,EQ,783.05,792.0,777.65,786.3,783.15,782.5,785.95,928.0,502.0,325808,256070029.7,14752,NATCOPHARM
16,2023-12-06,EQ,784.15,790.0,777.45,780.2,786.0,786.3,785.07,928.0,502.0,348929,273932834.85,16309,NATCOPHARM
17,2023-12-05,EQ,794.5,794.7,778.5,792.15,780.9,780.2,784.66,928.0,502.0,484920,380496193.5,29329,NATCOPHARM
18,2023-12-04,EQ,800.05,807.7,788.1,785.4,792.0,792.15,795.28,928.0,502.0,429289,341403745.0,23227,NATCOPHARM
19,2023-12-01,EQ,794.95,802.9,784.0,792.5,785.0,785.4,792.11,928.0,502.0,441547,349754080.7,26105,NATCOPHARM
20,2023-11-30,EQ,784.9,794.95,780.9,780.25,792.95,792.5,789.63,928.0,502.0,612194,483405563.3,21318,NATCOPHARM
21,2023-11-29,EQ,777.9,786.95,772.1,774.05,782.0,780.25,779.24,928.0,502.0,801640,624669049.7,18502,NATCOPHARM
22,2023-11-28,EQ,784.8,787.2,771.7,780.45,774.95,774.05,776.44,928.0,502.0,479334,372174025.9,20835,NATCOPHARM
23,2023-11-24,EQ,789.25,798.2,777.45,789.25,781.05,780.45,784.16,928.0,502.0,349819,274312607.1,17669,NATCOPHARM
24,2023-11-23,EQ,806.9,813.35,785.25,799.6,790.0,789.25,796.43,928.0,502.0,530035,422133597.2,21158,NATCOPHARM
25,2023-11-22,EQ,784.7,812.2,780.1,779.55,800.0,799.6,801.23,928.0,502.0,1926532,1543592707.95,56994,NATCOPHARM
26,2023-11-21,EQ,784.8,791.95,777.7,780.9,780.0,779.55,783.81,928.0,502.0,469768,368207612.55,19694,NATCOPHARM
27,2023-11-20,EQ,784.0,792.0,779.5,780.35,782.0,780.9,783.71,928.0,502.0,814087,638006661.15,20841,NATCOPHARM
28,2023-11-17,EQ,775.0,786.0,769.05,773.35,780.0,780.35,780.4,928.0,502.0,721072,562723991.35,27524,NATCOPHARM
29,2023-11-16,EQ,768.15,780.0,756.0,758.65,774.0,773.35,771.94,928.0,502.0,1237085,954960472.7,34349,NATCOPHARM
30,2023-11-15,EQ,829.9,829.9,754.55,794.25,759.0,758.65,778.14,928.0,502.0,3211304,2498853937.25,92482,NATCOPHARM
31,2023-11-13,EQ,794.9,798.65,779.0,791.85,795.0,794.25,788.57,928.0,502.0,424651,334866890.3,14758,NATCOPHARM
32,2023-11-12,EQ,775.95,799.6,775.35,766.55,795.9,791.85,787.15,928.0,502.0,261591,205912175.45,8083,NATCOPHARM
33,2023-11-10,EQ,737.65,779.8,735.55,733.95,762.0,766.55,763.02,928.0,502.0,2437432,1859817990.9,68402,NATCOPHARM
34,2023-11-09,EQ,752.0,766.25,729.1,747.7,735.45,733.95,748.18,928.0,502.0,1611408,1205626064.35,53973,NATCOPHARM
35,2023-11-08,EQ,750.0,767.0,745.1,748.65,748.4,747.7,754.52,928.0,502.0,872148,658056889.35,32848,NATCOPHARM
36,2023-11-07,EQ,749.3,758.6,744.2,748.2,749.0,748.65,749.08,928.0,502.0,636323,476659150.65,17365,NATCOPHARM
37,2023-11-06,EQ,751.75,767.0,743.6,743.6,748.9,748.2,752.08,928.0,502.0,502693,378065574.2,30692,NATCOPHARM
38,2023-11-03,EQ,740.0,752.4,737.0,733.6,743.0,743.6,745.69,928.0,502.0,554509,413490081.8,37410,NATCOPHARM
39,2023-11-02,EQ,748.0,773.75,724.2,741.55,731.2,733.6,750.26,928.0,502.0,1582803,1187512418.8,58084,NATCOPHARM
40,2023-11-01,EQ,809.9,809.9,731.5,800.35,738.0,741.55,764.79,928.0,502.0,1624981,1242761407.95,78765,NATCOPHARM
41,2023-10-31,EQ,797.0,820.0,795.0,795.1,798.0,800.35,801.1,928.0,502.0,651930,522260057.6,19441,NATCOPHARM
42,2023-10-30,EQ,809.9,815.45,791.1,805.65,797.0,795.1,800.08,928.0,502.0,246832,197486145.85,19411,NATCOPHARM
43,2023-10-27,EQ,800.4,827.95,797.75,793.6,804.95,805.65,813.6,928.0,502.0,344406,280209728.4,19308,NATCOPHARM
44,2023-10-26,EQ,799.9,806.95,789.55,798.15,799.75,793.6,798.63,928.0,502.0,427209,341180888.15,28536,NATCOPHARM
45,2023-10-25,EQ,815.0,820.0,793.1,806.8,797.0,798.15,805.0,928.0,502.0,262672,211450619.55,21518,NATCOPHARM
46,2023-10-23,EQ,826.1,829.5,804.0,822.05,805.9,806.8,813.36,928.0,502.0,737388,599762826.45,17276,NATCOPHARM
47,2023-10-20,EQ,825.55,831.6,820.55,833.75,821.05,822.05,824.93,928.0,502.0,1142328,942338243.6,17670,NATCOPHARM
48,2023-10-19,EQ,840.0,859.0,832.0,845.4,834.45,833.75,840.08,928.0,502.0,276740,232482754.8,18574,NATCOPHARM
49,2023-10-18,EQ,838.0,850.0,835.0,839.75,845.0,845.4,844.29,928.0,502.0,375700,317198482.75,16699,NATCOPHARM
50,2023-10-17,EQ,848.9,853.9,836.85,839.8,840.8,839.75,844.77,928.0,502.0,262253,221542358.85,16442,NATCOPHARM
51,2023-10-16,EQ,850.6,858.0,833.05,850.6,840.0,839.8,844.28,928.0,502.0,240666,203189567.8,14976,NATCOPHARM
52,2023-10-13,EQ,868.95,874.45,848.05,869.95,850.0,850.6,859.16,928.0,502.0,322932,277450039.5,16012,NATCOPHARM
53,2023-10-12,EQ,858.3,872.85,855.0,850.85,865.0,869.95,864.28,928.0,502.0,253528,219120306.85,13324,NATCOPHARM
