,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,130.5,135.7,126.1,128.6,132.3,131.95,130.66,135.7,69.8,92188515,12045014143.8,218733,NATIONALUM
1,2023-12-28,EQ,119.55,129.6,119.05,117.85,129.6,128.6,124.42,129.6,69.8,107273076,13346813540.7,234336,NATIONALUM
2,2023-12-27,EQ,116.05,118.8,115.7,115.35,117.55,117.85,117.32,120.15,69.8,37717475,4424866664.9,88328,NATIONALUM
3,2023-12-26,EQ,116.5,117.55,114.7,115.1,115.7,115.35,116.02,120.15,69.8,19681322,2283503988.85,55954,NATIONALUM
4,2023-12-22,EQ,112.45,117.8,112.45,110.4,114.85,115.1,115.43,120.15,69.8,71397320,8241396049.85,153779,NATIONALUM
5,2023-12-21,EQ,104.3,111.9,102.3,104.3,111.4,110.4,107.26,120.15,69.8,37356676,4006753332.05,89058,NATIONALUM
6,2023-12-20,EQ,113.5,114.5,102.8,112.65,103.95,104.3,108.81,120.15,69.8,31181286,3392720528.55,100679,NATIONALUM
7,2023-12-19,EQ,116.0,116.5,111.5,115.5,113.0,112.65,113.37,120.15,69.8,22097019,2505135369.85,78799,NATIONALUM
8,2023-12-18,EQ,110.85,120.15,108.7,110.7,115.9,115.5,116.06,120.15,69.8,76529017,8881671435.0,168523,NATIONALUM
9,2023-12-15,EQ,107.0,113.7,106.7,104.25,110.45,110.7,110.35,113.7,69.8,109966812,12134597117.25,195547,NATIONALUM
10,2023-12-14,EQ,100.5,105.15,99.5,98.95,104.85,104.25,103.06,106.35,69.8,62388957,6430106079.45,133748,NATIONALUM
11,2023-12-13,EQ,97.2,99.25,96.4,96.95,99.1,98.95,97.99,106.35,69.8,9617428,942432222.65,27248,NATIONALUM
12,2023-12-12,EQ,98.45,99.25,96.5,98.0,96.8,96.95,98.19,106.35,69.8,9850152,967161678.85,31765,NATIONALUM
13,2023-12-11,EQ,97.9,98.7,97.2,97.45,97.9,98.0,98.01,106.35,69.8,8751714,857778711.25,27947,NATIONALUM
14,2023-12-08,EQ,99.1,100.1,95.3,99.05,97.5,97.45,97.44,106.35,69.8,24783460,2414988001.25,60348,NATIONALUM
15,2023-12-07,EQ,99.5,100.15,97.55,99.25,99.2,99.05,98.93,106.35,69.8,10912530,1079576566.85,37033,NATIONALUM
16,2023-12-06,EQ,96.5,100.7,95.75,96.25,99.45,99.25,98.65,106.35,69.8,25632937,2528805164.8,59163,NATIONALUM
17,2023-12-05,EQ,97.0,98.25,95.6,96.95,96.35,96.25,96.48,106.35,69.8,13183869,1272004615.5,38369,NATIONALUM
18,2023-12-04,EQ,95.1,97.75,94.55,93.75,96.95,96.95,96.28,106.35,69.8,25325753,2438367121.7,66836,NATIONALUM
19,2023-12-01,EQ,92.95,94.15,92.35,92.0,93.75,93.75,93.36,106.35,69.8,11700120,1092318951.2,36467,NATIONALUM
20,2023-11-30,EQ,92.0,92.7,91.25,92.05,92.3,92.0,91.98,106.35,69.8,10206560,938818253.1,34269,NATIONALUM
21,2023-11-29,EQ,92.5,92.9,91.55,92.0,92.1,92.05,91.99,106.35,69.8,9340433,859248772.05,24105,NATIONALUM
22,2023-11-28,EQ,91.65,92.4,91.1,91.05,92.25,92.0,91.82,106.35,69.8,6389749,586708994.35,22453,NATIONALUM
23,2023-11-24,EQ,91.05,92.3,90.9,90.95,91.05,91.05,91.56,106.35,69.8,6747951,617868752.15,19529,NATIONALUM
24,2023-11-23,EQ,91.4,91.5,90.1,91.4,91.05,90.95,90.73,106.35,69.8,8839234,801984384.1,30482,NATIONALUM
25,2023-11-22,EQ,93.3,93.35,90.7,93.7,91.4,91.4,91.7,106.35,69.8,7740924,709829044.15,33603,NATIONALUM
26,2023-11-21,EQ,93.3,94.65,93.2,92.6,93.7,93.7,93.93,106.35,69.8,8195390,769815379.15,25892,NATIONALUM
27,2023-11-20,EQ,93.0,94.35,92.4,92.75,92.7,92.6,93.23,106.35,69.8,12966464,1208875201.75,30808,NATIONALUM
28,2023-11-17,EQ,93.15,93.95,92.5,93.55,92.75,92.75,93.09,106.35,69.8,6630371,617189217.3,21017,NATIONALUM
29,2023-11-16,EQ,93.55,94.2,92.8,93.85,93.6,93.55,93.37,106.35,69.8,6370701,594814828.9,21213,NATIONALUM
30,2023-11-15,EQ,93.5,95.25,93.25,92.1,93.9,93.85,94.21,106.35,69.8,12275928,1156527813.25,36737,NATIONALUM
31,2023-11-13,EQ,92.85,92.85,90.8,92.65,92.1,92.1,92.0,106.35,69.8,6250696,575079049.4,19393,NATIONALUM
32,2023-11-12,EQ,92.25,92.95,92.0,91.3,92.9,92.65,92.5,106.35,69.8,1299074,120166710.6,9939,NATIONALUM
33,2023-11-10,EQ,90.4,92.05,90.0,90.4,91.6,91.3,91.12,106.35,69.8,5415351,493452341.6,17948,NATIONALUM
34,2023-11-09,EQ,94.05,94.35,89.25,94.0,90.35,90.4,91.94,106.35,69.8,11900597,1094125182.55,36066,NATIONALUM
35,2023-11-08,EQ,94.3,94.65,93.35,93.7,93.95,94.0,94.0,106.35,69.8,5370537,504843058.35,14083,NATIONALUM
36,2023-11-07,EQ,95.0,95.25,93.4,94.95,93.75,93.7,94.33,106.35,69.8,5261052,496262730.8,14860,NATIONALUM
37,2023-11-06,EQ,93.85,95.3,93.1,93.05,95.1,94.95,94.76,106.35,69.8,9475512,897912921.2,20979,NATIONALUM
38,2023-11-03,EQ,94.25,94.4,92.85,93.4,93.1,93.05,93.67,106.35,68.9,3598184,337033255.35,13023,NATIONALUM
39,2023-11-02,EQ,92.15,93.65,92.05,91.75,93.45,93.4,93.02,106.35,68.9,3847604,357888624.65,16462,NATIONALUM
40,2023-11-01,EQ,92.3,92.95,91.25,92.25,91.5,91.75,92.21,106.35,68.9,3354448,309327696.45,12800,NATIONALUM
41,2023-10-31,EQ,92.95,94.05,91.95,92.05,92.7,92.25,92.76,106.35,68.9,3785896,351191462.7,13176,NATIONALUM
42,2023-10-30,EQ,92.05,92.4,90.9,91.2,92.15,92.05,91.86,106.35,68.9,4576393,420382582.45,18029,NATIONALUM
43,2023-10-27,EQ,91.1,91.9,90.65,90.1,91.35,91.2,91.25,106.35,68.9,4813748,439277611.65,28181,NATIONALUM
44,2023-10-26,EQ,91.0,91.0,88.6,91.65,90.0,90.1,89.61,106.35,68.9,6405032,573942430.05,24991,NATIONALUM
45,2023-10-25,EQ,90.5,92.55,89.85,89.7,91.6,91.65,91.54,106.35,68.9,8121107,743399112.9,27879,NATIONALUM
46,2023-10-23,EQ,94.95,95.0,89.2,94.65,89.6,89.7,91.94,106.35,68.9,12825736,1179172788.75,46516,NATIONALUM
47,2023-10-20,EQ,97.0,98.2,94.4,97.95,94.55,94.65,95.72,106.35,68.05,7689327,736041721.75,33960,NATIONALUM
48,2023-10-19,EQ,97.9,98.35,95.8,98.5,97.8,97.95,97.26,106.35,68.05,7937694,771999294.6,25564,NATIONALUM
49,2023-10-18,EQ,100.25,102.25,98.1,99.6,98.45,98.5,99.88,106.35,68.05,13579682,1356276724.35,51591,NATIONALUM
50,2023-10-17,EQ,100.95,101.65,99.45,100.4,99.45,99.6,100.22,106.35,68.05,6165187,617859018.1,19980,NATIONALUM
51,2023-10-16,EQ,99.25,101.5,98.4,99.0,100.4,100.4,100.08,106.35,68.05,9487296,949466201.05,31507,NATIONALUM
52,2023-10-13,EQ,98.8,100.5,98.25,99.75,98.95,99.0,99.53,106.35,68.05,11189414,1113660854.55,31361,NATIONALUM
53,2023-10-12,EQ,96.45,100.9,96.35,95.8,99.7,99.75,99.68,106.35,68.05,32901759,3279745309.05,92753,NATIONALUM
54,2023-10-11,EQ,97.55,97.8,95.6,97.0,95.75,95.8,96.61,106.35,68.05,10688385,1032565531.45,30224,NATIONALUM
55,2023-10-10,EQ,94.1,97.3,94.0,93.6,96.9,97.0,96.07,106.35,68.05,7106610,682755519.0,20050,NATIONALUM
56,2023-10-09,EQ,94.35,94.9,92.5,94.95,93.45,93.6,93.47,106.35,68.05,5455408,509892839.0,25262,NATIONALUM
57,2023-10-06,EQ,95.25,95.45,94.45,94.4,95.0,94.95,95.02,106.35,68.05,5802195,551302858.05,15821,NATIONALUM
58,2023-10-05,EQ,94.85,95.5,94.15,94.5,94.35,94.4,94.75,106.35,68.05,3856960,365438814.3,14538,NATIONALUM
59,2023-10-04,EQ,96.45,96.55,93.55,96.55,94.45,94.5,95.09,106.35,68.05,6709632,638019104.25,25187,NATIONALUM
60,2023-10-03,EQ,97.2,97.35,95.8,97.2,97.25,96.55,96.41,106.35,68.05,9097100,877025854.7,26275,NATIONALUM
61,2023-09-29,EQ,93.9,97.65,93.8,93.15,97.15,97.2,96.08,106.35,66.95,12807411,1230533552.95,33316,NATIONALUM
62,2023-09-28,EQ,93.5,94.3,92.8,93.0,93.2,93.15,93.46,106.35,66.95,8809867,823332192.25,29654,NATIONALUM
63,2023-09-27,EQ,92.8,93.35,91.85,93.15,93.0,93.0,92.71,106.35,66.95,4134796,383327180.2,12927,NATIONALUM
64,2023-09-26,EQ,93.5,94.85,92.8,93.25,93.1,93.15,93.75,106.35,66.95,4818399,451718944.05,15694,NATIONALUM
65,2023-09-25,EQ,93.5,94.1,92.65,93.5,93.1,93.25,93.35,106.35,66.95,5162219,481893374.45,18198,NATIONALUM
66,2023-09-22,EQ,94.3,94.5,92.5,94.05,93.5,93.5,93.54,106.35,66.95,5262470,492277281.25,23497,NATIONALUM
67,2023-09-21,EQ,95.3,96.5,93.6,95.05,94.3,94.05,94.97,106.35,66.95,6843145,649887244.25,23240,NATIONALUM
68,2023-09-20,EQ,94.25,96.2,93.45,95.95,95.3,95.05,95.22,106.35,66.95,9046834,861423790.45,32409,NATIONALUM
69,2023-09-18,EQ,97.75,98.85,95.45,97.35,95.7,95.95,97.08,106.35,66.95,9911919,962238286.55,33555,NATIONALUM
70,2023-09-15,EQ,100.75,102.65,96.3,99.3,97.35,97.35,99.66,106.35,66.95,16664082,1660749068.65,47229,NATIONALUM
71,2023-09-14,EQ,97.8,99.9,97.45,97.2,99.1,99.3,98.78,106.35,66.95,10429246,1030218613.35,30081,NATIONALUM
72,2023-09-13,EQ,95.4,97.85,94.0,95.4,97.1,97.2,96.15,106.35,66.95,9324003,896498643.9,34198,NATIONALUM
73,2023-09-12,EQ,102.5,102.7,95.1,101.6,95.15,95.4,97.31,106.35,66.95,15490749,1507421880.85,54066,NATIONALUM
74,2023-09-11,EQ,100.8,103.0,100.0,100.5,101.55,101.6,101.49,106.35,66.95,8788628,891986129.2,33503,NATIONALUM
75,2023-09-08,EQ,100.0,102.4,99.95,100.1,100.55,100.5,100.71,106.35,66.95,6890011,693868187.3,23552,NATIONALUM
76,2023-09-07,EQ,100.6,101.0,99.2,101.1,100.3,100.1,100.11,106.35,66.95,6932137,693981686.35,23524,NATIONALUM
77,2023-09-06,EQ,102.4,103.55,99.5,102.45,101.3,101.1,100.95,106.35,66.95,8427457,850788109.3,28407,NATIONALUM
78,2023-09-05,EQ,104.35,104.5,101.05,104.35,102.5,102.45,102.62,106.35,66.95,10437911,1071093740.45,35571,NATIONALUM
79,2023-09-04,EQ,99.4,106.35,99.05,98.35,104.6,104.35,104.4,106.35,66.95,37266123,3890735125.55,99340,NATIONALUM
80,2023-09-01,EQ,94.75,98.65,94.7,94.15,98.6,98.35,97.32,98.65,66.95,18982813,1847450546.35,60221,NATIONALUM
81,2023-08-31,EQ,94.35,95.25,93.35,94.2,94.2,94.15,94.3,97.6,66.95,7757801,731544038.0,22866,NATIONALUM
82,2023-08-30,EQ,93.6,95.5,93.0,92.75,94.4,94.2,94.41,97.6,66.95,10347871,976913928.8,35230,NATIONALUM
83,2023-08-29,EQ,91.0,93.1,90.45,90.45,93.0,92.75,91.85,97.6,66.95,9665487,887818571.3,23560,NATIONALUM
84,2023-08-28,EQ,88.25,90.8,88.25,88.25,90.6,90.45,90.14,97.6,66.95,7322832,660106021.25,19961,NATIONALUM
85,2023-08-25,EQ,89.55,89.75,87.8,89.75,88.2,88.25,88.63,97.6,66.95,6037482,535123760.85,18386,NATIONALUM
86,2023-08-24,EQ,91.15,91.2,89.5,90.0,89.75,89.75,90.28,97.6,66.95,3941647,355856861.0,12124,NATIONALUM
87,2023-08-23,EQ,89.4,91.0,88.95,88.8,90.0,90.0,90.28,97.6,66.95,7507551,677756595.9,20922,NATIONALUM
88,2023-08-22,EQ,88.4,89.65,87.65,87.95,88.75,88.8,88.48,97.6,66.95,7480145,661829069.1,21999,NATIONALUM
89,2023-08-21,EQ,87.6,88.45,86.9,86.8,88.15,87.95,87.81,97.6,66.95,5338585,468763114.0,17514,NATIONALUM
90,2023-08-18,EQ,88.1,88.5,86.2,87.8,86.65,86.8,87.03,97.6,66.95,5472352,476234522.85,22893,NATIONALUM
91,2023-08-17,EQ,89.2,90.35,87.55,89.15,88.1,87.8,88.26,97.6,66.95,8375037,739153830.1,23838,NATIONALUM
92,2023-08-16,EQ,90.5,90.65,88.2,90.65,89.15,89.15,89.01,97.6,66.95,9039920,804638712.4,28840,NATIONALUM
93,2023-08-14,EQ,92.25,92.4,90.1,94.3,90.65,90.65,91.02,97.6,66.95,11862766,1079745304.95,33590,NATIONALUM
94,2023-08-11,EQ,95.0,95.4,94.0,95.0,94.15,94.3,94.39,97.6,66.95,5085284,480011521.1,22501,NATIONALUM
95,2023-08-10,EQ,96.9,97.0,94.55,96.85,95.2,95.0,95.16,97.6,66.95,9670075,920232561.05,23456,NATIONALUM
96,2023-08-09,EQ,94.85,97.0,94.45,94.8,96.9,96.85,95.91,97.6,66.95,7492578,718644782.1,22629,NATIONALUM
97,2023-08-08,EQ,95.3,95.35,94.15,94.9,94.85,94.8,94.73,97.6,66.95,3793003,359317889.65,17408,NATIONALUM
98,2023-08-07,EQ,95.55,95.85,94.65,95.05,94.9,94.9,95.15,97.6,66.95,3868398,368062001.7,15170,NATIONALUM
99,2023-08-04,EQ,94.7,96.1,94.45,94.25,95.0,95.05,95.23,97.6,66.95,7599421,723691633.4,21035,NATIONALUM
100,2023-08-03,EQ,92.1,94.65,90.9,92.2,94.6,94.25,93.13,97.6,66.95,8378690,780341654.5,29378,NATIONALUM
101,2023-08-02,EQ,96.0,96.05,91.45,95.6,92.15,92.2,92.96,97.6,66.95,10371159,964080733.0,40066,NATIONALUM
102,2023-08-01,EQ,96.0,97.6,94.95,95.25,95.5,95.6,96.26,97.6,66.95,13822528,1330511157.55,27670,NATIONALUM
103,2023-07-31,EQ,95.8,97.0,94.8,95.35,95.4,95.25,95.89,97.0,66.95,12565555,1204869333.1,24879,NATIONALUM
104,2023-07-28,EQ,94.6,95.6,94.4,94.75,95.2,95.35,95.07,96.35,66.95,4589568,436345233.4,18857,NATIONALUM
105,2023-07-27,EQ,95.5,96.3,94.4,94.9,94.8,94.75,95.33,96.35,66.95,6039829,575796518.05,23207,NATIONALUM
106,2023-07-26,EQ,95.9,96.35,94.65,94.85,95.1,94.9,95.37,96.35,66.95,10203850,973096240.65,57942,NATIONALUM
107,2023-07-25,EQ,92.5,95.0,91.9,92.15,94.95,94.85,94.2,95.0,66.95,17044913,1605583093.6,45527,NATIONALUM
108,2023-07-24,EQ,92.05,92.45,91.65,92.05,92.0,92.15,92.11,94.0,66.95,4837630,445583479.0,15669,NATIONALUM
109,2023-07-21,EQ,91.3,93.45,91.2,92.25,92.1,92.05,92.27,94.0,66.95,7926790,731365434.4,21108,NATIONALUM
110,2023-07-20,EQ,92.05,92.4,91.15,92.05,92.2,92.25,92.08,94.0,66.95,5225209,481149516.35,29822,NATIONALUM
111,2023-07-19,EQ,93.25,93.3,91.85,92.95,92.1,92.05,92.35,94.0,66.95,6450500,595673743.1,27129,NATIONALUM
112,2023-07-18,EQ,93.7,93.9,91.75,93.2,93.05,92.95,92.63,94.0,66.95,12697402,1176102581.9,60129,NATIONALUM
113,2023-07-17,EQ,90.7,94.0,89.15,89.3,93.1,93.2,92.18,94.0,66.95,36834284,3395266193.85,83004,NATIONALUM
114,2023-07-14,EQ,85.2,89.6,85.15,84.55,89.45,89.3,87.94,89.6,66.95,29185342,2566416665.6,70355,NATIONALUM
115,2023-07-13,EQ,85.5,85.95,84.1,84.65,84.75,84.55,85.14,87.0,66.95,13131493,1118057515.75,33403,NATIONALUM
116,2023-07-12,EQ,83.7,85.0,83.5,83.5,84.7,84.65,84.18,87.0,66.95,8323576,700685901.65,22180,NATIONALUM
117,2023-07-11,EQ,83.7,84.1,83.05,83.35,83.4,83.5,83.55,87.0,66.95,4147985,346573999.35,11152,NATIONALUM
118,2023-07-10,EQ,83.0,84.5,82.65,82.9,83.4,83.35,83.63,87.0,66.95,8246076,689616446.25,21361,NATIONALUM
119,2023-07-07,EQ,84.1,84.45,82.7,84.45,82.85,82.9,83.29,87.0,66.95,8348790,695411864.3,20328,NATIONALUM
120,2023-07-06,EQ,84.45,84.8,83.15,83.85,84.4,84.45,84.28,87.0,66.95,6022674,507597174.45,17207,NATIONALUM
121,2023-07-05,EQ,83.6,84.5,83.25,83.6,83.85,83.85,83.85,87.0,66.95,11339525,950776449.2,17089,NATIONALUM
122,2023-07-04,EQ,83.7,84.2,82.85,83.3,83.5,83.6,83.59,87.0,66.95,4465335,373260986.8,11298,NATIONALUM
123,2023-07-03,EQ,82.3,83.8,82.3,82.05,83.3,83.3,83.28,87.0,66.95,5017117,417838606.4,13558,NATIONALUM
124,2023-06-30,EQ,82.8,82.8,81.8,81.95,82.2,82.05,82.17,87.0,66.95,5492953,451352900.65,26993,NATIONALUM
125,2023-06-28,EQ,82.8,82.95,81.75,82.25,82.0,81.95,82.24,87.0,66.95,3655464,300618769.2,13484,NATIONALUM
126,2023-06-27,EQ,82.9,83.2,81.9,82.5,82.25,82.25,82.46,87.0,66.95,3613648,297991102.95,22155,NATIONALUM
127,2023-06-26,EQ,81.5,82.75,80.65,81.4,82.6,82.5,81.84,87.0,66.95,7554623,618236532.1,18400,NATIONALUM
128,2023-06-23,EQ,83.5,83.5,81.15,83.85,81.35,81.4,82.11,87.0,66.95,6197957,508905943.95,19117,NATIONALUM
129,2023-06-22,EQ,83.8,84.5,82.55,84.05,83.7,83.85,83.69,87.0,66.95,7562426,632906707.15,16640,NATIONALUM
130,2023-06-21,EQ,85.3,85.65,83.7,85.2,83.95,84.05,84.26,87.0,66.95,6870008,578881735.85,18268,NATIONALUM
131,2023-06-20,EQ,84.6,85.85,84.35,84.6,85.35,85.2,85.23,87.0,66.95,4747248,404584571.45,14905,NATIONALUM
132,2023-06-19,EQ,85.2,85.5,84.4,84.9,84.6,84.6,84.96,87.0,66.95,4262238,362119799.3,19259,NATIONALUM
133,2023-06-16,EQ,85.3,86.0,84.6,84.8,84.75,84.9,85.31,88.45,66.95,6599003,562974320.7,14181,NATIONALUM
134,2023-06-15,EQ,85.65,85.95,84.6,85.55,84.7,84.8,85.08,88.45,66.95,8246347,701620880.7,22600,NATIONALUM
135,2023-06-14,EQ,85.7,86.45,85.2,85.05,85.65,85.55,85.7,88.45,66.95,6421221,550309794.55,19892,NATIONALUM
136,2023-06-13,EQ,85.65,85.65,84.45,85.05,85.1,85.05,85.05,88.45,66.95,7695088,654462222.65,21747,NATIONALUM
137,2023-06-12,EQ,84.55,86.4,84.3,84.3,85.0,85.05,85.47,88.45,66.95,9706928,829651165.1,32989,NATIONALUM
138,2023-06-09,EQ,84.45,85.2,83.65,84.5,84.2,84.3,84.37,94.45,66.95,6997178,590360880.4,19153,NATIONALUM
139,2023-06-08,EQ,84.35,85.45,84.15,84.35,84.5,84.5,84.74,94.45,66.95,9413522,797706657.15,35878,NATIONALUM
140,2023-06-07,EQ,83.9,84.65,83.4,83.5,84.35,84.35,84.05,94.45,66.95,5451487,458189022.2,16935,NATIONALUM
141,2023-06-06,EQ,83.85,84.2,82.9,83.85,83.5,83.5,83.43,94.45,66.95,3676378,306725635.35,11132,NATIONALUM
142,2023-06-05,EQ,84.45,84.65,83.6,83.9,84.0,83.85,84.01,94.45,66.95,4803136,403532123.7,11700,NATIONALUM
143,2023-06-02,EQ,83.4,84.1,82.5,82.75,83.85,83.9,83.43,97.4,66.95,10245661,854823134.7,19438,NATIONALUM
144,2023-06-01,EQ,83.95,84.3,82.6,83.8,82.9,82.75,83.24,97.4,66.95,4392057,365593094.2,11192,NATIONALUM
145,2023-05-31,EQ,83.55,84.2,82.75,84.2,83.8,83.8,83.52,97.4,66.95,7278592,607905408.2,22037,NATIONALUM
146,2023-05-30,EQ,86.55,86.65,84.0,86.05,84.45,84.2,85.0,97.4,66.95,8689842,738604273.25,24782,NATIONALUM
147,2023-05-29,EQ,85.0,87.0,84.35,84.6,86.5,86.05,86.06,97.4,66.95,14212140,1223150025.8,39189,NATIONALUM
148,2023-05-26,EQ,80.6,85.95,80.6,80.55,84.6,84.6,84.3,97.95,66.95,30338647,2557621619.1,74551,NATIONALUM
149,2023-05-25,EQ,80.5,81.0,79.4,80.65,80.6,80.55,80.05,97.95,66.95,7964087,637516495.65,21610,NATIONALUM
150,2023-05-24,EQ,81.45,81.45,80.55,81.5,80.75,80.65,80.9,97.95,66.95,3863837,312577263.2,11177,NATIONALUM
151,2023-05-23,EQ,81.8,82.05,81.2,81.65,81.4,81.5,81.6,97.95,66.95,2655657,216704361.75,8378,NATIONALUM
152,2023-05-22,EQ,80.95,81.9,80.15,80.95,81.6,81.65,81.04,97.95,66.95,3747641,303692219.25,9446,NATIONALUM
153,2023-05-19,EQ,81.1,81.25,79.75,80.85,80.8,80.95,80.49,99.45,66.95,6208890,499750110.9,13394,NATIONALUM
154,2023-05-18,EQ,81.8,82.15,80.55,81.35,80.8,80.85,81.41,99.45,66.95,4113102,334861650.05,11848,NATIONALUM
155,2023-05-17,EQ,81.35,81.7,80.7,81.25,81.45,81.35,81.23,99.45,66.95,7364780,598226342.9,17380,NATIONALUM
156,2023-05-16,EQ,82.2,82.95,80.85,81.95,81.2,81.25,81.71,99.45,66.95,7694637,628750919.2,25307,NATIONALUM
157,2023-05-15,EQ,81.85,82.65,80.5,81.85,81.8,81.95,81.95,99.45,66.95,8364455,685491341.5,23924,NATIONALUM
158,2023-05-12,EQ,82.4,82.4,81.05,82.95,81.6,81.85,81.72,99.45,66.95,7590851,620287318.05,14757,NATIONALUM
159,2023-05-11,EQ,82.6,83.2,82.05,82.9,83.05,82.95,82.7,99.45,66.95,8089006,668953781.15,22235,NATIONALUM
160,2023-05-10,EQ,82.75,83.15,82.25,82.65,82.8,82.9,82.83,99.45,66.95,5364824,444363074.7,15516,NATIONALUM
161,2023-05-09,EQ,82.0,83.15,81.8,82.05,82.5,82.65,82.74,99.45,66.95,6633014,548835287.1,14180,NATIONALUM
162,2023-05-08,EQ,80.6,82.2,79.2,79.95,82.1,82.05,81.39,99.45,66.95,8304922,675972794.8,17814,NATIONALUM
163,2023-05-05,EQ,82.7,82.7,79.75,82.9,80.0,79.95,80.58,106.75,66.95,10707494,862861467.65,30777,NATIONALUM
164,2023-05-04,EQ,82.55,83.45,82.3,82.15,82.75,82.9,82.93,106.75,66.95,5372573,445543507.3,17313,NATIONALUM
165,2023-05-03,EQ,82.9,83.0,81.85,83.1,82.3,82.15,82.19,106.75,66.95,5665890,465672014.85,18701,NATIONALUM
166,2023-05-02,EQ,83.2,84.15,83.0,82.9,83.1,83.1,83.5,106.75,66.95,9406438,785456171.3,19401,NATIONALUM
167,2023-04-28,EQ,82.15,83.5,82.15,82.15,82.8,82.9,83.01,112.4,66.95,7993712,663578321.5,20782,NATIONALUM
168,2023-04-27,EQ,82.05,82.75,81.65,82.4,82.15,82.15,82.15,112.4,66.95,3677502,302093291.0,11684,NATIONALUM
169,2023-04-26,EQ,81.7,82.65,81.15,81.85,82.4,82.4,81.99,112.4,66.95,3941418,323167729.25,10989,NATIONALUM
170,2023-04-25,EQ,82.55,82.9,81.6,82.55,81.8,81.85,82.38,112.4,66.95,3426102,282235161.85,11135,NATIONALUM
171,2023-04-24,EQ,81.8,82.8,81.65,82.15,82.6,82.55,82.31,112.4,66.95,2696845,221986567.85,10381,NATIONALUM
172,2023-04-21,EQ,83.25,83.25,81.4,83.05,82.1,82.15,81.92,123.25,66.95,4538665,371822264.0,11030,NATIONALUM
173,2023-04-20,EQ,84.0,84.1,83.0,83.9,83.25,83.05,83.59,123.25,66.95,4745056,396636494.05,13577,NATIONALUM
174,2023-04-19,EQ,82.55,85.0,82.5,82.7,83.8,83.9,84.16,123.25,66.95,11582762,974856170.5,35377,NATIONALUM
175,2023-04-18,EQ,81.2,82.9,81.15,81.4,82.5,82.7,82.05,123.25,66.95,5503665,451579331.2,18675,NATIONALUM
176,2023-04-17,EQ,79.55,81.65,79.25,79.6,81.45,81.4,80.7,123.25,66.95,5847694,471900110.15,15771,NATIONALUM
177,2023-04-13,EQ,80.95,81.3,79.3,80.65,79.6,79.6,79.85,128.3,66.95,7659808,611629866.6,14515,NATIONALUM
178,2023-04-12,EQ,81.0,81.4,80.5,80.85,80.85,80.65,80.85,128.3,66.95,3902633,315535249.05,11837,NATIONALUM
179,2023-04-11,EQ,80.25,81.0,79.85,80.1,80.9,80.85,80.46,128.3,66.95,6789738,546295412.55,14054,NATIONALUM
