,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,437.8,443.3,435.0,436.1,436.0,438.25,438.31,485.8,199.4,315794,138415326.8,9597,NAVA
1,2023-12-28,EQ,442.8,451.7,435.0,446.35,435.45,436.1,440.41,485.8,199.4,458682,202008623.05,12578,NAVA
2,2023-12-27,EQ,453.3,455.55,442.0,451.95,445.35,446.35,447.86,485.8,199.4,246946,110597316.05,9424,NAVA
3,2023-12-26,EQ,458.0,462.95,449.2,456.1,453.25,451.95,456.15,485.8,199.4,313913,143191027.0,10234,NAVA
4,2023-12-22,EQ,457.0,463.65,450.8,454.4,455.55,456.1,457.13,485.8,199.4,311802,142533007.6,11623,NAVA
5,2023-12-21,EQ,449.05,456.9,440.55,441.5,453.75,454.4,447.52,485.8,199.4,747924,334712208.1,25703,NAVA
6,2023-12-20,EQ,469.0,485.8,438.1,463.85,442.5,441.5,467.22,485.8,199.4,1719442,803364649.1,49555,NAVA
7,2023-12-19,EQ,449.0,467.15,449.0,452.25,463.0,463.85,456.63,473.7,199.4,832708,380242172.7,17497,NAVA
8,2023-12-18,EQ,441.6,454.4,440.75,441.7,453.3,452.25,450.6,473.7,199.4,407623,183676083.05,13197,NAVA
9,2023-12-15,EQ,449.5,450.7,440.1,446.0,442.55,441.7,444.84,473.7,183.65,284961,126762781.7,10078,NAVA
10,2023-12-14,EQ,457.5,458.5,444.35,453.2,445.9,446.0,450.01,473.7,183.65,396553,178452661.95,14972,NAVA
11,2023-12-13,EQ,436.2,454.9,436.2,436.35,453.6,453.2,449.38,473.7,183.65,955963,429592408.0,24601,NAVA
12,2023-12-12,EQ,437.5,443.0,428.6,435.15,438.4,436.35,436.74,473.7,183.65,795249,347314624.35,21595,NAVA
13,2023-12-11,EQ,416.7,440.5,416.7,413.85,433.0,435.15,432.6,473.7,183.65,1424947,616428634.5,35553,NAVA
14,2023-12-08,EQ,409.5,419.0,405.1,408.7,414.2,413.85,414.43,473.7,183.3,637329,264127719.65,18779,NAVA
15,2023-12-07,EQ,406.8,413.0,402.4,406.25,408.5,408.7,408.63,473.7,183.3,455962,186320803.75,15435,NAVA
16,2023-12-06,EQ,399.9,413.7,395.1,396.85,405.1,406.25,406.57,473.7,183.3,900137,365965063.2,19409,NAVA
17,2023-12-05,EQ,402.95,403.9,388.5,395.65,396.0,396.85,395.13,473.7,183.3,403982,159623959.8,14294,NAVA
18,2023-12-04,EQ,392.0,399.0,385.3,384.25,398.95,395.65,394.4,473.7,183.3,1041056,410595235.95,24149,NAVA
19,2023-12-01,EQ,386.0,389.0,382.65,382.3,384.0,384.25,385.1,473.7,181.9,374747,144313946.45,10782,NAVA
20,2023-11-30,EQ,382.1,384.7,374.5,378.95,384.0,382.3,379.49,473.7,181.9,440181,167043600.4,13791,NAVA
21,2023-11-29,EQ,383.15,384.7,377.05,380.6,378.35,378.95,379.71,473.7,181.9,248555,94379011.65,7270,NAVA
22,2023-11-28,EQ,380.0,386.45,380.0,380.05,381.8,380.6,382.94,473.7,181.9,239075,91550949.25,7072,NAVA
23,2023-11-24,EQ,385.95,386.95,378.15,384.05,380.7,380.05,382.19,473.7,179.9,191323,73122316.05,6932,NAVA
24,2023-11-23,EQ,381.85,389.25,378.7,379.55,384.15,384.05,383.59,473.7,179.9,213813,82015481.4,7592,NAVA
25,2023-11-22,EQ,384.05,386.8,378.0,383.6,380.6,379.55,381.58,473.7,179.9,282964,107972630.05,10640,NAVA
26,2023-11-21,EQ,379.2,391.55,377.4,377.25,383.1,383.6,384.74,473.7,179.9,555029,213540857.85,18035,NAVA
27,2023-11-20,EQ,387.95,388.45,374.1,386.8,376.5,377.25,381.12,473.7,179.9,420356,160206765.0,15523,NAVA
28,2023-11-17,EQ,384.95,392.0,383.0,387.5,386.2,386.8,387.39,473.7,179.9,391985,151852473.1,10829,NAVA
29,2023-11-16,EQ,398.5,398.5,385.35,397.3,387.0,387.5,390.89,473.7,179.9,763722,298535053.3,17870,NAVA
30,2023-11-15,EQ,398.1,402.6,395.8,394.55,397.65,397.3,398.25,473.7,179.9,259939,103520997.9,6990,NAVA
31,2023-11-13,EQ,403.0,404.15,392.25,401.5,393.5,394.55,397.42,473.7,179.9,758702,301522083.5,15723,NAVA
32,2023-11-12,EQ,414.95,414.95,399.6,401.0,401.0,401.5,403.36,473.7,179.9,216446,87306329.85,3304,NAVA
33,2023-11-10,EQ,400.95,416.4,398.0,400.65,405.0,401.0,406.83,473.7,179.9,668260,271868156.3,14745,NAVA
34,2023-11-09,EQ,417.0,424.2,397.35,415.6,402.0,400.65,407.82,473.7,179.9,1255922,512192162.1,24760,NAVA
35,2023-11-08,EQ,414.0,425.9,414.0,412.05,416.0,415.6,419.93,473.7,179.9,545973,229273025.6,13858,NAVA
36,2023-11-07,EQ,410.8,414.1,405.85,409.8,412.7,412.05,410.67,473.7,179.9,229165,94111498.05,9123,NAVA
37,2023-11-06,EQ,415.0,415.5,408.0,411.95,410.5,409.8,410.44,473.7,179.9,226738,93062806.65,7506,NAVA
38,2023-11-03,EQ,407.9,417.25,405.7,404.25,412.35,411.95,411.31,473.7,179.9,375510,154451513.45,11028,NAVA
39,2023-11-02,EQ,412.9,414.9,401.2,407.75,406.0,404.25,407.59,473.7,179.9,306530,124938054.0,12525,NAVA
40,2023-11-01,EQ,413.2,416.65,401.55,412.9,408.0,407.75,408.98,473.7,179.9,258896,105883913.35,8595,NAVA
41,2023-10-31,EQ,413.95,423.4,410.0,409.6,413.2,412.9,416.3,473.7,179.9,270633,112664840.25,10172,NAVA
42,2023-10-30,EQ,416.0,416.0,406.75,414.05,409.0,409.6,410.85,473.7,179.9,348195,143056765.5,10498,NAVA
43,2023-10-27,EQ,415.0,427.0,403.25,408.3,413.5,414.05,417.35,473.7,179.9,388942,162326132.4,14982,NAVA
44,2023-10-26,EQ,410.0,413.25,394.3,409.85,410.0,408.3,402.26,473.7,179.9,396801,159619086.55,14346,NAVA
45,2023-10-25,EQ,423.0,431.7,405.9,425.65,413.85,409.85,416.49,473.7,179.9,374083,155800942.35,13561,NAVA
46,2023-10-23,EQ,456.0,456.5,421.0,452.0,421.1,425.65,432.57,473.7,179.9,435831,188525688.6,16458,NAVA
47,2023-10-20,EQ,447.05,460.2,446.05,447.8,450.1,452.0,452.63,473.7,179.9,369826,167393341.5,10631,NAVA
48,2023-10-19,EQ,443.95,449.0,438.55,445.2,447.75,447.8,444.36,473.7,179.9,246320,109455666.45,8129,NAVA
49,2023-10-18,EQ,449.3,451.15,437.45,446.9,444.0,445.2,444.72,473.7,179.9,303847,135125750.85,9099,NAVA
50,2023-10-17,EQ,458.7,464.85,445.6,454.9,446.5,446.9,453.24,473.7,179.9,404219,183208571.85,11231,NAVA
51,2023-10-16,EQ,436.9,469.4,436.9,431.95,456.0,454.9,459.34,473.7,179.9,1678971,771213134.1,34349,NAVA
52,2023-10-13,EQ,439.8,442.6,430.1,440.55,432.9,431.95,437.04,473.7,179.9,186949,81703316.9,5526,NAVA
53,2023-10-12,EQ,431.3,448.7,431.3,431.0,439.2,440.55,442.14,473.7,179.9,406026,179520855.5,9303,NAVA
54,2023-10-11,EQ,427.0,434.85,425.25,425.1,433.0,431.0,431.16,473.7,179.9,230288,99291594.35,7160,NAVA
55,2023-10-10,EQ,422.0,432.2,418.2,421.45,426.0,425.1,424.07,473.7,179.9,315995,134005526.75,8642,NAVA
56,2023-10-09,EQ,428.0,429.3,418.1,433.45,422.6,421.45,424.48,473.7,179.9,219880,93335092.15,8104,NAVA
57,2023-10-06,EQ,429.95,438.5,425.75,426.75,432.0,433.45,432.98,473.7,177.95,368276,159455610.4,9021,NAVA
58,2023-10-05,EQ,436.0,440.95,425.35,435.05,427.0,426.75,430.66,473.7,177.95,408718,176016773.05,8193,NAVA
59,2023-10-04,EQ,436.95,444.25,428.05,439.6,437.0,435.05,436.71,473.7,177.95,374329,163472799.7,11824,NAVA
60,2023-10-03,EQ,450.0,450.5,436.75,452.15,437.9,439.6,443.47,473.7,177.95,324248,143795033.8,10839,NAVA
