,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,150.65,153.7,148.7,149.9,152.8,151.1,151.36,175.9,88.45,440665,66698161.35,12192,NAVNETEDUL
1,2023-12-28,EQ,149.0,150.55,146.0,148.6,150.25,149.9,149.16,175.9,88.45,308764,46055347.35,8681,NAVNETEDUL
2,2023-12-27,EQ,146.6,149.85,145.6,145.85,149.0,148.6,148.24,175.9,88.45,349283,51779206.35,7838,NAVNETEDUL
3,2023-12-26,EQ,142.55,146.65,141.95,142.55,145.8,145.85,144.63,175.9,88.45,196805,28464564.0,4809,NAVNETEDUL
4,2023-12-22,EQ,145.3,147.45,141.8,144.95,142.05,142.55,144.33,175.9,88.45,300273,43337376.85,5859,NAVNETEDUL
5,2023-12-21,EQ,138.0,146.45,138.0,142.25,145.7,144.95,142.55,175.9,88.45,362358,51653601.65,7961,NAVNETEDUL
6,2023-12-20,EQ,145.0,150.5,141.0,144.3,141.9,142.25,146.79,175.9,88.45,665510,97690689.05,11237,NAVNETEDUL
7,2023-12-19,EQ,144.8,147.0,143.3,144.75,145.75,144.3,144.77,175.9,88.45,195280,28270933.5,4284,NAVNETEDUL
8,2023-12-18,EQ,148.0,148.55,144.3,147.1,144.75,144.75,145.55,175.9,88.45,209193,30447816.55,4612,NAVNETEDUL
9,2023-12-15,EQ,152.0,152.35,146.0,148.15,146.0,147.1,148.73,175.9,88.45,242648,36090173.05,4760,NAVNETEDUL
10,2023-12-14,EQ,147.5,152.4,145.8,146.0,147.25,148.15,149.42,175.9,88.45,751448,112281147.8,13068,NAVNETEDUL
11,2023-12-13,EQ,143.05,147.95,142.75,142.3,146.8,146.0,145.99,175.9,88.45,617541,90153204.7,14574,NAVNETEDUL
12,2023-12-12,EQ,144.9,144.9,141.45,143.65,144.0,142.3,142.76,175.9,88.45,148021,21131244.35,5447,NAVNETEDUL
