,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,892.8,895.9,881.55,892.8,882.0,882.7,886.88,923.95,505.0,76504,67849953.4,9231,NESCO
1,2023-12-28,EQ,907.0,907.0,889.5,900.65,893.0,892.8,894.7,923.95,505.0,61024,54597931.3,6473,NESCO
2,2023-12-27,EQ,910.0,913.3,890.0,905.55,901.0,900.65,901.53,923.95,505.0,138253,124639018.2,13674,NESCO
3,2023-12-26,EQ,900.0,923.95,875.0,863.2,905.0,905.55,909.44,923.95,505.0,670782,610036406.35,38383,NESCO
4,2023-12-22,EQ,865.0,887.95,859.6,864.45,865.0,863.2,870.38,907.6,505.0,106424,92629497.2,9516,NESCO
5,2023-12-21,EQ,840.0,879.95,830.5,846.2,867.0,864.45,862.33,907.6,505.0,155191,133825560.2,15465,NESCO
6,2023-12-20,EQ,862.9,907.6,841.05,859.3,848.0,846.2,882.55,907.6,505.0,586263,517405783.45,41634,NESCO
7,2023-12-19,EQ,870.0,881.95,854.75,864.4,857.5,859.3,865.67,881.95,505.0,180121,155925042.0,14626,NESCO
8,2023-12-18,EQ,831.0,869.0,827.05,830.3,863.95,864.4,857.99,870.1,505.0,282166,242094584.7,21665,NESCO
9,2023-12-15,EQ,848.0,852.85,826.05,843.7,828.2,830.3,837.31,870.1,505.0,111102,93026801.8,13463,NESCO
10,2023-12-14,EQ,829.0,849.9,827.65,823.55,843.0,843.7,838.61,870.1,505.0,98142,82303126.55,9110,NESCO
11,2023-12-13,EQ,828.95,829.95,818.0,824.8,826.25,823.55,822.93,870.1,505.0,45287,37268079.15,4655,NESCO
12,2023-12-12,EQ,845.05,845.05,821.0,841.35,826.95,824.8,830.12,870.1,505.0,90956,75504116.0,6084,NESCO
13,2023-12-11,EQ,834.0,846.0,829.35,829.95,838.25,841.35,837.17,870.1,505.0,75246,62993807.2,6003,NESCO
14,2023-12-08,EQ,847.3,852.45,826.15,843.05,835.0,829.95,837.59,870.1,505.0,83951,70316467.4,6359,NESCO
15,2023-12-07,EQ,840.0,850.0,832.5,835.35,842.0,843.05,842.74,870.1,505.0,102166,86099594.1,8006,NESCO
