,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-11-01,EQ,1159.7,1167.0,1131.0,1125.75,1140.0,1144.0,1153.66,1234.0,299.95,92917,107194476.5,11285,NEWGEN
1,2023-10-31,EQ,1184.9,1193.75,1079.1,1173.05,1134.7,1125.75,1138.14,1234.0,299.95,250310,284887571.8,16597,NEWGEN
2,2023-10-30,EQ,1172.0,1217.0,1144.5,1209.8,1167.0,1173.05,1181.04,1234.0,299.95,211554,249854194.4,13357,NEWGEN
3,2023-10-27,EQ,1180.0,1234.0,1116.05,1166.5,1201.2,1209.8,1193.65,1234.0,299.95,411975,491753813.45,23629,NEWGEN
4,2023-10-26,EQ,1124.95,1195.0,1083.0,1125.75,1180.0,1166.5,1142.88,1195.0,299.95,328478,375411323.45,19083,NEWGEN
5,2023-10-25,EQ,1070.0,1154.55,1055.0,1049.6,1131.0,1125.75,1116.79,1185.0,299.95,466001,520425715.5,19475,NEWGEN
6,2023-10-23,EQ,1142.0,1142.0,1029.45,1129.25,1057.8,1049.6,1091.06,1185.0,299.95,212775,232149856.95,14533,NEWGEN
7,2023-10-20,EQ,1169.3,1169.3,1115.0,1169.3,1135.0,1129.25,1130.76,1185.0,299.95,260990,295117955.1,18480,NEWGEN
8,2023-10-19,EQ,1104.0,1185.0,1092.0,1117.3,1180.0,1169.3,1151.09,1185.0,299.95,635405,731407291.05,40829,NEWGEN
9,2023-10-18,EQ,1090.0,1175.0,1062.2,1041.4,1113.0,1117.3,1127.01,1175.0,299.95,1356880,1529214088.5,69853,NEWGEN
10,2023-10-17,EQ,935.05,1060.0,926.0,935.05,1047.0,1041.4,1012.11,1060.0,299.95,1573909,1592963843.65,74356,NEWGEN
11,2023-10-16,EQ,920.8,947.0,917.55,912.55,925.05,935.05,938.24,999.95,299.95,207513,194696207.8,15141,NEWGEN
12,2023-10-13,EQ,917.5,923.45,909.1,914.0,911.0,912.55,912.58,999.95,299.95,121119,110531145.75,7195,NEWGEN
13,2023-10-12,EQ,915.7,928.8,910.0,911.2,917.75,914.0,917.73,999.95,299.95,63270,58064637.0,6121,NEWGEN
14,2023-10-11,EQ,925.45,947.95,900.05,915.4,911.0,911.2,920.52,999.95,299.95,136491,125643193.45,12028,NEWGEN
15,2023-10-10,EQ,891.9,919.8,891.9,889.05,911.0,915.4,909.9,999.95,299.95,90064,81949373.3,6919,NEWGEN
16,2023-10-09,EQ,893.0,924.0,875.55,904.7,877.9,889.05,903.99,999.95,299.95,133635,120804593.2,12279,NEWGEN
17,2023-10-06,EQ,900.0,918.0,893.55,893.45,904.0,904.7,907.07,999.95,299.95,80646,73151596.95,7763,NEWGEN
18,2023-10-05,EQ,883.0,905.0,870.1,872.0,902.0,893.45,885.78,999.95,299.95,187012,165651821.5,10434,NEWGEN
19,2023-10-04,EQ,881.35,885.7,870.1,881.35,874.0,872.0,878.3,999.95,299.95,87152,76545408.0,7488,NEWGEN
20,2023-10-03,EQ,904.7,904.7,871.0,900.55,881.5,881.35,882.35,999.95,299.95,143925,126991701.85,9043,NEWGEN
21,2023-09-29,EQ,891.95,911.0,864.05,884.45,902.0,900.55,894.17,999.95,299.95,102163,91351540.55,9842,NEWGEN
22,2023-09-28,EQ,929.4,932.95,877.05,921.1,882.0,884.45,905.42,999.95,299.95,122153,110599296.1,10339,NEWGEN
23,2023-09-27,EQ,878.0,925.0,874.05,873.05,924.95,921.1,903.51,999.95,299.95,432181,390477856.85,22586,NEWGEN
24,2023-09-26,EQ,862.0,882.0,853.45,860.15,873.6,873.05,864.58,999.95,299.95,183633,158765199.8,9552,NEWGEN
25,2023-09-25,EQ,865.0,886.95,856.55,862.95,861.0,860.15,867.49,999.95,299.95,73660,63899144.0,8528,NEWGEN
26,2023-09-22,EQ,860.95,885.0,841.95,854.95,869.8,862.95,868.61,999.95,299.95,139474,121149012.1,10776,NEWGEN
27,2023-09-21,EQ,851.95,876.6,845.1,856.55,851.1,854.95,860.43,999.95,299.95,119639,102941006.25,5709,NEWGEN
28,2023-09-20,EQ,860.0,870.0,848.5,853.1,850.5,856.55,860.26,999.95,299.95,46920,40363356.95,4999,NEWGEN
29,2023-09-18,EQ,873.0,881.7,848.3,872.25,854.0,853.1,868.06,999.95,299.95,142596,123782017.65,10305,NEWGEN
30,2023-09-15,EQ,883.8,887.9,865.0,879.35,880.0,872.25,875.73,999.95,299.95,61598,53943177.75,5358,NEWGEN
31,2023-09-14,EQ,852.95,889.95,852.95,852.35,880.0,879.35,877.56,999.95,299.95,82501,72399697.85,6943,NEWGEN
32,2023-09-13,EQ,830.7,868.6,825.0,838.7,847.2,852.35,842.92,999.95,299.95,78305,66005198.95,6902,NEWGEN
33,2023-09-12,EQ,870.0,880.45,820.0,867.2,843.0,838.7,846.13,999.95,299.95,187463,158617465.4,12855,NEWGEN
34,2023-09-11,EQ,889.7,896.45,860.05,889.7,870.0,867.2,870.4,999.95,299.95,106586,92772762.75,9842,NEWGEN
35,2023-09-08,EQ,899.0,905.0,885.0,893.4,890.0,889.7,892.12,999.95,299.95,63922,57026004.3,6869,NEWGEN
