,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,432.0,442.0,425.7,432.8,436.0,438.25,436.81,514.0,342.3,136714,59717519.45,7571,NIITMTS
1,2023-12-28,EQ,435.6,440.0,428.0,435.55,431.9,432.8,434.4,514.0,342.3,123969,53852548.05,8246,NIITMTS
2,2023-12-27,EQ,444.75,447.5,435.0,436.6,435.0,435.55,439.28,514.0,342.3,110977,48749969.1,6802,NIITMTS
3,2023-12-26,EQ,445.0,445.0,432.15,435.45,436.95,436.6,436.87,514.0,342.3,123808,54087460.95,8617,NIITMTS
4,2023-12-22,EQ,426.0,439.0,425.9,424.6,437.0,435.45,434.14,514.0,342.3,200406,87004959.55,9881,NIITMTS
5,2023-12-21,EQ,404.95,427.55,400.1,409.35,422.85,424.6,419.32,514.0,342.3,126695,53125190.4,8486,NIITMTS
6,2023-12-20,EQ,427.0,433.8,405.0,425.2,412.0,409.35,424.55,514.0,342.3,240836,102246352.4,14081,NIITMTS
7,2023-12-19,EQ,437.05,440.2,423.1,438.55,425.85,425.2,432.43,514.0,342.3,335492,145075487.15,10225,NIITMTS
8,2023-12-18,EQ,427.5,440.7,423.0,425.9,438.0,438.55,433.35,514.0,342.3,310765,134669845.4,14805,NIITMTS
9,2023-12-15,EQ,413.0,430.0,412.0,412.7,426.0,425.9,421.44,514.0,342.3,316401,133345244.55,15397,NIITMTS
10,2023-12-14,EQ,405.0,419.8,402.0,405.2,414.0,412.7,411.85,514.0,342.3,373620,153875777.2,13038,NIITMTS
11,2023-12-13,EQ,411.9,411.9,398.4,408.65,404.25,405.2,404.44,514.0,342.3,184749,74719538.35,10257,NIITMTS
12,2023-12-12,EQ,400.0,421.85,395.3,401.85,409.25,408.65,413.33,514.0,342.3,533949,220695015.3,24887,NIITMTS
13,2023-12-11,EQ,395.55,406.4,388.55,397.15,395.6,401.85,397.73,514.0,342.3,309030,122911973.35,15485,NIITMTS
14,2023-12-08,EQ,392.65,401.0,390.55,392.85,399.0,397.15,396.91,514.0,342.3,206250,81863501.2,12995,NIITMTS
15,2023-12-07,EQ,389.75,397.25,385.8,386.2,394.9,392.85,392.93,514.0,342.3,158449,62259753.55,18861,NIITMTS
16,2023-12-06,EQ,386.15,389.75,378.0,388.3,384.5,386.2,383.82,514.0,342.3,360674,138433592.4,28875,NIITMTS
