,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,208.65,212.65,203.7,207.15,209.25,209.65,208.03,212.65,103.75,22811186,4745334114.7,89018,NMDC
1,2023-12-28,EQ,202.65,207.45,201.2,201.45,206.8,207.15,205.59,207.45,103.75,26020759,5349579389.3,99140,NMDC
2,2023-12-27,EQ,203.6,203.95,198.35,201.85,201.25,201.45,201.81,204.95,103.75,11050354,2230059417.2,58935,NMDC
3,2023-12-26,EQ,195.75,204.95,194.85,195.4,202.2,201.85,201.94,204.95,103.75,31256241,6311988193.0,135132,NMDC
4,2023-12-22,EQ,196.45,197.35,191.75,193.65,194.85,195.4,195.07,198.65,103.75,13696123,2671681808.75,73414,NMDC
5,2023-12-21,EQ,181.0,194.65,179.9,183.4,193.55,193.65,190.18,198.65,103.75,24520581,4663224638.5,114329,NMDC
6,2023-12-20,EQ,194.75,198.65,181.85,193.6,182.9,183.4,191.7,198.65,103.75,16317195,3128013604.05,104324,NMDC
7,2023-12-19,EQ,195.55,197.0,192.0,195.55,193.8,193.6,194.07,197.8,103.75,7001726,1358800540.8,45371,NMDC
8,2023-12-18,EQ,194.95,197.25,191.3,194.95,195.85,195.55,195.45,197.8,103.75,9564809,1869431132.75,41679,NMDC
9,2023-12-15,EQ,194.8,197.8,193.95,191.85,194.5,194.95,195.72,197.8,103.75,13229093,2589190145.85,79076,NMDC
10,2023-12-14,EQ,194.5,195.55,191.15,191.65,192.0,191.85,193.06,195.55,103.75,19475251,3759918299.5,98938,NMDC
11,2023-12-13,EQ,184.7,191.9,184.35,183.05,191.1,191.65,189.49,191.9,103.75,21932990,4156177055.1,124709,NMDC
12,2023-12-12,EQ,185.5,186.9,182.3,184.8,183.0,183.05,184.61,189.0,103.75,5588910,1031770840.35,44026,NMDC
13,2023-12-11,EQ,184.0,185.35,181.5,183.6,184.3,184.8,184.09,189.0,103.75,5279653,971917382.05,51801,NMDC
14,2023-12-08,EQ,185.0,189.0,180.9,184.1,183.15,183.6,185.61,189.0,103.75,12271442,2277677245.15,69376,NMDC
15,2023-12-07,EQ,184.3,185.4,182.95,184.3,183.8,184.1,184.24,186.95,103.75,5872440,1081967647.9,43370,NMDC
16,2023-12-06,EQ,183.0,186.95,181.55,183.0,184.4,184.3,184.1,186.95,103.75,9598557,1767065969.85,51675,NMDC
17,2023-12-05,EQ,185.0,186.2,180.7,184.05,182.85,183.0,183.57,186.2,103.75,8905796,1634812323.25,56107,NMDC
18,2023-12-04,EQ,185.3,186.0,183.3,182.05,184.0,184.05,184.53,186.0,103.75,10564340,1949462390.3,51253,NMDC
19,2023-12-01,EQ,182.95,184.7,181.1,181.5,182.35,182.05,182.83,184.7,103.75,10849741,1983706406.45,54283,NMDC
20,2023-11-30,EQ,180.3,182.5,176.7,180.5,182.0,181.5,180.35,183.5,103.75,17530805,3161683613.7,83806,NMDC
21,2023-11-29,EQ,182.95,183.5,178.5,181.65,180.5,180.5,180.12,183.5,103.75,15281581,2752553288.2,67956,NMDC
22,2023-11-28,EQ,174.5,182.4,173.75,173.2,181.7,181.65,179.13,182.4,103.75,22160056,3969628289.85,106928,NMDC
23,2023-11-24,EQ,174.4,177.35,172.45,172.4,173.95,173.2,175.5,177.8,103.75,23647741,4150263890.85,94779,NMDC
24,2023-11-23,EQ,173.0,174.0,170.9,171.5,172.7,172.4,172.77,177.8,103.75,11461061,1980121150.05,46846,NMDC
25,2023-11-22,EQ,170.0,171.7,168.3,169.7,170.95,171.5,170.36,177.8,103.75,11250935,1916749705.3,55213,NMDC
26,2023-11-21,EQ,171.85,172.25,167.15,170.7,169.55,169.7,170.09,177.8,103.75,12152333,2067046424.45,57617,NMDC
27,2023-11-20,EQ,170.8,173.0,169.1,168.9,170.8,170.7,170.71,177.8,103.75,13004346,2219933087.6,67353,NMDC
28,2023-11-17,EQ,168.9,170.6,168.0,168.9,168.85,168.9,169.08,177.8,103.75,6972351,1178897742.45,39642,NMDC
29,2023-11-16,EQ,170.95,171.95,168.1,169.8,169.1,168.9,169.64,177.8,103.75,11296315,1916285759.1,55442,NMDC
30,2023-11-15,EQ,174.75,175.0,166.75,175.25,170.2,169.8,169.91,177.8,103.75,29953255,5089425331.65,119122,NMDC
31,2023-11-13,EQ,172.95,177.8,170.1,172.35,175.3,175.25,175.24,177.8,103.75,26009145,4557931401.4,101730,NMDC
32,2023-11-12,EQ,172.75,173.0,170.4,168.7,173.0,172.35,172.07,173.0,103.75,6258547,1076884377.6,41046,NMDC
33,2023-11-10,EQ,162.45,169.6,161.45,163.05,168.85,168.7,167.32,169.6,103.75,24358320,4075651316.35,94168,NMDC
34,2023-11-09,EQ,162.6,164.9,161.7,162.4,162.8,163.05,163.24,167.55,103.75,6653234,1086079642.85,31969,NMDC
35,2023-11-08,EQ,164.3,165.0,161.85,163.05,162.3,162.4,163.02,167.55,103.75,6344587,1034278179.3,32561,NMDC
36,2023-11-07,EQ,160.5,164.55,160.4,160.35,163.3,163.05,163.07,167.55,103.75,16025618,2613321644.45,66863,NMDC
37,2023-11-06,EQ,160.65,162.25,159.45,159.45,160.3,160.35,160.67,167.55,103.75,7589638,1219433348.25,45893,NMDC
38,2023-11-03,EQ,161.25,161.25,158.3,159.9,159.5,159.45,159.54,167.55,98.6,8355761,1333101083.75,42381,NMDC
39,2023-11-02,EQ,154.55,160.5,154.1,153.65,159.75,159.9,158.08,167.55,98.6,11208581,1771873967.85,56847,NMDC
40,2023-11-01,EQ,154.3,155.3,152.75,154.2,153.35,153.65,154.11,167.55,98.6,4580234,705845604.35,28147,NMDC
41,2023-10-31,EQ,157.0,157.65,153.6,155.9,154.15,154.2,155.05,167.55,98.6,8601461,1333694789.8,39159,NMDC
42,2023-10-30,EQ,154.4,156.3,152.5,154.4,156.0,155.9,154.7,167.55,98.6,6267611,969615909.0,40039,NMDC
43,2023-10-27,EQ,153.0,155.85,152.4,152.05,154.5,154.4,154.4,167.55,92.25,9872315,1524305619.5,42469,NMDC
44,2023-10-26,EQ,151.0,152.8,149.2,152.95,152.65,152.05,150.56,167.55,92.25,9474292,1426460645.75,46868,NMDC
45,2023-10-25,EQ,152.85,154.75,150.6,151.15,152.75,152.95,153.04,167.55,92.25,18234386,2790617322.9,56406,NMDC
46,2023-10-23,EQ,158.0,158.8,150.4,158.05,151.3,151.15,153.38,167.55,92.25,17270778,2649028868.85,70572,NMDC
47,2023-10-20,EQ,162.4,162.5,156.1,163.4,158.4,158.05,158.58,167.55,92.25,13350167,2117128316.8,66148,NMDC
48,2023-10-19,EQ,160.25,164.05,158.85,161.65,162.6,163.4,161.81,167.55,92.25,11181525,1809297706.75,53720,NMDC
49,2023-10-18,EQ,165.2,166.5,160.25,165.2,161.45,161.65,162.55,167.55,92.25,14161636,2302039523.7,69157,NMDC
50,2023-10-17,EQ,166.15,167.55,164.0,165.25,165.1,165.2,165.73,167.55,92.25,19281455,3195501228.65,85786,NMDC
51,2023-10-16,EQ,161.4,165.75,160.2,159.9,165.25,165.25,164.15,165.75,92.25,30250871,4965548957.1,134167,NMDC
52,2023-10-13,EQ,158.0,164.1,156.8,159.0,160.0,159.9,161.03,164.1,92.25,35909080,5782359567.5,122462,NMDC
53,2023-10-12,EQ,151.5,159.9,150.95,150.3,158.45,159.0,157.8,159.9,92.25,58650451,9255129925.9,201446,NMDC
54,2023-10-11,EQ,152.3,153.8,149.7,150.25,150.1,150.3,151.55,154.25,92.25,23202583,3516337435.1,90152,NMDC
55,2023-10-10,EQ,143.25,151.15,143.25,143.15,151.0,150.25,147.67,154.25,92.25,16441933,2427910377.2,65572,NMDC
56,2023-10-09,EQ,144.0,144.0,140.65,145.8,142.75,143.15,142.73,154.25,92.25,9180199,1310252409.15,37809,NMDC
57,2023-10-06,EQ,147.1,147.7,145.6,146.2,145.75,145.8,146.39,154.25,92.25,5076844,743196302.35,28217,NMDC
58,2023-10-05,EQ,146.9,148.55,145.75,145.8,146.6,146.2,147.12,154.25,92.25,9110789,1340342438.85,36815,NMDC
59,2023-10-04,EQ,148.0,149.25,143.65,148.05,145.9,145.8,146.77,154.25,92.25,14848217,2179316799.35,51060,NMDC
60,2023-10-03,EQ,149.6,149.95,147.25,147.95,147.85,148.05,148.42,154.25,92.25,12861454,1908923608.95,59437,NMDC
61,2023-09-29,EQ,143.35,148.95,143.3,141.9,148.1,147.95,146.88,154.25,92.25,14406278,2116038770.5,54010,NMDC
62,2023-09-28,EQ,142.95,144.35,141.5,142.45,142.0,141.9,142.77,154.25,92.25,7998765,1141948084.5,37425,NMDC
63,2023-09-27,EQ,143.25,143.75,141.4,143.05,142.4,142.45,142.35,154.25,92.25,9193858,1308730101.25,32835,NMDC
64,2023-09-26,EQ,143.05,146.85,142.25,143.1,143.45,143.05,144.64,154.25,92.25,13813437,1998012148.55,50277,NMDC
65,2023-09-25,EQ,143.2,144.25,141.8,143.2,142.8,143.1,142.85,154.25,92.25,9505679,1357882611.55,33472,NMDC
66,2023-09-22,EQ,144.0,145.05,141.1,143.95,143.4,143.2,143.07,154.25,92.25,10121010,1447992520.9,47354,NMDC
67,2023-09-21,EQ,146.95,147.5,143.0,148.05,144.0,143.95,145.0,154.25,92.25,12189559,1767444798.65,50821,NMDC
68,2023-09-20,EQ,148.0,151.55,146.25,148.85,147.8,148.05,148.37,154.25,92.25,13760530,2041638959.5,57153,NMDC
69,2023-09-18,EQ,149.9,149.9,147.4,149.9,149.0,148.85,148.65,154.25,92.25,10032071,1491290075.35,45093,NMDC
70,2023-09-15,EQ,152.85,154.25,148.85,150.2,149.3,149.9,150.87,154.25,92.25,27031700,4078183935.2,95573,NMDC
71,2023-09-14,EQ,143.05,150.9,142.8,142.2,150.6,150.2,148.55,150.9,92.25,38840906,5769712001.1,132386,NMDC
72,2023-09-13,EQ,137.0,142.85,135.65,136.5,142.25,142.2,139.79,146.75,92.25,14712519,2056659084.45,71155,NMDC
73,2023-09-12,EQ,145.4,146.0,135.75,144.5,136.6,136.5,139.33,146.75,92.25,19286946,2687234296.65,88467,NMDC
74,2023-09-11,EQ,143.0,146.75,141.5,142.4,144.3,144.5,144.42,146.75,92.25,18030900,2603989444.1,61981,NMDC
75,2023-09-08,EQ,143.0,145.6,141.75,142.9,142.65,142.4,143.25,145.6,92.25,13572409,1944221684.8,51940,NMDC
76,2023-09-07,EQ,142.0,143.7,141.1,142.1,142.75,142.9,142.7,144.0,92.25,10187240,1453759100.8,45432,NMDC
77,2023-09-06,EQ,143.2,143.9,138.95,143.3,142.05,142.1,141.25,144.0,92.25,17576444,2482658390.4,61613,NMDC
78,2023-09-05,EQ,138.9,144.0,136.5,138.0,143.6,143.3,140.35,144.0,92.25,28895943,4055404307.5,97791,NMDC
79,2023-09-04,EQ,133.1,140.25,133.0,130.5,137.8,138.0,137.26,140.25,92.25,46708960,6411404886.3,166038,NMDC
