,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,285.55,342.3,283.3,285.25,338.0,335.85,336.54,342.3,125.0,2657131,894231868.4,26368,NRBBEARING
1,2023-12-28,EQ,289.5,291.4,283.75,288.6,284.7,285.25,286.62,309.8,125.0,104846,30050913.1,5301,NRBBEARING
2,2023-12-27,EQ,289.1,292.0,287.0,286.0,289.55,288.6,289.55,309.8,125.0,157166,45507577.4,7425,NRBBEARING
3,2023-12-26,EQ,290.0,290.7,285.3,288.5,286.25,286.0,287.5,309.8,125.0,88776,25523132.45,5661,NRBBEARING
4,2023-12-22,EQ,283.85,290.45,283.85,283.85,287.8,288.5,287.84,309.8,125.0,101549,29230051.35,5737,NRBBEARING
5,2023-12-21,EQ,275.1,287.75,275.1,283.15,285.0,283.85,281.83,309.8,125.0,211208,59525792.25,13038,NRBBEARING
6,2023-12-20,EQ,296.7,299.0,275.9,295.2,281.0,283.15,286.05,309.8,125.0,327637,93721546.85,16144,NRBBEARING
7,2023-12-19,EQ,295.9,301.4,293.0,294.2,296.85,295.2,296.46,309.8,125.0,214538,63601767.85,8717,NRBBEARING
8,2023-12-18,EQ,300.5,302.4,293.25,298.7,294.95,294.2,296.49,309.8,125.0,230981,68484134.2,10413,NRBBEARING
9,2023-12-15,EQ,305.9,309.0,297.45,302.9,298.85,298.7,301.22,309.8,125.0,192342,57936784.35,7845,NRBBEARING
10,2023-12-14,EQ,302.0,305.25,300.6,302.85,303.45,302.9,302.31,309.8,125.0,282812,85495766.55,7552,NRBBEARING
11,2023-12-13,EQ,300.85,307.25,300.2,300.75,302.1,302.85,303.23,309.8,125.0,311591,94482479.25,11092,NRBBEARING
12,2023-12-12,EQ,308.0,309.8,300.0,306.75,300.65,300.75,303.42,309.8,125.0,579312,175773087.65,17142,NRBBEARING
13,2023-12-11,EQ,291.3,308.75,290.0,281.75,308.0,306.75,302.87,308.75,125.0,2736010,828656264.9,56995,NRBBEARING
14,2023-12-08,EQ,284.7,292.8,280.1,283.0,283.0,281.75,287.59,294.0,125.0,663885,190927764.0,17972,NRBBEARING
15,2023-12-07,EQ,284.4,287.5,280.55,283.65,283.9,283.0,284.24,294.0,125.0,384713,109351962.3,10210,NRBBEARING
16,2023-12-06,EQ,285.0,291.0,281.15,279.7,283.5,283.65,285.0,294.0,125.0,541672,154374380.4,12134,NRBBEARING
17,2023-12-05,EQ,278.0,283.8,277.5,278.0,278.55,279.7,279.92,294.0,125.0,358350,100310860.0,9642,NRBBEARING
18,2023-12-04,EQ,278.45,283.0,273.45,275.45,279.15,278.0,279.63,294.0,125.0,500400,139926898.95,17105,NRBBEARING
19,2023-12-01,EQ,277.0,280.0,274.0,276.55,275.2,275.45,276.7,294.0,125.0,319206,88323144.25,10467,NRBBEARING
20,2023-11-30,EQ,269.3,279.9,268.8,268.35,276.0,276.55,275.83,294.0,125.0,864903,238565860.0,24094,NRBBEARING
21,2023-11-29,EQ,261.0,269.8,260.0,259.4,268.0,268.35,265.54,294.0,125.0,252712,67105614.65,8597,NRBBEARING
22,2023-11-28,EQ,259.05,260.95,253.35,259.0,259.5,259.4,257.28,294.0,125.0,251774,64776634.8,5761,NRBBEARING
23,2023-11-24,EQ,260.8,262.4,255.55,258.6,258.55,259.0,258.41,294.0,125.0,138562,35805984.9,6984,NRBBEARING
24,2023-11-23,EQ,261.8,265.85,258.0,260.45,258.5,258.6,260.84,294.0,125.0,182803,47682649.6,5545,NRBBEARING
25,2023-11-22,EQ,266.1,266.55,257.05,264.75,261.95,260.45,261.28,294.0,125.0,149849,39152899.75,5155,NRBBEARING
26,2023-11-21,EQ,266.45,267.35,263.1,264.35,265.0,264.75,265.09,294.0,125.0,149007,39500285.55,5134,NRBBEARING
27,2023-11-20,EQ,269.4,269.4,261.45,265.25,265.0,264.35,265.07,294.0,125.0,169771,45001057.45,4797,NRBBEARING
28,2023-11-17,EQ,273.75,275.75,264.7,272.85,266.5,265.25,268.3,294.0,125.0,188709,50630674.7,4277,NRBBEARING
29,2023-11-16,EQ,275.95,277.7,271.95,273.75,273.5,272.85,274.65,294.0,125.0,138466,38029468.15,3591,NRBBEARING
30,2023-11-15,EQ,281.0,283.0,271.3,271.75,274.5,273.75,276.56,294.0,125.0,594469,164404248.95,13342,NRBBEARING
31,2023-11-13,EQ,268.85,275.0,264.05,266.75,274.0,271.75,270.98,294.0,125.0,454411,123138518.75,11614,NRBBEARING
32,2023-11-12,EQ,264.9,269.35,264.5,260.75,267.8,266.75,266.42,294.0,125.0,80296,21392308.35,1860,NRBBEARING
33,2023-11-10,EQ,260.9,263.45,258.5,261.7,261.5,260.75,260.57,294.0,125.0,57349,14943168.45,2330,NRBBEARING
34,2023-11-09,EQ,266.45,267.9,259.8,265.15,261.9,261.7,263.17,294.0,125.0,113255,29805492.6,3365,NRBBEARING
35,2023-11-08,EQ,258.55,267.0,258.25,257.6,265.9,265.15,263.72,294.0,125.0,131141,34584617.2,3953,NRBBEARING
36,2023-11-07,EQ,258.0,261.75,255.05,257.45,258.4,257.6,259.09,294.0,125.0,94100,24380531.9,2420,NRBBEARING
37,2023-11-06,EQ,253.15,258.3,253.1,254.2,257.6,257.45,255.65,294.0,125.0,72172,18450997.25,2799,NRBBEARING
38,2023-11-03,EQ,257.0,260.0,253.0,255.7,253.4,254.2,256.48,294.0,125.0,77410,19854272.35,2491,NRBBEARING
39,2023-11-02,EQ,254.0,256.9,253.85,252.45,254.3,255.7,255.37,294.0,125.0,60723,15506667.4,2198,NRBBEARING
40,2023-11-01,EQ,259.55,260.0,249.35,259.95,251.9,252.45,255.17,294.0,125.0,151653,38697143.45,4911,NRBBEARING
41,2023-10-31,EQ,261.0,266.4,257.95,260.9,259.0,259.95,262.02,294.0,125.0,58495,15326894.0,2891,NRBBEARING
42,2023-10-30,EQ,263.5,264.0,259.05,263.65,261.45,260.9,261.61,294.0,125.0,46238,12096328.6,2542,NRBBEARING
43,2023-10-27,EQ,260.0,268.15,257.9,257.3,262.1,263.65,263.78,294.0,125.0,135123,35642793.05,4489,NRBBEARING
44,2023-10-26,EQ,251.95,258.5,245.15,253.3,255.0,257.3,251.18,294.0,125.0,151440,38039419.4,6394,NRBBEARING
45,2023-10-25,EQ,261.4,264.55,246.2,260.05,254.0,253.3,254.61,294.0,125.0,532602,135603177.7,14197,NRBBEARING
46,2023-10-23,EQ,272.0,273.9,254.9,271.0,260.0,260.05,262.35,294.0,125.0,342556,89871128.7,10357,NRBBEARING
47,2023-10-20,EQ,273.8,279.95,270.05,273.35,271.75,271.0,274.95,294.0,125.0,188187,51742935.35,6037,NRBBEARING
48,2023-10-19,EQ,264.2,278.35,263.35,265.15,274.4,273.35,273.46,294.0,125.0,379522,103785983.05,10563,NRBBEARING
