,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,1440.1,1451.6,1423.15,1442.4,1427.0,1443.35,1442.26,1502.55,790.1,295611,426348765.75,25228,OBEROIRLTY
1,2023-12-28,EQ,1418.8,1446.85,1401.55,1416.1,1436.55,1442.4,1433.71,1502.55,790.1,1149024,1647369688.85,51002,OBEROIRLTY
2,2023-12-27,EQ,1404.85,1425.05,1402.55,1400.75,1413.55,1416.1,1413.54,1502.55,790.1,600434,848740232.95,31144,OBEROIRLTY
3,2023-12-26,EQ,1408.8,1421.7,1395.65,1407.05,1403.0,1400.75,1403.75,1502.55,790.1,491861,690451748.15,27212,OBEROIRLTY
4,2023-12-22,EQ,1395.1,1411.95,1380.55,1393.0,1404.2,1407.05,1395.08,1502.55,790.1,325547,454162894.75,25832,OBEROIRLTY
5,2023-12-21,EQ,1361.2,1399.95,1355.0,1381.15,1393.0,1393.0,1381.33,1502.55,790.1,422359,583419174.9,29363,OBEROIRLTY
6,2023-12-20,EQ,1432.2,1432.2,1369.15,1426.4,1378.65,1381.15,1403.05,1502.55,790.1,788483,1106277259.25,43908,OBEROIRLTY
7,2023-12-19,EQ,1450.25,1457.3,1421.85,1446.0,1422.7,1426.4,1435.54,1502.55,790.1,417482,599313097.95,21950,OBEROIRLTY
8,2023-12-18,EQ,1477.45,1482.5,1433.55,1476.7,1447.0,1446.0,1454.96,1502.55,790.1,589582,857819877.35,33885,OBEROIRLTY
9,2023-12-15,EQ,1499.95,1502.55,1469.8,1489.35,1481.0,1476.7,1482.46,1502.55,790.1,996390,1477107815.95,41730,OBEROIRLTY
10,2023-12-14,EQ,1445.0,1494.95,1440.6,1437.0,1492.0,1489.35,1470.73,1494.95,790.1,1196188,1759267366.35,64842,OBEROIRLTY
11,2023-12-13,EQ,1422.2,1444.85,1411.5,1425.4,1431.6,1437.0,1427.53,1482.6,790.1,743848,1061867570.95,52830,OBEROIRLTY
12,2023-12-12,EQ,1454.4,1455.8,1416.95,1450.65,1422.05,1425.4,1429.51,1482.6,790.1,817309,1168348440.95,46259,OBEROIRLTY
13,2023-12-11,EQ,1405.0,1464.1,1405.0,1447.35,1450.9,1450.65,1442.27,1482.6,790.1,608354,877412887.5,28657,OBEROIRLTY
14,2023-12-08,EQ,1465.0,1480.0,1437.65,1462.95,1447.0,1447.35,1457.68,1482.6,790.1,404905,590220030.45,25478,OBEROIRLTY
15,2023-12-07,EQ,1473.4,1482.6,1456.05,1459.65,1463.0,1462.95,1466.44,1482.6,790.1,653915,958926173.9,34693,OBEROIRLTY
16,2023-12-06,EQ,1440.45,1464.45,1434.25,1439.25,1464.0,1459.65,1447.77,1464.45,790.1,769884,1114617920.45,31849,OBEROIRLTY
17,2023-12-05,EQ,1445.05,1452.9,1410.2,1438.8,1436.35,1439.25,1433.71,1460.0,790.1,827329,1186149605.4,31093,OBEROIRLTY
18,2023-12-04,EQ,1425.05,1460.0,1410.0,1415.05,1437.35,1438.8,1440.44,1460.0,790.1,1269942,1829277822.9,50719,OBEROIRLTY
19,2023-12-01,EQ,1409.0,1424.8,1403.45,1400.85,1410.2,1415.05,1411.43,1431.4,790.1,807914,1140311386.0,25233,OBEROIRLTY
20,2023-11-30,EQ,1404.7,1431.4,1379.1,1400.95,1419.95,1400.85,1398.8,1431.4,790.1,5054451,7070186059.95,78812,OBEROIRLTY
21,2023-11-29,EQ,1415.0,1418.45,1396.85,1410.4,1398.0,1400.95,1409.62,1418.45,790.1,715074,1007984920.35,28010,OBEROIRLTY
22,2023-11-28,EQ,1388.1,1417.35,1376.05,1389.95,1410.0,1410.4,1394.69,1417.35,790.1,662461,923928706.45,39218,OBEROIRLTY
23,2023-11-24,EQ,1413.9,1413.9,1383.45,1404.95,1390.95,1389.95,1398.77,1415.4,790.1,449316,628489693.05,33029,OBEROIRLTY
