,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,4194.9,4257.45,4175.15,4197.55,4230.0,4212.8,4205.69,4528.45,2977.25,180409,758743910.45,15525,OFSS
1,2023-12-28,EQ,4210.95,4210.95,4175.0,4194.5,4209.0,4197.55,4194.84,4528.45,2977.25,50195,210560207.55,7040,OFSS
2,2023-12-27,EQ,4167.0,4200.0,4157.5,4158.7,4196.0,4194.5,4175.17,4528.45,2977.25,125786,525178506.9,8045,OFSS
3,2023-12-26,EQ,4239.9,4243.95,4149.6,4212.15,4157.0,4158.7,4182.16,4528.45,2977.25,145162,607090571.55,9913,OFSS
4,2023-12-22,EQ,4220.0,4234.95,4151.0,4197.0,4214.5,4212.15,4195.94,4528.45,2977.25,74717,313508043.2,12722,OFSS
5,2023-12-21,EQ,4130.0,4220.0,4120.0,4187.1,4199.8,4197.0,4183.01,4528.45,2977.25,70907,296604913.85,12990,OFSS
6,2023-12-20,EQ,4383.7,4397.55,4167.1,4373.7,4179.9,4187.1,4304.68,4528.45,2977.25,190164,818594776.7,26467,OFSS
7,2023-12-19,EQ,4370.0,4387.95,4339.4,4375.3,4363.65,4373.7,4363.34,4528.45,2977.25,56375,245983247.85,9042,OFSS
8,2023-12-18,EQ,4379.85,4397.4,4327.4,4360.75,4379.95,4375.3,4369.56,4528.45,2977.25,179741,785388909.4,16650,OFSS
9,2023-12-15,EQ,4207.7,4374.95,4178.25,4166.0,4361.9,4360.75,4322.3,4528.45,2977.25,399090,1724985046.95,48766,OFSS
10,2023-12-14,EQ,4114.8,4219.9,4110.0,4069.95,4188.0,4166.0,4180.09,4528.45,2977.25,160580,671238590.3,23899,OFSS
11,2023-12-13,EQ,4078.5,4135.0,4044.35,4108.8,4095.0,4069.95,4072.78,4528.45,2977.25,162177,660511297.3,29165,OFSS
12,2023-12-12,EQ,4199.15,4265.95,4096.2,4212.95,4118.0,4108.8,4184.59,4528.45,2977.25,143663,601170140.0,22928,OFSS
13,2023-12-11,EQ,4115.0,4242.45,4115.0,4131.35,4207.2,4212.95,4203.76,4528.45,2977.25,136966,575772466.65,17927,OFSS
14,2023-12-08,EQ,4140.0,4180.0,4110.0,4134.15,4133.0,4131.35,4146.13,4528.45,2977.25,102079,423232858.2,14509,OFSS
15,2023-12-07,EQ,4125.0,4162.0,4083.05,4111.25,4140.25,4134.15,4130.9,4528.45,2977.25,103999,429609854.65,13630,OFSS
16,2023-12-06,EQ,4070.0,4152.45,4038.8,4031.3,4113.1,4111.25,4096.81,4528.45,2977.25,192204,787424185.45,25282,OFSS
17,2023-12-05,EQ,4071.9,4071.9,3968.0,4052.0,4036.0,4031.3,4008.94,4528.45,2977.25,153560,615612619.4,17111,OFSS
18,2023-12-04,EQ,4075.0,4075.0,4025.05,4043.3,4055.0,4052.0,4051.44,4528.45,2977.25,83675,339004053.5,11018,OFSS
19,2023-12-01,EQ,4031.0,4080.0,4004.0,4011.0,4039.0,4043.3,4033.41,4528.45,2977.25,47294,190755956.45,8360,OFSS
20,2023-11-30,EQ,4039.0,4133.0,3989.0,4022.75,4048.0,4011.0,4020.97,4528.45,2977.25,797448,3206518013.35,30273,OFSS
21,2023-11-29,EQ,4026.55,4043.8,3991.05,4025.9,4039.9,4022.75,4013.9,4528.45,2977.25,79365,318563466.5,14772,OFSS
22,2023-11-28,EQ,4049.9,4049.9,3957.75,4031.15,4008.0,4025.9,4003.35,4528.45,2977.25,139291,557631185.75,17277,OFSS
23,2023-11-24,EQ,4100.0,4120.0,4019.5,4095.05,4027.95,4031.15,4052.53,4528.45,2977.25,38581,156350755.1,7868,OFSS
24,2023-11-23,EQ,4100.0,4134.4,4063.3,4082.85,4095.0,4095.05,4093.56,4528.45,2977.25,31868,130453515.1,6792,OFSS
